"Location","Date","Time","Head","Dec_year","Pressure","STOMP_BC"
"D5-151-E","01/01/2014","00:00:00",118.1113,2014,147710.048776,"2014,yr,147710.048776,Pa,,,"
"D5-151-E","02/01/2014","00:00:00",118.1113,2014.08493150685,147710.048776,"2014.08493150685,yr,147710.048776,Pa,,,"
"D5-151-E","03/01/2014","00:00:00",118.0891,2014.16164383562,147492.632632,"2014.16164383562,yr,147492.632632,Pa,,,"
"D5-151-E","04/01/2014","00:00:00",118.1638,2014.24657534247,148224.208576,"2014.24657534247,yr,148224.208576,Pa,,,"
"D5-151-E","05/01/2014","00:00:00",118.3277,2014.32876712329,149829.366504,"2014.32876712329,yr,149829.366504,Pa,,,"
"D5-151-E","06/01/2014","00:00:00",118.5833,2014.41369863014,152332.590216,"2014.41369863014,yr,152332.590216,Pa,,,"
"D5-151-E","07/01/2014","00:00:00",118.7493,2014.49589041096,153958.314536,"2014.49589041096,yr,153958.314536,Pa,,,"
"D5-151-E","08/01/2014","00:00:00",118.844,2014.58082191781,154885.76088,"2014.58082191781,yr,154885.76088,Pa,,,"
"D5-151-E","09/01/2014","00:00:00",118.7408,2014.66575342466,153875.069616,"2014.66575342466,yr,153875.069616,Pa,,,"
"D5-151-E","10/01/2014","00:00:00",118.5246,2014.74794520548,151757.710592,"2014.74794520548,yr,151757.710592,Pa,,,"
"D5-151-E","11/01/2014","00:00:00",118.3609,2014.83287671233,150154.511368,"2014.83287671233,yr,150154.511368,Pa,,,"
"D5-151-E","12/01/2014","00:00:00",118.3274,2014.91506849315,149826.428448,"2014.91506849315,yr,149826.428448,Pa,,,"
"D5-151-E","01/01/2015","00:00:00",118.3413,2015,149962.558376,"2015,yr,149962.558376,Pa,,,"
"D5-151-E","02/01/2015","00:00:00",118.4108,2015.08493150685,150643.208016,"2015.08493150685,yr,150643.208016,Pa,,,"
"D5-151-E","03/01/2015","00:00:00",118.5146,2015.16164383562,151659.775392,"2015.16164383562,yr,151659.775392,Pa,,,"
"D5-151-E","04/01/2015","00:00:00",118.59,2015.24657534247,152398.2068,"2015.24657534247,yr,152398.2068,Pa,,,"
"D5-151-E","05/01/2015","00:00:00",118.5946,2015.32876712329,152443.256992,"2015.32876712329,yr,152443.256992,Pa,,,"
"D5-151-E","06/01/2015","00:00:00",118.5918,2015.41369863014,152415.835136,"2015.41369863014,yr,152415.835136,Pa,,,"
"D5-151-E","07/01/2015","00:00:00",118.5655,2015.49589041096,152158.26556,"2015.49589041096,yr,152158.26556,Pa,,,"
"D5-151-E","08/01/2015","00:00:00",118.4902,2015.58082191781,151420.813504,"2015.58082191781,yr,151420.813504,Pa,,,"
"D5-151-E","09/01/2015","00:00:00",118.3899,2015.66575342466,150438.523448,"2015.66575342466,yr,150438.523448,Pa,,,"
