"Location","Date","Time","Head","Dec_year","Pressure","STOMP_BC"
"D5-160-E","01/01/2014","00:00:00",118.5916,2014,147517.116432,"2014,yr,147517.116432,Pa,,,"
"D5-160-E","02/01/2014","00:00:00",118.5916,2014.08493150685,147517.116432,"2014.08493150685,yr,147517.116432,Pa,,,"
"D5-160-E","03/01/2014","00:00:00",118.4335,2014.16164383562,145968.76092,"2014.16164383562,yr,145968.76092,Pa,,,"
"D5-160-E","04/01/2014","00:00:00",118.6575,2014.24657534247,148162.5094,"2014.24657534247,yr,148162.5094,Pa,,,"
"D5-160-E","05/01/2014","00:00:00",118.8399,2014.32876712329,149948.847448,"2014.32876712329,yr,149948.847448,Pa,,,"
"D5-160-E","06/01/2014","00:00:00",119.0424,2014.41369863014,151932.035248,"2014.41369863014,yr,151932.035248,Pa,,,"
"D5-160-E","07/01/2014","00:00:00",119.1961,2014.49589041096,153437.299272,"2014.49589041096,yr,153437.299272,Pa,,,"
"D5-160-E","08/01/2014","00:00:00",119.2896,2014.58082191781,154352.993392,"2014.58082191781,yr,154352.993392,Pa,,,"
"D5-160-E","09/01/2014","00:00:00",119.2318,2014.66575342466,153786.927936,"2014.66575342466,yr,153786.927936,Pa,,,"
"D5-160-E","10/01/2014","00:00:00",119.0661,2014.74794520548,152164.141672,"2014.74794520548,yr,152164.141672,Pa,,,"
"D5-160-E","11/01/2014","00:00:00",118.9499,2014.83287671233,151026.134648,"2014.83287671233,yr,151026.134648,Pa,,,"
"D5-160-E","12/01/2014","00:00:00",118.9535,2014.91506849315,151061.39132,"2014.91506849315,yr,151061.39132,Pa,,,"
"D5-160-E","01/01/2015","00:00:00",118.9304,2015,150835.161008,"2015,yr,150835.161008,Pa,,,"
"D5-160-E","02/01/2015","00:00:00",118.9802,2015.08493150685,151322.878304,"2015.08493150685,yr,151322.878304,Pa,,,"
"D5-160-E","03/01/2015","00:00:00",119.0518,2015.16164383562,152024.094336,"2015.16164383562,yr,152024.094336,Pa,,,"
"D5-160-E","04/01/2015","00:00:00",119.1169,2015.24657534247,152661.652488,"2015.24657534247,yr,152661.652488,Pa,,,"
"D5-160-E","05/01/2015","00:00:00",119.1329,2015.32876712329,152818.348808,"2015.32876712329,yr,152818.348808,Pa,,,"
"D5-160-E","06/01/2015","00:00:00",119.1429,2015.41369863014,152916.284008,"2015.41369863014,yr,152916.284008,Pa,,,"
"D5-160-E","07/01/2015","00:00:00",119.1095,2015.49589041096,152589.18044,"2015.49589041096,yr,152589.18044,Pa,,,"
"D5-160-E","08/01/2015","00:00:00",119.0653,2015.58082191781,152156.306856,"2015.58082191781,yr,152156.306856,Pa,,,"
"D5-160-E","09/01/2015","00:00:00",118.9926,2015.66575342466,151444.317952,"2015.66575342466,yr,151444.317952,Pa,,,"
"D5-160-E","10/01/2015","00:00:00",118.8853,2015.74794520548,150393.473256,"2015.74794520548,yr,150393.473256,Pa,,,"
"D5-160-E","11/01/2015","00:00:00",118.7657,2015.83287671233,149222.168264,"2015.83287671233,yr,149222.168264,Pa,,,"
"D5-160-E","12/01/2015","00:00:00",118.689,2015.91506849315,148471.00528,"2015.91506849315,yr,148471.00528,Pa,,,"
"D5-160-E","01/01/2016","00:00:00",118.6484,2016,148073.388368,"2016,yr,148073.388368,Pa,,,"
"D5-160-E","02/01/2016","00:00:00",118.6549,2016.08469945355,148137.046248,"2016.08469945355,yr,148137.046248,Pa,,,"
"D5-160-E","03/01/2016","00:00:00",118.6664,2016.16393442623,148249.671728,"2016.16393442623,yr,148249.671728,Pa,,,"
"D5-160-E","04/01/2016","00:00:00",118.7373,2016.24863387978,148944.032296,"2016.24863387978,yr,148944.032296,Pa,,,"
"D5-160-E","05/01/2016","00:00:00",118.829,2016.3306010929,149842.09808,"2016.3306010929,yr,149842.09808,Pa,,,"
"D5-160-E","06/01/2016","00:00:00",118.9694,2016.41530054645,151217.108288,"2016.41530054645,yr,151217.108288,Pa,,,"
"D5-160-E","07/01/2016","00:00:00",119.0305,2016.49726775956,151815.49236,"2016.49726775956,yr,151815.49236,Pa,,,"
"D5-160-E","08/01/2016","00:00:00",119.0599,2016.58196721311,152103.421848,"2016.58196721311,yr,152103.421848,Pa,,,"
"D5-160-E","09/01/2016","00:00:00",119.0368,2016.66666666667,151877.191536,"2016.66666666667,yr,151877.191536,Pa,,,"
"D5-160-E","10/01/2016","00:00:00",118.9232,2016.74863387978,150764.647664,"2016.74863387978,yr,150764.647664,Pa,,,"
"D5-160-E","11/01/2016","00:00:00",118.793,2016.83333333333,149489.53136,"2016.83333333333,yr,149489.53136,Pa,,,"
"D5-160-E","12/01/2016","00:00:00",118.7773,2016.91530054645,149335.773096,"2016.91530054645,yr,149335.773096,Pa,,,"
"D5-160-E","01/01/2017","00:00:00",118.8438,2017,149987.042176,"2017,yr,149987.042176,Pa,,,"
