"Location","Date","Time","Head","Dec_year","Pressure","STOMP_BC"
"H4-86-E","01/01/2014","00:00:00",115.7158,2014,153630.231616,"2014,yr,153630.231616,Pa,,,"
"H4-86-E","02/01/2014","00:00:00",115.7158,2014.08493150685,153630.231616,"2014.08493150685,yr,153630.231616,Pa,,,"
"H4-86-E","03/01/2014","00:00:00",115.6131,2014.16164383562,152624.437112,"2014.16164383562,yr,152624.437112,Pa,,,"
"H4-86-E","04/01/2014","00:00:00",115.7196,2014.24657534247,153667.446992,"2014.24657534247,yr,153667.446992,Pa,,,"
"H4-86-E","05/01/2014","00:00:00",115.9614,2014.32876712329,156035.520128,"2014.32876712329,yr,156035.520128,Pa,,,"
"H4-86-E","06/01/2014","00:00:00",116.3871,2014.41369863014,160204.621592,"2014.41369863014,yr,160204.621592,Pa,,,"
"H4-86-E","07/01/2014","00:00:00",116.6115,2014.49589041096,162402.28748,"2014.49589041096,yr,162402.28748,Pa,,,"
"H4-86-E","08/01/2014","00:00:00",116.6348,2014.58082191781,162630.476496,"2014.58082191781,yr,162630.476496,Pa,,,"
"H4-86-E","09/01/2014","00:00:00",116.4355,2014.66575342466,160678.62796,"2014.66575342466,yr,160678.62796,Pa,,,"
"H4-86-E","10/01/2014","00:00:00",116.0739,2014.74794520548,157137.291128,"2014.74794520548,yr,157137.291128,Pa,,,"
"H4-86-E","11/01/2014","00:00:00",115.8327,2014.83287671233,154775.094104,"2014.83287671233,yr,154775.094104,Pa,,,"
"H4-86-E","12/01/2014","00:00:00",115.7597,2014.91506849315,154060.167144,"2014.91506849315,yr,154060.167144,Pa,,,"
"H4-86-E","01/01/2015","00:00:00",115.807,2015,154523.40064,"2015,yr,154523.40064,Pa,,,"
"H4-86-E","02/01/2015","00:00:00",115.839,2015.08493150685,154836.79328,"2015.08493150685,yr,154836.79328,Pa,,,"
"H4-86-E","03/01/2015","00:00:00",115.944,2015.16164383562,155865.11288,"2015.16164383562,yr,155865.11288,Pa,,,"
"H4-86-E","04/01/2015","00:00:00",115.9353,2015.24657534247,155779.909256,"2015.24657534247,yr,155779.909256,Pa,,,"
"H4-86-E","05/01/2015","00:00:00",115.8244,2015.32876712329,154693.807888,"2015.32876712329,yr,154693.807888,Pa,,,"
"H4-86-E","06/01/2015","00:00:00",115.7847,2015.41369863014,154305.005144,"2015.41369863014,yr,154305.005144,Pa,,,"
"H4-86-E","07/01/2015","00:00:00",115.7581,2015.49589041096,154044.497512,"2015.49589041096,yr,154044.497512,Pa,,,"
"H4-86-E","08/01/2015","00:00:00",115.4711,2015.58082191781,151233.757272,"2015.58082191781,yr,151233.757272,Pa,,,"
"H4-86-E","09/01/2015","00:00:00",114.9291,2015.66575342466,145925.669432,"2015.66575342466,yr,145925.669432,Pa,,,"
"H4-86-E","10/01/2015","00:00:00",114.7355,2015.74794520548,144029.64396,"2015.74794520548,yr,144029.64396,Pa,,,"
"H4-86-E","11/01/2015","00:00:00",114.6291,2015.83287671233,142987.613432,"2015.83287671233,yr,142987.613432,Pa,,,"
"H4-86-E","12/01/2015","00:00:00",114.6645,2015.91506849315,143334.30404,"2015.91506849315,yr,143334.30404,Pa,,,"
"H4-86-E","01/01/2016","00:00:00",114.6805,2016,143491.00036,"2016,yr,143491.00036,Pa,,,"
"H4-86-E","02/01/2016","00:00:00",114.715,2016.08469945355,143828.8768,"2016.08469945355,yr,143828.8768,Pa,,,"
"H4-86-E","03/01/2016","00:00:00",114.7483,2016.16393442623,144155.001016,"2016.16393442623,yr,144155.001016,Pa,,,"
"H4-86-E","04/01/2016","00:00:00",114.8457,2016.24863387978,145108.889864,"2016.24863387978,yr,145108.889864,Pa,,,"
"H4-86-E","05/01/2016","00:00:00",115.1026,2016.3306010929,147624.845152,"2016.3306010929,yr,147624.845152,Pa,,,"
"H4-86-E","06/01/2016","00:00:00",115.1973,2016.41530054645,148552.291496,"2016.41530054645,yr,148552.291496,Pa,,,"
"H4-86-E","07/01/2016","00:00:00",115.2349,2016.49726775956,148920.527848,"2016.49726775956,yr,148920.527848,Pa,,,"
"H4-86-E","08/01/2016","00:00:00",115.101,2016.58196721311,147609.17552,"2016.58196721311,yr,147609.17552,Pa,,,"
"H4-86-E","09/01/2016","00:00:00",115.0362,2016.66666666667,146974.555424,"2016.66666666667,yr,146974.555424,Pa,,,"
"H4-86-E","10/01/2016","00:00:00",114.9249,2016.74863387978,145884.536648,"2016.74863387978,yr,145884.536648,Pa,,,"
"H4-86-E","11/01/2016","00:00:00",114.8515,2016.83333333333,145165.69228,"2016.83333333333,yr,145165.69228,Pa,,,"
"H4-86-E","12/01/2016","00:00:00",114.8592,2016.91530054645,145241.102384,"2016.91530054645,yr,145241.102384,Pa,,,"
"H4-86-E","01/01/2017","00:00:00",114.9508,2017,146138.188816,"2017,yr,146138.188816,Pa,,,"
"H4-86-E","02/01/2017","00:00:00",115.0189,2017.08493150685,146805.127528,"2017.08493150685,yr,146805.127528,Pa,,,"
"H4-86-E","03/01/2017","00:00:00",115.0539,2017.16164383562,147147.900728,"2017.16164383562,yr,147147.900728,Pa,,,"
"H4-86-E","04/01/2017","00:00:00",115.1952,2017.24657534247,148531.725104,"2017.24657534247,yr,148531.725104,Pa,,,"
"H4-86-E","05/01/2017","00:00:00",115.4094,2017.32876712329,150629.497088,"2017.32876712329,yr,150629.497088,Pa,,,"
"H4-86-E","06/01/2017","00:00:00",115.8709,2017.41369863014,155149.206568,"2017.41369863014,yr,155149.206568,Pa,,,"
"H4-86-E","07/01/2017","00:00:00",116.0224,2017.49589041096,156632.924848,"2017.49589041096,yr,156632.924848,Pa,,,"
"H4-86-E","08/01/2017","00:00:00",115.3952,2017.58082191781,150490.429104,"2017.58082191781,yr,150490.429104,Pa,,,"
"H4-86-E","09/01/2017","00:00:00",115.5186,2017.66575342466,151698.949472,"2017.66575342466,yr,151698.949472,Pa,,,"
"H4-86-E","10/01/2017","00:00:00",115.3559,2017.74794520548,150105.543768,"2017.74794520548,yr,150105.543768,Pa,,,"
"H4-86-E","11/01/2017","00:00:00",114.8045,2017.83287671233,144705.39684,"2017.83287671233,yr,144705.39684,Pa,,,"
"H4-86-E","12/01/2017","00:00:00",114.7495,2017.91506849315,144166.75324,"2017.91506849315,yr,144166.75324,Pa,,,"
"H4-86-E","01/01/2018","00:00:00",114.7704,2018,144371.437808,"2018,yr,144371.437808,Pa,,,"
"H4-86-E","02/01/2018","00:00:00",114.8879,2018.08493150685,145522.176408,"2018.08493150685,yr,145522.176408,Pa,,,"
"H4-86-E","03/01/2018","00:00:00",115.0598,2018.16164383562,147205.682496,"2018.16164383562,yr,147205.682496,Pa,,,"
"H4-86-E","04/01/2018","00:00:00",115.0416,2018.24657534247,147027.440432,"2018.24657534247,yr,147027.440432,Pa,,,"
"H4-86-E","05/01/2018","00:00:00",115.1513,2018.32876712329,148101.789576,"2018.32876712329,yr,148101.789576,Pa,,,"
