"Location","Date","Time","Head","Dec_year","Pressure","STOMP_BC"
"H4-83-E","01/01/2014","00:00:00",115.1259,2014,147853.034168,"2014,yr,147853.034168,Pa,,,"
"H4-83-E","02/01/2014","00:00:00",115.1259,2014.08493150685,147853.034168,"2014.08493150685,yr,147853.034168,Pa,,,"
"H4-83-E","03/01/2014","00:00:00",114.8226,2014.16164383562,144882.659552,"2014.16164383562,yr,144882.659552,Pa,,,"
"H4-83-E","04/01/2014","00:00:00",115.4036,2014.24657534247,150572.694672,"2014.24657534247,yr,150572.694672,Pa,,,"
"H4-83-E","05/01/2014","00:00:00",115.7603,2014.32876712329,154066.043256,"2014.32876712329,yr,154066.043256,Pa,,,"
"H4-83-E","06/01/2014","00:00:00",116.4207,2014.41369863014,160533.683864,"2014.41369863014,yr,160533.683864,Pa,,,"
"H4-83-E","07/01/2014","00:00:00",116.4779,2014.49589041096,161093.873208,"2014.49589041096,yr,161093.873208,Pa,,,"
"H4-83-E","08/01/2014","00:00:00",116.2696,2014.58082191781,159053.882992,"2014.58082191781,yr,159053.882992,Pa,,,"
"H4-83-E","09/01/2014","00:00:00",115.727,2014.66575342466,153739.91904,"2014.66575342466,yr,153739.91904,Pa,,,"
"H4-83-E","10/01/2014","00:00:00",114.975,2014.74794520548,146375.192,"2014.74794520548,yr,146375.192,Pa,,,"
"H4-83-E","11/01/2014","00:00:00",114.7825,2014.83287671233,144489.9394,"2014.83287671233,yr,144489.9394,Pa,,,"
"H4-83-E","12/01/2014","00:00:00",114.9713,2014.91506849315,146338.955976,"2014.91506849315,yr,146338.955976,Pa,,,"
"H4-83-E","01/01/2015","00:00:00",115.2912,2015,149471.903024,"2015,yr,149471.903024,Pa,,,"
"H4-83-E","02/01/2015","00:00:00",115.6551,2015.08493150685,153035.764952,"2015.08493150685,yr,153035.764952,Pa,,,"
"H4-83-E","03/01/2015","00:00:00",115.9282,2015.16164383562,155710.375264,"2015.16164383562,yr,155710.375264,Pa,,,"
"H4-83-E","04/01/2015","00:00:00",115.8122,2015.24657534247,154574.326944,"2015.24657534247,yr,154574.326944,Pa,,,"
"H4-83-E","05/01/2015","00:00:00",115.5212,2015.32876712329,151724.412624,"2015.32876712329,yr,151724.412624,Pa,,,"
"H4-83-E","06/01/2015","00:00:00",115.5536,2015.41369863014,152041.722672,"2015.41369863014,yr,152041.722672,Pa,,,"
"H4-83-E","07/01/2015","00:00:00",115.4448,2015.49589041096,150976.187696,"2015.49589041096,yr,150976.187696,Pa,,,"
"H4-83-E","08/01/2015","00:00:00",115.2708,2015.58082191781,149272.115216,"2015.58082191781,yr,149272.115216,Pa,,,"
"H4-83-E","09/01/2015","00:00:00",115.1994,2015.66575342466,148572.857888,"2015.66575342466,yr,148572.857888,Pa,,,"
"H4-83-E","10/01/2015","00:00:00",114.6808,2015.74794520548,143493.938416,"2015.74794520548,yr,143493.938416,Pa,,,"
"H4-83-E","11/01/2015","00:00:00",114.4911,2015.83287671233,141636.107672,"2015.83287671233,yr,141636.107672,Pa,,,"
"H4-83-E","12/01/2015","00:00:00",114.7194,2015.91506849315,143871.968288,"2015.91506849315,yr,143871.968288,Pa,,,"
"H4-83-E","01/01/2016","00:00:00",114.7481,2016,144153.042312,"2016,yr,144153.042312,Pa,,,"
"H4-83-E","02/01/2016","00:00:00",114.833,2016.08469945355,144984.51216,"2016.08469945355,yr,144984.51216,Pa,,,"
"H4-83-E","03/01/2016","00:00:00",114.9263,2016.16393442623,145898.247576,"2016.16393442623,yr,145898.247576,Pa,,,"
"H4-83-E","04/01/2016","00:00:00",115.1592,2016.24863387978,148179.158384,"2016.24863387978,yr,148179.158384,Pa,,,"
"H4-83-E","05/01/2016","00:00:00",115.7298,2016.3306010929,153767.340896,"2016.3306010929,yr,153767.340896,Pa,,,"
"H4-83-E","06/01/2016","00:00:00",115.6718,2016.41530054645,153199.316736,"2016.41530054645,yr,153199.316736,Pa,,,"
"H4-83-E","07/01/2016","00:00:00",115.5665,2016.49726775956,152168.05908,"2016.49726775956,yr,152168.05908,Pa,,,"
"H4-83-E","08/01/2016","00:00:00",115.3292,2016.58196721311,149844.056784,"2016.58196721311,yr,149844.056784,Pa,,,"
"H4-83-E","09/01/2016","00:00:00",115.0453,2016.66666666667,147063.676456,"2016.66666666667,yr,147063.676456,Pa,,,"
"H4-83-E","10/01/2016","00:00:00",114.5721,2016.74863387978,142429.382792,"2016.74863387978,yr,142429.382792,Pa,,,"
"H4-83-E","11/01/2016","00:00:00",114.5268,2016.83333333333,141985.736336,"2016.83333333333,yr,141985.736336,Pa,,,"
"H4-83-E","12/01/2016","00:00:00",114.8296,2016.91530054645,144951.214192,"2016.91530054645,yr,144951.214192,Pa,,,"
"H4-83-E","01/01/2017","00:00:00",115.1057,2017,147655.205064,"2017,yr,147655.205064,Pa,,,"
"H4-83-E","02/01/2017","00:00:00",115.2836,2017.08493150685,149397.472272,"2017.08493150685,yr,149397.472272,Pa,,,"
"H4-83-E","03/01/2017","00:00:00",115.2271,2017.16164383562,148844.138392,"2017.16164383562,yr,148844.138392,Pa,,,"
"H4-83-E","04/01/2017","00:00:00",115.6457,2017.24657534247,152943.705864,"2017.24657534247,yr,152943.705864,Pa,,,"
"H4-83-E","05/01/2017","00:00:00",116.3277,2017.32876712329,159622.886504,"2017.32876712329,yr,159622.886504,Pa,,,"
"H4-83-E","06/01/2017","00:00:00",116.8028,2017.41369863014,164275.787856,"2017.41369863014,yr,164275.787856,Pa,,,"
"H4-83-E","07/01/2017","00:00:00",116.744,2017.49589041096,163699.92888,"2017.49589041096,yr,163699.92888,Pa,,,"
"H4-83-E","08/01/2017","00:00:00",115.6712,2017.58082191781,153193.440624,"2017.58082191781,yr,153193.440624,Pa,,,"
