"Location","Date","Time","Head","Dec_year","Pressure","STOMP_BC"
"H4-84-E","01/01/2014","00:00:00",115.3004,2014,149562.003408,"2014,yr,149562.003408,Pa,,,"
"H4-84-E","02/01/2014","00:00:00",115.3004,2014.08493150685,149562.003408,"2014.08493150685,yr,149562.003408,Pa,,,"
"H4-84-E","03/01/2014","00:00:00",115.1106,2014.16164383562,147703.193312,"2014.16164383562,yr,147703.193312,Pa,,,"
"H4-84-E","04/01/2014","00:00:00",115.431,2014.24657534247,150841.03712,"2014.24657534247,yr,150841.03712,Pa,,,"
"H4-84-E","05/01/2014","00:00:00",115.793,2014.32876712329,154386.29136,"2014.32876712329,yr,154386.29136,Pa,,,"
"H4-84-E","06/01/2014","00:00:00",116.3869,2014.41369863014,160202.662888,"2014.41369863014,yr,160202.662888,Pa,,,"
"H4-84-E","07/01/2014","00:00:00",116.5129,2014.49589041096,161436.646408,"2014.49589041096,yr,161436.646408,Pa,,,"
"H4-84-E","08/01/2014","00:00:00",116.3791,2014.58082191781,160126.273432,"2014.58082191781,yr,160126.273432,Pa,,,"
"H4-84-E","09/01/2014","00:00:00",115.9603,2014.66575342466,156024.747256,"2014.66575342466,yr,156024.747256,Pa,,,"
"H4-84-E","10/01/2014","00:00:00",115.4232,2014.74794520548,150764.647664,"2014.74794520548,yr,150764.647664,Pa,,,"
"H4-84-E","11/01/2014","00:00:00",115.1903,2014.83287671233,148483.736856,"2014.83287671233,yr,148483.736856,Pa,,,"
"H4-84-E","12/01/2014","00:00:00",115.2236,2014.91506849315,148809.861072,"2014.91506849315,yr,148809.861072,Pa,,,"
"H4-84-E","01/01/2015","00:00:00",115.4353,2015,150883.149256,"2015,yr,150883.149256,Pa,,,"
"H4-84-E","02/01/2015","00:00:00",115.6918,2015.08493150685,153395.187136,"2015.08493150685,yr,153395.187136,Pa,,,"
"H4-84-E","03/01/2015","00:00:00",115.9157,2015.16164383562,155587.956264,"2015.16164383562,yr,155587.956264,Pa,,,"
"H4-84-E","04/01/2015","00:00:00",115.8519,2015.24657534247,154963.129688,"2015.24657534247,yr,154963.129688,Pa,,,"
"H4-84-E","05/01/2015","00:00:00",115.6337,2015.32876712329,152826.183624,"2015.32876712329,yr,152826.183624,Pa,,,"
"H4-84-E","06/01/2015","00:00:00",115.6162,2015.41369863014,152654.797024,"2015.41369863014,yr,152654.797024,Pa,,,"
"H4-84-E","07/01/2015","00:00:00",115.5502,2015.49589041096,152008.424704,"2015.49589041096,yr,152008.424704,Pa,,,"
"H4-84-E","08/01/2015","00:00:00",115.3653,2015.58082191781,150197.602856,"2015.58082191781,yr,150197.602856,Pa,,,"
"H4-84-E","09/01/2015","00:00:00",115.2215,2015.66575342466,148789.29468,"2015.66575342466,yr,148789.29468,Pa,,,"
"H4-84-E","10/01/2015","00:00:00",114.8475,2015.74794520548,145126.5182,"2015.74794520548,yr,145126.5182,Pa,,,"
"H4-84-E","11/01/2015","00:00:00",114.6597,2015.83287671233,143287.295144,"2015.83287671233,yr,143287.295144,Pa,,,"
"H4-84-E","12/01/2015","00:00:00",114.7496,2015.91506849315,144167.732592,"2015.91506849315,yr,144167.732592,Pa,,,"
"H4-84-E","01/01/2016","00:00:00",114.7925,2016,144587.8746,"2016,yr,144587.8746,Pa,,,"
"H4-84-E","02/01/2016","00:00:00",114.8909,2016.08469945355,145551.556968,"2016.08469945355,yr,145551.556968,Pa,,,"
"H4-84-E","03/01/2016","00:00:00",114.9712,2016.16393442623,146337.976624,"2016.16393442623,yr,146337.976624,Pa,,,"
"H4-84-E","04/01/2016","00:00:00",115.1617,2016.24863387978,148203.642184,"2016.24863387978,yr,148203.642184,Pa,,,"
"H4-84-E","05/01/2016","00:00:00",115.6364,2016.3306010929,152852.626128,"2016.3306010929,yr,152852.626128,Pa,,,"
"H4-84-E","06/01/2016","00:00:00",115.6467,2016.41530054645,152953.499384,"2016.41530054645,yr,152953.499384,Pa,,,"
"H4-84-E","07/01/2016","00:00:00",115.5679,2016.49726775956,152181.770008,"2016.49726775956,yr,152181.770008,Pa,,,"
"H4-84-E","08/01/2016","00:00:00",115.3648,2016.58196721311,150192.706096,"2016.58196721311,yr,150192.706096,Pa,,,"
"H4-84-E","09/01/2016","00:00:00",115.1388,2016.66666666667,147979.370576,"2016.66666666667,yr,147979.370576,Pa,,,"
"H4-84-E","10/01/2016","00:00:00",114.8109,2016.74863387978,144768.075368,"2016.74863387978,yr,144768.075368,Pa,,,"
"H4-84-E","11/01/2016","00:00:00",114.6996,2016.83333333333,143678.056592,"2016.83333333333,yr,143678.056592,Pa,,,"
"H4-84-E","12/01/2016","00:00:00",114.872,2016.91530054645,145366.45944,"2016.91530054645,yr,145366.45944,Pa,,,"
"H4-84-E","01/01/2017","00:00:00",115.1234,2017,147828.550368,"2017,yr,147828.550368,Pa,,,"
