Row (after comments),Time,Column,Node,Value,scaled Value
0,2014.0,4,-1,0.0,0.0
1,2014.0,4,-1,3.178415e-19,1.6527758e-13
2,2014.0,4,-1,1.211771e-18,6.3012092e-13
3,2014.0,4,-1,3.105163e-18,1.61468476e-12
4,2014.0,4,-1,6.684371e-18,3.47587292e-12
5,2014.0,4,-1,1.305287e-17,6.7874924e-12
6,2014.0,4,-1,2.397361e-17,1.2466277200000001e-11
7,2014.0,4,-1,4.224974e-17,2.19698648e-11
8,2014.0,4,-1,7.232177e-17,3.76073204e-11
9,2014.0,4,-1,1.212037e-16,6.3025924e-11
10,2014.0,4,-1,1.9995e-16,1.03974e-10
11,2014.0,4,-1,3.259512e-16,1.6949462399999998e-10
12,2014.0,4,-1,5.26528e-16,2.7379456e-10
13,2014.0,4,-1,8.445543e-16,4.39168236e-10
14,2014.0,4,-1,1.347252e-15,7.0057104e-10
15,2014.0,4,-1,2.139943e-15,1.11277036e-09
16,2014.0,4,-1,3.387555e-15,1.7615286e-09
17,2014.0,4,-1,5.348238e-15,2.78108376e-09
18,2014.0,4,-1,8.425916e-15,4.38147632e-09
19,2014.0,4,-1,1.325242e-14,6.8912584e-09
20,2014.0,4,-1,2.081588e-14,1.08242576e-08
21,2014.0,4,-1,3.266131e-14,1.69838812e-08
22,2014.0,4,-1,5.120421e-14,2.66261892e-08
23,2014.0,4,-1,8.022042e-14,4.17146184e-08
24,2014.0,4,-1,1.256129e-13,6.531870799999999e-08
25,2014.0,4,-1,1.966069e-13,1.02235588e-07
26,2014.0,4,-1,3.076209e-13,1.59962868e-07
27,2014.0,4,-1,4.811887e-13,2.5021812400000005e-07
28,2014.0,4,-1,7.52525e-13,3.91313e-07
29,2014.0,4,-1,1.176662e-12,6.1186424e-07
30,2014.0,4,-1,1.8396e-12,9.56592e-07
31,2014.0,4,-1,2.875731e-12,1.49538012e-06
32,2014.0,4,-1,4.495071e-12,2.3374369200000004e-06
33,2014.0,4,-1,7.025816e-12,3.6534243199999997e-06
34,2014.0,4,-1,1.098085e-11,5.710042e-06
35,2014.0,4,-1,1.716169e-11,8.924078799999999e-06
36,2014.0,4,-1,2.682097e-11,1.39469044e-05
37,2014.0,4,-1,4.191638e-11,2.17965176e-05
38,2014.0,4,-1,6.550773e-11,3.40640196e-05
39,2014.0,4,-1,1.023777e-10,5.3236404e-05
40,2014.0,4,-1,1.600025e-10,8.320130000000001e-05
41,2014.0,4,-1,2.500706e-10,0.000130036712
42,2014.0,4,-1,3.908578e-10,0.000203246056
43,2014.0,4,-1,6.109454e-10,0.000317691608
44,2014.0,4,-1,9.550426e-10,0.000496622152
45,2014.0,4,-1,1.493106e-09,0.00077641512
46,2014.0,4,-1,2.33464e-09,0.0012140128
47,2014.0,4,-1,3.65113e-09,0.0018985876
48,2014.001,4,-1,5.711298e-09,0.00296987496
49,2014.001,4,-1,8.936545e-09,0.0046470033999999995
50,2014.001,4,-1,1.398835e-08,0.007273942
51,2014.001,4,-1,2.190632e-08,0.0113912864
52,2014.001,4,-1,3.43269e-08,0.017849988
53,2014.002,4,-1,5.383099e-08,0.0279921148
54,2014.002,4,-1,8.449917e-08,0.043939568400000004
55,2014.003,4,-1,1.328027e-07,0.069057404
56,2014.004,4,-1,2.090426e-07,0.108702152
57,2014.005,4,-1,3.296898e-07,0.171438696
58,2014.006,4,-1,5.212224e-07,0.271035648
59,2014.007,4,-1,8.264684e-07,0.429763568
60,2014.009,4,-1,1.315187e-06,0.68389724
61,2014.011,4,-1,2.101876e-06,1.09297552
62,2014.014,4,-1,3.349881e-06,1.74193812
63,2014.017,4,-1,4.944642e-06,2.57121384
64,2014.019,4,-1,6.904487e-06,3.59033324
65,2014.022,4,-1,9.247375e-06,4.808635000000001
66,2014.025,4,-1,1.199088e-05,6.2352576
67,2014.028,4,-1,1.515216e-05,7.8791231999999995
68,2014.03,4,-1,1.874801e-05,9.7489652
69,2014.033,4,-1,2.279479e-05,11.8532908
70,2014.036,4,-1,2.730848e-05,14.2004096
71,2014.039,4,-1,3.230467e-05,16.7984284
72,2014.041,4,-1,3.779856e-05,19.6552512
73,2014.044,4,-1,4.380498e-05,22.778589599999997
74,2014.047,4,-1,5.033837e-05,26.1759524
75,2014.049,4,-1,5.741285e-05,29.854681999999997
76,2014.052,4,-1,6.504213e-05,33.8219076
77,2014.055,4,-1,7.323961e-05,38.0845972
78,2014.058,4,-1,8.201832e-05,42.6495264
79,2014.06,4,-1,9.139095e-05,47.523294
80,2014.063,4,-1,0.0001013699,52.712348000000006
81,2014.066,4,-1,0.0001119672,58.222944
82,2014.069,4,-1,0.0001231946,64.06119199999999
83,2014.071,4,-1,0.0001350635,70.23302
84,2014.074,4,-1,0.0001475849,76.74414800000001
85,2014.077,4,-1,0.0001607698,83.600296
86,2014.08,4,-1,0.0001746286,90.806872
87,2014.082,4,-1,0.0001891715,98.36918
88,2014.085,4,-1,0.0002035126,105.826552
89,2014.088,4,-1,0.0002194792,114.12918400000001
90,2014.09,4,-1,0.0002361882,122.817864
91,2014.093,4,-1,0.0002536309,131.888068
92,2014.096,4,-1,0.0002718029,141.337508
93,2014.099,4,-1,0.0002907011,151.16457200000002
94,2014.101,4,-1,0.000310323,161.36795999999998
95,2014.104,4,-1,0.0003306659,171.946268
96,2014.107,4,-1,0.0003517273,182.898196
97,2014.11,4,-1,0.0003735042,194.222184
98,2014.112,4,-1,0.0003959934,205.916568
99,2014.115,4,-1,0.0004191915,217.97958000000003
100,2014.118,4,-1,0.0004430945,230.40914
101,2014.121,4,-1,0.0004676984,243.20316799999998
102,2014.123,4,-1,0.0004929984,256.359168
103,2014.126,4,-1,0.0005189899,269.87474799999995
104,2014.129,4,-1,0.0005456676,283.74715199999997
105,2014.131,4,-1,0.0005730261,297.973572
106,2014.134,4,-1,0.0006010597,312.551044
107,2014.137,4,-1,0.0006297624,327.476448
108,2014.14,4,-1,0.0006591297,342.747444
109,2014.142,4,-1,0.0006891666,358.36663200000004
110,2014.145,4,-1,0.0007198669,374.330788
111,2014.148,4,-1,0.0007512238,390.63637600000004
112,2014.151,4,-1,0.0007832305,407.27986
113,2014.153,4,-1,0.0008158799,424.257548
114,2014.156,4,-1,0.0008491648,441.565696
115,2014.159,4,-1,0.0008830777,459.200404
116,2014.162,4,-1,0.000917611,477.15772000000004
117,2014.162,4,-1,0.0009182762,477.50362399999995
118,2014.164,4,-1,0.0009526718,495.389336
119,2014.167,4,-1,0.0009873703,513.4325560000001
