Row (after comments),Time,Column,Node,Value,scaled Value
0,2014.0,4,-1,0.0,0.0
1,2014.0,4,-1,3.178415e-19,5.933465122e-10
2,2014.0,4,-1,1.211771e-18,2.2621341028e-09
3,2014.0,4,-1,3.105163e-18,5.7967182884e-09
4,2014.0,4,-1,6.684371e-18,1.24783837828e-08
5,2014.0,4,-1,1.305287e-17,2.4367097716e-08
6,2014.0,4,-1,2.397361e-17,4.4753935148e-08
7,2014.0,4,-1,4.224974e-17,7.8871814632e-08
8,2014.0,4,-1,7.232177e-17,1.35010280236e-07
9,2014.0,4,-1,1.212037e-16,2.2626306716e-07
10,2014.0,4,-1,1.9995e-16,3.7326666e-07
11,2014.0,4,-1,3.259512e-16,6.0848570016e-07
12,2014.0,4,-1,5.26528e-16,9.829224704e-07
13,2014.0,4,-1,8.445543e-16,1.57661396724e-06
14,2014.0,4,-1,1.347252e-15,2.5150500335999998e-06
15,2014.0,4,-1,2.139943e-15,3.9948455924e-06
16,2014.0,4,-1,3.387555e-15,6.323887674e-06
17,2014.0,4,-1,5.348238e-15,9.9840906984e-06
18,2014.0,4,-1,8.425916e-15,1.57294999888e-05
19,2014.0,4,-1,1.325242e-14,2.4739617656e-05
20,2014.0,4,-1,2.081588e-14,3.8859084784e-05
21,2014.0,4,-1,3.266131e-14,6.0972133508e-05
22,2014.0,4,-1,5.120421e-14,9.558801922799999e-05
23,2014.0,4,-1,8.022042e-14,0.000149755480056
24,2014.0,4,-1,1.256129e-13,0.00023449416172
25,2014.0,4,-1,1.966069e-13,0.00036702576092
26,2014.0,4,-1,3.076209e-13,0.00057426669612
27,2014.0,4,-1,4.811887e-13,0.0008982830651600001
28,2014.0,4,-1,7.52525e-13,0.00140481367
29,2014.0,4,-1,1.176662e-12,0.0021965926216
30,2014.0,4,-1,1.8396e-12,0.00343416528
31,2014.0,4,-1,2.875731e-12,0.0053684146308
32,2014.0,4,-1,4.495071e-12,0.0083913985428
33,2014.0,4,-1,7.025816e-12,0.0131157933088
34,2014.0,4,-1,1.098085e-11,0.02049905078
35,2014.0,4,-1,1.716169e-11,0.032037442891999994
36,2014.0,4,-1,2.682097e-11,0.050069386795999996
37,2014.0,4,-1,4.191638e-11,0.078249498184
38,2014.0,4,-1,6.550773e-11,0.122289830364
39,2014.0,4,-1,1.023777e-10,0.19111869036
40,2014.0,4,-1,1.600025e-10,0.298692667
41,2014.0,4,-1,2.500706e-10,0.46683179607999997
42,2014.0,4,-1,3.908578e-10,0.72965334104
43,2014.0,4,-1,6.109454e-10,1.14051287272
44,2014.0,4,-1,9.550426e-10,1.7828735256800001
45,2014.0,4,-1,1.493106e-09,2.7873302808
46,2014.0,4,-1,2.33464e-09,4.358305952
47,2014.0,4,-1,3.65113e-09,6.815929484
48,2014.001,4,-1,5.711298e-09,10.661851106399999
49,2014.001,4,-1,8.936545e-09,16.682742206
50,2014.001,4,-1,1.398835e-08,26.11345178
51,2014.001,4,-1,2.190632e-08,40.894718176
52,2014.001,4,-1,3.43269e-08,64.08145692000001
53,2014.002,4,-1,5.383099e-08,100.491692132
54,2014.002,4,-1,8.449917e-08,157.74305055600001
55,2014.003,4,-1,1.328027e-07,247.91608036
56,2014.004,4,-1,2.090426e-07,390.24072568
57,2014.005,4,-1,3.296898e-07,615.46491864
58,2014.006,4,-1,5.212224e-07,973.01797632
59,2014.007,4,-1,8.264684e-07,1542.85120912
60,2014.009,4,-1,1.315187e-06,2455.1910916
61,2014.011,4,-1,2.101876e-06,3923.7821168
62,2014.014,4,-1,3.349881e-06,6253.5578508
63,2014.017,4,-1,4.944642e-06,9230.6576856
64,2014.019,4,-1,6.904487e-06,12889.2963316
65,2014.022,4,-1,9.247375e-06,17262.99965
66,2014.025,4,-1,1.199088e-05,22384.574784
67,2014.028,4,-1,1.515216e-05,28286.052288
68,2014.03,4,-1,1.874801e-05,34998.785068000005
69,2014.033,4,-1,2.279479e-05,42553.313972
70,2014.036,4,-1,2.730848e-05,50979.470464
71,2014.039,4,-1,3.230467e-05,60306.357956
72,2014.041,4,-1,3.779856e-05,70562.35180799999
73,2014.044,4,-1,4.380498e-05,81775.13666399999
74,2014.047,4,-1,5.033837e-05,93971.66911599999
75,2014.049,4,-1,5.741285e-05,107178.30837999999
76,2014.052,4,-1,6.504213e-05,121420.648284
77,2014.055,4,-1,7.323961e-05,136723.70394799998
78,2014.058,4,-1,8.201832e-05,153111.799776
79,2014.06,4,-1,9.139095e-05,170608.62546
80,2014.063,4,-1,0.0001013699,189237.32932000002
81,2014.066,4,-1,0.0001119672,209020.36896
82,2014.069,4,-1,0.0001231946,229979.67927999998
83,2014.071,4,-1,0.0001350635,252136.5418
84,2014.074,4,-1,0.0001475849,275511.49132000003
85,2014.077,4,-1,0.0001607698,300125.06264
86,2014.08,4,-1,0.0001746286,325996.67048000003
87,2014.082,4,-1,0.0001891715,353145.3562
88,2014.085,4,-1,0.0002035126,379917.32168
89,2014.088,4,-1,0.0002194792,409723.77056000003
90,2014.09,4,-1,0.0002361882,440916.13176
91,2014.093,4,-1,0.0002536309,473478.16412000003
92,2014.096,4,-1,0.0002718029,507401.65372
93,2014.099,4,-1,0.0002907011,542680.81348
94,2014.101,4,-1,0.000310323,579310.9763999999
95,2014.104,4,-1,0.0003306659,617287.1021199999
96,2014.107,4,-1,0.0003517273,656604.52364
97,2014.11,4,-1,0.0003735042,697257.64056
98,2014.112,4,-1,0.0003959934,739240.47912
99,2014.115,4,-1,0.0004191915,782546.6922
100,2014.118,4,-1,0.0004430945,827168.8126000001
101,2014.121,4,-1,0.0004676984,873099.37312
102,2014.123,4,-1,0.0004929984,920329.4131200002
103,2014.126,4,-1,0.0005189899,968850.34532
104,2014.129,4,-1,0.0005456676,1018652.27568
105,2014.131,4,-1,0.0005730261,1069725.1234799998
106,2014.134,4,-1,0.0006010597,1122058.2479599998
107,2014.137,4,-1,0.0006297624,1175640.44832
108,2014.14,4,-1,0.0006591297,1230463.32396
109,2014.142,4,-1,0.0006891666,1286536.20888
110,2014.145,4,-1,0.0007198669,1343847.52892
111,2014.148,4,-1,0.0007512238,1402384.58984
112,2014.151,4,-1,0.0007832305,1462134.6974
113,2014.153,4,-1,0.0008158799,1523084.59732
114,2014.156,4,-1,0.0008491648,1585220.84864
115,2014.159,4,-1,0.0008830777,1648529.4503600001
116,2014.162,4,-1,0.000917611,1712996.2148
117,2014.162,4,-1,0.0009182762,1714238.0101599998
118,2014.164,4,-1,0.0009526718,1778447.71624
119,2014.167,4,-1,0.0009873703,1843222.8760400002
120,2014.17,4,-1,0.00102249,1908784.3320000002
