Row (after comments),Time,Column,Node,Value,scaled Value
0,2014.0,4,-1,0.0,0.0
1,2014.0,4,-1,3.178415e-19,5.652493236000001e-10
2,2014.0,4,-1,1.211771e-18,2.1550135464000002e-09
3,2014.0,4,-1,3.105163e-18,5.5222218792e-09
4,2014.0,4,-1,6.684371e-18,1.1887485386400001e-08
5,2014.0,4,-1,1.305287e-17,2.3213224008000004e-08
6,2014.0,4,-1,2.397361e-17,4.263466802400001e-08
7,2014.0,4,-1,4.224974e-17,7.513693761600002e-08
8,2014.0,4,-1,7.232177e-17,1.2861703576800002e-07
9,2014.0,4,-1,1.212037e-16,2.1554866008000004e-07
10,2014.0,4,-1,1.9995e-16,3.5559108e-07
11,2014.0,4,-1,3.259512e-16,5.7967161408e-07
12,2014.0,4,-1,5.26528e-16,9.363773952e-07
13,2014.0,4,-1,8.445543e-16,1.5019553671200002e-06
14,2014.0,4,-1,1.347252e-15,2.3959529568000002e-06
15,2014.0,4,-1,2.139943e-15,3.805674631200001e-06
16,2014.0,4,-1,3.387553e-15,6.0244242552000004e-06
17,2014.0,4,-1,5.348237e-15,9.511304680800001e-06
18,2014.0,4,-1,8.425915e-15,1.4984647236000002e-05
19,2014.0,4,-1,1.325242e-14,2.3568103728000004e-05
20,2014.0,4,-1,2.081587e-14,3.7018943208e-05
21,2014.0,4,-1,3.266131e-14,5.8084873704000006e-05
22,2014.0,4,-1,5.120419e-14,9.106153149600002e-05
23,2014.0,4,-1,8.022039e-14,0.00014266394157600002
24,2014.0,4,-1,1.256127e-13,0.00022338962568000002
25,2014.0,4,-1,1.966068e-13,0.00034964553312000007
26,2014.0,4,-1,3.076207e-13,0.0005470726528800001
27,2014.0,4,-1,4.811881e-13,0.0008557449170400001
28,2014.0,4,-1,7.52524e-13,0.0013382886816000002
29,2014.0,4,-1,1.17666e-12,0.0020925721440000003
30,2014.0,4,-1,1.839595e-12,0.0032715357480000004
31,2014.0,4,-1,2.875723e-12,0.005114185783200001
32,2014.0,4,-1,4.495054e-12,0.007994004033600002
33,2014.0,4,-1,7.025786e-12,0.012494657822400002
34,2014.0,4,-1,1.098079e-11,0.019528236936
35,2014.0,4,-1,1.716158e-11,0.030520153872000005
36,2014.0,4,-1,2.682074e-11,0.04769800401600001
37,2014.0,4,-1,4.191593e-11,0.074543289912
38,2014.0,4,-1,6.550684e-11,0.11649736425600002
39,2014.0,4,-1,1.02376e-10,0.18206547840000004
40,2014.0,4,-1,1.599992e-10,0.28454257728000004
41,2014.0,4,-1,2.500641e-10,0.44471399544
42,2014.0,4,-1,3.90845e-10,0.6950787480000001
43,2014.0,4,-1,6.109205e-10,1.0864610172000002
44,2014.0,4,-1,9.549938e-10,1.6983609739200003
45,2014.0,4,-1,1.493011e-09,2.6551707624
46,2014.0,4,-1,2.334453e-09,4.151591215200001
47,2014.0,4,-1,3.650765e-09,6.492520476000001
48,2014.001,4,-1,5.710587e-09,10.155707920800001
49,2014.001,4,-1,8.935158e-09,15.890284987200001
50,2014.001,4,-1,1.398565e-08,24.872079960000004
51,2014.001,4,-1,2.190104e-08,38.948809536000006
52,2014.001,4,-1,3.431657e-08,61.02858808800001
53,2014.002,4,-1,5.381085e-08,95.69721564000002
54,2014.002,4,-1,8.445989e-08,150.20346837600002
55,2014.003,4,-1,1.327261e-07,236.04009624000005
56,2014.004,4,-1,2.088933e-07,371.49584472000004
57,2014.005,4,-1,3.293989e-07,585.8030037600001
58,2014.006,4,-1,5.206557e-07,925.9340968800001
59,2014.007,4,-1,8.253653e-07,1467.8296495200002
60,2014.009,4,-1,1.313041e-06,2335.1121144000003
61,2014.011,4,-1,2.097706e-06,3730.5603504000005
62,2014.014,4,-1,3.341881e-06,5943.201170400001
63,2014.017,4,-1,4.931151e-06,8769.558938400001
64,2014.019,4,-1,6.883528e-06,12241.666195200001
65,2014.022,4,-1,9.216662e-06,16390.911700800003
66,2014.025,4,-1,1.194782e-05,21248.003088000005
67,2014.028,4,-1,1.509386e-05,26842.920624000002
68,2014.03,4,-1,1.867126e-05,33204.968784000004
69,2014.033,4,-1,2.26961e-05,40362.74424000001
70,2014.036,4,-1,2.718405e-05,48344.11452
71,2014.039,4,-1,3.21504e-05,57176.27136000001
72,2014.041,4,-1,3.761008e-05,66885.76627200001
73,2014.044,4,-1,4.357761e-05,77498.42162400001
74,2014.047,4,-1,5.006717e-05,89039.45512800002
75,2014.049,4,-1,5.709256e-05,101533.40870400002
76,2014.052,4,-1,6.466723e-05,115004.201832
77,2014.055,4,-1,7.280428e-05,129475.131552
78,2014.058,4,-1,8.151647e-05,144968.890248
79,2014.06,4,-1,9.081624e-05,161507.601216
80,2014.063,4,-1,0.0001007157,179112.80088000002
81,2014.066,4,-1,0.0001112265,197805.20760000002
82,2014.069,4,-1,0.0001223603,217605.55752000003
83,2014.071,4,-1,0.000134128,238533.2352
84,2014.074,4,-1,0.0001465408,260608.15872
85,2014.077,4,-1,0.0001596088,283848.28992
86,2014.08,4,-1,0.0001733426,308272.47984000004
87,2014.082,4,-1,0.0001877519,333897.97896000004
88,2014.085,4,-1,0.0002019593,359164.41912000004
89,2014.088,4,-1,0.0002177727,387286.96968000004
90,2014.09,4,-1,0.0002343164,416708.28576000006
91,2014.093,4,-1,0.000251582,447413.4288
92,2014.096,4,-1,0.0002695648,479394.0403200001
93,2014.099,4,-1,0.0002882612,512643.7180800001
94,2014.101,4,-1,0.0003076688,547158.19392
95,2014.104,4,-1,0.0003277845,582931.9548000002
96,2014.107,4,-1,0.0003486054,619959.84336
97,2014.11,4,-1,0.0003701284,658236.3465600001
98,2014.112,4,-1,0.0003923498,697754.8843200001
99,2014.115,4,-1,0.0004152659,738508.8765600001
100,2014.118,4,-1,0.0004388724,780490.6761600001
101,2014.121,4,-1,0.000463165,823692.636
102,2014.123,4,-1,0.0004881387,868105.8640800002
103,2014.126,4,-1,0.0005137883,913721.1127200002
104,2014.129,4,-1,0.0005401085,960528.9564000001
105,2014.131,4,-1,0.0005670934,1008518.9025600001
106,2014.134,4,-1,0.0005947371,1057680.45864
107,2014.137,4,-1,0.0006230333,1108002.4207200003
108,2014.14,4,-1,0.0006519769,1159475.71896
109,2014.142,4,-1,0.000681573,1212109.4232
110,2014.145,4,-1,0.0007118147,1265891.26248
111,2014.148,4,-1,0.0007426954,1320809.49936
112,2014.151,4,-1,0.0007742075,1376850.6180000002
113,2014.153,4,-1,0.0008063439,1434001.9917600004
114,2014.156,4,-1,0.0008390969,1492249.92696
115,2014.159,4,-1,0.000872459,1551581.0856000003
116,2014.162,4,-1,0.000906422,1611980.8848000003
117,2014.162,4,-1,0.0009070763,1613144.4919200002
118,2014.164,4,-1,0.0009409192,1673330.70528
119,2014.167,4,-1,0.0009750791,1734080.6714400004
120,2014.17,4,-1,0.001009671,1795598.9064000002
121,2014.173,4,-1,0.00104476,1858001.1840000004
122,2014.175,4,-1,0.001080388,1921362.0192000004
123,2014.178,4,-1,0.001116586,1985736.5424000002
124,2014.181,4,-1,0.001153378,2051167.4352000004
125,2014.184,4,-1,0.001190787,2117695.6008
126,2014.186,4,-1,0.001228834,2185358.3856
127,2014.189,4,-1,0.001267541,2254194.9144000006
128,2014.192,4,-1,0.001306935,2324253.2040000004
129,2014.194,4,-1,0.001347047,2395588.3848000006
130,2014.197,4,-1,0.001387917,2468271.5928
131,2014.2,4,-1,0.001429605,2542409.5320000006
132,2014.203,4,-1,0.001472227,2618208.4968000003
133,2014.205,4,-1,0.001515809,2695714.7256
134,2014.208,4,-1,0.001560366,2774954.8944000006
135,2014.211,4,-1,0.001606159,2856393.1656000004
136,2014.214,4,-1,0.001654372,2942135.1648000004
137,2014.216,4,-1,0.001702464,3027661.977600001
138,2014.219,4,-1,0.001750456,3113010.9504000004
139,2014.222,4,-1,0.001798342,3198171.4128000005
140,2014.225,4,-1,0.001846118,3283136.2512000008
141,2014.227,4,-1,0.001893779,3367896.5736000002
142,2014.23,4,-1,0.001941326,3452454.1584000005
143,2014.233,4,-1,0.001988754,3536800.1136000007
144,2014.236,4,-1,0.00203606,3620929.1040000007
145,2014.238,4,-1,0.002083245,3704842.9080000008
146,2014.241,4,-1,0.002130307,3788537.968800001
147,2014.244,4,-1,0.002177246,3872014.2864
148,2014.247,4,-1,0.002224062,3955271.860800001
149,2014.247,4,-1,0.002225057,3957041.3688000003
150,2014.249,4,-1,0.002269965,4036905.7560000005
151,2014.252,4,-1,0.002313549,4114415.5416
152,2014.255,4,-1,0.002356061,4190018.8824000005
153,2014.258,4,-1,0.00239764,4263962.976000001
154,2014.26,4,-1,0.002438402,4336454.116800001
155,2014.263,4,-1,0.00247847,4407711.048
156,2014.266,4,-1,0.002517897,4477828.024800001
157,2014.268,4,-1,0.002556729,4546886.853600001
158,2014.271,4,-1,0.002595016,4614976.4544
159,2014.274,4,-1,0.002632806,4682182.190400001
160,2014.277,4,-1,0.002670143,4748582.3112
161,2014.279,4,-1,0.002707067,4814247.952800001
162,2014.282,4,-1,0.002743615,4879244.916000001
163,2014.285,4,-1,0.002779823,4943637.223200001
164,2014.288,4,-1,0.002815727,5007488.896800001
165,2014.29,4,-1,0.002851363,5070863.9592
166,2014.293,4,-1,0.002886764,5133821.097600001
167,2014.296,4,-1,0.002921966,5196424.3344
168,2014.299,4,-1,0.002957004,5258735.913600001
169,2014.301,4,-1,0.002991913,5320818.0792000005
170,2014.304,4,-1,0.003026729,5382734.853600001
171,2014.307,4,-1,0.003061487,5444548.480800001
172,2014.31,4,-1,0.003096224,5506324.761600001
173,2014.312,4,-1,0.003130978,5568131.275200001
174,2014.315,4,-1,0.003165788,5630037.379200001
175,2014.318,4,-1,0.003200693,5692112.431200001
176,2014.32,4,-1,0.003235733,5754427.567200001
177,2014.323,4,-1,0.003270951,5817059.258400001
178,2014.326,4,-1,0.003306396,5880094.646400001
179,2014.329,4,-1,0.00334212,5943626.208000001
180,2014.329,4,-1,0.003342857,5944936.888800001
181,2014.332,4,-1,0.003377895,6007248.468000001
182,2014.334,4,-1,0.003413035,6069741.444000001
183,2014.337,4,-1,0.003448611,6133009.8024
184,2014.34,4,-1,0.003484889,6197526.597600001
185,2014.342,4,-1,0.003522182,6263848.468800001
186,2014.345,4,-1,0.003561012,6332903.740800001
187,2014.348,4,-1,0.003603384,6408258.1056
188,2014.351,4,-1,0.003646059,6484151.325600001
189,2014.353,4,-1,0.003688444,6559528.809600001
190,2014.356,4,-1,0.003730552,6634413.6768000005
191,2014.359,4,-1,0.00377241,6708853.944000001
192,2014.362,4,-1,0.003814044,6782895.849600001
193,2014.364,4,-1,0.003855483,6856590.967200001
194,2014.367,4,-1,0.003896756,6929990.8704
195,2014.37,4,-1,0.003937891,7003145.354400001
196,2014.373,4,-1,0.003978916,7076104.214400001
197,2014.375,4,-1,0.004019862,7148922.580800001
198,2014.378,4,-1,0.004060757,7221650.248800001
199,2014.381,4,-1,0.004101632,7294342.348800001
200,2014.384,4,-1,0.00414252,7367057.568000002
