Row (after comments),Time,Column,Node,Value,scaled Value
0,2014.0,4,-1,0.0,0.0
1,2014.0,4,-1,3.178415e-19,8.263879e-10
2,2014.0,4,-1,1.211771e-18,3.1506046e-09
3,2014.0,4,-1,3.105163e-18,8.0734238e-09
4,2014.0,4,-1,6.684371e-18,1.73793646e-08
5,2014.0,4,-1,1.305287e-17,3.3937462e-08
6,2014.0,4,-1,2.397361e-17,6.2331386e-08
7,2014.0,4,-1,4.224974e-17,1.09849324e-07
8,2014.0,4,-1,7.232177e-17,1.88036602e-07
9,2014.0,4,-1,1.212037e-16,3.1512962e-07
10,2014.0,4,-1,1.9995e-16,5.1987e-07
11,2014.0,4,-1,3.259512e-16,8.474731199999999e-07
12,2014.0,4,-1,5.26528e-16,1.3689728e-06
13,2014.0,4,-1,8.445543e-16,2.19584118e-06
14,2014.0,4,-1,1.347252e-15,3.5028552e-06
15,2014.0,4,-1,2.139943e-15,5.5638518e-06
16,2014.0,4,-1,3.387555e-15,8.807643e-06
17,2014.0,4,-1,5.348238e-15,1.39054188e-05
18,2014.0,4,-1,8.425916e-15,2.19073816e-05
19,2014.0,4,-1,1.325242e-14,3.4456292e-05
20,2014.0,4,-1,2.081588e-14,5.4121288e-05
21,2014.0,4,-1,3.266131e-14,8.4919406e-05
22,2014.0,4,-1,5.120421e-14,0.000133130946
23,2014.0,4,-1,8.022042e-14,0.000208573092
24,2014.0,4,-1,1.256129e-13,0.00032659354
25,2014.0,4,-1,1.966069e-13,0.0005111779400000001
26,2014.0,4,-1,3.076209e-13,0.0007998143400000001
27,2014.0,4,-1,4.811887e-13,0.0012510906200000002
28,2014.0,4,-1,7.52525e-13,0.001956565
29,2014.0,4,-1,1.176662e-12,0.0030593212000000003
30,2014.0,4,-1,1.8396e-12,0.00478296
31,2014.0,4,-1,2.875731e-12,0.0074769006
32,2014.0,4,-1,4.495071e-12,0.0116871846
33,2014.0,4,-1,7.025816e-12,0.0182671216
34,2014.0,4,-1,1.098085e-11,0.02855021
35,2014.0,4,-1,1.716169e-11,0.044620393999999994
36,2014.0,4,-1,2.682097e-11,0.069734522
37,2014.0,4,-1,4.191638e-11,0.108982588
38,2014.0,4,-1,6.550773e-11,0.170320098
39,2014.0,4,-1,1.023777e-10,0.26618202
40,2014.0,4,-1,1.600025e-10,0.41600650000000006
41,2014.0,4,-1,2.500706e-10,0.65018356
42,2014.0,4,-1,3.908578e-10,1.01623028
43,2014.0,4,-1,6.109454e-10,1.5884580400000001
44,2014.0,4,-1,9.550426e-10,2.48311076
45,2014.0,4,-1,1.493106e-09,3.8820756
46,2014.0,4,-1,2.33464e-09,6.070064
47,2014.0,4,-1,3.65113e-09,9.492938
48,2014.001,4,-1,5.711298e-09,14.8493748
49,2014.001,4,-1,8.936545e-09,23.235017
50,2014.001,4,-1,1.398835e-08,36.36971
51,2014.001,4,-1,2.190632e-08,56.956432
52,2014.001,4,-1,3.43269e-08,89.24994000000001
53,2014.002,4,-1,5.383099e-08,139.96057399999998
54,2014.002,4,-1,8.449917e-08,219.697842
55,2014.003,4,-1,1.328027e-07,345.28702
56,2014.004,4,-1,2.090426e-07,543.51076
57,2014.005,4,-1,3.296898e-07,857.19348
58,2014.006,4,-1,5.212224e-07,1355.1782400000002
