sp,start,end,dt,sum for sp,sum/dt
1,2014.0,2014.08492960426,0.08492960425996898,571661.8689072513,18428.496298773378
2,2014.08493150685,2014.16164193303,0.07671042618017054,1842074.483658798,65744.97530747505
3,2014.16164383562,2014.24645928463,0.08481544900996596,3476358.9357932205,112217.19816158529
4,2014.24646118721,2014.32865106545,0.08218987824011492,2917711.888601381,97192.74394706551
5,2014.32865296804,2014.4135825723,0.08492960425996898,3299483.051397762,106364.46911664544
6,2014.41358447489,2014.49577435312,0.0821898782298831,5416466.053501488,180429.4661025737
7,2014.49577625571,2014.58070585997,0.08492960425996898,8393089.405460032,270565.565864056
8,2014.58070776256,2014.66563736682,0.08492960425996898,18005460.736872733,580436.7661978926
9,2014.66563926941,2014.74782914764,0.08218987823011048,34870725.26774363,1161588.807260006
10,2014.74783105023,2014.83276065449,0.08492960425996898,47995083.650727876,1547203.4598135115
11,2014.83276255708,2014.91506659056,0.08230403347988613,44153340.266480654,1468764.6800765616
12,2014.91506849315,2014.99999809741,0.08492960425996898,29972242.959580168,966206.4211180997
13,2015.0,2015.08492960426,0.08492960425996898,22647337.03117059,730075.5732646462
14,2015.08493150685,2015.16164193303,0.07671042618017054,14107186.98693349,503495.74262148526
15,2015.16164383562,2015.24645928463,0.08481544900996596,13450002.257721309,434167.3562784998
16,2015.24646118721,2015.32865106545,0.08218987824011492,18252478.688364144,608013.5925990369
17,2015.32865296804,2015.4135825723,0.08492960425996898,26192053.522225585,844345.5609769213
18,2015.41358447489,2015.49577435312,0.0821898782298831,30548947.140538756,1017624.8070455372
19,2015.49577625571,2015.58070585997,0.08492960425996898,39325035.478336506,1267709.6552669222
20,2015.58070776256,2015.66563736682,0.08492960425996898,47966736.66509042,1546289.6463368495
21,2015.66563926941,2015.74782914764,0.08218987823011048,56175494.779220834,1871278.1416736534
22,2015.74783105023,2015.83276065449,0.08492960425996898,61720219.19842801,1989656.6360668885
23,2015.83276255708,2015.91506659056,0.08230403347988613,45211934.324001655,1503978.9028928168
24,2015.91506849315,2015.99999809741,0.08492960425996898,35100744.79041186,1131532.4331335488
25,2016.0,2016.08469755616,0.08469755616010843,32498578.73108167,1050517.4339548808
26,2016.08469945355,2016.16393252884,0.07923307528994883,25924533.382452015,895806.503375524
27,2016.16393442623,2016.24851813904,0.0845837128099447,24456364.514562108,791616.6672304206
28,2016.24852003643,2016.33048535216,0.08196531573003085,17629916.062505055,588884.2022860366
29,2016.33048724954,2016.41518480571,0.0846975561698855,12511034.225301126,404419.51870337717
30,2016.4151867031,2016.49715201882,0.08196531572002641,12732136.764041565,425285.87067697727
31,2016.49715391621,2016.58185147237,0.08469755616010843,14140862.830002261,457103.77235280076
32,2016.58185336976,2016.66655092593,0.08469755617011288,23866039.287831854,771470.3635448354
33,2016.66655282332,2016.74851813904,0.08196531572002641,39816885.91584293,1329985.6346335625
34,2016.74852003643,2016.83321759259,0.08469755616010843,53262079.601597235,1721698.1595769685
35,2016.83321948998,2016.91529864906,0.08207915908019459,44081898.90027553,1470405.6785532914
36,2016.91530054645,2016.99999810261,0.08469755616010843,27970246.837826785,904138.9833782566
37,2017.0,2017.08492960426,0.08492960425996898,15633688.2422162,503978.630687018
38,2017.08493150685,2017.16164193303,0.07671042618017054,12477063.658972926,445315.4578959532
39,2017.16164383562,2017.24645928463,0.08481544900996596,12587056.965031093,406311.3998882172
40,2017.24646118721,2017.32865106545,0.08218987824011492,12431479.487071602,414108.60592178884
41,2017.32865296804,2017.4135825723,0.08492960425996898,12732683.43793912,410459.78815771564
42,2017.41358447489,2017.49577435312,0.0821898782298831,14539875.778508997,484342.0041778355
43,2017.49577625571,2017.58070585997,0.08492960425996898,30437204.93606793,981195.2642241725
44,2017.58070776256,2017.66563736682,0.08492960425996898,46393610.639601626,1495577.2432275775
45,2017.66563926941,2017.74782914764,0.08218987823011048,55805051.37392235,1858938.1943392043
46,2017.74783105023,2017.83276065449,0.08492960425996898,73660036.31945297,2374557.024898907
47,2017.83276255708,2017.91506659056,0.08230403347988613,75967491.17853813,2527065.15981918
48,2017.91506849315,2017.99999809741,0.08492960425996898,49010531.46211683,1579938.1536099506
49,2018.0,2018.08492960426,0.08492960425996898,26871899.60519312,866261.5601105551
50,2018.08493150685,2018.16164193303,0.07671042618017054,13273674.688896932,473747.0837377001
51,2018.16164383562,2018.24645928463,0.08481544900996596,16698810.57845294,539039.1988730166
52,2018.24646118721,2018.32865106545,0.08218987824011492,17615312.558976274,586788.7675204292
53,2018.32865296804,2018.4135825723,0.08492960425996898,11600752.158961704,373970.0509202552
54,2018.41358447489,2018.49577435312,0.0821898782298831,15064796.581852214,501827.79276357294
55,2018.49577625571,2018.58070585997,0.08492960425996898,27615223.067977276,890223.8609526491
56,2018.58070776256,2018.66563736682,0.08492960425996898,42869587.51859033,1381974.3416268677
57,2018.66563926941,2018.74782914764,0.08218987823011048,57952693.76622658,1930478.9307518578
58,2018.74783105023,2018.83276065449,0.08492960425996898,66152150.66005447,2132527.513029738
59,2018.83276255708,2018.91506659056,0.08230403347988613,55443071.491860524,1844318.5650446655
60,2018.91506849315,2018.99999809741,0.08492960425996898,35123560.40046665,1132267.9332750095
61,2019.0,2019.08492960426,0.08492960425996898,30467694.03684456,982178.1324394149
62,2019.08493150685,2019.16164193303,0.07671042618017054,23640726.739280302,843754.6958674659
63,2019.16164383562,2019.24645928463,0.08481544900996596,25714815.25006162,830076.6899797377
64,2019.24646118721,2019.32865106545,0.08218987824011492,23923027.751448292,796906.8912419674
65,2019.32865296804,2019.4135825723,0.08492960425996898,20142827.261916615,649338.4250949351
66,2019.41358447489,2019.49577435312,0.0821898782298831,17634778.110279944,587437.1901986278
67,2019.49577625571,2019.58070585997,0.08492960425996898,20128010.370749176,648860.7773124087
68,2019.58070776256,2019.66563736682,0.08492960425996898,21972096.303797983,708308.0356309859
69,2019.66563926941,2019.74782914764,0.08218987823011048,25057582.452170767,834700.3708684172
70,2019.74783105023,2019.83276065449,0.08492960425996898,26336968.30067819,849017.1362622492
71,2019.83276255708,2019.91506659056,0.08230403347988613,23769169.63850649,790683.4823613492
72,2019.91506849315,2019.99999809741,0.08492960425996898,19310933.62226123,622520.9133923142
73,2020.0,2020.08469755616,0.08469755616010843,20795428.746991705,672212.7950902601
74,2020.08469945355,2020.16393252884,0.07923307528994883,18436883.8539403,637075.3222319636
75,2020.16393442623,2020.24851813904,0.0845837128099447,20349796.760693178,658693.0891107868
76,2020.24852003643,2020.33048535216,0.08196531573003085,20084007.81750184,670857.1317290525
77,2020.33048724954,2020.41518480571,0.0846975561698855,19351442.887929182,625535.9131801788
78,2020.4151867031,2020.49715201882,0.08196531572002641,22553583.13500858,753347.2517784213
79,2020.49715391621,2020.58185147237,0.08469755616010843,12125041.495116094,391942.2933367726
80,2020.58185336976,2020.66655092593,0.08469755617011288,19694350.48854666,636620.4106152204
81,2020.66655282332,2020.74851813904,0.08196531572002641,43979570.31957856,1469029.9202711466
82,2020.74852003643,2020.83321759259,0.08469755616010843,42086092.59034805,1360434.0780267844
83,2020.83321948998,2020.91529864906,0.08207915908019459,29603769.205139924,987469.9464352414
84,2020.91530054645,2020.99999810261,0.08469755616010843,24024309.819773473,776586.462849462
