Row (after comments),Time,Column,Node,Value,scaled Value
0,2014.0,4,-1,0.0,0.0
1,2014.0,4,-1,3.08598e-19,6.4188384e-10
2,2014.0,4,-1,1.17653e-18,2.4471824e-09
3,2014.0,4,-1,3.014857e-18,6.27090256e-09
4,2014.0,4,-1,6.489975e-18,1.3499148e-08
5,2014.0,4,-1,1.267326e-17,2.6360380799999998e-08
6,2014.0,4,-1,2.32764e-17,4.8414912e-08
7,2014.0,4,-1,4.102102e-17,8.53237216e-08
8,2014.0,4,-1,7.02185e-17,1.4605447999999999e-07
9,2014.0,4,-1,1.176789e-16,2.4477211199999997e-07
10,2014.0,4,-1,1.941351e-16,4.03801008e-07
11,2014.0,4,-1,3.164718e-16,6.582613440000001e-07
12,2014.0,4,-1,5.112155e-16,1.06332824e-06
13,2014.0,4,-1,8.199931e-16,1.7055856479999998e-06
14,2014.0,4,-1,1.308071e-15,2.72078768e-06
15,2014.0,4,-1,2.077709e-15,4.32163472e-06
16,2014.0,4,-1,3.28904e-15,6.8412031999999996e-06
17,2014.0,4,-1,5.192705e-15,1.0800826400000001e-05
18,2014.0,4,-1,8.180885e-15,1.70162408e-05
19,2014.0,4,-1,1.286704e-14,2.67634432e-05
20,2014.0,4,-1,2.021056e-14,4.20379648e-05
21,2014.0,4,-1,3.171155e-14,6.596002400000001e-05
22,2014.0,4,-1,4.971526e-14,0.0001034077408
23,2014.0,4,-1,7.788781e-14,0.0001620066448
24,2014.0,4,-1,1.219595e-13,0.00025367576
25,2014.0,4,-1,1.908883e-13,0.00039704766400000004
26,2014.0,4,-1,2.986734e-13,0.000621240672
27,2014.0,4,-1,4.671934e-13,0.000971762272
28,2014.0,4,-1,7.306395e-13,0.00151973016
29,2014.0,4,-1,1.142444e-12,0.00237628352
30,2014.0,4,-1,1.78611e-12,0.0037151088
31,2014.0,4,-1,2.792125e-12,0.00580762
32,2014.0,4,-1,4.364406e-12,0.009077964479999999
33,2014.0,4,-1,6.821624e-12,0.01418897792
34,2014.0,4,-1,1.066178e-11,0.0221765024
35,2014.0,4,-1,1.666316e-11,0.0346593728
36,2014.0,4,-1,2.604208e-11,0.0541675264
37,2014.0,4,-1,4.069956e-11,0.08465508479999999
38,2014.0,4,-1,6.360691e-11,0.1323023728
39,2014.0,4,-1,9.940867e-11,0.2067700336
40,2014.0,4,-1,1.553655e-10,0.32316024
41,2014.0,4,-1,2.428291e-10,0.505084528
42,2014.0,4,-1,3.795503e-10,0.789464624
43,2014.0,4,-1,5.932912e-10,1.234045696
44,2014.0,4,-1,9.274829e-10,1.9291644319999999
45,2014.0,4,-1,1.450088e-09,3.01618304
46,2014.0,4,-1,2.267502e-09,4.716404160000001
47,2014.0,4,-1,3.546361e-09,7.37643088
48,2014.001,4,-1,5.547813e-09,11.539451040000001
49,2014.001,4,-1,8.681438e-09,18.057391040000002
50,2014.001,4,-1,1.359023e-08,28.2676784
51,2014.001,4,-1,2.128479e-08,44.2723632
52,2014.001,4,-1,3.335597e-08,69.3804176
53,2014.002,4,-1,5.231262e-08,108.81024959999999
54,2014.002,4,-1,8.212047e-08,170.8105776
55,2014.003,4,-1,1.290659e-07,268.45707200000004
56,2014.004,4,-1,2.031483e-07,422.54846399999997
57,2014.005,4,-1,3.203386e-07,666.304288
58,2014.006,4,-1,5.062682e-07,1053.037856
59,2014.007,4,-1,8.023039e-07,1668.792112
60,2014.009,4,-1,1.275627e-06,2653.30416
61,2014.011,4,-1,2.036102e-06,4235.09216
62,2014.014,4,-1,3.239638e-06,6738.44704
63,2014.017,4,-1,4.774552e-06,9931.06816
64,2014.019,4,-1,6.656979e-06,13846.51632
65,2014.022,4,-1,8.902656e-06,18517.52448
66,2014.025,4,-1,1.152692e-05,23975.993599999998
67,2014.028,4,-1,1.454472e-05,30253.0176
68,2014.03,4,-1,1.797061e-05,37378.868800000004
69,2014.033,4,-1,2.181879e-05,45383.0832
70,2014.036,4,-1,2.610326e-05,54294.7808
71,2014.039,4,-1,3.083734e-05,64141.667199999996
72,2014.041,4,-1,3.603405e-05,74950.824
73,2014.044,4,-1,4.170598e-05,86748.4384
74,2014.047,4,-1,4.786537e-05,99559.96960000001
75,2014.049,4,-1,5.45241e-05,113410.128
76,2014.052,4,-1,6.169369e-05,128322.87520000001
77,2014.055,4,-1,6.938529e-05,144321.4032
78,2014.058,4,-1,7.760976e-05,161428.3008
79,2014.06,4,-1,8.637756e-05,179665.3248
80,2014.063,4,-1,9.569886e-05,199053.6288
81,2014.066,4,-1,0.0001055835,219613.68
82,2014.069,4,-1,0.000116041,241365.28
83,2014.071,4,-1,0.0001270806,264327.648
84,2014.074,4,-1,0.0001387112,288519.29600000003
85,2014.077,4,-1,0.0001509413,313957.904
86,2014.08,4,-1,0.0001637794,340661.152
87,2014.082,4,-1,0.0001772335,368645.68
88,2014.085,4,-1,0.0001904853,396209.424
89,2014.088,4,-1,0.0002062765,429055.12
90,2014.09,4,-1,0.0002236541,465200.528
91,2014.093,4,-1,0.0002425414,504486.112
92,2014.096,4,-1,0.0002628788,546787.904
93,2014.099,4,-1,0.0002846134,591995.872
94,2014.101,4,-1,0.0003077022,640020.576
95,2014.104,4,-1,0.0003321555,690883.4400000001
96,2014.107,4,-1,0.0003579234,744480.672
97,2014.11,4,-1,0.0003849583,800713.2640000001
98,2014.112,4,-1,0.0004132147,859486.576
99,2014.115,4,-1,0.0004426486,920709.088
100,2014.118,4,-1,0.0004732179,984293.232
101,2014.121,4,-1,0.0005048817,1050153.936
102,2014.123,4,-1,0.0005376011,1118210.288
103,2014.126,4,-1,0.0005713385,1188384.0799999998
104,2014.129,4,-1,0.0006060576,1260599.808
105,2014.131,4,-1,0.0006417235,1334784.8800000001
106,2014.134,4,-1,0.0006783025,1410869.2000000002
