TITLE = ""
VARIABLES ="simulation time, " "Aqueous Volumetric Flux Rate (1)" "Aqueous Volumetric Flux Integral (1)" "Conservation Component Species Flux (total_cr6) Rate (2)" "Conservation Component Species Flux (total_cr6) Integral (2)"
ZONE T="Reference Node Variables" F=POINT
2.014000E+03 -1.165330E+03 -3.190498E-06 0.000000E+00 0.000000E+00
2.014000E+03 -1.165330E+03 -7.178621E-06 5.651490E-12 3.085980E-19
2.014000E+03 -1.165330E+03 -1.216378E-05 1.271585E-11 1.176530E-18
2.014000E+03 -1.165330E+03 -1.839522E-05 2.154630E-11 3.014857E-18
2.014000E+03 -1.165330E+03 -2.618452E-05 3.258436E-11 6.489975E-18
2.014000E+03 -1.165330E+03 -3.592115E-05 4.638192E-11 1.267326E-17
2.014000E+03 -1.165330E+03 -4.809193E-05 6.362887E-11 2.327640E-17
2.014000E+03 -1.165330E+03 -6.330542E-05 8.518754E-11 4.102102E-17
2.014000E+03 -1.165330E+03 -8.232227E-05 1.121359E-10 7.021850E-17
2.014000E+03 -1.165330E+03 -1.060933E-04 1.458212E-10 1.176789E-16
2.014000E+03 -1.165330E+03 -1.358072E-04 1.879279E-10 1.941351E-16
2.014000E+03 -1.165330E+03 -1.729495E-04 2.405611E-10 3.164718E-16
2.014000E+03 -1.165330E+03 -2.193773E-04 3.063525E-10 5.112155E-16
2.014000E+03 -1.165330E+03 -2.774121E-04 3.885916E-10 8.199931E-16
2.014000E+03 -1.165330E+03 -3.499557E-04 4.913902E-10 1.308071E-15
2.014000E+03 -1.165330E+03 -4.406351E-04 6.198879E-10 2.077709E-15
2.014000E+03 -1.165330E+03 -5.539844E-04 7.805093E-10 3.289040E-15
2.014000E+03 -1.165330E+03 -6.956710E-04 9.812848E-10 5.192705E-15
2.014000E+03 -1.165330E+03 -8.727792E-04 1.232252E-09 8.180885E-15
2.014000E+03 -1.165330E+03 -1.094164E-03 1.545959E-09 1.286704E-14
2.014000E+03 -1.165330E+03 -1.370896E-03 1.938088E-09 2.021056E-14
2.014000E+03 -1.165330E+03 -1.716811E-03 2.428242E-09 3.171155E-14
2.014000E+03 -1.165330E+03 -2.149204E-03 3.040924E-09 4.971526E-14
2.014000E+03 -1.165330E+03 -2.689695E-03 3.806759E-09 7.788781E-14
2.014000E+03 -1.165330E+03 -3.365310E-03 4.764026E-09 1.219595E-13
2.014000E+03 -1.165330E+03 -4.209828E-03 5.960568E-09 1.908883E-13
2.014000E+03 -1.165330E+03 -5.265475E-03 7.456181E-09 2.986734E-13
2.014000E+03 -1.165330E+03 -6.585034E-03 9.325596E-09 4.671934E-13
2.014000E+03 -1.165330E+03 -8.234484E-03 1.166221E-08 7.306395E-13
2.014000E+03 -1.165330E+03 -1.029630E-02 1.458272E-08 1.142444E-12
2.014000E+03 -1.165330E+03 -1.287356E-02 1.823298E-08 1.786110E-12
2.014000E+03 -1.165330E+03 -1.609514E-02 2.279519E-08 2.792125E-12
2.014000E+03 -1.165330E+03 -2.012212E-02 2.849702E-08 4.364406E-12
2.014000E+03 -1.165331E+03 -2.515584E-02 3.562283E-08 6.821624E-12
