sp,start,end,dt,sum for sp,sum/dt
1,2014.0,2014.08492960426,0.08492960425996898,13831.817922057699,445.8922647214441
2,2014.08493150685,2014.16164193303,0.07671042618017054,50330.13180220092,1796.3189338496757
3,2014.16164383562,2014.24645928463,0.08481544900996596,59996.545068158804,1936.6941996706773
4,2014.24646118721,2014.32865106545,0.08218987824011492,56271.24437590702,1874.4676839329559
5,2014.32865296804,2014.4135825723,0.08492960425996898,55751.43211923152,1797.2425945157192
6,2014.41358447489,2014.49577435312,0.0821898782298831,58509.35846338126,1949.0221493638837
7,2014.49577625571,2014.58070585997,0.08492960425996898,104967.52291751916,3383.807304262855
8,2014.58070776256,2014.66563736682,0.08492960425996898,242860.36414537195,7829.018455134836
9,2014.66563926941,2014.74782914764,0.08218987823011048,423065.6497952872,14092.862129052748
10,2014.74783105023,2014.83276065449,0.08492960425996898,439802.67952379986,14177.790215897592
11,2014.83276255708,2014.91506659056,0.08230403347988613,314717.7248569826,10469.112317984856
12,2014.91506849315,2014.99999809741,0.08492960425996898,187446.83481815038,6042.668733995128
13,2015.0,2015.08492960426,0.08492960425996898,127446.57612220297,4108.457961082605
14,2015.08493150685,2015.16164193303,0.07671042618017054,53766.15064282931,1918.95294014916
15,2015.16164383562,2015.24645928463,0.08481544900996596,46948.105472843345,1515.4893244517489
16,2015.24646118721,2015.32865106545,0.08218987824011492,109862.1760087521,3659.6506954648435
17,2015.32865296804,2015.4135825723,0.08492960425996898,152557.4220308312,4917.948948772223
18,2015.41358447489,2015.49577435312,0.0821898782298831,179140.7137328939,5967.40808800329
19,2015.49577625571,2015.58070585997,0.08492960425996898,189848.2777722432,6120.083347420035
20,2015.58070776256,2015.66563736682,0.08492960425996898,381262.05963091634,12290.633391731428
21,2015.66563926941,2015.74782914764,0.08218987823011048,284669.97191202204,9482.72370583308
22,2015.74783105023,2015.83276065449,0.08492960425996898,188420.4932603335,6074.056276131425
23,2015.83276255708,2015.91506659056,0.08230403347988613,137873.43752543582,4586.371815493984
24,2015.91506849315,2015.99999809741,0.08492960425996898,112714.98587549223,3633.5599993635574
25,2016.0,2016.08469755616,0.08469755616010843,115666.36984960717,3738.91852486071
