Row (after comments),Time,Column,Node,Value,scaled Value
0,2014.0,4,-1,0.0,0.0
1,2014.0,4,-1,0.0,0.0
2,2014.0,4,-1,0.0,0.0
3,2014.0,4,-1,0.0,0.0
4,2014.0,4,-1,0.0,0.0
5,2014.0,4,-1,0.0,0.0
6,2014.0,4,-1,0.0,0.0
7,2014.0,4,-1,0.0,0.0
8,2014.0,4,-1,0.0,0.0
9,2014.0,4,-1,0.0,0.0
10,2014.0,4,-1,0.0,0.0
11,2014.0,4,-1,0.0,0.0
12,2014.0,4,-1,0.0,0.0
13,2014.0,4,-1,0.0,0.0
14,2014.0,4,-1,0.0,0.0
15,2014.0,4,-1,0.0,0.0
16,2014.0,4,-1,0.0,0.0
17,2014.0,4,-1,0.0,0.0
18,2014.0,4,-1,0.0,0.0
19,2014.0,4,-1,0.0,0.0
20,2014.0,4,-1,0.0,0.0
21,2014.0,4,-1,0.0,0.0
22,2014.0,4,-1,0.0,0.0
23,2014.0,4,-1,0.0,0.0
24,2014.0,4,-1,0.0,0.0
25,2014.0,4,-1,0.0,0.0
26,2014.0,4,-1,0.0,0.0
27,2014.0,4,-1,0.0,0.0
28,2014.0,4,-1,0.0,0.0
29,2014.0,4,-1,0.0,0.0
30,2014.0,4,-1,0.0,0.0
31,2014.0,4,-1,0.0,0.0
32,2014.0,4,-1,0.0,0.0
33,2014.0,4,-1,0.0,0.0
34,2014.0,4,-1,0.0,0.0
35,2014.0,4,-1,0.0,0.0
36,2014.0,4,-1,0.0,0.0
37,2014.0,4,-1,0.0,0.0
38,2014.0,4,-1,0.0,0.0
39,2014.0,4,-1,0.0,0.0
40,2014.0,4,-1,0.0,0.0
41,2014.0,4,-1,0.0,0.0
42,2014.0,4,-1,0.0,0.0
43,2014.0,4,-1,0.0,0.0
44,2014.0,4,-1,0.0,0.0
45,2014.0,4,-1,0.0,0.0
46,2014.0,4,-1,0.0,0.0
47,2014.0,4,-1,0.0,0.0
48,2014.001,4,-1,0.0,0.0
49,2014.001,4,-1,2.18576e-09,0.7001426432000001
50,2014.001,4,-1,8.256697e-09,2.64478518304
51,2014.001,4,-1,2.089537e-08,6.6932049184
52,2014.001,4,-1,5.272609e-08,16.8892211488
53,2014.002,4,-1,1.183251e-07,37.901896032
54,2014.002,4,-1,2.415389e-07,77.369740448
55,2014.003,4,-1,4.589936e-07,147.024829952
56,2014.004,4,-1,8.28762e-07,265.46904384
57,2014.005,4,-1,1.442653e-06,462.11060896
58,2014.006,4,-1,2.445444e-06,783.3246220799999
59,2014.007,4,-1,4.068082e-06,1303.08802624
60,2014.009,4,-1,6.67299e-06,2137.4921568
61,2014.011,4,-1,1.082602e-05,3467.7907264
62,2014.014,4,-1,1.728407e-05,5536.4333024
63,2014.017,4,-1,2.540348e-05,8137.2427136
64,2014.019,4,-1,3.517908e-05,11268.5629056
65,2014.022,4,-1,4.660391e-05,14928.164451199998
