Row (after comments),Time,Column,Node,Value,scaled Value
0,2014.0,4,-1,0.0,0.0
1,2014.0,4,-1,4.575637e-19,1.1896656200000001e-11
2,2014.0,4,-1,1.744462e-18,4.5356012e-11
3,2014.0,4,-1,4.470183e-18,1.1622475800000001e-10
4,2014.0,4,-1,9.622802e-18,2.50192852e-10
5,2014.0,4,-1,1.879087e-17,4.8856262e-10
6,2014.0,4,-1,3.451235e-17,8.973211e-10
7,2014.0,4,-1,6.082262e-17,1.5813881200000002e-09
8,2014.0,4,-1,1.041142e-16,2.7069692e-09
9,2014.0,4,-1,1.744847e-16,4.5366022e-09
10,2014.0,4,-1,2.878477e-16,7.4840402e-09
11,2014.0,4,-1,4.692387e-16,1.2200206200000001e-08
12,2014.0,4,-1,7.579889e-16,1.97077114e-08
13,2014.0,4,-1,1.21582e-15,3.161132e-08
14,2014.0,4,-1,1.939503e-15,5.0427078e-08
15,2014.0,4,-1,3.080662e-15,8.0097212e-08
16,2014.0,4,-1,4.876727e-15,1.2679490199999998e-07
17,2014.0,4,-1,7.699335e-15,2.0018271e-07
18,2014.0,4,-1,1.212998e-14,3.1537948e-07
19,2014.0,4,-1,1.907826e-14,4.9603476e-07
20,2014.0,4,-1,2.996669e-14,7.7913394e-07
21,2014.0,4,-1,4.701956e-14,1.22250856e-06
22,2014.0,4,-1,7.371426e-14,1.91657076e-06
23,2014.0,4,-1,1.154867e-13,3.0026542000000004e-06
24,2014.0,4,-1,1.808337e-13,4.7016761999999994e-06
25,2014.0,4,-1,2.830645e-13,7.359677e-06
26,2014.0,4,-1,4.429694e-13,1.15172044e-05
27,2014.0,4,-1,6.930546e-13,1.80194196e-05
28,2014.0,4,-1,1.084149e-12,2.8187874e-05
29,2014.0,4,-1,1.695739e-12,4.4089214e-05
30,2014.0,4,-1,2.652149e-12,6.8955874e-05
31,2014.0,4,-1,4.147862e-12,0.000107844412
32,2014.0,4,-1,6.487206e-12,0.00016866735600000002
33,2014.0,4,-1,1.014654e-11,0.00026381004
34,2014.0,4,-1,1.58718e-11,0.0004126668
35,2014.0,4,-1,2.483172e-11,0.00064562472
36,2014.0,4,-1,3.885856e-11,0.0010103225599999998
37,2014.0,4,-1,6.082725e-11,0.0015815085
38,2014.0,4,-1,9.525322e-11,0.0024765837200000002
39,2014.0,4,-1,1.492373e-10,0.0038801698000000004
40,2014.0,4,-1,2.339629e-10,0.0060830354
41,2014.0,4,-1,3.670766e-10,0.0095439916
