TITLE = ""
VARIABLES ="simulation time, " "Aqueous Volumetric Flux Rate (1)" "Aqueous Volumetric Flux Integral (1)" "Conservation Component Species Flux (total_cr6) Rate (2)" "Conservation Component Species Flux (total_cr6) Integral (2)"
ZONE T="Reference Node Variables" F=POINT
2.014000E+03 8.615849E+03 2.358891E-05 0.000000E+00 0.000000E+00
2.014000E+03 8.615849E+03 5.307504E-05 1.300632E-10 4.575637E-19
2.014000E+03 8.615849E+03 8.993271E-05 2.926422E-10 1.744462E-18
2.014000E+03 8.615849E+03 1.360048E-04 4.958660E-10 4.470183E-18
2.014000E+03 8.615849E+03 1.935949E-04 7.498956E-10 9.622802E-18
2.014000E+03 8.615849E+03 2.655825E-04 1.067433E-09 1.879087E-17
2.014000E+03 8.615849E+03 3.555671E-04 1.464354E-09 3.451235E-17
2.014000E+03 8.615849E+03 4.680478E-04 1.960506E-09 6.082262E-17
2.014000E+03 8.615849E+03 6.086486E-04 2.580695E-09 1.041142E-16
2.014000E+03 8.615849E+03 7.843997E-04 3.355933E-09 1.744847E-16
2.014000E+03 8.615849E+03 1.004088E-03 4.324979E-09 2.878477E-16
2.014000E+03 8.615849E+03 1.278700E-03 5.536287E-09 4.692387E-16
2.014000E+03 8.615849E+03 1.621963E-03 7.050421E-09 7.579889E-16
2.014000E+03 8.615849E+03 2.051043E-03 8.943090E-09 1.215820E-15
2.014000E+03 8.615849E+03 2.587393E-03 1.130893E-08 1.939503E-15
2.014000E+03 8.615849E+03 3.257830E-03 1.426622E-08 3.080662E-15
2.014000E+03 8.615849E+03 4.095876E-03 1.796284E-08 4.876727E-15
2.014000E+03 8.615849E+03 5.143434E-03 2.258361E-08 7.699335E-15
2.014000E+03 8.615849E+03 6.452882E-03 2.835957E-08 1.212998E-14
2.014000E+03 8.615849E+03 8.089691E-03 3.557952E-08 1.907826E-14
2.014000E+03 8.615849E+03 1.013570E-02 4.460447E-08 2.996669E-14
2.014000E+03 8.615849E+03 1.269322E-02 5.588564E-08 4.701956E-14
2.014000E+03 8.615849E+03 1.589011E-02 6.998710E-08 7.371426E-14
2.014000E+03 8.615849E+03 1.988623E-02 8.761392E-08 1.154867E-13
2.014000E+03 8.615849E+03 2.488137E-02 1.096474E-07 1.808337E-13
2.014000E+03 8.615849E+03 3.112531E-02 1.372299E-07 2.830645E-13
2.014000E+03 8.615850E+03 3.893022E-02 1.717206E-07 4.429694E-13
2.014000E+03 8.615850E+03 4.868637E-02 2.148537E-07 6.930546E-13
2.014000E+03 8.615850E+03 6.088155E-02 2.688012E-07 1.084149E-12
2.014000E+03 8.615851E+03 7.612553E-02 3.362839E-07 1.695739E-12
2.014000E+03 8.615851E+03 9.518050E-02 4.207129E-07 2.652149E-12
2.014000E+03 8.615852E+03 1.189992E-01 5.263673E-07 4.147862E-12
2.014000E+03 8.615853E+03 1.487726E-01 6.586197E-07 6.487206E-12
2.014000E+03 8.615854E+03 1.859894E-01 8.242235E-07 1.014654E-11
2.014000E+03 8.615855E+03 2.325103E-01 1.031678E-06 1.587180E-11
2.014000E+03 8.615856E+03 2.906615E-01 1.291700E-06 2.483172E-11
2.014000E+03 8.615858E+03 3.633505E-01 1.617825E-06 3.885856E-11
2.014000E+03 8.615860E+03 4.542118E-01 2.027196E-06 6.082725E-11
2.014000E+03 8.615862E+03 5.677885E-01 2.541585E-06 9.525322E-11
2.014000E+03 8.615864E+03 7.097593E-01 3.188743E-06 1.492373E-10
