sp,start,end,dt,sum for sp,sum/dt
1,2014.0,2014.08492960426,0.08492960425996898,14548.974105475263,469.011018639763
2,2014.08493150685,2014.16164193303,0.07671042618017054,58325.4586790668,2081.6779531281295
3,2014.16164383562,2014.24645928463,0.08481544900996596,56827.76105422156,1834.405549335403
4,2014.24646118721,2014.32865106545,0.08218987824011492,99841.84713605809,3325.8606244870057
5,2014.32865296804,2014.4135825723,0.08492960425996898,143325.78598940666,4620.35140051137
6,2014.41358447489,2014.49577435312,0.0821898782298831,270761.42724687804,9019.41215485763
7,2014.49577625571,2014.58070585997,0.08492960425996898,697296.3646979429,22478.538756743677
8,2014.58070776256,2014.66563736682,0.08492960425996898,1056225.8098488816,34049.24219394988
9,2014.66563926941,2014.74782914764,0.08218987823011048,687234.8374908182,22892.67828699044
10,2014.74783105023,2014.83276065449,0.08492960425996898,242656.64746053555,7822.451300009233
11,2014.83276255708,2014.91506659056,0.08230403347988613,141877.68909803414,4719.573590138389
12,2014.91506849315,2014.99999809741,0.08492960425996898,61548.77493959551,1984.1298376897637
13,2015.0,2015.08492960426,0.08492960425996898,207050.37741009946,6674.622397074225
14,2015.08493150685,2015.16164193303,0.07671042618017054,293312.9950499027,10468.553681181815
15,2015.16164383562,2015.24645928463,0.08481544900996596,505487.2694211353,16317.17729051102
16,2015.24646118721,2015.32865106545,0.08218987824011492,596061.3474990773,19855.5718097276
17,2015.32865296804,2015.4135825723,0.08492960425996898,352147.27460205794,11352.06859088243
18,2015.41358447489,2015.49577435312,0.0821898782298831,358445.7361055826,11940.289508593065
19,2015.49577625571,2015.58070585997,0.08492960425996898,411071.1049780798,13251.578859198484
20,2015.58070776256,2015.66563736682,0.08492960425996898,262259.6515370008,8454.387603122343
21,2015.66563926941,2015.74782914764,0.08218987823011048,347650.69446379313,11580.692756593202
22,2015.74783105023,2015.83276065449,0.08492960425996898,215563.20526093926,6949.047936145379
23,2015.83276255708,2015.91506659056,0.08230403347988613,150157.52686569854,4995.003109094662
24,2015.91506849315,2015.99999809741,0.08492960425996898,126693.39271967736,4084.1778082498245
25,2016.0,2016.08469755616,0.08469755616010843,119698.71335106576,3869.2641372959256
26,2016.08469945355,2016.16393252884,0.07923307528994883,97726.92684748901,3376.8945937573726
27,2016.16393442623,2016.24851813904,0.0845837128099447,135984.72200075773,4401.626102702146
28,2016.24852003643,2016.33048535216,0.08196531573003085,91286.86553160002,3049.214346635438
29,2016.33048724954,2016.41518480571,0.0846975561698855,134597.10123142882,4350.854926829522
30,2016.4151867031,2016.49715201882,0.08196531572002641,254631.48763827202,8505.341713564943
31,2016.49715391621,2016.58185147237,0.08469755616010843,574926.3524911673,18584.50984979299
32,2016.58185336976,2016.66655092593,0.08469755617011288,609776.8103553972,19711.051837827796
33,2016.66655282332,2016.74851813904,0.08196531572002641,369948.8805062222,12357.23701903742
34,2016.74852003643,2016.83321759259,0.08469755616010843,232979.79011857146,7531.077998947379
35,2016.83321948998,2016.91529864906,0.08207915908019459,135174.63901551912,4508.915490561326
36,2016.91530054645,2016.99999810261,0.08469755616010843,73575.97035381828,2378.3452259993946
37,2017.0,2017.08492960426,0.08492960425996898,77171.92480909049,2487.768745940756
38,2017.08493150685,2017.16164193303,0.07671042618017054,152384.8503865484,5438.7259118847915
39,2017.16164383562,2017.24645928463,0.08481544900996596,145921.01327589317,4710.344232329358
40,2017.24646118721,2017.32865106545,0.08218987824011492,702195.2127571803,23391.027668286657
41,2017.32865296804,2017.4135825723,0.08492960425996898,914353.575987205,29475.748527814172
42,2017.41358447489,2017.49577435312,0.0821898782298831,587304.0363022345,19563.85448800074
43,2017.49577625571,2017.58070585997,0.08492960425996898,744088.5822176073,23986.96577326109
44,2017.58070776256,2017.66563736682,0.08492960425996898,1014382.8784116205,32700.363863836003
