TITLE = ""
VARIABLES ="simulation time, " "Aqueous Volumetric Flux Rate (1)" "Aqueous Volumetric Flux Integral (1)" "Conservation Component Species Flux (total_cr6) Rate (2)" "Conservation Component Species Flux (total_cr6) Integral (2)"
ZONE T="Reference Node Variables" F=POINT
2.014000E+03 4.605380E+03 1.260884E-05 0.000000E+00 0.000000E+00
2.014000E+03 4.605380E+03 2.836990E-05 2.258268E-10 7.855322E-19
2.014000E+03 4.605380E+03 4.807122E-05 5.081104E-10 2.994842E-18
2.014000E+03 4.605380E+03 7.269786E-05 8.609649E-10 7.674282E-18
2.014000E+03 4.605380E+03 1.034812E-04 1.302033E-09 1.652015E-17
2.014000E+03 4.605380E+03 1.419603E-04 1.853368E-09 3.225962E-17
2.014000E+03 4.605380E+03 1.900592E-04 2.542538E-09 5.924982E-17
2.014000E+03 4.605380E+03 2.501829E-04 3.404000E-09 1.044186E-16
2.014000E+03 4.605380E+03 3.253375E-04 4.480828E-09 1.787405E-16
2.014000E+03 4.605380E+03 4.192807E-04 5.826863E-09 2.995506E-16
2.014000E+03 4.605380E+03 5.367097E-04 7.509408E-09 4.941692E-16
2.014000E+03 4.605380E+03 6.834959E-04 9.612591E-09 8.055767E-16
2.014000E+03 4.605380E+03 8.669788E-04 1.224157E-08 1.301296E-15
2.014000E+03 4.605381E+03 1.096332E-03 1.552780E-08 2.087289E-15
2.014000E+03 4.605381E+03 1.383024E-03 1.963559E-08 3.329692E-15
2.014000E+03 4.605381E+03 1.741389E-03 2.477034E-08 5.288810E-15
2.014000E+03 4.605381E+03 2.189345E-03 3.118879E-08 8.372261E-15
2.014000E+03 4.605382E+03 2.749291E-03 3.921188E-08 1.321807E-14
2.014000E+03 4.605382E+03 3.449222E-03 4.924076E-08 2.082455E-14
2.014000E+03 4.605382E+03 4.324137E-03 6.177692E-08 3.275328E-14
2.014000E+03 4.605383E+03 5.417781E-03 7.744720E-08 5.144650E-14
2.014000E+03 4.605384E+03 6.784835E-03 9.703517E-08 8.072291E-14
2.014000E+03 4.605385E+03 8.493654E-03 1.215203E-07 1.265526E-13
