Row (after comments),Time,Column,Node,Value,scaled Value
0,2014.0,4,-1,0.0,0.0
1,2014.0,4,-1,7.855322e-19,2.04238372e-11
2,2014.0,4,-1,2.994842e-18,7.7865892e-11
3,2014.0,4,-1,7.674282e-18,1.99531332e-10
4,2014.0,4,-1,1.652015e-17,4.295239e-10
5,2014.0,4,-1,3.225962e-17,8.3875012e-10
6,2014.0,4,-1,5.924982e-17,1.5404953199999998e-09
7,2014.0,4,-1,1.044186e-16,2.7148836e-09
8,2014.0,4,-1,1.787405e-16,4.647253e-09
9,2014.0,4,-1,2.995506e-16,7.7883156e-09
10,2014.0,4,-1,4.941692e-16,1.2848399200000002e-08
11,2014.0,4,-1,8.055767e-16,2.0944994199999998e-08
12,2014.0,4,-1,1.301296e-15,3.3833696e-08
13,2014.0,4,-1,2.087289e-15,5.426951399999999e-08
14,2014.0,4,-1,3.329692e-15,8.6571992e-08
15,2014.0,4,-1,5.28881e-15,1.3750906e-07
16,2014.0,4,-1,8.372261e-15,2.17678786e-07
17,2014.0,4,-1,1.321807e-14,3.4366982e-07
18,2014.0,4,-1,2.082455e-14,5.414383e-07
19,2014.0,4,-1,3.275328e-14,8.515852800000001e-07
20,2014.0,4,-1,5.14465e-14,1.337609e-06
21,2014.0,4,-1,8.072291e-14,2.09879566e-06
22,2014.0,4,-1,1.265526e-13,3.2903676000000005e-06
23,2014.0,4,-1,1.982684e-13,5.1549784e-06
24,2014.0,4,-1,3.104581e-13,8.0719106e-06
25,2014.0,4,-1,4.859379e-13,1.2634385400000001e-05
26,2014.0,4,-1,7.603616e-13,1.97694016e-05
27,2014.0,4,-1,1.189458e-12,3.0925908e-05
28,2014.0,4,-1,1.860335e-12,4.8368710000000004e-05
29,2014.0,4,-1,2.90915e-12,7.56379e-05
30,2014.0,4,-1,4.548735e-12,0.00011826710999999999
31,2014.0,4,-1,7.111803e-12,0.000184906878
32,2014.0,4,-1,1.11185e-11,0.000289081
33,2014.0,4,-1,1.738207e-11,0.00045193381999999993
34,2014.0,4,-1,2.717424e-11,0.00070653024
35,2014.0,4,-1,4.248391e-11,0.00110458166
36,2014.0,4,-1,6.64224e-11,0.0017269824
37,2014.0,4,-1,1.03858e-10,0.002700308
38,2014.0,4,-1,1.624105e-10,0.004222673
39,2014.0,4,-1,2.540115e-10,0.006604299
40,2014.0,4,-1,3.973528e-10,0.0103311728
41,2014.0,4,-1,6.217354e-10,0.0161651204
42,2014.0,4,-1,9.731248e-10,0.025301244799999997
43,2014.0,4,-1,1.523698e-09,0.039616148
44,2014.0,4,-1,2.38692e-09,0.06205992
45,2014.0,4,-1,3.741419e-09,0.09727689399999999
46,2014.0,4,-1,5.868877e-09,0.152590802
47,2014.0,4,-1,9.214416e-09,0.23957481599999997
48,2014.001,4,-1,1.448314e-08,0.37656164
49,2014.001,4,-1,2.279521e-08,0.59267546
50,2014.001,4,-1,3.593611e-08,0.93433886
51,2014.001,4,-1,5.676272e-08,1.47583072
52,2014.001,4,-1,8.986578e-08,2.33651028
53,2014.002,4,-1,1.426565e-07,3.709069
54,2014.002,4,-1,2.271587e-07,5.9061262
55,2014.003,4,-1,3.629769e-07,9.4373994
56,2014.004,4,-1,5.822312e-07,15.1380112
57,2014.005,4,-1,9.377744e-07,24.3821344
58,2014.006,4,-1,1.516872e-06,39.438672
59,2014.007,4,-1,2.463908e-06,64.061608
60,2014.009,4,-1,4.017851e-06,104.46412600000001
61,2014.011,4,-1,6.573512e-06,170.911312
62,2014.014,4,-1,1.069207e-05,277.99382
63,2014.017,4,-1,1.598193e-05,415.53018
64,2014.019,4,-1,2.250086e-05,585.02236
65,2014.022,4,-1,3.029448e-05,787.65648
66,2014.025,4,-1,3.939854e-05,1024.36204
67,2014.028,4,-1,4.984078e-05,1295.8602799999999
68,2014.03,4,-1,6.164237e-05,1602.70162
69,2014.033,4,-1,7.48192e-05,1945.2992000000002
70,2014.036,4,-1,8.938281e-05,2323.95306
71,2014.039,4,-1,0.0001053412,2738.8712
72,2014.041,4,-1,0.0001226995,3190.187
73,2014.044,4,-1,0.0001414607,3677.9782000000005
74,2014.047,4,-1,0.0001616255,4202.263
75,2014.049,4,-1,0.0001831935,4763.031
76,2014.052,4,-1,0.0002061627,5360.2302
77,2014.055,4,-1,0.0002305302,5993.785199999999
78,2014.058,4,-1,0.0002562926,6663.6076
79,2014.06,4,-1,0.0002834453,7369.5778
80,2014.063,4,-1,0.0003119836,8111.5736
81,2014.066,4,-1,0.0003419023,8889.4598
82,2014.069,4,-1,0.0003731956,9703.0856
83,2014.071,4,-1,0.0004058577,10552.3002
84,2014.074,4,-1,0.0004398826,11436.9476
85,2014.077,4,-1,0.0004752641,12356.866600000001
86,2014.08,4,-1,0.0005119957,13311.888200000001
87,2014.082,4,-1,0.000550071,14301.846
88,2014.085,4,-1,0.0005871985,15267.161
89,2014.088,4,-1,0.0006351966,16515.1116
90,2014.09,4,-1,0.0006920891,17994.316600000002
91,2014.093,4,-1,0.0007575243,19695.6318
92,2014.096,4,-1,0.0008309799,21605.4774
93,2014.099,4,-1,0.0009118865,23709.049000000003
94,2014.101,4,-1,0.0009996807,25991.6982
95,2014.104,4,-1,0.00109383,28439.58
96,2014.107,4,-1,0.001193841,31039.865999999998
97,2014.11,4,-1,0.001299268,33780.968
98,2014.112,4,-1,0.001409708,36652.407999999996
99,2014.115,4,-1,0.0015248,39644.8
100,2014.118,4,-1,0.001644222,42749.772000000004
101,2014.121,4,-1,0.001767692,45959.992
102,2014.123,4,-1,0.001894953,49268.778
103,2014.126,4,-1,0.002025783,52670.35800000001
104,2014.129,4,-1,0.002159981,56159.506
105,2014.131,4,-1,0.00229737,59731.62
106,2014.134,4,-1,0.002437791,63382.566
107,2014.137,4,-1,0.002581104,67108.704
108,2014.14,4,-1,0.00272718,70906.68000000001
109,2014.142,4,-1,0.002875905,74773.53
110,2014.145,4,-1,0.003027177,78706.602
111,2014.148,4,-1,0.0031809,82703.4
112,2014.151,4,-1,0.00333699,86761.74
113,2014.153,4,-1,0.003495366,90879.516
114,2014.156,4,-1,0.003655958,95054.908
115,2014.159,4,-1,0.003818696,99286.09599999999
116,2014.162,4,-1,0.003983522,103571.572
117,2014.162,4,-1,0.003986682,103653.732
118,2014.164,4,-1,0.004117743,107061.318
119,2014.167,4,-1,0.004219165,109698.29000000001
120,2014.17,4,-1,0.004298907,111771.58200000001
121,2014.173,4,-1,0.004362749,113431.474
122,2014.175,4,-1,0.004414852,114786.15200000002
123,2014.178,4,-1,0.004458324,115916.42399999998
124,2014.181,4,-1,0.004495451,116881.72600000001
125,2014.184,4,-1,0.004527946,117726.59599999999
126,2014.186,4,-1,0.004557103,118484.678
127,2014.189,4,-1,0.004583972,119183.27200000001
128,2014.192,4,-1,0.004609369,119843.59400000001
129,2014.194,4,-1,0.004633909,120481.634
130,2014.197,4,-1,0.004658081,121110.10599999999
131,2014.2,4,-1,0.004682288,121739.488
132,2014.203,4,-1,0.004706876,122378.77599999998
133,2014.205,4,-1,0.004732158,123036.10800000001
134,2014.208,4,-1,0.004758433,123719.258
135,2014.211,4,-1,0.004786008,124436.20799999998
136,2014.214,4,-1,0.004815223,125195.79800000001
137,2014.216,4,-1,0.004846487,126008.662
138,2014.219,4,-1,0.004880344,126888.944
139,2014.222,4,-1,0.004917582,127857.13200000001
140,2014.225,4,-1,0.004959555,128948.43000000001
141,2014.227,4,-1,0.005009519,130247.49399999999
142,2014.23,4,-1,0.005089096,132316.496
143,2014.233,4,-1,0.005165642,134306.69199999998
144,2014.236,4,-1,0.005238982,136213.53199999998
145,2014.238,4,-1,0.005309124,138037.22400000002
146,2014.241,4,-1,0.005376076,139777.976
147,2014.244,4,-1,0.005439844,141435.944
148,2014.247,4,-1,0.005500433,143011.258
149,2014.247,4,-1,0.005501735,143045.11
150,2014.249,4,-1,0.005560758,144579.70799999998
151,2014.252,4,-1,0.005618613,146083.938
152,2014.255,4,-1,0.005675396,147560.296
153,2014.258,4,-1,0.005731183,149010.758
154,2014.26,4,-1,0.005786055,150437.43
155,2014.263,4,-1,0.005840102,151842.652
156,2014.266,4,-1,0.005893428,153229.128
157,2014.268,4,-1,0.005946159,154600.13400000002
158,2014.271,4,-1,0.005998451,155959.726
159,2014.274,4,-1,0.006050497,157312.922
160,2014.277,4,-1,0.006102546,158666.196
161,2014.279,4,-1,0.006154949,160028.674
162,2014.282,4,-1,0.00620824,161414.24000000002
163,2014.285,4,-1,0.006263345,162846.97
164,2014.288,4,-1,0.006322383,164381.958
165,2014.29,4,-1,0.006400195,166405.07
166,2014.293,4,-1,0.006476064,168377.664
167,2014.296,4,-1,0.00654898,170273.48
168,2014.299,4,-1,0.006618904,172091.50400000002
169,2014.301,4,-1,0.006685821,173831.346
170,2014.304,4,-1,0.006749721,175492.746
171,2014.307,4,-1,0.006810598,177075.548
172,2014.31,4,-1,0.006868444,178579.544
173,2014.312,4,-1,0.006923254,180004.604
174,2014.315,4,-1,0.006975014,181350.364
175,2014.318,4,-1,0.007023713,182616.538
176,2014.32,4,-1,0.007069346,183802.99599999998
