sp,start,end,SP_length,Cumulative
1,2014,2014.08492960426,31,31
2,2014.08493150685,2014.16164193303,28,59
3,2014.16164383562,2014.24645928463,31,90
4,2014.24646118721,2014.32865106545,30,120
5,2014.32865296804,2014.4135825723,31,151
6,2014.41358447489,2014.49577435312,30,181
7,2014.49577625571,2014.58070585997,31,212
8,2014.58070776256,2014.66563736682,31,243
9,2014.66563926941,2014.74782914764,30,273
10,2014.74783105023,2014.83276065449,31,304
11,2014.83276255708,2014.91506659056,30,334
12,2014.91506849315,2014.99999809741,31,365
13,2015,2015.08492960426,31,396
14,2015.08493150685,2015.16164193303,28,424
15,2015.16164383562,2015.24645928463,31,455
16,2015.24646118721,2015.32865106545,30,485
17,2015.32865296804,2015.4135825723,31,516
18,2015.41358447489,2015.49577435312,30,546
19,2015.49577625571,2015.58070585997,31,577
20,2015.58070776256,2015.66563736682,31,608
21,2015.66563926941,2015.74782914764,30,638
22,2015.74783105023,2015.83276065449,31,669
23,2015.83276255708,2015.91506659056,30,699
24,2015.91506849315,2015.99999809741,31,730
25,2016,2016.08469755616,31,761
26,2016.08469945355,2016.16393252884,29,790
27,2016.16393442623,2016.24851813904,31,821
28,2016.24852003643,2016.33048535216,30,851
29,2016.33048724954,2016.41518480571,31,882
30,2016.4151867031,2016.49715201882,30,912
31,2016.49715391621,2016.58185147237,31,943
32,2016.58185336976,2016.66655092593,31,974
33,2016.66655282332,2016.74851813904,30,1004
34,2016.74852003643,2016.83321759259,31,1035
35,2016.83321948998,2016.91529864906,30,1065
36,2016.91530054645,2016.99999810261,31,1096
37,2017,2017.08492960426,31,1127
38,2017.08493150685,2017.16164193303,28,1155
39,2017.16164383562,2017.24645928463,31,1186
40,2017.24646118721,2017.32865106545,30,1216
41,2017.32865296804,2017.4135825723,31,1247
42,2017.41358447489,2017.49577435312,30,1277
43,2017.49577625571,2017.58070585997,31,1308
44,2017.58070776256,2017.66563736682,31,1339
45,2017.66563926941,2017.74782914764,30,1369
46,2017.74783105023,2017.83276065449,31,1400
47,2017.83276255708,2017.91506659056,30,1430
48,2017.91506849315,2017.99999809741,31,1461
49,2018,2018.08492960426,31,1492
50,2018.08493150685,2018.16164193303,28,1520
51,2018.16164383562,2018.24645928463,31,1551
52,2018.24646118721,2018.32865106545,30,1581
53,2018.32865296804,2018.4135825723,31,1612
54,2018.41358447489,2018.49577435312,30,1642
55,2018.49577625571,2018.58070585997,31,1673
56,2018.58070776256,2018.66563736682,31,1704
57,2018.66563926941,2018.74782914764,30,1734
58,2018.74783105023,2018.83276065449,31,1765
59,2018.83276255708,2018.91506659056,30,1795
60,2018.91506849315,2018.99999809741,31,1826
61,2019,2019.08492960426,31,1857
62,2019.08493150685,2019.16164193303,28,1885
63,2019.16164383562,2019.24645928463,31,1916
64,2019.24646118721,2019.32865106545,30,1946
65,2019.32865296804,2019.4135825723,31,1977
66,2019.41358447489,2019.49577435312,30,2007
67,2019.49577625571,2019.58070585997,31,2038
68,2019.58070776256,2019.66563736682,31,2069
69,2019.66563926941,2019.74782914764,30,2099
70,2019.74783105023,2019.83276065449,31,2130
71,2019.83276255708,2019.91506659056,30,2160
72,2019.91506849315,2019.99999809741,31,2191
73,2020,2020.08469755616,31,2222
74,2020.08469945355,2020.16393252884,29,2251
75,2020.16393442623,2020.24851813904,31,2282
76,2020.24852003643,2020.33048535216,30,2312
77,2020.33048724954,2020.41518480571,31,2343
78,2020.4151867031,2020.49715201882,30,2373
79,2020.49715391621,2020.58185147237,31,2404
80,2020.58185336976,2020.66655092593,31,2435
81,2020.66655282332,2020.74851813904,30,2465
82,2020.74852003643,2020.83321759259,31,2496
83,2020.83321948998,2020.91529864906,30,2526
84,2020.91530054645,2020.99999810261,31,2557
