"Location","Date","Time","Head","Dec_year","Pressure","STOMP_BC"
"H4-86-E","01/01/2014","00:00:00",115.757,2014,154033.72464,"2014,yr,154033.72464,Pa,,,"
"H4-86-E","02/01/2014","00:00:00",115.757,2014.08493150685,154033.72464,"2014.08493150685,yr,154033.72464,Pa,,,"
"H4-86-E","03/01/2014","00:00:00",115.6515,2014.16164383562,153000.50828,"2014.16164383562,yr,153000.50828,Pa,,,"
"H4-86-E","04/01/2014","00:00:00",115.754,2014.24657534247,154004.34408,"2014.24657534247,yr,154004.34408,Pa,,,"
"H4-86-E","05/01/2014","00:00:00",115.9913,2014.32876712329,156328.346376,"2014.32876712329,yr,156328.346376,Pa,,,"
"H4-86-E","06/01/2014","00:00:00",116.4113,2014.41369863014,160441.624776,"2014.41369863014,yr,160441.624776,Pa,,,"
"H4-86-E","07/01/2014","00:00:00",116.632,2014.49589041096,162603.05464,"2014.49589041096,yr,162603.05464,Pa,,,"
"H4-86-E","08/01/2014","00:00:00",116.6536,2014.58082191781,162814.594672,"2014.58082191781,yr,162814.594672,Pa,,,"
"H4-86-E","09/01/2014","00:00:00",116.4542,2014.66575342466,160861.766784,"2014.66575342466,yr,160861.766784,Pa,,,"
"H4-86-E","10/01/2014","00:00:00",116.0966,2014.74794520548,157359.604032,"2014.74794520548,yr,157359.604032,Pa,,,"
"H4-86-E","11/01/2014","00:00:00",115.8569,2014.83287671233,155012.097288,"2014.83287671233,yr,155012.097288,Pa,,,"
"H4-86-E","12/01/2014","00:00:00",115.7841,2014.91506849315,154299.129032,"2014.91506849315,yr,154299.129032,Pa,,,"
"H4-86-E","01/01/2015","00:00:00",115.8306,2015,154754.527712,"2015,yr,154754.527712,Pa,,,"
"H4-86-E","02/01/2015","00:00:00",115.8606,2015.08493150685,155048.333312,"2015.08493150685,yr,155048.333312,Pa,,,"
"H4-86-E","03/01/2015","00:00:00",115.964,2015.16164383562,156060.98328,"2015.16164383562,yr,156060.98328,Pa,,,"
