"Location","Date","Time","Head","Dec_year","Pressure","STOMP_BC"
"H4-83-E","01/01/2014","00:00:00",115.1434,2014,148024.420768,"2014,yr,148024.420768,Pa,,,"
"H4-83-E","02/01/2014","00:00:00",115.1434,2014.08493150685,148024.420768,"2014.08493150685,yr,148024.420768,Pa,,,"
"H4-83-E","03/01/2014","00:00:00",114.841,2014.16164383562,145062.86032,"2014.16164383562,yr,145062.86032,Pa,,,"
"H4-83-E","04/01/2014","00:00:00",115.4175,2014.24657534247,150708.8246,"2014.24657534247,yr,150708.8246,Pa,,,"
"H4-83-E","05/01/2014","00:00:00",115.7717,2014.32876712329,154177.689384,"2014.32876712329,yr,154177.689384,Pa,,,"
"H4-83-E","06/01/2014","00:00:00",116.4289,2014.41369863014,160613.990728,"2014.41369863014,yr,160613.990728,Pa,,,"
"H4-83-E","07/01/2014","00:00:00",116.4852,2014.49589041096,161165.365904,"2014.49589041096,yr,161165.365904,Pa,,,"
"H4-83-E","08/01/2014","00:00:00",116.2769,2014.58082191781,159125.375688,"2014.58082191781,yr,159125.375688,Pa,,,"
"H4-83-E","09/01/2014","00:00:00",115.736,2014.66575342466,153828.06072,"2014.66575342466,yr,153828.06072,Pa,,,"
"H4-83-E","10/01/2014","00:00:00",114.9879,2014.74794520548,146501.528408,"2014.74794520548,yr,146501.528408,Pa,,,"
"H4-83-E","11/01/2014","00:00:00",114.7964,2014.83287671233,144626.069328,"2014.83287671233,yr,144626.069328,Pa,,,"
"H4-83-E","12/01/2014","00:00:00",114.9838,2014.91506849315,146461.374976,"2014.91506849315,yr,146461.374976,Pa,,,"
"H4-83-E","01/01/2015","00:00:00",115.3017,2015,149574.734984,"2015,yr,149574.734984,Pa,,,"
"H4-83-E","02/01/2015","00:00:00",115.6638,2015.08493150685,153120.968576,"2015.08493150685,yr,153120.968576,Pa,,,"
"H4-83-E","03/01/2015","00:00:00",115.9357,2015.16164383562,155783.826664,"2015.16164383562,yr,155783.826664,Pa,,,"
"H4-83-E","04/01/2015","00:00:00",115.8198,2015.24657534247,154648.757696,"2015.24657534247,yr,154648.757696,Pa,,,"
"H4-83-E","05/01/2015","00:00:00",115.5294,2015.32876712329,151804.719488,"2015.32876712329,yr,151804.719488,Pa,,,"
"H4-83-E","06/01/2015","00:00:00",115.5618,2015.41369863014,152122.029536,"2015.41369863014,yr,152122.029536,Pa,,,"
"H4-83-E","07/01/2015","00:00:00",115.4532,2015.49589041096,151058.453264,"2015.49589041096,yr,151058.453264,Pa,,,"
"H4-83-E","08/01/2015","00:00:00",115.2798,2015.58082191781,149360.256896,"2015.58082191781,yr,149360.256896,Pa,,,"
"H4-83-E","09/01/2015","00:00:00",115.2083,2015.66575342466,148660.020216,"2015.66575342466,yr,148660.020216,Pa,,,"
"H4-83-E","10/01/2015","00:00:00",114.6926,2015.74794520548,143609.501952,"2015.74794520548,yr,143609.501952,Pa,,,"
"H4-83-E","11/01/2015","00:00:00",114.5043,2015.83287671233,141765.382136,"2015.83287671233,yr,141765.382136,Pa,,,"
"H4-83-E","12/01/2015","00:00:00",114.7315,2015.91506849315,143990.46988,"2015.91506849315,yr,143990.46988,Pa,,,"
"H4-83-E","01/01/2016","00:00:00",114.7601,2016,144270.564552,"2016,yr,144270.564552,Pa,,,"
"H4-83-E","02/01/2016","00:00:00",114.8448,2016.08469945355,145100.075696,"2016.08469945355,yr,145100.075696,Pa,,,"
"H4-83-E","03/01/2016","00:00:00",114.9377,2016.16393442623,146009.893704,"2016.16393442623,yr,146009.893704,Pa,,,"
"H4-83-E","04/01/2016","00:00:00",115.1696,2016.24863387978,148281.010992,"2016.24863387978,yr,148281.010992,Pa,,,"
"H4-83-E","05/01/2016","00:00:00",115.738,2016.3306010929,153847.64776,"2016.3306010929,yr,153847.64776,Pa,,,"
"H4-83-E","06/01/2016","00:00:00",115.6797,2016.41530054645,153276.685544,"2016.41530054645,yr,153276.685544,Pa,,,"
"H4-83-E","07/01/2016","00:00:00",115.5744,2016.49726775956,152245.427888,"2016.49726775956,yr,152245.427888,Pa,,,"
"H4-83-E","08/01/2016","00:00:00",115.3377,2016.58196721311,149927.301704,"2016.58196721311,yr,149927.301704,Pa,,,"
"H4-83-E","09/01/2016","00:00:00",115.0553,2016.66666666667,147161.611656,"2016.66666666667,yr,147161.611656,Pa,,,"
"H4-83-E","10/01/2016","00:00:00",114.5852,2016.74863387978,142557.677904,"2016.74863387978,yr,142557.677904,Pa,,,"
