sp,start,end,dt,sum for sp,sum/dt
1,2014.0,2014.08493,0.08492999999998574,400686.0351453842,12916.738216364243
2,2014.084932,2014.161642,0.07671000000004824,1296785.4400221151,46283.470703999
3,2014.161644,2014.246459,0.08481499999993503,2447348.950026561,79001.07586184371
4,2014.246461,2014.328651,0.08219000000008236,2044357.1072788362,68100.0695381051
5,2014.328653,2014.413583,0.08492999999998574,2317228.2155514173,74699.45948325947
6,2014.413584,2014.495774,0.08219000000008236,3798448.7441339726,126531.03642776149
7,2014.495776,2014.580706,0.08492999999998574,5881945.489080926,189613.67110739468
8,2014.580708,2014.665637,0.08492900000010195,12604726.522486327,406337.76956201816
9,2014.665639,2014.747829,0.08218999999985499,24348374.595803205,811074.5413386626
10,2014.747831,2014.832761,0.08492999999998574,33555161.2233425,1081702.867863985
11,2014.832763,2014.915067,0.08230399999979454,30943892.398158904,1029351.6737879312
12,2014.915068,2014.999998,0.08492999999998574,21031238.140663836,677974.7073800638
13,2015.0,2015.08493,0.08492999999998574,15930722.154365117,513551.63299091795
14,2015.084932,2015.161642,0.07671000000004824,9911606.755246254,353754.40433552006
15,2015.161644,2015.246459,0.08481499999993503,9442670.502557527,304811.91850587755
16,2015.246461,2015.328651,0.08219000000008236,12769721.668083439,425375.25879529206
17,2015.328653,2015.413583,0.08492999999998574,18288893.020913668,589570.9425773189
18,2015.413584,2015.495774,0.08219000000008236,21355970.723241854,711393.8587971679
19,2015.495776,2015.580706,0.08492999999998574,27534339.644454867,887612.3097697637
20,2015.580708,2015.665637,0.08492900000010195,33645988.61873452,1084643.6014026946
21,2015.665639,2015.747829,0.08218999999985499,39314310.88036617,1309608.4315556218
22,2015.747831,2015.832761,0.08492999999998574,43242282.17403797,1393982.2946850131
23,2015.832763,2015.915067,0.08230399999979454,31633708.440300036,1052298.473384028
24,2015.915068,2015.999998,0.08492999999998574,24572912.882687032,792146.1071235669
25,2016.0,2016.084698,0.08469799999988936,22784561.77443426,736507.7143341793
26,2016.084699,2016.163933,0.07923400000004222,18199447.590937637,628863.5170784194
27,2016.163934,2016.248518,0.08458400000017718,17148446.966319412,555068.2046809366
28,2016.24852,2016.330485,0.08196499999985463,12314389.633093603,411333.6344790643
29,2016.330487,2016.415185,0.08469800000011674,8744167.068422327,282653.9551236354
30,2016.415187,2016.497152,0.08196499999985463,8929401.900947854,298265.96746382385
31,2016.497154,2016.581851,0.08469700000000557,9893635.619416755,319814.13826011046
32,2016.581853,2016.666551,0.08469800000011674,16670727.584541738,538878.894889366
33,2016.666553,2016.748518,0.081965000000082,27808312.05803064,928872.1900423123
34,2016.74852,2016.833218,0.08469799999988936,37129342.30751612,1200200.7020527406
35,2016.833219,2016.915299,0.08207999999990534,30795783.47937109,1027220.5170497458
36,2016.915301,2016.999998,0.08469700000000557,19611642.063309085,633951.021405484
37,2017.0,2017.08493,0.08492999999998574,11002891.551518492,354695.3408107749
38,2017.084932,2017.161642,0.07671000000004824,8778518.030187255,313313.42065944994
39,2017.161644,2017.246459,0.08481499999993503,8829277.430877531,285011.42679896555
40,2017.246461,2017.328651,0.08219000000008236,8714711.3624247,290297.83870567736
41,2017.328653,2017.413583,0.08492999999998574,8917556.044972489,287471.3038623179
42,2017.413584,2017.495774,0.08219000000008236,10173579.572659984,338894.54727984295
43,2017.495776,2017.580706,0.08492999999998574,21282878.39645007,686086.7228325374
44,2017.580708,2017.665637,0.08492900000010195,32435777.25225513,1045630.0943284581
45,2017.665639,2017.747829,0.08218999999985499,39013845.74032262,1299599.565268051
46,2017.747831,2017.832761,0.08492999999998574,51505756.19870078,1660368.2462082976
