Row (after comments),Time,Column,Node,Value,scaled Value
0,2014.0,4,-1,0.0,0.0
1,2014.0,4,-1,0.0,0.0
2,2014.0,4,-1,0.0,0.0
3,2014.0,4,-1,0.0,0.0
4,2014.0,4,-1,0.0,0.0
5,2014.0,4,-1,0.0,0.0
6,2014.0,4,-1,0.0,0.0
7,2014.0,4,-1,0.0,0.0
8,2014.0,4,-1,0.0,0.0
9,2014.0,4,-1,0.0,0.0
10,2014.0,4,-1,0.0,0.0
11,2014.0,4,-1,0.0,0.0
12,2014.0,4,-1,0.0,0.0
13,2014.0,4,-1,0.0,0.0
14,2014.0,4,-1,0.0,0.0
15,2014.0,4,-1,0.0,0.0
16,2014.0,4,-1,0.0,0.0
17,2014.0,4,-1,0.0,0.0
18,2014.0,4,-1,0.0,0.0
19,2014.0,4,-1,0.0,0.0
20,2014.0,4,-1,0.0,0.0
21,2014.0,4,-1,0.0,0.0
22,2014.0,4,-1,0.0,0.0
23,2014.0,4,-1,0.0,0.0
24,2014.0,4,-1,0.0,0.0
25,2014.0,4,-1,0.0,0.0
26,2014.0,4,-1,0.0,0.0
27,2014.0,4,-1,0.0,0.0
28,2014.0,4,-1,0.0,0.0
29,2014.0,4,-1,0.0,0.0
30,2014.0,4,-1,0.0,0.0
31,2014.0,4,-1,0.0,0.0
32,2014.0,4,-1,0.0,0.0
33,2014.0,4,-1,0.0,0.0
34,2014.0,4,-1,0.0,0.0
35,2014.0,4,-1,0.0,0.0
36,2014.0,4,-1,0.0,0.0
37,2014.0,4,-1,0.0,0.0
38,2014.0,4,-1,0.0,0.0
39,2014.0,4,-1,0.0,0.0
40,2014.0,4,-1,0.0,0.0
41,2014.0,4,-1,0.0,0.0
42,2014.0,4,-1,0.0,0.0
43,2014.0,4,-1,0.0,0.0
44,2014.0,4,-1,0.0,0.0
45,2014.0,4,-1,0.0,0.0
46,2014.0,4,-1,0.0,0.0
47,2014.0,4,-1,0.0,0.0
48,2014.001,4,-1,0.0,0.0
49,2014.001,4,-1,1.269735e-09,0.0
50,2014.001,4,-1,6.344847e-09,0.0
51,2014.001,4,-1,1.795286e-08,0.0
52,2014.001,4,-1,4.552346e-08,0.0
53,2014.002,4,-1,1.068668e-07,0.0
54,2014.002,4,-1,2.270791e-07,0.0
55,2014.003,4,-1,4.44611e-07,0.0
56,2014.004,4,-1,8.19888e-07,0.0
57,2014.005,4,-1,1.448622e-06,0.0
58,2014.006,4,-1,2.483034e-06,0.0
59,2014.007,4,-1,4.166058e-06,0.0
60,2014.009,4,-1,6.87582e-06,0.0
61,2014.011,4,-1,1.12046e-05,0.0
62,2014.014,4,-1,1.794561e-05,0.0
63,2014.017,4,-1,2.643008e-05,0.0
64,2014.019,4,-1,3.665388e-05,0.0
65,2014.022,4,-1,4.86095e-05,0.0
66,2014.025,4,-1,6.228817e-05,0.0
67,2014.028,4,-1,7.767913e-05,0.0
