Row (after comments),Time,Column,Node,Value,scaled Value
0,2014.0,4,-1,0.0,0.0
1,2014.0,4,-1,1.775311e-19,4.6158086e-12
2,2014.0,4,-1,6.76853e-19,1.7598177999999998e-11
3,2014.0,4,-1,1.73451e-18,4.509726e-11
4,2014.0,4,-1,3.734088e-18,9.708628799999999e-11
5,2014.0,4,-1,7.292579e-18,1.89607054e-10
6,2014.0,4,-1,1.339641e-17,3.4830666e-10
7,2014.0,4,-1,2.361565e-17,6.140069e-10
8,2014.0,4,-1,4.044101e-17,1.05146626e-09
9,2014.0,4,-1,6.781453e-17,1.76317778e-09
10,2014.0,4,-1,1.119651e-16,2.9110925999999997e-09
11,2014.0,4,-1,1.827254e-16,4.7508604e-09
12,2014.0,4,-1,2.956094e-16,7.6858444e-09
13,2014.0,4,-1,4.750944e-16,1.23524544e-08
14,2014.0,4,-1,7.598147e-16,1.97551822e-08
15,2014.0,4,-1,1.210803e-15,3.1480877999999997e-08
16,2014.0,4,-1,1.924596e-15,5.0039496e-08
17,2014.0,4,-1,3.054178e-15,7.9408628e-08
18,2014.0,4,-1,4.842542e-15,1.2590609199999998e-07
19,2014.0,4,-1,7.676795e-15,1.9959667e-07
20,2014.0,4,-1,1.217582e-14,3.1657132e-07
21,2014.0,4,-1,1.933313e-14,5.0266138e-07
22,2014.0,4,-1,3.075132e-14,7.995343199999999e-07
23,2014.0,4,-1,4.902902e-14,1.27475452e-06
24,2014.0,4,-1,7.840379e-14,2.03849854e-06
25,2014.0,4,-1,1.258259e-13,3.2714734000000004e-06
26,2014.0,4,-1,2.027594e-13,5.2717444e-06
27,2014.0,4,-1,3.282082e-13,8.533413199999999e-06
28,2014.0,4,-1,5.337996e-13,1.38787896e-05
29,2014.0,4,-1,8.722591e-13,2.2678736600000002e-05
30,2014.0,4,-1,1.431482e-12,3.7218532000000004e-05
31,2014.0,4,-1,2.357579e-12,6.1297054e-05
32,2014.0,4,-1,3.89203e-12,0.00010119278
33,2014.0,4,-1,6.430504e-12,0.000167193104
34,2014.0,4,-1,1.06143e-11,0.0002759718
35,2014.0,4,-1,1.747052e-11,0.00045423351999999994
36,2014.0,4,-1,2.862587e-11,0.0007442726199999999
37,2014.0,4,-1,4.663482e-11,0.00121250532
38,2014.0,4,-1,7.549116e-11,0.00196277016
39,2014.0,4,-1,1.214389e-10,0.0031574114000000003
40,2014.0,4,-1,1.942689e-10,0.0050509914000000005
41,2014.0,4,-1,3.093957e-10,0.008044288200000001
42,2014.0,4,-1,4.911578e-10,0.0127701028
