sp,start,end,cdays,tte
1,2014,2014.08493,31,31
2,2014.084932,2014.161642,28,59
3,2014.161644,2014.246459,31,90
4,2014.246461,2014.328651,30,120
5,2014.328653,2014.413583,31,151
6,2014.413584,2014.495774,30,181
7,2014.495776,2014.580706,31,212
8,2014.580708,2014.665637,31,243
9,2014.665639,2014.747829,30,273
10,2014.747831,2014.832761,31,304
11,2014.832763,2014.915067,30,334
12,2014.915068,2014.999998,31,365
13,2015,2015.08493,31,396
14,2015.084932,2015.161642,28,424
15,2015.161644,2015.246459,31,455
16,2015.246461,2015.328651,30,485
17,2015.328653,2015.413583,31,516
18,2015.413584,2015.495774,30,546
19,2015.495776,2015.580706,31,577
20,2015.580708,2015.665637,31,608
21,2015.665639,2015.747829,30,638
22,2015.747831,2015.832761,31,669
23,2015.832763,2015.915067,30,699
24,2015.915068,2015.999998,31,730
25,2016,2016.084698,31,761
26,2016.084699,2016.163933,29,790
27,2016.163934,2016.248518,31,821
28,2016.24852,2016.330485,30,851
29,2016.330487,2016.415185,31,882
30,2016.415187,2016.497152,30,912
31,2016.497154,2016.581851,31,943
32,2016.581853,2016.666551,31,974
33,2016.666553,2016.748518,30,1004
34,2016.74852,2016.833218,31,1035
35,2016.833219,2016.915299,30,1065
36,2016.915301,2016.999998,31,1096
37,2017,2017.08493,31,1127
38,2017.084932,2017.161642,28,1155
39,2017.161644,2017.246459,31,1186
40,2017.246461,2017.328651,30,1216
41,2017.328653,2017.413583,31,1247
42,2017.413584,2017.495774,30,1277
43,2017.495776,2017.580706,31,1308
44,2017.580708,2017.665637,31,1339
45,2017.665639,2017.747829,30,1369
46,2017.747831,2017.832761,31,1400
47,2017.832763,2017.915067,30,1430
48,2017.915068,2017.999998,31,1461
49,2018,2018.08493,31,1492
50,2018.084932,2018.161642,28,1520
51,2018.161644,2018.246459,31,1551
52,2018.246461,2018.328651,30,1581
53,2018.328653,2018.413583,31,1612
54,2018.413584,2018.495774,30,1642
55,2018.495776,2018.580706,31,1673
56,2018.580708,2018.665637,31,1704
57,2018.665639,2018.747829,30,1734
58,2018.747831,2018.832761,31,1765
59,2018.832763,2018.915067,30,1795
60,2018.915068,2018.999998,31,1826
61,2019,2019.08493,31,1857
62,2019.084932,2019.161642,28,1885
63,2019.161644,2019.246459,31,1916
64,2019.246461,2019.328651,30,1946
65,2019.328653,2019.413583,31,1977
66,2019.413584,2019.495774,30,2007
67,2019.495776,2019.580706,31,2038
68,2019.580708,2019.665637,31,2069
69,2019.665639,2019.747829,30,2099
70,2019.747831,2019.832761,31,2130
71,2019.832763,2019.915067,30,2160
72,2019.915068,2019.999998,31,2191
73,2020,2020.084698,31,2222
74,2020.084699,2020.163933,29,2251
75,2020.163934,2020.248518,31,2282
76,2020.24852,2020.330485,30,2312
77,2020.330487,2020.415185,31,2343
78,2020.415187,2020.497152,30,2373
79,2020.497154,2020.581851,31,2404
80,2020.581853,2020.666551,31,2435
81,2020.666553,2020.748518,30,2465
82,2020.74852,2020.833218,31,2496
83,2020.833219,2020.915299,30,2526
84,2020.915301,2020.999998,31,2557
85,2021,2021.08493,31,2588
86,2021.084932,2021.161642,28,2616
87,2021.161644,2021.246459,31,2647
88,2021.246461,2021.328651,30,2677
89,2021.328653,2021.413583,31,2708
90,2021.413584,2021.495774,30,2738
91,2021.495776,2021.580706,31,2769
92,2021.580708,2021.665637,31,2800
93,2021.665639,2021.747829,30,2830
94,2021.747831,2021.832761,31,2861
95,2021.832763,2021.915067,30,2891
96,2021.915068,2021.999998,31,2922
97,2022,2022.08493,31,2953
98,2022.084932,2022.161642,28,2981
99,2022.161644,2022.246459,31,3012
100,2022.246461,2022.328651,30,3042
101,2022.328653,2022.413583,31,3073
102,2022.413584,2022.495774,30,3103
103,2022.495776,2022.580706,31,3134
104,2022.580708,2022.665637,31,3165
105,2022.665639,2022.747829,30,3195
106,2022.747831,2022.832761,31,3226
107,2022.832763,2022.915067,30,3256
108,2022.915068,2022.999998,31,3287
109,2023,2023.08493,31,3318
110,2023.084932,2023.161642,28,3346
111,2023.161644,2023.246459,31,3377
112,2023.246461,2023.328651,30,3407
113,2023.328653,2023.413583,31,3438
114,2023.413584,2023.495774,30,3468
115,2023.495776,2023.580706,31,3499
