"Location","Date","Time","Head","Dec_year","Pressure","STOMP_BC"
"D5-151-E","01/01/2014","00:00:00",118.1138,2014,147734.532576,"2014,yr,147734.532576,Pa,,,"
"D5-151-E","02/01/2014","00:00:00",118.1138,2014.08493150685,147734.532576,"2014.08493150685,yr,147734.532576,Pa,,,"
"D5-151-E","03/01/2014","00:00:00",118.0917,2014.16164383562,147518.095784,"2014.16164383562,yr,147518.095784,Pa,,,"
"D5-151-E","04/01/2014","00:00:00",118.1658,2014.24657534247,148243.795616,"2014.24657534247,yr,148243.795616,Pa,,,"
"D5-151-E","05/01/2014","00:00:00",118.3291,2014.32876712329,149843.077432,"2014.32876712329,yr,149843.077432,Pa,,,"
"D5-151-E","06/01/2014","00:00:00",118.584,2014.41369863014,152339.44568,"2014.41369863014,yr,152339.44568,Pa,,,"
"D5-151-E","07/01/2014","00:00:00",118.7498,2014.49589041096,153963.211296,"2014.49589041096,yr,153963.211296,Pa,,,"
"D5-151-E","08/01/2014","00:00:00",118.8446,2014.58082191781,154891.636992,"2014.58082191781,yr,154891.636992,Pa,,,"
"D5-151-E","09/01/2014","00:00:00",118.7418,2014.66575342466,153884.863136,"2014.66575342466,yr,153884.863136,Pa,,,"
"D5-151-E","10/01/2014","00:00:00",118.5264,2014.74794520548,151775.338928,"2014.74794520548,yr,151775.338928,Pa,,,"
"D5-151-E","11/01/2014","00:00:00",118.3629,2014.83287671233,150174.098408,"2014.83287671233,yr,150174.098408,Pa,,,"
"D5-151-E","12/01/2014","00:00:00",118.3291,2014.91506849315,149843.077432,"2014.91506849315,yr,149843.077432,Pa,,,"
"D5-151-E","01/01/2015","00:00:00",118.3427,2015,149976.269304,"2015,yr,149976.269304,Pa,,,"
"D5-151-E","02/01/2015","00:00:00",118.4118,2015.08493150685,150653.001536,"2015.08493150685,yr,150653.001536,Pa,,,"
"D5-151-E","03/01/2015","00:00:00",118.5151,2015.16164383562,151664.672152,"2015.16164383562,yr,151664.672152,Pa,,,"
"D5-151-E","04/01/2015","00:00:00",118.5904,2015.24657534247,152402.124208,"2015.24657534247,yr,152402.124208,Pa,,,"
"D5-151-E","05/01/2015","00:00:00",118.5951,2015.32876712329,152448.153752,"2015.32876712329,yr,152448.153752,Pa,,,"
"D5-151-E","06/01/2015","00:00:00",118.5924,2015.41369863014,152421.711248,"2015.41369863014,yr,152421.711248,Pa,,,"
"D5-151-E","07/01/2015","00:00:00",118.5658,2015.49589041096,152161.203616,"2015.49589041096,yr,152161.203616,Pa,,,"
"D5-151-E","08/01/2015","00:00:00",118.4908,2015.58082191781,151426.689616,"2015.58082191781,yr,151426.689616,Pa,,,"
"D5-151-E","09/01/2015","00:00:00",118.3906,2015.66575342466,150445.378912,"2015.66575342466,yr,150445.378912,Pa,,,"
"D5-151-E","10/01/2015","00:00:00",118.2319,2015.74794520548,148891.147288,"2015.74794520548,yr,148891.147288,Pa,,,"
"D5-151-E","11/01/2015","00:00:00",118.0801,2015.83287671233,147404.490952,"2015.83287671233,yr,147404.490952,Pa,,,"
"D5-151-E","12/01/2015","00:00:00",118.0359,2015.91506849315,146971.617368,"2015.91506849315,yr,146971.617368,Pa,,,"
"D5-151-E","01/01/2016","00:00:00",117.996,2016,146580.85592,"2016,yr,146580.85592,Pa,,,"
"D5-151-E","02/01/2016","00:00:00",118.0264,2016.08469945355,146878.578928,"2016.08469945355,yr,146878.578928,Pa,,,"
"D5-151-E","03/01/2016","00:00:00",118.0441,2016.16393442623,147051.924232,"2016.16393442623,yr,147051.924232,Pa,,,"
"D5-151-E","04/01/2016","00:00:00",118.1085,2016.24863387978,147682.62692,"2016.24863387978,yr,147682.62692,Pa,,,"
"D5-151-E","05/01/2016","00:00:00",118.2729,2016.3306010929,149292.681608,"2016.3306010929,yr,149292.681608,Pa,,,"
"D5-151-E","06/01/2016","00:00:00",118.3941,2016.41530054645,150479.656232,"2016.41530054645,yr,150479.656232,Pa,,,"
"D5-151-E","07/01/2016","00:00:00",118.4491,2016.49726775956,151018.299832,"2016.49726775956,yr,151018.299832,Pa,,,"
"D5-151-E","08/01/2016","00:00:00",118.4985,2016.58196721311,151502.09972,"2016.58196721311,yr,151502.09972,Pa,,,"
"D5-151-E","09/01/2016","00:00:00",118.4519,2016.66666666667,151045.721688,"2016.66666666667,yr,151045.721688,Pa,,,"
"D5-151-E","10/01/2016","00:00:00",118.3192,2016.74863387978,149746.121584,"2016.74863387978,yr,149746.121584,Pa,,,"
"D5-151-E","11/01/2016","00:00:00",118.203,2016.83333333333,148608.11456,"2016.83333333333,yr,148608.11456,Pa,,,"
"D5-151-E","12/01/2016","00:00:00",118.1809,2016.91530054645,148391.677768,"2016.91530054645,yr,148391.677768,Pa,,,"
"D5-151-E","01/01/2017","00:00:00",118.2464,2017,149033.153328,"2017,yr,149033.153328,Pa,,,"
