"Location","Date","Time","Head","Dec_year","Pressure","STOMP_BC"
"D5-160-E","01/01/2014","00:00:00",118.5947,2014,147547.476344,"2014,yr,147547.476344,Pa,,,"
"D5-160-E","02/01/2014","00:00:00",118.5947,2014.08493150685,147547.476344,"2014.08493150685,yr,147547.476344,Pa,,,"
"D5-160-E","03/01/2014","00:00:00",118.4367,2014.16164383562,146000.100184,"2014.16164383562,yr,146000.100184,Pa,,,"
"D5-160-E","04/01/2014","00:00:00",118.66,2014.24657534247,148186.9932,"2014.24657534247,yr,148186.9932,Pa,,,"
"D5-160-E","05/01/2014","00:00:00",118.8417,2014.32876712329,149966.475784,"2014.32876712329,yr,149966.475784,Pa,,,"
"D5-160-E","06/01/2014","00:00:00",119.0435,2014.41369863014,151942.80812,"2014.41369863014,yr,151942.80812,Pa,,,"
"D5-160-E","07/01/2014","00:00:00",119.1969,2014.49589041096,153445.134088,"2014.49589041096,yr,153445.134088,Pa,,,"
"D5-160-E","08/01/2014","00:00:00",119.2905,2014.58082191781,154361.80756,"2014.58082191781,yr,154361.80756,Pa,,,"
"D5-160-E","09/01/2014","00:00:00",119.2328,2014.66575342466,153796.721456,"2014.66575342466,yr,153796.721456,Pa,,,"
"D5-160-E","10/01/2014","00:00:00",119.0678,2014.74794520548,152180.790656,"2014.74794520548,yr,152180.790656,Pa,,,"
"D5-160-E","11/01/2014","00:00:00",118.9518,2014.83287671233,151044.742336,"2014.83287671233,yr,151044.742336,Pa,,,"
"D5-160-E","12/01/2014","00:00:00",118.9551,2014.91506849315,151077.060952,"2014.91506849315,yr,151077.060952,Pa,,,"
"D5-160-E","01/01/2015","00:00:00",118.9318,2015,150848.871936,"2015,yr,150848.871936,Pa,,,"
"D5-160-E","02/01/2015","00:00:00",118.981,2015.08493150685,151330.71312,"2015.08493150685,yr,151330.71312,Pa,,,"
"D5-160-E","03/01/2015","00:00:00",119.0523,2015.16164383562,152028.991096,"2015.16164383562,yr,152028.991096,Pa,,,"
"D5-160-E","04/01/2015","00:00:00",119.1173,2015.24657534247,152665.569896,"2015.24657534247,yr,152665.569896,Pa,,,"
"D5-160-E","05/01/2015","00:00:00",119.1334,2015.32876712329,152823.245568,"2015.32876712329,yr,152823.245568,Pa,,,"
"D5-160-E","06/01/2015","00:00:00",119.1434,2015.41369863014,152921.180768,"2015.41369863014,yr,152921.180768,Pa,,,"
"D5-160-E","07/01/2015","00:00:00",119.1097,2015.49589041096,152591.139144,"2015.49589041096,yr,152591.139144,Pa,,,"
"D5-160-E","08/01/2015","00:00:00",119.0657,2015.58082191781,152160.224264,"2015.58082191781,yr,152160.224264,Pa,,,"
"D5-160-E","09/01/2015","00:00:00",118.9931,2015.66575342466,151449.214712,"2015.66575342466,yr,151449.214712,Pa,,,"
"D5-160-E","10/01/2015","00:00:00",118.8862,2015.74794520548,150402.287424,"2015.74794520548,yr,150402.287424,Pa,,,"
"D5-160-E","11/01/2015","00:00:00",118.7667,2015.83287671233,149231.961784,"2015.83287671233,yr,149231.961784,Pa,,,"
"D5-160-E","12/01/2015","00:00:00",118.69,2015.91506849315,148480.7988,"2015.91506849315,yr,148480.7988,Pa,,,"
"D5-160-E","01/01/2016","00:00:00",118.6493,2016,148082.202536,"2016,yr,148082.202536,Pa,,,"
"D5-160-E","02/01/2016","00:00:00",118.6554,2016.08469945355,148141.943008,"2016.08469945355,yr,148141.943008,Pa,,,"
"D5-160-E","03/01/2016","00:00:00",118.6669,2016.16393442623,148254.568488,"2016.16393442623,yr,148254.568488,Pa,,,"
"D5-160-E","04/01/2016","00:00:00",118.7377,2016.24863387978,148947.949704,"2016.24863387978,yr,148947.949704,Pa,,,"
"D5-160-E","05/01/2016","00:00:00",118.8291,2016.3306010929,149843.077432,"2016.3306010929,yr,149843.077432,Pa,,,"
"D5-160-E","06/01/2016","00:00:00",118.969,2016.41530054645,151213.19088,"2016.41530054645,yr,151213.19088,Pa,,,"
"D5-160-E","07/01/2016","00:00:00",119.0301,2016.49726775956,151811.574952,"2016.49726775956,yr,151811.574952,Pa,,,"
"D5-160-E","08/01/2016","00:00:00",119.0598,2016.58196721311,152102.442496,"2016.58196721311,yr,152102.442496,Pa,,,"
"D5-160-E","09/01/2016","00:00:00",119.0376,2016.66666666667,151885.026352,"2016.66666666667,yr,151885.026352,Pa,,,"
"D5-160-E","10/01/2016","00:00:00",118.9245,2016.74863387978,150777.37924,"2016.74863387978,yr,150777.37924,Pa,,,"
"D5-160-E","11/01/2016","00:00:00",118.7946,2016.83333333333,149505.200992,"2016.83333333333,yr,149505.200992,Pa,,,"
