"Location","Date","Time","Head","Dec_year","Pressure","STOMP_BC"
"H4-84-E","01/01/2014","00:00:00",115.3296,2014,149847.974192,"2014,yr,149847.974192,Pa,,,"
"H4-84-E","02/01/2014","00:00:00",115.3296,2014.08493150685,149847.974192,"2014.08493150685,yr,149847.974192,Pa,,,"
"H4-84-E","03/01/2014","00:00:00",115.1401,2014.16164383562,147992.102152,"2014.16164383562,yr,147992.102152,Pa,,,"
"H4-84-E","04/01/2014","00:00:00",115.4555,2014.24657534247,151080.97836,"2014.24657534247,yr,151080.97836,Pa,,,"
"H4-84-E","05/01/2014","00:00:00",115.8125,2014.32876712329,154577.265,"2014.32876712329,yr,154577.265,Pa,,,"
"H4-84-E","06/01/2014","00:00:00",116.4013,2014.41369863014,160343.689576,"2014.41369863014,yr,160343.689576,Pa,,,"
"H4-84-E","07/01/2014","00:00:00",116.5256,2014.49589041096,161561.024112,"2014.49589041096,yr,161561.024112,Pa,,,"
"H4-84-E","08/01/2014","00:00:00",116.3917,2014.58082191781,160249.671784,"2014.58082191781,yr,160249.671784,Pa,,,"
"H4-84-E","09/01/2014","00:00:00",115.9747,2014.66575342466,156165.773944,"2014.66575342466,yr,156165.773944,Pa,,,"
"H4-84-E","10/01/2014","00:00:00",115.4426,2014.74794520548,150954.641952,"2014.74794520548,yr,150954.641952,Pa,,,"
"H4-84-E","11/01/2014","00:00:00",115.2118,2014.83287671233,148694.297536,"2014.83287671233,yr,148694.297536,Pa,,,"
"H4-84-E","12/01/2014","00:00:00",115.2448,2014.91506849315,149017.483696,"2014.91506849315,yr,149017.483696,Pa,,,"
"H4-84-E","01/01/2015","00:00:00",115.4542,2015,151068.246784,"2015,yr,151068.246784,Pa,,,"
"H4-84-E","02/01/2015","00:00:00",115.7074,2015.08493150685,153547.966048,"2015.08493150685,yr,153547.966048,Pa,,,"
"H4-84-E","03/01/2015","00:00:00",115.9291,2015.16164383562,155719.189432,"2015.16164383562,yr,155719.189432,Pa,,,"
"H4-84-E","04/01/2015","00:00:00",115.8653,2015.24657534247,155094.362856,"2015.24657534247,yr,155094.362856,Pa,,,"
"H4-84-E","05/01/2015","00:00:00",115.6483,2015.32876712329,152969.169016,"2015.32876712329,yr,152969.169016,Pa,,,"
