sp,start,end,dt,sum for sp,sum/dt
1,2014.0,2014.08493,0.08492999999998574,170406.13023833086,5493.306932829717
2,2014.084932,2014.161642,0.07671000000004824,548288.5455025845,19568.924858282127
3,2014.161644,2014.246459,0.08481499999993503,1036350.266883602,33453.66260607212
4,2014.246461,2014.328651,0.08219000000008236,870562.2308450217,28999.507105050885
5,2014.328653,2014.413583,0.08492999999998574,990924.6819659951,31944.000006001206
6,2014.413584,2014.495774,0.08219000000008236,1618023.4656061071,53898.36742795294
7,2014.495776,2014.580706,0.08492999999998574,2498527.500925947,80543.92423269109
8,2014.580708,2014.665637,0.08492900000010195,5324746.701617488,171653.52174504584
9,2014.665639,2014.747829,0.08218999999985499,10196092.343681304,339644.47559154034
10,2014.747831,2014.832761,0.08492999999998574,13969418.329541784,450325.9504217591
11,2014.832763,2014.915067,0.08230399999979454,12825977.145787979,426657.4118441585
12,2014.915068,2014.999998,0.08492999999998574,8650892.087738413,278874.9760015714
13,2015.0,2015.08493,0.08492999999998574,6523029.68328148,210280.01828401344
14,2015.084932,2015.161642,0.07671000000004824,4025938.754320152,143689.47448121663
15,2015.161644,2015.246459,0.08481499999993503,3762965.984424012,121469.54409496546
16,2015.246461,2015.328651,0.08219000000008236,5067696.346939246,168811.24750456485
17,2015.328653,2015.413583,0.08492999999998574,7300920.2588425,235356.5321731308
18,2015.413584,2015.495774,0.08219000000008236,8507729.962482113,283403.0316883523
19,2015.495776,2015.580706,0.08492999999998574,10883057.35785212,350832.2989945159
20,2015.580708,2015.665637,0.08492900000010195,13169952.302089281,424558.9171746292
21,2015.665639,2015.747829,0.08218999999985499,15058122.29426817,501604.7204789669
22,2015.747831,2015.832761,0.08492999999998574,16176556.817483703,521476.49612436537
23,2015.832763,2015.915067,0.08230399999979454,11521655.343962736,383269.0167259417
24,2015.915068,2015.999998,0.08492999999998574,8778979.135893317,283004.06143207167
25,2016.0,2016.084698,0.08469799999988936,8105659.426748587,262014.28654486936
26,2016.084699,2016.163933,0.07923400000004222,6416675.043008881,221721.72069141295
27,2016.163934,2016.248518,0.08458400000017718,6067396.856951328,196392.0748677319
28,2016.24852,2016.330485,0.08196499999985463,4435798.385183214,148167.56054968227
29,2016.330487,2016.415185,0.08469800000011674,3089282.0193512794,99860.60129332794
30,2016.415187,2016.497152,0.08196499999985463,3097291.1357462215,103457.82924412997
31,2016.497154,2016.581851,0.08469700000000557,3420484.622864995,110567.98371941816
32,2016.581853,2016.666551,0.08469800000011674,5790103.456497589,187164.26959227346
33,2016.666553,2016.748518,0.081965000000082,9638319.273644269,321945.7086555367
34,2016.74852,2016.833218,0.08469799999988936,12747251.592583638,412053.0922403319
35,2016.833219,2016.915299,0.08207999999990534,10486001.709949944,349769.8347403524
36,2016.915301,2016.999998,0.08469700000000557,6665141.613083947,215452.29715016598
37,2017.0,2017.08493,0.08492999999998574,3712177.132567037,119667.80977715949
38,2017.084932,2017.161642,0.07671000000004824,2917433.525705348,104125.89851066282
39,2017.161644,2017.246459,0.08481499999993503,2907281.4674554714,93847.8200093572
40,2017.246461,2017.328651,0.08219000000008236,2832076.821619582,94339.98972237477
41,2017.328653,2017.413583,0.08492999999998574,2779512.578331427,89601.91570033619
42,2017.413584,2017.495774,0.08219000000008236,2983264.6141342386,99376.2425115292
43,2017.495776,2017.580706,0.08492999999998574,6338006.722985617,204315.51507568156
44,2017.580708,2017.665637,0.08492900000010195,10258186.684417052,330692.5136107284
