Row (after comments),Time,Column,Node,Value,scaled Value
0,2014.0,4,-1,0.0,0.0
1,2014.0,4,-1,2.728736e-19,4.96629952e-10
2,2014.0,4,-1,1.040331e-18,1.89340242e-09
3,2014.0,4,-1,2.665848e-18,4.8518433600000006e-09
4,2014.0,4,-1,5.738675e-18,1.04443885e-08
5,2014.0,4,-1,1.120616e-17,2.03952112e-08
6,2014.0,4,-1,2.058185e-17,3.7458967e-08
7,2014.0,4,-1,3.62723e-17,6.601558600000001e-08
8,2014.0,4,-1,6.208978e-17,1.1300339960000001e-07
9,2014.0,4,-1,1.040561e-16,1.89382102e-07
10,2014.0,4,-1,1.716614e-16,3.1242374800000003e-07
11,2014.0,4,-1,2.798362e-16,5.09301884e-07
12,2014.0,4,-1,4.520357e-16,8.22704974e-07
13,2014.0,4,-1,7.250685e-16,1.3196246700000002e-06
14,2014.0,4,-1,1.156646e-15,2.1050957199999997e-06
15,2014.0,4,-1,1.837189e-15,3.3436839799999998e-06
16,2014.0,4,-1,2.908296e-15,5.29309872e-06
17,2014.0,4,-1,4.591595e-15,8.3567029e-06
18,2014.0,4,-1,7.233875e-15,1.3165652499999998e-05
19,2014.0,4,-1,1.13776e-14,2.0707231999999998e-05
20,2014.0,4,-1,1.787115e-14,3.2525493e-05
21,2014.0,4,-1,2.80411e-14,5.1034802e-05
22,2014.0,4,-1,4.396151e-14,8.00099482e-05
23,2014.0,4,-1,6.887485e-14,0.000125352227
24,2014.0,4,-1,1.078499e-13,0.00019628681799999998
25,2014.0,4,-1,1.688103e-13,0.00030723474600000003
26,2014.0,4,-1,2.641431e-13,0.000480740442
27,2014.0,4,-1,4.132135e-13,0.0007520485700000001
28,2014.0,4,-1,6.463008e-13,0.001176267456
29,2014.0,4,-1,1.010786e-12,0.0018396305200000002
30,2014.0,4,-1,1.580835e-12,0.0028771197000000003
31,2014.0,4,-1,2.472598e-12,0.004500128359999999
32,2014.0,4,-1,3.868062e-12,0.007039872840000001
33,2014.0,4,-1,6.052523e-12,0.01101559186
34,2014.0,4,-1,9.473435e-12,0.0172416517
35,2014.0,4,-1,1.483287e-11,0.0269958234
36,2014.0,4,-1,2.323276e-11,0.0422836232
37,2014.0,4,-1,3.640307e-11,0.0662535874
38,2014.0,4,-1,5.705982e-11,0.1038488724
39,2014.0,4,-1,8.94664e-11,0.162828848
40,2014.0,4,-1,1.40312e-10,0.25536784
41,2014.0,4,-1,2.20085e-10,0.4005547
42,2014.0,4,-1,3.452634e-10,0.628379388
43,2014.0,4,-1,5.417934e-10,0.986063988
44,2014.0,4,-1,8.504891e-10,1.547890162
45,2014.0,4,-1,1.335561e-09,2.43072102
46,2014.0,4,-1,2.098032e-09,3.8184182399999997
47,2014.0,4,-1,3.296865e-09,6.0002943
48,2014.001,4,-1,5.182283e-09,9.431755059999999
49,2014.001,4,-1,8.14845e-09,14.830179000000001
50,2014.001,4,-1,1.281697e-08,23.326885400000002
51,2014.001,4,-1,2.016963e-08,36.7087266
52,2014.001,4,-1,3.176004e-08,57.8032728
53,2014.002,4,-1,5.005196e-08,91.0945672
54,2014.002,4,-1,7.896238e-08,143.7115316
55,2014.003,4,-1,1.247372e-07,227.021704
56,2014.004,4,-1,1.973705e-07,359.21430999999995
57,2014.005,4,-1,3.129223e-07,569.518586
58,2014.006,4,-1,4.973266e-07,905.134412
59,2014.007,4,-1,7.927072e-07,1442.727104
60,2014.009,4,-1,1.267934e-06,2307.63988
61,2014.011,4,-1,2.03643e-06,3706.3026
62,2014.014,4,-1,3.260771e-06,5934.60322
63,2014.017,4,-1,4.830626e-06,8791.73932
64,2014.019,4,-1,6.765055e-06,12312.4001
65,2014.022,4,-1,9.08264e-06,16530.4048
66,2014.025,4,-1,1.18015e-05,21478.73
67,2014.028,4,-1,1.493931e-05,27189.5442
68,2014.03,4,-1,1.85133e-05,33694.206000000006
