Row (after comments),Time,Column,Node,Value,scaled Value
0,2014.0,4,-1,0.0,0.0
1,2014.0,4,-1,2.728736e-19,1.41894272e-10
2,2014.0,4,-1,1.040331e-18,5.4097212e-10
3,2014.0,4,-1,2.665848e-18,1.38624096e-09
4,2014.0,4,-1,5.738675e-18,2.984111e-09
5,2014.0,4,-1,1.120616e-17,5.827203199999999e-09
6,2014.0,4,-1,2.058185e-17,1.0702562e-08
7,2014.0,4,-1,3.62723e-17,1.8861596e-08
8,2014.0,4,-1,6.208978e-17,3.22866856e-08
9,2014.0,4,-1,1.040561e-16,5.4109172e-08
10,2014.0,4,-1,1.716614e-16,8.9263928e-08
11,2014.0,4,-1,2.798361e-16,1.4551477199999998e-07
12,2014.0,4,-1,4.520357e-16,2.3505856400000002e-07
13,2014.0,4,-1,7.250684e-16,3.7703556799999996e-07
14,2014.0,4,-1,1.156646e-15,6.0145592e-07
15,2014.0,4,-1,1.837189e-15,9.5533828e-07
16,2014.0,4,-1,2.908296e-15,1.51231392e-06
17,2014.0,4,-1,4.591595e-15,2.3876294e-06
18,2014.0,4,-1,7.233873e-15,3.76161396e-06
19,2014.0,4,-1,1.13776e-14,5.916351999999999e-06
20,2014.0,4,-1,1.787115e-14,9.292997999999998e-06
21,2014.0,4,-1,2.804109e-14,1.4581366799999999e-05
22,2014.0,4,-1,4.396149e-14,2.28599748e-05
23,2014.0,4,-1,6.887482e-14,3.5814906400000005e-05
24,2014.0,4,-1,1.078498e-13,5.6081896e-05
25,2014.0,4,-1,1.688102e-13,8.7781304e-05
26,2014.0,4,-1,2.641428e-13,0.00013735425600000002
27,2014.0,4,-1,4.132131e-13,0.000214870812
28,2014.0,4,-1,6.462998e-13,0.00033607589599999997
29,2014.0,4,-1,1.010784e-12,0.00052560768
30,2014.0,4,-1,1.580832e-12,0.00082203264
31,2014.0,4,-1,2.47259e-12,0.0012857468
32,2014.0,4,-1,3.868047e-12,0.0020113844399999997
33,2014.0,4,-1,6.052494e-12,0.00314729688
34,2014.0,4,-1,9.473378e-12,0.0049261565600000005
35,2014.0,4,-1,1.483276e-11,0.007713035199999999
36,2014.0,4,-1,2.323254e-11,0.0120809208
37,2014.0,4,-1,3.640264e-11,0.0189293728
38,2014.0,4,-1,5.705899e-11,0.0296706748
39,2014.0,4,-1,8.946478e-11,0.0465216856
40,2014.0,4,-1,1.403088e-10,0.072960576
41,2014.0,4,-1,2.200788e-10,0.114440976
42,2014.0,4,-1,3.452514e-10,0.179530728
43,2014.0,4,-1,5.417699e-10,0.28172034799999995
44,2014.0,4,-1,8.504432e-10,0.442230464
45,2014.0,4,-1,1.335472e-09,0.69444544
46,2014.0,4,-1,2.097856e-09,1.09088512
47,2014.0,4,-1,3.296522e-09,1.71419144
48,2014.001,4,-1,5.181616e-09,2.69444032
49,2014.001,4,-1,8.147146e-09,4.23651592
50,2014.001,4,-1,1.281442e-08,6.6634984
51,2014.001,4,-1,2.016467e-08,10.4856284
52,2014.001,4,-1,3.175034e-08,16.5101768
53,2014.002,4,-1,5.003301e-08,26.0171652
54,2014.002,4,-1,7.892541e-08,41.0412132
55,2014.003,4,-1,1.246649e-07,64.82574799999999
56,2014.004,4,-1,1.972297e-07,102.559444
57,2014.005,4,-1,3.126475e-07,162.57670000000002
58,2014.006,4,-1,4.967907e-07,258.331164
59,2014.007,4,-1,7.916617e-07,411.664084
60,2014.009,4,-1,1.265894e-06,658.2648800000001
61,2014.011,4,-1,2.032455e-06,1056.8765999999998
62,2014.014,4,-1,3.253121e-06,1691.62292
