TITLE = ""
VARIABLES ="simulation time, " "Aqueous Volumetric Flux Rate (1)" "Aqueous Volumetric Flux Integral (1)" "Conservation Component Species Flux (total_cr6) Rate (2)" "Conservation Component Species Flux (total_cr6) Integral (2)"
ZONE T="Reference Node Variables" F=POINT
2.014000E+03 -9.899973E+02 -2.710465E-06 0.000000E+00 0.000000E+00
2.014000E+03 -9.887877E+02 -6.094406E-06 0.000000E+00 0.000000E+00
2.014000E+03 -9.872999E+02 -1.031797E-05 0.000000E+00 0.000000E+00
2.014000E+03 -9.854820E+02 -1.558770E-05 0.000000E+00 0.000000E+00
2.014000E+03 -9.832655E+02 -2.216005E-05 0.000000E+00 0.000000E+00
2.014000E+03 -9.805734E+02 -3.035299E-05 0.000000E+00 0.000000E+00
2.014000E+03 -9.773198E+02 -4.056019E-05 0.000000E+00 0.000000E+00
2.014000E+03 -9.734113E+02 -5.326816E-05 0.000000E+00 0.000000E+00
2.014000E+03 -9.687508E+02 -6.907707E-05 0.000000E+00 0.000000E+00
2.014000E+03 -9.632441E+02 -8.872588E-05 0.000000E+00 0.000000E+00
2.014000E+03 -9.568094E+02 -1.131228E-04 0.000000E+00 0.000000E+00
2.014000E+03 -9.493912E+02 -1.433826E-04 0.000000E+00 0.000000E+00
2.014000E+03 -9.409784E+02 -1.808721E-04 0.000000E+00 0.000000E+00
2.014000E+03 -9.316241E+02 -2.272681E-04 0.000000E+00 0.000000E+00
2.014000E+03 -9.214666E+02 -2.846308E-04 0.000000E+00 0.000000E+00
2.014000E+03 -9.107435E+02 -3.554997E-04 0.000000E+00 0.000000E+00
2.014000E+03 -8.997916E+02 -4.430207E-04 0.000000E+00 0.000000E+00
2.014000E+03 -8.890243E+02 -5.511127E-04 0.000000E+00 0.000000E+00
2.014000E+03 -8.788790E+02 -6.846858E-04 0.000000E+00 0.000000E+00
2.014000E+03 -8.697383E+02 -8.499157E-04 0.000000E+00 0.000000E+00
2.014000E+03 -8.618427E+02 -1.054578E-03 0.000000E+00 0.000000E+00
2.014000E+03 -8.552257E+02 -1.308442E-03 0.000000E+00 0.000000E+00
