Row (after comments),Time,Column,Node,Value,scaled Value
0,2014.0,4,-1,0.0,0.0
1,2014.0,4,-1,0.0,0.0
2,2014.0,4,-1,0.0,0.0
3,2014.0,4,-1,0.0,0.0
4,2014.0,4,-1,0.0,0.0
5,2014.0,4,-1,0.0,0.0
6,2014.0,4,-1,0.0,0.0
7,2014.0,4,-1,0.0,0.0
8,2014.0,4,-1,0.0,0.0
9,2014.0,4,-1,0.0,0.0
10,2014.0,4,-1,0.0,0.0
11,2014.0,4,-1,0.0,0.0
12,2014.0,4,-1,0.0,0.0
13,2014.0,4,-1,0.0,0.0
14,2014.0,4,-1,0.0,0.0
15,2014.0,4,-1,0.0,0.0
16,2014.0,4,-1,0.0,0.0
17,2014.0,4,-1,0.0,0.0
18,2014.0,4,-1,0.0,0.0
19,2014.0,4,-1,0.0,0.0
20,2014.0,4,-1,0.0,0.0
21,2014.0,4,-1,0.0,0.0
22,2014.0,4,-1,0.0,0.0
23,2014.0,4,-1,0.0,0.0
24,2014.0,4,-1,1.231837e-20,0.0
25,2014.0,4,-1,5.179835e-20,0.0
26,2014.0,4,-1,1.482189e-19,0.0
27,2014.0,4,-1,3.607344e-19,0.0
28,2014.0,4,-1,8.061323e-19,0.0
29,2014.0,4,-1,1.714094e-18,0.0
30,2014.0,4,-1,3.535215e-18,0.0
31,2014.0,4,-1,7.152106e-18,0.0
32,2014.0,4,-1,1.429184e-17,0.0
33,2014.0,4,-1,2.833171e-17,0.0
34,2014.0,4,-1,5.587321e-17,0.0
35,2014.0,4,-1,1.098164e-16,0.0
36,2014.0,4,-1,2.153648e-16,0.0
37,2014.0,4,-1,4.217534e-16,0.0
38,2014.0,4,-1,8.251545e-16,0.0
39,2014.0,4,-1,1.61341e-15,0.0
40,2014.0,4,-1,3.153391e-15,0.0
41,2014.0,4,-1,6.161592e-15,0.0
42,2014.0,4,-1,1.203725e-14,0.0
43,2014.0,4,-1,2.351341e-14,0.0
44,2014.0,4,-1,4.592668e-14,0.0
45,2014.0,4,-1,8.969759e-14,0.0
46,2014.0,4,-1,1.751725e-13,0.0
47,2014.0,4,-1,3.420752e-13,0.0
48,2014.001,4,-1,6.67955e-13,0.0
49,2014.001,4,-1,1.304191e-12,0.0
50,2014.001,4,-1,2.546251e-12,0.0
51,2014.001,4,-1,4.970792e-12,0.0
52,2014.001,4,-1,9.703179e-12,0.0
53,2014.002,4,-1,1.893944e-11,0.0
54,2014.002,4,-1,3.696462e-11,0.0
55,2014.003,4,-1,7.213944e-11,0.0
56,2014.004,4,-1,1.407751e-10,0.0
57,2014.005,4,-1,2.746879e-10,0.0
58,2014.006,4,-1,5.359233e-10,0.0
59,2014.007,4,-1,1.045435e-09,0.0
60,2014.009,4,-1,2.038915e-09,0.0
61,2014.011,4,-1,3.975396e-09,0.0
62,2014.014,4,-1,7.650335e-09,0.0
63,2014.017,4,-1,1.293773e-08,0.0
