sp,start,end,dt,sum for sp,sum/dt
1,2014.0,2014.08493,0.08492999999998574,366247.59580659773,11806.561503173221
2,2014.084932,2014.161642,0.07671000000004824,1590112.3668100126,56752.57978225191
3,2014.161644,2014.246459,0.08481499999993503,2691050.035059289,86867.81178688425
4,2014.246461,2014.328651,0.08219000000008236,2791847.634883111,92999.90564192676
5,2014.328653,2014.413583,0.08492999999998574,3607244.2247594474,116285.13411205744
6,2014.413584,2014.495774,0.08219000000008236,5001312.575897072,166599.92179826932
7,2014.495776,2014.580706,0.08492999999998574,6803349.114525911,219316.55161123723
8,2014.580708,2014.665637,0.08492900000010195,11112636.41202303,358237.35529364034
9,2014.665639,2014.747829,0.08218999999985499,18555731.58436682,618114.421756422
10,2014.747831,2014.832761,0.08492999999998574,24820676.645588476,800133.1577921486
11,2014.832763,2014.915067,0.08230399999979454,23245537.127698,773265.1161855479
12,2014.915068,2014.999998,0.08492999999998574,18237614.295816876,587917.893032171
13,2015.0,2015.08493,0.08492999999998574,15567469.704565672,501841.62468276726
14,2015.084932,2015.161642,0.07671000000004824,10608496.153743085,378627.0309580903
15,2015.161644,2015.246459,0.08481499999993503,11330596.203578122,365754.6629094632
16,2015.246461,2015.328651,0.08219000000008236,14776662.883389892,492228.95858905197
17,2015.328653,2015.413583,0.08492999999998574,19450821.06664601,627027.5022688258
18,2015.413584,2015.495774,0.08219000000008236,21142902.120165795,704296.2794974436
19,2015.495776,2015.580706,0.08492999999998574,24188520.349652223,779754.6153169352
20,2015.580708,2015.665637,0.08492900000010195,27128839.788857233,874550.6878665036
21,2015.665639,2015.747829,0.08218999999985499,30483789.894099247,1015452.8307151292
22,2015.747831,2015.832761,0.08492999999998574,33194791.31478345,1070085.7827608732
23,2015.832763,2015.915067,0.08230399999979454,31057029.13470832,1033115.1786384385
24,2015.915068,2015.999998,0.08492999999998574,23756628.75709921,765831.9173700708
25,2016.0,2016.084698,0.08469799999988936,19376509.123079877,626342.8977610555
26,2016.084699,2016.163933,0.07923400000004222,14028543.390605897,484742.13802492275
27,2016.163934,2016.248518,0.08458400000017718,9921397.82265196,321140.01274639985
28,2016.24852,2016.330485,0.08196499999985463,6597843.435424562,220385.66269851208
29,2016.330487,2016.415185,0.08469800000011674,9601208.764047738,310357.7058730017
30,2016.415187,2016.497152,0.08196499999985463,11274171.330313658,376587.55384635105
31,2016.497154,2016.581851,0.08469700000000557,14144084.49015969,457210.91484520235
32,2016.581853,2016.666551,0.08469800000011674,19821693.787409827,640733.4286296805
33,2016.666553,2016.748518,0.081965000000082,26910818.458624255,898893.4972151503
34,2016.74852,2016.833218,0.08469799999988936,32794419.51274452,1060074.9401004182
35,2016.833219,2016.915299,0.08207999999990534,25380842.112121593,846600.3722566743
36,2016.915301,2016.999998,0.08469700000000557,15442213.94758122,499173.26010891504
37,2017.0,2017.08493,0.08492999999998574,11453564.618752684,369223.4888369915
38,2017.084932,2017.161642,0.07671000000004824,10388075.265011305,370760.0057499782
39,2017.161644,2017.246459,0.08481499999993503,12081672.648442067,389999.61056929594
40,2017.246461,2017.328651,0.08219000000008236,13857695.112910276,461617.00295267126
41,2017.328653,2017.413583,0.08492999999998574,15129329.84312545,487717.5040596863
42,2017.413584,2017.495774,0.08219000000008236,15837801.797831234,527576.8112737681
43,2017.495776,2017.580706,0.08492999999998574,22246890.31619886,717163.1480449405
44,2017.580708,2017.665637,0.08492900000010195,31997641.132112402,1031505.9280083278
45,2017.665639,2017.747829,0.08218999999985499,36686380.69690185,1222068.8194210716
46,2017.747831,2017.832761,0.08492999999998574,41849869.842149734,1349095.7151621908
47,2017.832763,2017.915067,0.08230399999979454,40702573.853885464,1353975.1878941606
48,2017.915068,2017.999998,0.08492999999998574,26740227.92816828,862012.8821528272
49,2018.0,2018.08493,0.08492999999998574,19307444.504597135,622405.5355519782
50,2018.084932,2018.161642,0.07671000000004824,12538321.337970488,447504.2751200122
51,2018.161644,2018.246459,0.08481499999993503,13564317.7686801,437859.78989470267
52,2018.246461,2018.328651,0.08219000000008236,14378608.26621325,478969.2658410589
53,2018.328653,2018.413583,0.08492999999998574,13794705.534120142,444693.8114312107
54,2018.413584,2018.495774,0.08219000000008236,15661433.791583119,521701.77435040957
55,2018.495776,2018.580706,0.08492999999998574,22587879.92139539,728155.478893773
56,2018.580708,2018.665637,0.08492900000010195,29067582.9540214,937049.8283342511
57,2018.665639,2018.747829,0.08218999999985499,39530692.554094635,1316816.3733458577
58,2018.747831,2018.832761,0.08492999999998574,50588554.26189406,1630800.8136797943
59,2018.832763,2018.915067,0.08230399999979454,36927668.74213454,1228402.592010825
60,2018.915068,2018.999998,0.08492999999998574,24228776.622930013,781052.3389655943
61,2019.0,2019.08493,0.08492999999998574,20794425.39615207,670340.6798401539
62,2019.084932,2019.161642,0.07671000000004824,15944779.601902934,569083.9184420593
63,2019.161644,2019.246459,0.08481499999993503,16523977.377626207,533398.3902602323
64,2019.246461,2019.328651,0.08219000000008236,15085700.075936304,502523.37057184114
65,2019.328653,2019.413583,0.08492999999998574,13590868.10824632,438122.79463060177
66,2019.413584,2019.495774,0.08219000000008236,11278805.672206402,375710.9987532469
67,2019.495776,2019.580706,0.08492999999998574,11061053.341486054,356570.27666905493
68,2019.580708,2019.665637,0.08492900000010195,12643686.731050812,407593.72733480454
69,2019.665639,2019.747829,0.08218999999985499,14937425.23124111,497584.1516869758
70,2019.747831,2019.832761,0.08492999999998574,17040285.924890544,549320.1487392614
71,2019.832763,2019.915067,0.08230399999979454,16476806.13611975,548102.60314579
72,2019.915068,2019.999998,0.08492999999998574,13671797.428642761,440731.6772816026
73,2020.0,2020.084698,0.08469799999988936,13387802.5508728,432758.81073843694
74,2020.084699,2020.163933,0.07923400000004222,10751328.783181325,371501.29959024314
75,2020.163934,2020.248518,0.08458400000017718,10055952.438815512,325495.3336318494
76,2020.24852,2020.330485,0.08196499999985463,8599893.841265306,287259.51470264734
77,2020.330487,2020.415185,0.08469800000011674,8047809.1445562085,260144.2844114592
78,2020.415187,2020.497152,0.08196499999985463,6640825.679425829,221821.38490398737
79,2020.497154,2020.581851,0.08469700000000557,5139465.332016698,166134.4463758945
80,2020.581853,2020.666551,0.08469800000011674,8761883.02702487,283226.6209623176
81,2020.666553,2020.748518,0.081965000000082,24236573.618270054,809566.5486256257
82,2020.74852,2020.833218,0.08469799999988936,33646260.81059079,1087610.5887322994
83,2020.833219,2020.915299,0.08207999999990534,22101648.98504442,737219.9935513043
84,2020.915301,2020.999998,0.08469700000000557,16935193.632248476,547434.1855825235
85,2021.0,2021.08493,0.08492999999998574,13840193.264754154,446160.17925319594
86,2021.084932,2021.161642,0.07671000000004824,12096926.870076595,431750.4986715923
87,2021.161644,2021.246459,0.08481499999993503,16260598.282686548,524896.4429349332
88,2021.246461,2021.328651,0.08219000000008236,16634300.013037357,554109.1542041637
89,2021.328653,2021.413583,0.08492999999998574,16032220.376104772,516823.58620276855
90,2021.413584,2021.495774,0.08219000000008236,12026728.352977658,400625.2304147809
91,2021.495776,2021.580706,0.08492999999998574,12039618.073592238,388115.83444671985
92,2021.580708,2021.665637,0.08492900000010195,15155690.808341298,488573.0434727615
93,2021.665639,2021.747829,0.08218999999985499,19242215.966235153,640982.0675193545
94,2021.747831,2021.832761,0.08492999999998574,19960848.73123266,643469.0381565916
95,2021.832763,2021.915067,0.08230399999979454,18300704.064602003,608774.7500542783
96,2021.915068,2021.999998,0.08492999999998574,14920827.06575695,480996.0923896325
97,2022.0,2022.08493,0.08492999999998574,13577018.840030065,437676.3419061571
98,2022.084932,2022.161642,0.07671000000004824,10359337.025446003,369734.3114231029
99,2022.161644,2022.246459,0.08481499999993503,9889806.016432848,319245.5719707034
100,2022.246461,2022.328651,0.08219000000008236,10339867.181967754,344433.7936849182
101,2022.328653,2022.413583,0.08492999999998574,11522152.82101408,371434.53632962506
102,2022.413584,2022.495774,0.08219000000008236,7303751.059028907,243297.00189754437
103,2022.495776,2022.580706,0.08492999999998574,8230841.108403284,265333.97865777666
104,2022.580708,2022.665637,0.08492900000010195,12754248.157314193,411157.88902187586
105,2022.665639,2022.747829,0.08218999999985499,22648039.78414116,754434.2809358733
106,2022.747831,2022.832761,0.08492999999998574,33064517.39259713,1065886.2000409786
107,2022.832763,2022.915067,0.08230399999979454,31352063.237459347,1042929.5175581718
108,2022.915068,2022.999998,0.08492999999998574,19557408.059325583,630463.4999352084
109,2023.0,2023.08493,0.08492999999998574,30363210.341451894,978805.3612765288
110,2023.084932,2023.161642,0.07671000000004824,22116669.319382705,789364.365855485
111,2023.161644,2023.246459,0.08481499999993503,19206053.416749496,619976.5190684322
112,2023.246461,2023.328651,0.08219000000008236,13352888.19259196,444801.25865115225
113,2023.328653,2023.413583,0.08492999999998574,7444005.735169563,239969.11528851156
114,2023.413584,2023.495774,0.08219000000008236,4709414.992143714,156876.4514315545
115,2023.495776,2023.580706,0.08492999999998574,5088209.198550695,164026.34592425713
116,2023.580708,2023.665637,0.08492900000010195,6587592.903785365,212363.8146794729
117,2023.665639,2023.747829,0.08218999999985499,9517906.514074733,317053.26489177806
118,2023.747831,2023.832761,0.08492999999998574,9867215.011472076,318085.039278995
