Row (after comments),Time,Column,Node,Value,scaled Value
0,2014.0,4,-1,0.0,0.0
1,2014.0,4,-1,2.606516e-19,0.0
2,2014.0,4,-1,9.937344e-19,0.0
3,2014.0,4,-1,2.546444e-18,0.0
4,2014.0,4,-1,5.481638e-18,0.0
5,2014.0,4,-1,1.070423e-17,0.0
6,2014.0,4,-1,1.965999e-17,0.0
7,2014.0,4,-1,3.464767e-17,0.0
8,2014.0,4,-1,5.930879e-17,0.0
9,2014.0,4,-1,9.939541e-17,0.0
10,2014.0,4,-1,1.639727e-16,0.0
11,2014.0,4,-1,2.673024e-16,0.0
12,2014.0,4,-1,4.317892e-16,0.0
13,2014.0,4,-1,6.92593e-16,0.0
14,2014.0,4,-1,1.10484e-15,0.0
15,2014.0,4,-1,1.754903e-15,0.0
16,2014.0,4,-1,2.778036e-15,0.0
17,2014.0,4,-1,4.385943e-15,0.0
18,2014.0,4,-1,6.909878e-15,0.0
19,2014.0,4,-1,1.0868e-14,0.0
20,2014.0,4,-1,1.707071e-14,0.0
21,2014.0,4,-1,2.678514e-14,0.0
22,2014.0,4,-1,4.19924e-14,0.0
23,2014.0,4,-1,6.578963e-14,0.0
24,2014.0,4,-1,1.030183e-13,0.0
25,2014.0,4,-1,1.612466e-13,0.0
26,2014.0,4,-1,2.523051e-13,0.0
27,2014.0,4,-1,3.946884e-13,0.0
28,2014.0,4,-1,6.173267e-13,0.0
29,2014.0,4,-1,9.654854e-13,0.0
30,2014.0,4,-1,1.510027e-12,0.0
31,2014.0,4,-1,2.361962e-12,0.0
32,2014.0,4,-1,3.695322e-12,0.0
33,2014.0,4,-1,5.783161e-12,0.0
34,2014.0,4,-1,9.054255e-12,0.0
35,2014.0,4,-1,1.418242e-11,0.0
36,2014.0,4,-1,2.22272e-11,0.0
37,2014.0,4,-1,3.485558e-11,0.0
38,2014.0,4,-1,5.469078e-11,0.0
39,2014.0,4,-1,8.586083e-11,0.0
40,2014.0,4,-1,1.348594e-10,0.0
41,2014.0,4,-1,2.118936e-10,0.0
42,2014.0,4,-1,3.329908e-10,0.0
43,2014.0,4,-1,5.232858e-10,0.0
44,2014.0,4,-1,8.221525e-10,0.0
45,2014.0,4,-1,1.291454e-09,0.0
46,2014.0,4,-1,2.028748e-09,0.0
47,2014.0,4,-1,3.18758e-09,0.0
48,2014.001,4,-1,5.009719e-09,0.0
49,2014.001,4,-1,7.876098e-09,0.0
50,2014.001,4,-1,1.238751e-08,0.0
51,2014.001,4,-1,1.949277e-08,0.0
52,2014.001,4,-1,3.069282e-08,0.0
53,2014.002,4,-1,4.836694e-08,0.0
54,2014.002,4,-1,7.629578e-08,0.0
55,2014.003,4,-1,1.205039e-07,0.0
56,2014.004,4,-1,1.906243e-07,0.0
57,2014.005,4,-1,3.021212e-07,0.0
58,2014.006,4,-1,4.799365e-07,0.0
59,2014.007,4,-1,7.645137e-07,0.0
60,2014.009,4,-1,1.221834e-06,0.0
61,2014.011,4,-1,1.960268e-06,0.0
62,2014.014,4,-1,3.13456e-06,0.0
63,2014.017,4,-1,4.638409e-06,0.0
64,2014.019,4,-1,6.488887e-06,0.0
65,2014.022,4,-1,8.70255e-06,0.0
66,2014.025,4,-1,1.129546e-05,0.0
67,2014.028,4,-1,1.428319e-05,0.0
68,2014.03,4,-1,1.768086e-05,0.0
69,2014.033,4,-1,2.150313e-05,0.0
70,2014.036,4,-1,2.576421e-05,0.0
71,2014.039,4,-1,3.04779e-05,0.0
72,2014.041,4,-1,3.565757e-05,0.0
73,2014.044,4,-1,4.131617e-05,0.0
74,2014.047,4,-1,4.746625e-05,0.0
75,2014.049,4,-1,5.411999e-05,0.0
76,2014.052,4,-1,6.128917e-05,0.0
77,2014.055,4,-1,6.898519e-05,0.0
78,2014.058,4,-1,7.721911e-05,0.0
79,2014.06,4,-1,8.600162e-05,0.0
80,2014.063,4,-1,9.534304e-05,0.0
81,2014.066,4,-1,0.0001052534,0.0
82,2014.069,4,-1,0.0001157424,0.0
83,2014.071,4,-1,0.0001268193,0.0
84,2014.074,4,-1,0.0001384932,0.0
85,2014.077,4,-1,0.0001507728,0.0
86,2014.08,4,-1,0.0001636667,0.0
87,2014.082,4,-1,0.0001771827,0.0
88,2014.085,4,-1,0.0001904987,0.0
89,2014.088,4,-1,0.0002063658,0.0
90,2014.09,4,-1,0.0002238347,0.0
91,2014.093,4,-1,0.0002428285,0.0
92,2014.096,4,-1,0.0002632873,0.0
93,2014.099,4,-1,0.0002851575,0.0
94,2014.101,4,-1,0.0003083884,0.0
95,2014.104,4,-1,0.0003329927,0.0
96,2014.107,4,-1,0.0003589236,0.0
97,2014.11,4,-1,0.0003861333,0.0
98,2014.112,4,-1,0.0004145754,0.0
99,2014.115,4,-1,0.0004442054,0.0
100,2014.118,4,-1,0.0004749806,0.0
101,2014.121,4,-1,0.00050686,0.0
102,2014.123,4,-1,0.000539804,0.0
103,2014.126,4,-1,0.0005737748,0.0
104,2014.129,4,-1,0.0006087357,0.0
105,2014.131,4,-1,0.0006446514,0.0
106,2014.134,4,-1,0.0006814881,0.0
107,2014.137,4,-1,0.0007192132,0.0
108,2014.14,4,-1,0.0007577948,0.0
109,2014.142,4,-1,0.0007972026,0.0
110,2014.145,4,-1,0.0008374068,0.0
111,2014.148,4,-1,0.0008783789,0.0
112,2014.151,4,-1,0.000920091,0.0
113,2014.153,4,-1,0.0009625162,0.0
114,2014.156,4,-1,0.001005628,0.0
115,2014.159,4,-1,0.001049401,0.0
116,2014.162,4,-1,0.001093809,0.0
117,2014.162,4,-1,0.001094665,0.0
118,2014.164,4,-1,0.001136096,0.0
119,2014.167,4,-1,0.001175991,0.0
120,2014.17,4,-1,0.001215184,0.0
121,2014.173,4,-1,0.001253916,0.0
122,2014.175,4,-1,0.001292454,0.0
123,2014.178,4,-1,0.001330993,0.0
124,2014.181,4,-1,0.001369826,0.0
125,2014.184,4,-1,0.001409062,0.0
126,2014.186,4,-1,0.001448798,0.0
127,2014.189,4,-1,0.001489121,0.0
128,2014.192,4,-1,0.001530095,0.0
129,2014.194,4,-1,0.001571807,0.0
130,2014.197,4,-1,0.001614384,0.0
131,2014.2,4,-1,0.001657872,0.0
132,2014.203,4,-1,0.001702322,0.0
133,2014.205,4,-1,0.001747787,0.0
134,2014.208,4,-1,0.001794321,0.0
135,2014.211,4,-1,0.001841977,0.0
136,2014.214,4,-1,0.001890812,0.0
137,2014.216,4,-1,0.001940889,0.0
138,2014.219,4,-1,0.001992282,0.0
139,2014.222,4,-1,0.002045076,0.0
140,2014.225,4,-1,0.002099383,0.0
141,2014.227,4,-1,0.002155351,0.0
142,2014.23,4,-1,0.002213201,0.0
143,2014.233,4,-1,0.002273362,0.0
144,2014.236,4,-1,0.002336221,0.0
145,2014.238,4,-1,0.00240266,0.0
146,2014.241,4,-1,0.0024725,0.0
147,2014.244,4,-1,0.002541004,0.0
148,2014.247,4,-1,0.00260823,0.0
149,2014.247,4,-1,0.002609658,0.0
150,2014.249,4,-1,0.002675202,0.0
151,2014.252,4,-1,0.002739065,0.0
152,2014.255,4,-1,0.002801314,0.0
153,2014.258,4,-1,0.002862035,0.0
154,2014.26,4,-1,0.002921319,0.0
155,2014.263,4,-1,0.002979261,0.0
156,2014.266,4,-1,0.003035952,0.0
157,2014.268,4,-1,0.003091484,0.0
158,2014.271,4,-1,0.003145946,0.0
159,2014.274,4,-1,0.003199428,0.0
160,2014.277,4,-1,0.003252017,0.0
161,2014.279,4,-1,0.003303799,0.0
162,2014.282,4,-1,0.003354857,0.0
163,2014.285,4,-1,0.003405274,0.0
164,2014.288,4,-1,0.003455134,0.0
165,2014.29,4,-1,0.003504517,0.0
166,2014.293,4,-1,0.003553503,0.0
167,2014.296,4,-1,0.003602174,0.0
168,2014.299,4,-1,0.003650607,0.0
169,2014.301,4,-1,0.003698884,0.0
170,2014.304,4,-1,0.003747084,0.0
171,2014.307,4,-1,0.003795288,0.0
172,2014.31,4,-1,0.003843578,0.0
173,2014.312,4,-1,0.003892038,0.0
174,2014.315,4,-1,0.003940752,0.0
175,2014.318,4,-1,0.00398981,0.0
176,2014.32,4,-1,0.004039304,0.0
177,2014.323,4,-1,0.004089329,0.0
178,2014.326,4,-1,0.00413999,0.0
179,2014.329,4,-1,0.004191396,0.0
180,2014.329,4,-1,0.004192459,0.0
181,2014.332,4,-1,0.004244392,0.0
182,2014.334,4,-1,0.004297111,0.0
183,2014.337,4,-1,0.004350831,0.0
184,2014.34,4,-1,0.004405787,0.0
185,2014.342,4,-1,0.004462291,0.0
186,2014.345,4,-1,0.004520767,0.0
187,2014.348,4,-1,0.004582021,0.0
188,2014.351,4,-1,0.004648351,0.0
189,2014.353,4,-1,0.004714692,0.0
190,2014.356,4,-1,0.004781015,0.0
191,2014.359,4,-1,0.004847343,0.0
192,2014.362,4,-1,0.004913706,0.0
193,2014.364,4,-1,0.004980135,0.0
194,2014.367,4,-1,0.005046661,0.0
195,2014.37,4,-1,0.00511331,0.0
196,2014.373,4,-1,0.005180114,0.0
197,2014.375,4,-1,0.005247107,0.0
198,2014.378,4,-1,0.005314322,0.0
199,2014.381,4,-1,0.005381791,0.0
200,2014.384,4,-1,0.00544955,0.0
201,2014.386,4,-1,0.005517631,0.0
202,2014.389,4,-1,0.005586069,0.0
203,2014.392,4,-1,0.005654899,0.0
204,2014.394,4,-1,0.005724159,0.0
205,2014.397,4,-1,0.005793884,0.0
206,2014.4,4,-1,0.005864116,0.0
207,2014.403,4,-1,0.005934893,0.0
208,2014.405,4,-1,0.006006258,0.0
209,2014.408,4,-1,0.006078257,0.0
210,2014.411,4,-1,0.006150936,0.0
211,2014.414,4,-1,0.006224346,0.0
212,2014.414,4,-1,0.006225915,0.0
213,2014.416,4,-1,0.006300993,0.0
214,2014.419,4,-1,0.006377156,0.0
215,2014.422,4,-1,0.006454261,0.0
216,2014.425,4,-1,0.006532272,0.0
217,2014.427,4,-1,0.006611195,0.0
218,2014.43,4,-1,0.006691062,0.0
219,2014.433,4,-1,0.006771917,0.0
220,2014.436,4,-1,0.006853814,0.0
221,2014.438,4,-1,0.006936815,0.0
222,2014.441,4,-1,0.007020995,0.0
223,2014.444,4,-1,0.007106439,0.0
224,2014.447,4,-1,0.007193247,0.0
225,2014.449,4,-1,0.007281542,0.0
226,2014.452,4,-1,0.007371476,0.0
227,2014.455,4,-1,0.007463253,0.0
228,2014.458,4,-1,0.007557193,0.0
229,2014.46,4,-1,0.007653618,0.0
230,2014.463,4,-1,0.007753204,0.0
231,2014.466,4,-1,0.007859199,0.0
232,2014.468,4,-1,0.007965579,0.0
233,2014.471,4,-1,0.008072185,0.0
234,2014.474,4,-1,0.008179004,0.0
235,2014.477,4,-1,0.008286034,0.0
236,2014.479,4,-1,0.008393282,0.0
237,2014.482,4,-1,0.008500752,0.0
238,2014.485,4,-1,0.008608452,0.0
239,2014.488,4,-1,0.008716388,0.0
240,2014.49,4,-1,0.00882457,0.0
241,2014.493,4,-1,0.008933004,0.0
242,2014.496,4,-1,0.009041701,0.0
243,2014.496,4,-1,0.009043946,0.0
244,2014.499,4,-1,0.009155476,0.0
245,2014.501,4,-1,0.00926839,0.0
246,2014.504,4,-1,0.00938227,0.0
247,2014.507,4,-1,0.009496944,0.0
248,2014.51,4,-1,0.009612362,0.0
249,2014.512,4,-1,0.009728509,0.0
250,2014.515,4,-1,0.009845379,0.0
251,2014.518,4,-1,0.009962971,0.0
252,2014.521,4,-1,0.01008129,0.0
253,2014.523,4,-1,0.01020034,0.0
254,2014.526,4,-1,0.01032011,0.0
255,2014.529,4,-1,0.01044062,0.0
256,2014.531,4,-1,0.01056187,0.0
257,2014.534,4,-1,0.01068387,0.0
258,2014.537,4,-1,0.01080662,0.0
259,2014.54,4,-1,0.01093012,0.0
260,2014.542,4,-1,0.01105439,0.0
261,2014.545,4,-1,0.01117944,0.0
262,2014.548,4,-1,0.01130526,0.0
263,2014.551,4,-1,0.01143187,0.0
264,2014.553,4,-1,0.01155927,0.0
265,2014.556,4,-1,0.01168748,0.0
266,2014.559,4,-1,0.0118165,0.0
267,2014.562,4,-1,0.01194634,0.0
268,2014.564,4,-1,0.01207702,0.0
269,2014.567,4,-1,0.01220853,0.0
270,2014.57,4,-1,0.0123409,0.0
271,2014.573,4,-1,0.01247413,0.0
272,2014.575,4,-1,0.01260823,0.0
273,2014.578,4,-1,0.01274322,0.0
274,2014.581,4,-1,0.01287911,0.0
275,2014.581,4,-1,0.01288201,0.0
276,2014.584,4,-1,0.01302599,0.0
277,2014.586,4,-1,0.01317504,0.0
278,2014.589,4,-1,0.01332843,0.0
279,2014.592,4,-1,0.01348586,0.0
280,2014.595,4,-1,0.01364721,0.0
281,2014.597,4,-1,0.0138124,0.0
282,2014.6,4,-1,0.01398142,0.0
283,2014.603,4,-1,0.01415423,0.0
284,2014.605,4,-1,0.01433082,0.0
285,2014.608,4,-1,0.01451119,0.0
286,2014.611,4,-1,0.01469531,0.0
287,2014.614,4,-1,0.01488317,0.0
288,2014.616,4,-1,0.01507475,0.0
289,2014.619,4,-1,0.01527003,0.0
290,2014.622,4,-1,0.01546898,0.0
291,2014.625,4,-1,0.01567157,0.0
292,2014.627,4,-1,0.01587779,0.0
293,2014.63,4,-1,0.0160876,0.0
294,2014.633,4,-1,0.01630096,0.0
295,2014.636,4,-1,0.01651786,0.0
296,2014.638,4,-1,0.01673825,0.0
297,2014.641,4,-1,0.01696211,0.0
298,2014.644,4,-1,0.01718939,0.0
299,2014.647,4,-1,0.01742007,0.0
300,2014.649,4,-1,0.0176541,0.0
301,2014.652,4,-1,0.01789146,0.0
302,2014.655,4,-1,0.0181321,0.0
303,2014.657,4,-1,0.018376,0.0
304,2014.66,4,-1,0.01862311,0.0
305,2014.663,4,-1,0.01887339,0.0
306,2014.666,4,-1,0.01912682,0.0
307,2014.666,4,-1,0.01913221,0.0
308,2014.668,4,-1,0.01939574,0.0
309,2014.671,4,-1,0.01966716,0.0
310,2014.674,4,-1,0.01994582,0.0
311,2014.677,4,-1,0.02023143,0.0
312,2014.679,4,-1,0.02052383,0.0
313,2014.682,4,-1,0.02082291,0.0
314,2014.685,4,-1,0.02112858,0.0
315,2014.688,4,-1,0.02144078,0.0
316,2014.69,4,-1,0.02175943,0.0
317,2014.693,4,-1,0.02208445,0.0
318,2014.696,4,-1,0.02241577,0.0
319,2014.699,4,-1,0.02275332,0.0
