Row (after comments),Time,Column,Node,Value,scaled Value
0,2014.0,4,-1,0.0,0.0
1,2014.0,4,-1,1.775311e-19,2.1232719559999998e-11
2,2014.0,4,-1,6.76853e-19,8.095161879999998e-11
3,2014.0,4,-1,1.73451e-18,2.07447396e-10
4,2014.0,4,-1,3.734088e-18,4.465969247999999e-10
5,2014.0,4,-1,7.292579e-18,8.721924484e-10
6,2014.0,4,-1,1.339641e-17,1.6022106359999998e-09
7,2014.0,4,-1,2.361565e-17,2.8244317399999994e-09
8,2014.0,4,-1,4.044101e-17,4.836744796e-09
9,2014.0,4,-1,6.781453e-17,8.110617788e-09
10,2014.0,4,-1,1.119651e-16,1.3391025959999998e-08
11,2014.0,4,-1,1.827254e-16,2.1853957839999997e-08
12,2014.0,4,-1,2.956094e-16,3.5354884239999993e-08
13,2014.0,4,-1,4.750944e-16,5.682129023999999e-08
14,2014.0,4,-1,7.598147e-16,9.087383811999998e-08
15,2014.0,4,-1,1.210803e-15,1.4481203879999998e-07
16,2014.0,4,-1,1.924596e-15,2.301816816e-07
17,2014.0,4,-1,3.054178e-15,3.6527968879999994e-07
18,2014.0,4,-1,4.842542e-15,5.791680231999999e-07
19,2014.0,4,-1,7.676795e-15,9.181446819999998e-07
20,2014.0,4,-1,1.217582e-14,1.456228072e-06
21,2014.0,4,-1,1.933313e-14,2.3122423479999995e-06
22,2014.0,4,-1,3.075132e-14,3.677857871999999e-06
23,2014.0,4,-1,4.902902e-14,5.863870791999999e-06
24,2014.0,4,-1,7.840379e-14,9.377093284e-06
25,2014.0,4,-1,1.258259e-13,1.504877764e-05
26,2014.0,4,-1,2.027594e-13,2.4250024239999995e-05
27,2014.0,4,-1,3.282082e-13,3.9253700719999994e-05
28,2014.0,4,-1,5.337996e-13,6.384243216e-05
29,2014.0,4,-1,8.722591e-13,0.00010432218836
30,2014.0,4,-1,1.431482e-12,0.00017120524719999998
31,2014.0,4,-1,2.357579e-12,0.00028196644839999994
32,2014.0,4,-1,3.89203e-12,0.000465486788
33,2014.0,4,-1,6.430504e-12,0.0007690882783999999
34,2014.0,4,-1,1.06143e-11,0.00126947028
35,2014.0,4,-1,1.747052e-11,0.0020894741919999997
36,2014.0,4,-1,2.862587e-11,0.0034236540519999997
37,2014.0,4,-1,4.663482e-11,0.005577524471999999
38,2014.0,4,-1,7.549116e-11,0.009028742735999998
39,2014.0,4,-1,1.214389e-10,0.014524092439999999
40,2014.0,4,-1,1.942689e-10,0.023234560439999996
41,2014.0,4,-1,3.093957e-10,0.03700372572
42,2014.0,4,-1,4.911578e-10,0.05874247287999999
43,2014.0,4,-1,7.780371e-10,0.09305323716
44,2014.0,4,-1,1.230864e-09,0.14721133439999998
45,2014.0,4,-1,1.94568e-09,0.23270332799999996
46,2014.0,4,-1,3.073846e-09,0.36763198159999994
47,2014.0,4,-1,4.853431e-09,0.5804703475999999
48,2014.001,4,-1,7.658199e-09,0.9159206003999999
