sp,start,end,dt,sum for sp,sum/dt
1,2014.0,2014.08493,0.08492999999998574,67780.42955062783,2185.0076815891853
2,2014.084932,2014.161642,0.07671000000004824,289827.18850137835,10344.200184725376
3,2014.161644,2014.246459,0.08481499999993503,266861.99543710804,8614.376280890045
4,2014.246461,2014.328651,0.08219000000008236,477249.2367744743,15897.763700692052
5,2014.328653,2014.413583,0.08492999999998574,730221.6600975812,23539.832178021996
6,2014.413584,2014.495774,0.08219000000008236,1287972.829383774,42903.97158692774
7,2014.495776,2014.580706,0.08492999999998574,3221230.784641467,103841.38984182595
8,2014.580708,2014.665637,0.08492900000010195,4862625.904985355,156756.1629299429
9,2014.665639,2014.747829,0.08218999999985499,3174889.979675666,105759.5209870809
10,2014.747831,2014.832761,0.08492999999998574,1121638.182594106,36157.753221396546
11,2014.832763,2014.915067,0.08230399999979454,642841.679760014,21384.192735914054
12,2014.915068,2014.999998,0.08492999999998574,272069.31944402517,8770.578127804598
13,2015.0,2015.08493,0.08492999999998574,1012341.8135088641,32634.41458804248
14,2015.084932,2015.161642,0.07671000000004824,1392927.6418080605,49714.87473002036
15,2015.161644,2015.246459,0.08481499999993503,2380765.903312479,76851.75738214151
16,2015.246461,2015.328651,0.08219000000008236,2753451.558877759,91720.88475235466
17,2015.328653,2015.413583,0.08492999999998574,1646286.7028993608,53070.61515811708
18,2015.413584,2015.495774,0.08219000000008236,1657515.5540428609,55213.89785029079
19,2015.495776,2015.580706,0.08492999999998574,1908028.5441557153,61508.27094652207
20,2015.580708,2015.665637,0.08492900000010195,1202451.09611401,38763.339730594365
21,2015.665639,2015.747829,0.08218999999985499,1617680.1323337068,53886.93057118403
22,2015.747831,2015.832761,0.08492999999998574,996441.0012432383,32121.827146885167
23,2015.832763,2015.915067,0.08230399999979454,694597.4670582664,23105.85417391847
24,2015.915068,2015.999998,0.08492999999998574,587623.956943843,18942.97319035265
25,2016.0,2016.084698,0.08469799999988936,555629.3881957326,17960.6408395405
26,2016.084699,2016.163933,0.07923400000004222,447577.94593916787,15465.603548878851
27,2016.163934,2016.248518,0.08458400000017718,635789.8549665071,20579.51568697401
28,2016.24852,2016.330485,0.08196499999985463,358405.58563147276,11971.707615877629
29,2016.330487,2016.415185,0.08469800000011674,559403.0261387754,18082.623148551498
30,2016.415187,2016.497152,0.08196499999985463,1249852.3065475759,41748.41848699106
31,2016.497154,2016.581851,0.08469700000000557,2659053.543358786,85954.54191660597
32,2016.581853,2016.666551,0.08469800000011674,2827459.117094776,91397.21326726841
33,2016.666553,2016.748518,0.081965000000082,1716955.050462826,57350.902658151426
34,2016.74852,2016.833218,0.08469799999988936,1086812.8652343797,35131.07108256544
35,2016.833219,2016.915299,0.08207999999990534,644215.424845099,21488.373635438955
36,2016.915301,2016.999998,0.08469700000000557,385572.44735162816,12463.721601450303
37,2017.0,2017.08493,0.08492999999998574,182304.66280238997,5876.8746562046335
38,2017.084932,2017.161642,0.07671000000004824,787378.0781223577,28102.25121830925
39,2017.161644,2017.246459,0.08481499999993503,631182.3447365833,20374.734178650753
40,2017.246461,2017.328651,0.08219000000008236,3155167.396612404,105102.53729577997
41,2017.328653,2017.413583,0.08492999999998574,4154798.5877891136,133936.40155369925
42,2017.413584,2017.495774,0.08219000000008236,2686812.0011406746,89501.03847416474
43,2017.495776,2017.580706,0.08492999999998574,3456135.7649303214,111413.91763159633
44,2017.580708,2017.665637,0.08492900000010195,4694714.433994622,151343.2114879156
45,2017.665639,2017.747829,0.08218999999985499,1864714.3407346068,62115.94628988646
46,2017.747831,2017.832761,0.08492999999998574,1160273.3456928143,37403.21785934301
47,2017.832763,2017.915067,0.08230399999979454,792148.8543585145,26350.910823734757
48,2017.915068,2017.999998,0.08492999999998574,541517.1444230406,17456.648299828074
49,2018.0,2018.08493,0.08492999999998574,435563.589311131,14041.07047970992
50,2018.084932,2018.161642,0.07671000000004824,1142424.287066242,40774.178511030805
51,2018.161644,2018.246459,0.08481499999993503,1131481.571140419,36524.52644195763
52,2018.246461,2018.328651,0.08219000000008236,642147.17666506,21390.718494772223
53,2018.328653,2018.413583,0.08492999999998574,3079877.958459867,99284.66140164339
54,2018.413584,2018.495774,0.08219000000008236,2648176.818038356,88214.05263078271
55,2018.495776,2018.580706,0.08492999999998574,4035985.173122104,130106.26613785114
56,2018.580708,2018.665637,0.08492900000010195,4018840.882325274,129555.11866405717
57,2018.665639,2018.747829,0.08218999999985499,2003124.030468186,66726.54463499485
58,2018.747831,2018.832761,0.08492999999998574,1062736.8743625453,34258.97784043674
59,2018.832763,2018.915067,0.08230399999979454,739538.1562219005,24600.810691235027
60,2018.915068,2018.999998,0.08492999999998574,651264.0426983364,20994.510443103427
61,2019.0,2019.08493,0.08492999999998574,636509.4043930554,20518.871704165835
62,2019.084932,2019.161642,0.07671000000004824,575583.7541118382,20543.116076842067
63,2019.161644,2019.246459,0.08481499999993503,801870.4110378985,25884.590414899885
64,2019.246461,2019.328651,0.08219000000008236,683887.1415125942,22781.128466941263
65,2019.328653,2019.413583,0.08492999999998574,1546450.6834367968,49852.245624739444
66,2019.413584,2019.495774,0.08219000000008236,895061.4729565158,29815.60723035843
67,2019.495776,2019.580706,0.08492999999998574,1147630.2682670963,36995.64857308633
68,2019.580708,2019.665637,0.08492900000010195,926681.932716952,29873.38669838522
69,2019.665639,2019.747829,0.08218999999985499,1077484.1604101355,35892.333090478955
70,2019.747831,2019.832761,0.08492999999998574,764710.4398878621,24651.63169404769
71,2019.832763,2019.915067,0.08230399999979454,504623.7174870225,16786.35840458326
72,2019.915068,2019.999998,0.08492999999998574,348363.027852222,11230.024608655225
73,2020.0,2020.084698,0.08469799999988936,395366.03491118463,12780.150769655702
74,2020.084699,2020.163933,0.07923400000004222,341705.346704651,11807.282889189968
