Row (after comments),Time,Column,Node,Value,scaled Value
0,2014.0,4,-1,0.0,0.0
1,2014.0,4,-1,9.765747e-21,7.617282659999999e-13
2,2014.0,4,-1,3.723191e-20,2.90408898e-12
3,2014.0,4,-1,9.540677e-20,7.44172806e-12
4,2014.0,4,-1,2.053787e-19,1.60195386e-11
5,2014.0,4,-1,4.010521e-19,3.1282063799999997e-11
6,2014.0,4,-1,7.365943e-19,5.74543554e-11
7,2014.0,4,-1,1.298133e-18,1.0125437399999999e-10
8,2014.0,4,-1,2.222103e-18,1.73324034e-10
9,2014.0,4,-1,3.724015e-18,2.9047317e-10
10,2014.0,4,-1,6.143512e-18,4.79193936e-10
11,2014.0,4,-1,1.001493e-17,7.8116454e-10
12,2014.0,4,-1,1.617771e-17,1.2618613800000002e-09
13,2014.0,4,-1,2.594915e-17,2.0240337e-09
14,2014.0,4,-1,4.139468e-17,3.2287850400000002e-09
15,2014.0,4,-1,6.575037e-17,5.12852886e-09
16,2014.0,4,-1,1.040837e-16,8.1185286e-09
17,2014.0,4,-1,1.643265e-16,1.2817467e-08
18,2014.0,4,-1,2.588896e-16,2.01933888e-08
19,2014.0,4,-1,4.071865e-16,3.1760547e-08
20,2014.0,4,-1,6.395783e-16,4.9887107400000006e-08
21,2014.0,4,-1,1.003538e-15,7.827596400000001e-08
22,2014.0,4,-1,1.573283e-15,1.22716074e-07
23,2014.0,4,-1,2.464835e-15,1.9225713000000002e-07
24,2014.0,4,-1,3.85954e-15,3.0104412e-07
25,2014.0,4,-1,6.040838e-15,4.71185364e-07
26,2014.0,4,-1,9.451706e-15,7.37233068e-07
27,2014.0,4,-1,1.478443e-14,1.1531855399999999e-06
28,2014.0,4,-1,2.312087e-14,1.80342786e-06
29,2014.0,4,-1,3.615165e-14,2.8198287e-06
30,2014.0,4,-1,5.651864e-14,4.40845392e-06
31,2014.0,4,-1,8.835013e-14,6.8913101399999995e-06
32,2014.0,4,-1,3.970728e-13,3.09716784e-05
33,2014.0,4,-1,1.785144e-12,0.000139241232
34,2014.0,4,-1,5.321532e-12,0.00041507949599999997
35,2014.0,4,-1,1.27977e-11,0.0009982206
36,2014.0,4,-1,2.712373e-11,0.00211565094
37,2014.0,4,-1,5.297956e-11,0.00413240568
38,2014.0,4,-1,9.792248e-11,0.00763795344
39,2014.0,4,-1,1.742453e-10,0.0135911334
40,2014.0,4,-1,3.04936e-10,0.023785008
41,2014.0,4,-1,5.257001e-10,0.0410046078
42,2014.0,4,-1,8.938165e-10,0.069717687
43,2014.0,4,-1,1.499876e-09,0.11699032799999999
44,2014.0,4,-1,2.48563e-09,0.19387913999999998
45,2014.0,4,-1,4.075443e-09,0.317884554
46,2014.0,4,-1,6.62242e-09,0.51654876
47,2014.0,4,-1,1.067904e-08,0.83296512
48,2014.001,4,-1,1.711491e-08,1.33496298
49,2014.001,4,-1,2.729835e-08,2.1292713
50,2014.001,4,-1,4.337844e-08,3.38351832
51,2014.001,4,-1,6.872311e-08,5.36040258
52,2014.001,4,-1,1.086021e-07,8.4709638
53,2014.002,4,-1,1.712557e-07,13.3579446
54,2014.002,4,-1,2.704323e-07,21.0937194
55,2014.003,4,-1,4.278654e-07,33.3735012
56,2014.004,4,-1,6.79115e-07,52.97097
57,2014.005,4,-1,1.082832e-06,84.460896
58,2014.006,4,-1,1.736592e-06,135.454176
59,2014.007,4,-1,2.80422e-06,218.72915999999998
60,2014.009,4,-1,4.561455e-06,355.79348999999996
61,2014.011,4,-1,7.469938e-06,582.655164
62,2014.014,4,-1,1.219938e-05,951.55164
63,2014.017,4,-1,1.834555e-05,1430.9529
64,2014.019,4,-1,2.598484e-05,2026.8175199999998
65,2014.022,4,-1,3.517849e-05,2743.92222
66,2014.025,4,-1,4.597481e-05,3586.03518
67,2014.028,4,-1,5.841128e-05,4556.07984
68,2014.03,4,-1,7.251633e-05,5656.2737400000005
69,2014.033,4,-1,8.8311e-05,6888.258
70,2014.036,4,-1,0.0001058102,8253.195600000001
71,2014.039,4,-1,0.0001250238,9751.856399999999
72,2014.041,4,-1,0.0001459577,11384.7006
73,2014.044,4,-1,0.0001686145,13151.930999999999
74,2014.047,4,-1,0.000192994,15053.532
75,2014.049,4,-1,0.0002190939,17089.3242
76,2014.052,4,-1,0.0002469103,19259.0034
77,2014.055,4,-1,0.0002764375,21562.125
78,2014.058,4,-1,0.0003076691,23998.189799999996
79,2014.06,4,-1,0.0003405975,26566.605
80,2014.063,4,-1,0.0003752146,29266.7388
81,2014.066,4,-1,0.0004115118,32097.9204
82,2014.069,4,-1,0.0004494796,35059.4088
83,2014.071,4,-1,0.0004891089,38150.4942
84,2014.074,4,-1,0.0005303896,41370.3888
85,2014.077,4,-1,0.0005733118,44718.320400000004
86,2014.08,4,-1,0.0006178655,48193.509
87,2014.082,4,-1,0.0006640406,51795.1668
88,2014.085,4,-1,0.0007090633,55306.9374
89,2014.088,4,-1,0.0007646908,59645.8824
90,2014.09,4,-1,0.0008284851,64621.8378
91,2014.093,4,-1,0.0009002587,70220.1786
92,2014.096,4,-1,0.0009795548,76405.2744
93,2014.099,4,-1,0.001065863,83137.314
94,2014.101,4,-1,0.001158674,90376.572
95,2014.104,4,-1,0.001257501,98085.07800000001
96,2014.107,4,-1,0.0013619,106228.20000000001
97,2014.11,4,-1,0.001471461,114773.95800000001
98,2014.112,4,-1,0.00158582,123693.95999999999
99,2014.115,4,-1,0.001704651,132962.778
100,2014.118,4,-1,0.001827661,142557.558
101,2014.121,4,-1,0.001954592,152458.17599999998
102,2014.123,4,-1,0.002085215,162646.77000000002
103,2014.126,4,-1,0.002219324,173107.272
104,2014.129,4,-1,0.00235674,183825.72
105,2014.131,4,-1,0.0024973,194789.4
106,2014.134,4,-1,0.002640858,205986.924
107,2014.137,4,-1,0.002787285,217408.23
108,2014.14,4,-1,0.002936463,229044.114
