TITLE = ""
VARIABLES ="simulation time, " "Aqueous Volumetric Flux Rate (1)" "Aqueous Volumetric Flux Integral (1)" "Conservation Component Species Flux (total_cr6) Rate (2)" "Conservation Component Species Flux (total_cr6) Integral (2)"
ZONE T="Reference Node Variables" F=POINT
2.014000E+03 -9.899973E+02 -2.710465E-06 0.000000E+00 0.000000E+00 
2.014000E+03 -9.887877E+02 -6.094406E-06 1.266881E-11 4.335665E-20 
2.014000E+03 -9.872999E+02 -1.031797E-05 2.850483E-11 1.652972E-19 
2.014000E+03 -9.854820E+02 -1.558770E-05 4.829984E-11 4.235741E-19 
2.014000E+03 -9.832655E+02 -2.216005E-05 7.304360E-11 9.118126E-19 
2.014000E+03 -9.805734E+02 -3.035299E-05 1.039733E-10 1.780536E-18 
2.014000E+03 -9.773198E+02 -4.056019E-05 1.426354E-10 3.270231E-18 
2.014000E+03 -9.734113E+02 -5.326816E-05 1.909630E-10 5.763270E-18 
2.014000E+03 -9.687508E+02 -6.907707E-05 2.513725E-10 9.865383E-18 
2.014000E+03 -9.632441E+02 -8.872588E-05 3.268843E-10 1.653336E-17 
2.014000E+03 -9.568094E+02 -1.131228E-04 4.212740E-10 2.727510E-17 
2.014000E+03 -9.493912E+02 -1.433826E-04 5.392610E-10 4.446284E-17 
2.014000E+03 -9.409784E+02 -1.808721E-04 6.867446E-10 7.182342E-17 
2.014000E+03 -9.316241E+02 -2.272681E-04 8.710988E-10 1.152052E-16 
2.014000E+03 -9.214666E+02 -2.846308E-04 1.101541E-09 1.837778E-16 
2.014000E+03 -9.107435E+02 -3.554997E-04 1.389593E-09 2.919082E-16 
2.014000E+03 -8.997916E+02 -4.430207E-04 1.749658E-09 4.620939E-16 
2.014000E+03 -8.890243E+02 -5.511127E-04 2.199736E-09 7.295488E-16 
2.014000E+03 -8.788790E+02 -6.846858E-04 2.762332E-09 1.149371E-15 
2.014000E+03 -8.697383E+02 -8.499157E-04 3.465572E-09 1.807749E-15 
2.014000E+03 -8.618427E+02 -1.054578E-03 4.344617E-09 2.839468E-15 
2.014000E+03 -8.552257E+02 -1.308442E-03 5.443412E-09 4.455282E-15 
2.014000E+03 -8.497026E+02 -1.623722E-03 6.816891E-09 6.984675E-15 
2.014000E+03 -8.449281E+02 -2.015608E-03 8.533716E-09 1.094270E-14 
2.014000E+03 -8.405014E+02 -2.502900E-03 1.067971E-08 1.713439E-14 
2.014000E+03 -8.360754E+02 -3.108806E-03 1.336214E-08 2.681798E-14 
2.014000E+03 -8.314290E+02 -3.861980E-03 1.671509E-08 4.195983E-14 
2.014000E+03 -8.264890E+02 -4.797854E-03 2.090613E-08 6.563286E-14 
2.014000E+03 -8.213167E+02 -5.960375E-03 2.614471E-08 1.026390E-13 
2.014000E+03 -8.162213E+02 -7.404511E-03 3.269259E-08 1.604818E-13 
2.014000E+03 -8.114764E+02 -9.199187E-03 4.087689E-08 2.508859E-13 
2.014000E+03 -8.073131E+02 -1.143102E-02 5.110641E-08 3.921708E-13 
2.014000E+03 -8.038847E+02 -1.420897E-02 6.389198E-08 6.129593E-13 
2.014000E+03 -8.012309E+02 -1.766994E-02 7.987187E-08 9.579712E-13 
2.014000E+03 -7.992727E+02 -2.198558E-02 9.984351E-08 1.497072E-12 
2.014000E+03 -7.978450E+02 -2.737049E-02 1.248030E-07 2.339408E-12 
2.014000E+03 -7.967532E+02 -3.409242E-02 1.559947E-07 3.655481E-12 
2.014000E+03 -7.958282E+02 -4.248508E-02 1.949722E-07 5.711622E-12 
2.014000E+03 -7.949576E+02 -5.296443E-02 2.436755E-07 8.923819E-12 
2.014000E+03 -7.940892E+02 -6.604931E-02 3.045265E-07 1.394176E-11 
2.014000E+03 -7.932182E+02 -8.238746E-02 3.805472E-07 2.178000E-11 
2.014000E+03 -7.923800E+02 -1.027886E-01 4.755089E-07 3.402275E-11 
2.014000E+03 -7.917539E+02 -1.282698E-01 5.941163E-07 5.314337E-11 
2.014000E+03 -7.913748E+02 -1.601061E-01 7.422390E-07 8.300297E-11 
2.014000E+03 -7.910407E+02 -1.998847E-01 9.272017E-07 1.296286E-10 
2.014000E+03 -7.907164E+02 -2.495875E-01 1.158151E-06 2.024276E-10 
2.014000E+03 -7.904071E+02 -3.116917E-01 1.446522E-06 3.160844E-10 
2.014000E+03 -7.901245E+02 -3.892943E-01 1.806635E-06 4.935242E-10 
2.014001E+03 -7.898781E+02 -4.862672E-01 2.256468E-06 7.705496E-10 
2.014001E+03 -7.896722E+02 -6.074517E-01 2.818643E-06 1.203104E-09 
2.014001E+03 -7.895058E+02 -7.589005E-01 3.521693E-06 1.878661E-09 
2.014001E+03 -7.893733E+02 -9.481797E-01 4.401648E-06 2.934106E-09 
2.014001E+03 -7.892675E+02 -1.184747E+00 5.503979E-06 4.583815E-09 
2.014002E+03 -7.891818E+02 -1.480424E+00 6.885912E-06 7.163709E-09 
2.014002E+03 -7.891117E+02 -1.849987E+00 8.619127E-06 1.120029E-08 
2.014003E+03 -7.890544E+02 -2.311908E+00 1.079287E-05 1.751855E-08 
2.014004E+03 -7.890085E+02 -2.889275E+00 1.351758E-05 2.741021E-08 
2.014005E+03 -7.889728E+02 -3.610952E+00 1.692927E-05 4.289548E-08 
2.014006E+03 -7.889457E+02 -4.513017E+00 2.119491E-05 6.712932E-08 
2.014007E+03 -7.889259E+02 -5.640569E+00 2.651925E-05 1.050313E-07 
2.014009E+03 -7.889120E+02 -7.049985E+00 3.315315E-05 1.642604E-07 
2.014011E+03 -7.889024E+02 -8.811733E+00 4.140387E-05 2.567220E-07 
2.014014E+03 -7.888963E+02 -1.097161E+01 5.164961E-05 3.981310E-07 
2.014017E+03 -7.888929E+02 -1.313148E+01 6.414881E-05 5.737608E-07 
2.014019E+03 -7.888910E+02 -1.529135E+01 7.655830E-05 7.833661E-07 
2.014022E+03 -7.888899E+02 -1.745121E+01 8.887751E-05 1.026699E-06 
2.014025E+03 -7.888892E+02 -1.961107E+01 1.011071E-04 1.303515E-06 
2.014028E+03 -7.888889E+02 -2.177093E+01 1.132480E-04 1.613572E-06 
2.014030E+03 -7.888887E+02 -2.393079E+01 1.253016E-04 1.956629E-06 
2.014033E+03 -7.888886E+02 -2.609065E+01 1.372689E-04 2.332451E-06 
2.014036E+03 -7.888886E+02 -2.825051E+01 1.491512E-04 2.740804E-06 
2.014039E+03 -7.888886E+02 -3.041037E+01 1.609493E-04 3.181460E-06 
2.014041E+03 -7.888887E+02 -3.257023E+01 1.726644E-04 3.654189E-06 
2.014044E+03 -7.888888E+02 -3.473009E+01 1.842972E-04 4.158767E-06 
2.014047E+03 -7.888889E+02 -3.688995E+01 1.958485E-04 4.694971E-06 
2.014049E+03 -7.888890E+02 -3.904981E+01 2.073192E-04 5.262580E-06 
2.014052E+03 -7.888891E+02 -4.120967E+01 2.187098E-04 5.861375E-06 
2.014055E+03 -7.888891E+02 -4.336953E+01 2.300212E-04 6.491139E-06 
2.014058E+03 -7.888892E+02 -4.552939E+01 2.412538E-04 7.151656E-06 
2.014060E+03 -7.888893E+02 -4.768925E+01 2.524083E-04 7.842712E-06 
2.014063E+03 -7.888894E+02 -4.984912E+01 2.634853E-04 8.564096E-06 
2.014066E+03 -7.888895E+02 -5.200898E+01 2.744854E-04 9.315596E-06 
2.014069E+03 -7.888896E+02 -5.416884E+01 2.854090E-04 1.009700E-05 
2.014071E+03 -7.888896E+02 -5.632870E+01 2.962566E-04 1.090811E-05 
2.014074E+03 -7.888897E+02 -5.848856E+01 3.070289E-04 1.174871E-05 
2.014077E+03 -7.888898E+02 -6.064843E+01 3.177263E-04 1.261860E-05 
2.014080E+03 -7.888898E+02 -6.280829E+01 3.283492E-04 1.351757E-05 
2.014082E+03 -7.888899E+02 -6.496815E+01 3.388983E-04 1.444542E-05 
2.014085E+03 -7.888899E+02 -6.700473E+01 3.494431E-04 1.534753E-05 
2.014088E+03 -7.825624E+02 -6.914727E+01 3.743151E-04 1.637235E-05 
2.014090E+03 -7.764747E+02 -7.127314E+01 3.976209E-04 1.746098E-05 
2.014093E+03 -7.704378E+02 -7.338249E+01 4.192743E-04 1.860889E-05 
2.014096E+03 -7.644270E+02 -7.547537E+01 4.397701E-04 1.981292E-05 
2.014099E+03 -7.584341E+02 -7.755185E+01 4.594506E-04 2.107082E-05 
2.014101E+03 -7.524550E+02 -7.961196E+01 4.785434E-04 2.238100E-05 
2.014104E+03 -7.464873E+02 -8.165573E+01 4.972006E-04 2.374226E-05 
2.014107E+03 -7.405295E+02 -8.368319E+01 5.155261E-04 2.515370E-05 
2.014110E+03 -7.345807E+02 -8.569437E+01 5.335924E-04 2.661459E-05 
2.014112E+03 -7.286399E+02 -8.768927E+01 5.514513E-04 2.812439E-05 
2.014115E+03 -7.227065E+02 -8.966794E+01 5.691405E-04 2.968261E-05 
2.014118E+03 -7.167801E+02 -9.163037E+01 5.866881E-04 3.128887E-05 
2.014121E+03 -7.108602E+02 -9.357660E+01 6.041154E-04 3.294285E-05 
2.014123E+03 -7.049464E+02 -9.550664E+01 6.214387E-04 3.464426E-05 
2.014126E+03 -6.990385E+02 -9.742050E+01 6.386708E-04 3.639284E-05 
2.014129E+03 -6.931362E+02 -9.931821E+01 6.558217E-04 3.818838E-05 
2.014131E+03 -6.872392E+02 -1.011998E+02 6.728997E-04 4.003068E-05 
2.014134E+03 -6.813474E+02 -1.030652E+02 6.899114E-04 4.191956E-05 
2.014137E+03 -6.754604E+02 -1.049145E+02 7.068624E-04 4.385484E-05 
