TITLE = ""
VARIABLES ="simulation time, " "Aqueous Volumetric Flux Rate (1)" "Aqueous Volumetric Flux Integral (1)" "Conservation Component Species Flux (total_cr6) Rate (2)" "Conservation Component Species Flux (total_cr6) Integral (2)"
ZONE T="Reference Node Variables" F=POINT
2.014000E+03 5.943314E+02 1.627191E-06 0.000000E+00 0.000000E+00 
2.014000E+03 5.955410E+02 3.665319E-06 6.706488E-11 2.295170E-19 
2.014000E+03 5.970288E+02 6.219343E-06 1.508960E-10 8.750337E-19 
2.014000E+03 5.988466E+02 9.421594E-06 2.556848E-10 2.242274E-18 
2.014000E+03 6.010630E+02 1.343922E-05 3.866709E-10 4.826862E-18 
2.014000E+03 6.037550E+02 1.848375E-05 5.504035E-10 9.425625E-18 
2.014000E+03 6.070084E+02 2.482339E-05 7.550692E-10 1.731162E-17 
2.014000E+03 6.109167E+02 3.279896E-05 1.010901E-09 3.050903E-17 
2.014000E+03 6.155768E+02 4.284448E-05 1.330692E-09 5.222440E-17 
2.014000E+03 6.210831E+02 5.551369E-05 1.730429E-09 8.752270E-17 
2.014000E+03 6.275172E+02 7.151426E-05 2.230101E-09 1.443863E-16 
2.014000E+03 6.349344E+02 9.175139E-05 2.854692E-09 2.353733E-16 
2.014000E+03 6.433461E+02 1.173829E-04 3.635429E-09 3.802123E-16 
2.014000E+03 6.526988E+02 1.498881E-04 4.611352E-09 6.098633E-16 
2.014000E+03 6.628541E+02 1.911518E-04 5.831257E-09 9.728679E-16 
2.014000E+03 6.735745E+02 2.435656E-04 7.356140E-09 1.545281E-15 
2.014000E+03 6.845227E+02 3.101477E-04 9.262248E-09 2.446202E-15 
2.014000E+03 6.952852E+02 3.946840E-04 1.164490E-08 3.862046E-15 
2.014000E+03 7.054245E+02 5.018953E-04 1.462323E-08 6.084503E-15 
2.014000E+03 7.145577E+02 6.376445E-04 1.834620E-08 9.569851E-15 
2.014000E+03 7.224440E+02 8.092038E-04 2.300001E-08 1.503168E-14 
2.014000E+03 7.290499E+02 1.025614E-03 2.881748E-08 2.358581E-14 
2.014000E+03 7.345599E+02 1.298171E-03 3.608972E-08 3.697683E-14 
2.014000E+03 7.393193E+02 1.641074E-03 4.518081E-08 5.793214E-14 
2.014000E+03 7.437292E+02 2.072261E-03 5.654616E-08 9.071548E-14 
2.014000E+03 7.481369E+02 2.614438E-03 7.075566E-08 1.419923E-13 
2.014000E+03 7.527642E+02 3.296351E-03 8.852273E-08 2.221832E-13 
2.014000E+03 7.576849E+02 4.154314E-03 1.107410E-07 3.475805E-13 
2.014000E+03 7.628385E+02 5.234063E-03 1.385304E-07 5.436614E-13 
2.014000E+03 7.679174E+02 6.592735E-03 1.733131E-07 8.503034E-13 
2.014000E+03 7.726486E+02 8.301539E-03 2.168750E-07 1.329948E-12 
2.014000E+03 7.768011E+02 1.044902E-02 2.714667E-07 2.080424E-12 
2.014000E+03 7.802216E+02 1.314520E-02 3.399278E-07 3.255097E-12 
2.014000E+03 7.828699E+02 1.652686E-02 4.258400E-07 5.094541E-12 
2.014000E+03 7.848243E+02 2.076448E-02 5.337203E-07 7.976342E-12 
2.014000E+03 7.862494E+02 2.607114E-02 6.692633E-07 1.249342E-11 
2.014000E+03 7.873392E+02 3.271364E-02 8.396432E-07 1.957720E-11 
2.014000E+03 7.882626E+02 4.102652E-02 1.053886E-06 3.069129E-11 
2.014000E+03 7.891319E+02 5.142907E-02 1.323323E-06 4.813569E-11 
2.014000E+03 7.899988E+02 6.444654E-02 1.662132E-06 7.552403E-11 
2.014000E+03 7.908685E+02 8.073630E-02 2.087982E-06 1.185308E-10 
2.014000E+03 7.917055E+02 1.011200E-01 2.622833E-06 1.860599E-10 
2.014000E+03 7.923307E+02 1.266198E-01 3.295364E-06 2.921155E-10 
2.014000E+03 7.927093E+02 1.585098E-01 4.142922E-06 4.587816E-10 
2.014000E+03 7.930430E+02 1.983891E-01 5.211387E-06 7.208433E-10 
2.014000E+03 7.933669E+02 2.482585E-01 6.558538E-06 1.133100E-09 
2.014000E+03 7.936758E+02 3.106196E-01 8.257117E-06 1.781882E-09 
2.014000E+03 7.939581E+02 3.885986E-01 1.039886E-05 2.803212E-09 
2.014001E+03 7.942043E+02 4.861027E-01 1.309993E-05 4.411483E-09 
2.014001E+03 7.944100E+02 6.080143E-01 1.650817E-05 6.944857E-09 
2.014001E+03 7.945763E+02 7.604357E-01 2.081297E-05 1.093735E-08 
2.014001E+03 7.947087E+02 9.509943E-01 2.625824E-05 1.723366E-08 
2.014001E+03 7.948144E+02 1.189224E+00 3.315957E-05 2.717259E-08 
2.014002E+03 7.949002E+02 1.487044E+00 4.192720E-05 4.288115E-08 
2.014002E+03 7.949703E+02 1.859351E+00 5.309756E-05 6.774824E-08 
2.014003E+03 7.950276E+02 2.324768E+00 6.737723E-05 1.071916E-07 
2.014004E+03 7.950735E+02 2.906574E+00 8.570539E-05 1.699076E-07 
2.014005E+03 7.951093E+02 3.633863E+00 1.093429E-04 2.699240E-07 
2.014006E+03 7.951363E+02 4.543006E+00 1.399997E-04 4.299968E-07 
2.014007E+03 7.951561E+02 5.679463E+00 1.800193E-04 6.872849E-07 
2.014009E+03 7.951701E+02 7.100059E+00 2.326441E-04 1.102911E-06 
2.014011E+03 7.951797E+02 8.875825E+00 3.024012E-04 1.778222E-06 
2.014014E+03 7.951858E+02 1.105293E+01 3.950395E-04 2.859781E-06 
2.014017E+03 7.951892E+02 1.323003E+01 5.085196E-04 4.252032E-06 
2.014019E+03 7.951912E+02 1.540715E+01 6.290091E-04 5.974165E-06 
2.014022E+03 7.951923E+02 1.758427E+01 7.563337E-04 8.044894E-06 
2.014025E+03 7.951929E+02 1.976139E+01 8.903252E-04 1.048247E-05 
2.014028E+03 7.951933E+02 2.193851E+01 1.030820E-03 1.330470E-05 
2.014030E+03 7.951935E+02 2.411563E+01 1.177657E-03 1.652895E-05 
