TITLE = ""
VARIABLES ="simulation time, " "Aqueous Volumetric Flux Rate (1)" "Aqueous Volumetric Flux Integral (1)" "Conservation Component Species Flux (total_cr6) Rate (2)" "Conservation Component Species Flux (total_cr6) Integral (2)"
ZONE T="Reference Node Variables" F=POINT
2.014000E+03 9.232954E+02 2.527845E-06 0.000000E+00 0.000000E+00 
2.014000E+03 9.247980E+02 5.692794E-06 7.194829E-11 2.462296E-19 
2.014000E+03 9.266475E+02 9.656892E-06 1.618837E-10 9.387504E-19 
2.014000E+03 9.289026E+02 1.462407E-05 2.743029E-10 2.405548E-18 
2.014000E+03 9.316517E+02 2.085142E-05 4.148269E-10 5.178336E-18 
2.014000E+03 9.349897E+02 2.866350E-05 5.904819E-10 1.011196E-17 
2.014000E+03 9.390228E+02 3.847073E-05 8.100507E-10 1.857219E-17 
2.014000E+03 9.438662E+02 5.079298E-05 1.084512E-09 3.273059E-17 
2.014000E+03 9.496391E+02 6.629001E-05 1.427588E-09 5.602720E-17 
2.014000E+03 9.564569E+02 8.580037E-05 1.856433E-09 9.389580E-17 
2.014000E+03 9.644187E+02 1.103913E-04 2.392490E-09 1.549000E-16 
2.014000E+03 9.735902E+02 1.414224E-04 3.062561E-09 2.525124E-16 
2.014000E+03 9.839809E+02 1.806251E-04 3.900150E-09 4.078981E-16 
2.014000E+03 9.955186E+02 2.302032E-04 4.947136E-09 6.542715E-16 
2.014000E+03 1.008024E+03 2.929541E-04 6.255871E-09 1.043709E-15 
2.014000E+03 1.021190E+03 3.724175E-04 7.891791E-09 1.657804E-15 
2.014000E+03 1.034587E+03 4.730497E-04 9.936696E-09 2.624326E-15 
2.014000E+03 1.047685E+03 6.004324E-04 1.249284E-08 4.143268E-15 
2.014000E+03 1.059922E+03 7.615206E-04 1.568803E-08 6.527554E-15 
2.014000E+03 1.070804E+03 9.649483E-04 1.968206E-08 1.026668E-14 
2.014000E+03 1.080014E+03 1.221420E-03 2.467468E-08 1.612620E-14 
2.014000E+03 1.087497E+03 1.544231E-03 3.091561E-08 2.530314E-14 
2.014000E+03 1.093476E+03 1.949963E-03 3.871708E-08 3.966903E-14 
2.014000E+03 1.098384E+03 2.459404E-03 4.846951E-08 6.214967E-14 
2.014000E+03 1.102740E+03 3.098731E-03 6.066120E-08 9.731876E-14 
2.014000E+03 1.107019E+03 3.900991E-03 7.590300E-08 1.523259E-13 
2.014000E+03 1.111561E+03 4.907931E-03 9.495935E-08 2.383476E-13 
2.014000E+03 1.116553E+03 6.172259E-03 1.187874E-07 3.728563E-13 
2.014000E+03 1.121961E+03 7.760322E-03 1.485962E-07 5.831848E-13 
2.014000E+03 1.127671E+03 9.755504E-03 1.859032E-07 9.121024E-13 
2.014000E+03 1.133491E+03 1.226235E-02 2.326214E-07 1.426572E-12 
2.014000E+03 1.139173E+03 1.541162E-02 2.911667E-07 2.231509E-12 
2.014000E+03 1.144449E+03 1.936644E-02 3.645950E-07 3.491423E-12 
2.014000E+03 1.149085E+03 2.432999E-02 4.567749E-07 5.464493E-12 
2.014000E+03 1.152935E+03 3.055521E-02 5.726053E-07 8.556251E-12 
2.014000E+03 1.155973E+03 3.835725E-02 7.182865E-07 1.340420E-11 
2.014000E+03 1.158298E+03 4.812941E-02 9.016578E-07 2.101117E-11 
2.014000E+03 1.160092E+03 6.036353E-02 1.132615E-06 3.295552E-11 
2.014000E+03 1.161558E+03 7.567550E-02 1.423620E-06 5.172207E-11 
2.014000E+03 1.162858E+03 9.483689E-02 1.790320E-06 8.122268E-11 
2.014000E+03 1.164092E+03 1.188141E-01 2.252271E-06 1.276134E-10 
2.014000E+03 1.165289E+03 1.488163E-01 2.833804E-06 2.005743E-10 
2.014000E+03 1.166430E+03 1.863558E-01 3.565057E-06 3.153095E-10 
2.014000E+03 1.167460E+03 2.333217E-01 4.483318E-06 4.956694E-10 
2.014000E+03 1.168343E+03 2.920734E-01 5.634792E-06 7.790227E-10 
2.014000E+03 1.168949E+03 3.655512E-01 7.080754E-06 1.224104E-09 
2.014000E+03 1.169282E+03 4.574246E-01 8.902453E-06 1.923592E-09 
2.014000E+03 1.169555E+03 5.722931E-01 1.119811E-05 3.023421E-09 
2.014001E+03 1.169798E+03 7.159086E-01 1.409205E-05 4.753495E-09 
2.014001E+03 1.170009E+03 8.954603E-01 1.774222E-05 7.476249E-09 
2.014001E+03 1.170189E+03 1.119935E+00 2.235021E-05 1.176363E-08 
2.014001E+03 1.170339E+03 1.400563E+00 2.817458E-05 1.851945E-08 
2.014001E+03 1.170464E+03 1.751387E+00 3.554847E-05 2.917440E-08 
2.014002E+03 1.170570E+03 2.189955E+00 4.490300E-05 4.599787E-08 
2.014002E+03 1.170659E+03 2.738208E+00 5.679887E-05 7.259840E-08 
2.014003E+03 1.170736E+03 3.423569E+00 7.196998E-05 1.147304E-07 
2.014004E+03 1.170800E+03 4.280318E+00 9.138421E-05 1.816020E-07 
2.014005E+03 1.170853E+03 5.351301E+00 1.163292E-04 2.880088E-07 
2.014006E+03 1.170896E+03 6.690080E+00 1.485342E-04 4.578398E-07 
2.014007E+03 1.170931E+03 8.363603E+00 1.903430E-04 7.298827E-07 
2.014009E+03 1.170958E+03 1.045556E+01 2.449631E-04 1.167517E-06 
2.014011E+03 1.170979E+03 1.307054E+01 3.168215E-04 1.875031E-06 
2.014014E+03 1.170996E+03 1.627655E+01 4.115224E-04 3.001718E-06 
2.014017E+03 1.171007E+03 1.948260E+01 5.275626E-04 4.446106E-06 
2.014019E+03 1.171015E+03 2.268866E+01 6.498365E-04 6.225261E-06 
2.014022E+03 1.171021E+03 2.589474E+01 7.781601E-04 8.355747E-06 
2.014025E+03 1.171025E+03 2.910083E+01 9.123560E-04 1.085364E-05 
2.014028E+03 1.171029E+03 3.230694E+01 1.052252E-03 1.373455E-05 
2.014030E+03 1.171032E+03 3.551305E+01 1.197680E-03 1.701362E-05 
2.014033E+03 1.171035E+03 3.871917E+01 1.348476E-03 2.070555E-05 
2.014036E+03 1.171037E+03 4.192529E+01 1.504480E-03 2.482459E-05 
2.014039E+03 1.171038E+03 4.513142E+01 1.665534E-03 2.938457E-05 
2.014041E+03 1.171040E+03 4.833755E+01 1.831486E-03 3.439891E-05 
2.014044E+03 1.171041E+03 5.154368E+01 2.002185E-03 3.988059E-05 
2.014047E+03 1.171042E+03 5.474982E+01 2.177486E-03 4.584222E-05 
2.014049E+03 1.171043E+03 5.795596E+01 2.357246E-03 5.229601E-05 
2.014052E+03 1.171044E+03 6.116211E+01 2.541325E-03 5.925378E-05 
2.014055E+03 1.171044E+03 6.436825E+01 2.729587E-03 6.672698E-05 
2.014058E+03 1.171045E+03 6.757440E+01 2.921898E-03 7.472670E-05 
2.014060E+03 1.171045E+03 7.078054E+01 3.118129E-03 8.326368E-05 
2.014063E+03 1.171046E+03 7.398669E+01 3.318153E-03 9.234828E-05 
2.014066E+03 1.171046E+03 7.719284E+01 3.521846E-03 1.019906E-04 
2.014069E+03 1.171046E+03 8.039899E+01 3.729087E-03 1.122003E-04 
2.014071E+03 1.171047E+03 8.360514E+01 3.939758E-03 1.229867E-04 
2.014074E+03 1.171047E+03 8.681129E+01 4.153743E-03 1.343591E-04 
2.014077E+03 1.171047E+03 9.001745E+01 4.370931E-03 1.463260E-04 
2.014080E+03 1.171047E+03 9.322360E+01 4.591210E-03 1.588961E-04 
2.014082E+03 1.171048E+03 9.642975E+01 4.814474E-03 1.720774E-04 
2.014085E+03 1.171048E+03 9.945290E+01 5.031800E-03 1.850674E-04 
2.014088E+03 1.159434E+03 1.026273E+02 5.565933E-03 2.003061E-04 
2.014090E+03 1.146071E+03 1.057650E+02 6.058434E-03 2.168931E-04 
2.014093E+03 1.132502E+03 1.088657E+02 6.534826E-03 2.347845E-04 
2.014096E+03 1.118897E+03 1.119290E+02 6.998199E-03 2.539445E-04 
2.014099E+03 1.105302E+03 1.149552E+02 7.448575E-03 2.743376E-04 
2.014101E+03 1.091735E+03 1.179442E+02 7.885531E-03 2.959270E-04 
2.014104E+03 1.078202E+03 1.208961E+02 8.308685E-03 3.186750E-04 
2.014107E+03 1.064706E+03 1.238111E+02 8.717804E-03 3.425430E-04 
2.014110E+03 1.051248E+03 1.266893E+02 9.112807E-03 3.674925E-04 
2.014112E+03 1.037827E+03 1.295307E+02 9.493744E-03 3.934850E-04 
2.014115E+03 1.024442E+03 1.323355E+02 9.860767E-03 4.204823E-04 
2.014118E+03 1.011092E+03 1.351037E+02 1.021410E-02 4.484470E-04 
2.014121E+03 9.977758E+02 1.378355E+02 1.055403E-02 4.773423E-04 
2.014123E+03 9.844917E+02 1.405309E+02 1.088087E-02 5.071325E-04 
2.014126E+03 9.712386E+02 1.431900E+02 1.119496E-02 5.377827E-04 
2.014129E+03 9.580151E+02 1.458129E+02 1.149665E-02 5.692588E-04 
2.014131E+03 9.448199E+02 1.483997E+02 1.178629E-02 6.015279E-04 
2.014134E+03 9.316519E+02 1.509504E+02 1.206423E-02 6.345579E-04 
2.014137E+03 9.185098E+02 1.534651E+02 1.233082E-02 6.683179E-04 
2.014140E+03 9.053925E+02 1.559439E+02 1.258638E-02 7.027775E-04 
2.014142E+03 8.922989E+02 1.583869E+02 1.283124E-02 7.379075E-04 
2.014145E+03 8.792281E+02 1.607941E+02 1.306569E-02 7.736794E-04 
2.014148E+03 8.661790E+02 1.631656E+02 1.329003E-02 8.100655E-04 
2.014151E+03 8.531507E+02 1.655014E+02 1.350453E-02 8.470389E-04 
2.014153E+03 8.401423E+02 1.678016E+02 1.370945E-02 8.845734E-04 
2.014156E+03 8.271529E+02 1.700662E+02 1.390503E-02 9.226433E-04 
2.014159E+03 8.141818E+02 1.722953E+02 1.409150E-02 9.612237E-04 
2.014162E+03 8.012283E+02 1.744889E+02 1.426906E-02 1.000290E-03 
2.014162E+03 8.009829E+02 1.745310E+02 1.431607E-02 1.001042E-03 
2.014164E+03 8.091982E+02 1.767465E+02 1.374305E-02 1.038668E-03 
2.014167E+03 8.222963E+02 1.789978E+02 1.359551E-02 1.075891E-03 
2.014170E+03 8.361069E+02 1.812869E+02 1.355395E-02 1.113000E-03 
2.014173E+03 8.502158E+02 1.836147E+02 1.357021E-02 1.150153E-03 
2.014175E+03 8.644700E+02 1.859815E+02 1.365962E-02 1.187551E-03 
2.014178E+03 8.789261E+02 1.883879E+02 1.379472E-02 1.225319E-03 
2.014181E+03 8.935067E+02 1.908341E+02 1.396315E-02 1.263548E-03 
2.014184E+03 9.081328E+02 1.933205E+02 1.416441E-02 1.302328E-03 
2.014186E+03 9.228505E+02 1.958471E+02 1.439760E-02 1.341746E-03 
2.014189E+03 9.376908E+02 1.984144E+02 1.465664E-02 1.381874E-03 
2.014192E+03 9.526314E+02 2.010225E+02 1.493665E-02 1.422768E-03 
2.014194E+03 9.676641E+02 2.036718E+02 1.523526E-02 1.464480E-03 
2.014197E+03 9.827873E+02 2.063626E+02 1.555127E-02 1.507057E-03 
2.014200E+03 9.979853E+02 2.090949E+02 1.588412E-02 1.550545E-03 
2.014203E+03 1.013267E+03 2.118691E+02 1.623530E-02 1.594995E-03 
2.014205E+03 1.028661E+03 2.146854E+02 1.660615E-02 1.640460E-03 
2.014208E+03 1.044176E+03 2.175442E+02 1.699635E-02 1.686994E-03 
2.014211E+03 1.059820E+03 2.204458E+02 1.740622E-02 1.734650E-03 
2.014214E+03 1.075606E+03 2.233907E+02 1.783697E-02 1.783485E-03 
2.014216E+03 1.091552E+03 2.263792E+02 1.829080E-02 1.833562E-03 
2.014219E+03 1.107687E+03 2.294119E+02 1.877114E-02 1.884955E-03 
2.014222E+03 1.124048E+03 2.324893E+02 1.928330E-02 1.937749E-03 
2.014225E+03 1.140699E+03 2.356124E+02 1.983563E-02 1.992056E-03 
2.014227E+03 1.157742E+03 2.387821E+02 2.044215E-02 2.048024E-03 
2.014230E+03 1.175398E+03 2.420002E+02 2.112976E-02 2.105874E-03 
2.014233E+03 1.194480E+03 2.452705E+02 2.197392E-02 2.166035E-03 
2.014236E+03 1.213453E+03 2.485927E+02 2.295922E-02 2.228894E-03 
2.014238E+03 1.231172E+03 2.519635E+02 2.426679E-02 2.295333E-03 
2.014241E+03 1.249134E+03 2.553835E+02 2.550915E-02 2.365173E-03 
2.014244E+03 1.264016E+03 2.588441E+02 2.502102E-02 2.433677E-03 
2.014247E+03 1.278881E+03 2.623455E+02 2.455430E-02 2.500903E-03 
2.014247E+03 1.279199E+03 2.624199E+02 2.455337E-02 2.502331E-03 
2.014249E+03 1.280939E+03 2.659269E+02 2.394012E-02 2.567875E-03 
2.014252E+03 1.282302E+03 2.694377E+02 2.332587E-02 2.631738E-03 
2.014255E+03 1.283598E+03 2.729520E+02 2.273637E-02 2.693987E-03 
2.014258E+03 1.284868E+03 2.764697E+02 2.217834E-02 2.754708E-03 
2.014260E+03 1.286126E+03 2.799910E+02 2.165378E-02 2.813992E-03 
2.014263E+03 1.287376E+03 2.835156E+02 2.116316E-02 2.871934E-03 
2.014266E+03 1.288621E+03 2.870437E+02 2.070635E-02 2.928625E-03 
2.014268E+03 1.289865E+03 2.905751E+02 2.028296E-02 2.984157E-03 
2.014271E+03 1.291108E+03 2.941100E+02 1.989248E-02 3.038619E-03 
2.014274E+03 1.292351E+03 2.976482E+02 1.953438E-02 3.092101E-03 
2.014277E+03 1.293595E+03 3.011899E+02 1.920809E-02 3.144690E-03 
2.014279E+03 1.294840E+03 3.047350E+02 1.891311E-02 3.196472E-03 
2.014282E+03 1.296086E+03 3.082835E+02 1.864893E-02 3.247530E-03 
2.014285E+03 1.297335E+03 3.118354E+02 1.841511E-02 3.297947E-03 
2.014288E+03 1.298585E+03 3.153907E+02 1.821127E-02 3.347807E-03 
2.014290E+03 1.299838E+03 3.189495E+02 1.803709E-02 3.397190E-03 
2.014293E+03 1.301094E+03 3.225117E+02 1.789230E-02 3.446176E-03 
2.014296E+03 1.302352E+03 3.260773E+02 1.777674E-02 3.494847E-03 
