TITLE = ""
VARIABLES ="simulation time, " "Aqueous Volumetric Flux Rate (1)" "Aqueous Volumetric Flux Integral (1)" "Conservation Component Species Flux (total_cr6) Rate (2)" "Conservation Component Species Flux (total_cr6) Integral (2)"
ZONE T="Reference Node Variables" F=POINT
2.014000E+03 2.591538E+03 7.095243E-06 0.000000E+00 0.000000E+00 
2.014000E+03 2.851597E+03 1.685430E-05 5.130873E-11 1.755945E-19 
2.014000E+03 3.155995E+03 3.035531E-05 1.154482E-10 6.694696E-19 
2.014000E+03 3.509200E+03 4.912028E-05 1.956328E-10 1.715590E-18 
2.014000E+03 3.911949E+03 7.526855E-05 2.958871E-10 3.693360E-18 
2.014000E+03 4.361506E+03 1.117101E-04 4.212541E-10 7.213047E-18 
2.014000E+03 4.850453E+03 1.623685E-04 5.780597E-10 1.325034E-17 
2.014000E+03 5.365777E+03 2.324192E-04 7.742477E-10 2.335822E-17 
2.014000E+03 5.888711E+03 3.285163E-04 1.019810E-09 4.000035E-17 
2.014000E+03 6.395853E+03 4.589826E-04 1.327332E-09 6.707603E-17 
2.014000E+03 6.861923E+03 6.339495E-04 1.712699E-09 1.107468E-16 
2.014000E+03 7.264006E+03 8.654735E-04 2.195999E-09 1.807394E-16 
2.014000E+03 7.586317E+03 1.167720E-03 2.802690E-09 2.924013E-16 
2.014000E+03 7.823843E+03 1.557357E-03 3.565117E-09 4.699485E-16 
2.014000E+03 7.983144E+03 2.054320E-03 4.524507E-09 7.516059E-16 
2.014000E+03 8.079668E+03 2.683034E-03 5.733615E-09 1.197764E-15 
2.014000E+03 8.132616E+03 3.474077E-03 7.260277E-09 1.903956E-15 
2.014000E+03 8.159735E+03 4.466179E-03 9.192218E-09 3.021592E-15 
2.014000E+03 8.174137E+03 5.708494E-03 1.164362E-08 4.791204E-15 
2.014000E+03 8.183788E+03 7.263222E-03 1.476417E-08 7.596050E-15 
2.014000E+03 8.192760E+03 9.208763E-03 1.875152E-08 1.204899E-14 
2.014000E+03 8.202911E+03 1.164370E-02 2.386869E-08 1.913413E-14 
2.014000E+03 8.215124E+03 1.469191E-02 3.046835E-08 3.043935E-14 
2.014000E+03 8.229967E+03 1.850905E-02 3.902660E-08 4.854028E-14 
2.014000E+03 8.247942E+03 2.329089E-02 5.018995E-08 7.763852E-14 
2.014000E+03 8.269552E+03 2.928386E-02 6.483994E-08 1.246282E-13 
2.014000E+03 8.295289E+03 3.679839E-02 8.418042E-08 2.008855E-13 
2.014000E+03 8.325588E+03 4.622586E-02 1.098528E-07 3.252771E-13 
2.014000E+03 8.360750E+03 5.805996E-02 1.440821E-07 5.292161E-13 
2.014000E+03 8.400737E+03 7.292334E-02 1.898366E-07 8.650930E-13 
2.014000E+03 8.445206E+03 9.160091E-02 2.510320E-07 1.420280E-12 
2.014000E+03 8.493345E+03 1.150810E-01 3.327121E-07 2.340070E-12 
2.014000E+03 8.543789E+03 1.446053E-01 4.411891E-07 3.864667E-12 
2.014000E+03 8.594624E+03 1.817304E-01 5.841044E-07 6.387745E-12 
2.014000E+03 8.643529E+03 2.284008E-01 7.704002E-07 1.054749E-11 
2.014000E+03 8.688072E+03 2.870394E-01 1.010272E-06 1.736614E-11 
2.014000E+03 8.726146E+03 3.606588E-01 1.315294E-06 2.846282E-11 
2.014000E+03 8.756422E+03 4.530025E-01 1.698998E-06 4.638015E-11 
2.014000E+03 8.778656E+03 5.687251E-01 2.178174E-06 7.509343E-11 
