TITLE = ""
VARIABLES ="simulation time, " "Aqueous Volumetric Flux Rate (1)" "Aqueous Volumetric Flux Integral (1)" "Conservation Component Species Flux (total_cr6) Rate (2)" "Conservation Component Species Flux (total_cr6) Integral (2)"
ZONE T="Reference Node Variables" F=POINT
2.014000E+03 -5.458514E+03 -1.494460E-05 0.000000E+00 0.000000E+00 
2.014000E+03 -5.035201E+03 -3.217663E-05 2.853551E-12 9.765747E-21 
2.014000E+03 -4.536953E+03 -5.158523E-05 6.420491E-12 3.723191E-20 
2.014000E+03 -3.958772E+03 -7.275423E-05 1.087916E-11 9.540677E-20 
2.014000E+03 -3.299426E+03 -9.480827E-05 1.645251E-11 2.053787E-19 
2.014000E+03 -2.563377E+03 -1.162260E-04 2.341919E-11 4.010521E-19 
2.014000E+03 -1.762755E+03 -1.346363E-04 3.212753E-11 7.365943E-19 
2.014000E+03 -9.188550E+02 -1.466320E-04 4.301297E-11 1.298133E-18 
2.014000E+03 -6.240660E+01 -1.476504E-04 5.661977E-11 2.222103E-18 
2.014000E+03 7.682641E+02 -1.319789E-04 7.362826E-11 3.724015E-18 
2.014000E+03 1.531749E+03 -9.292205E-05 9.488888E-11 6.143512E-18 
2.014000E+03 2.190504E+03 -2.310461E-05 1.214647E-10 1.001493E-17 
2.014000E+03 2.718664E+03 8.520961E-05 1.546844E-10 1.617771E-17 
2.014000E+03 3.108009E+03 2.399922E-04 1.962091E-10 2.594915E-17 
2.014000E+03 3.369290E+03 4.497357E-04 2.481149E-10 4.139468E-17 
2.014000E+03 3.527816E+03 7.242505E-04 3.129972E-10 6.575037E-17 
2.014000E+03 3.615060E+03 1.075880E-03 3.941001E-10 1.040837E-16 
2.014000E+03 3.660118E+03 1.520896E-03 4.954788E-10 1.643265E-16 
2.014000E+03 3.684498E+03 2.080870E-03 6.222022E-10 2.588896E-16 
2.014000E+03 3.701286E+03 2.784028E-03 7.806066E-10 4.071865E-16 
2.014000E+03 3.717202E+03 3.666754E-03 9.786122E-10 6.395783E-16 
2.014000E+03 3.735342E+03 4.775547E-03 1.226119E-09 1.003538E-15 
2.014000E+03 3.757174E+03 6.169639E-03 1.535504E-09 1.573283E-15 
2.014000E+03 3.783635E+03 7.924526E-03 1.922235E-09 2.464835E-15 
2.014000E+03 3.815554E+03 1.013664E-02 2.405650E-09 3.859540E-15 
2.014000E+03 3.853726E+03 1.292945E-02 3.009919E-09 6.040838E-15 
2.014000E+03 3.898871E+03 1.646135E-02 3.765259E-09 9.451706E-15 
2.014000E+03 3.951518E+03 2.093585E-02 4.709436E-09 1.478443E-14 
2.014000E+03 4.011846E+03 2.661436E-02 5.889664E-09 2.312087E-14 
2.014000E+03 4.079477E+03 3.383216E-02 7.364958E-09 3.615165E-14 
2.014000E+03 4.153262E+03 4.301759E-02 9.209090E-09 5.651864E-14 
2.014000E+03 4.231123E+03 5.471462E-02 1.151428E-08 8.835013E-14 
2.014000E+03 4.310058E+03 6.960869E-02 8.933844E-08 3.970728E-13 
2.014000E+03 4.386442E+03 8.855622E-02 3.213450E-07 1.785144E-12 
2.014000E+03 4.456633E+03 1.126196E-01 6.549523E-07 5.321532E-12 
2.014000E+03 4.517842E+03 1.431120E-01 1.107692E-06 1.279770E-11 
2.014000E+03 4.568893E+03 1.816582E-01 1.698070E-06 2.712373E-11 
2.014000E+03 4.610393E+03 2.302785E-01 2.451762E-06 5.297956E-11 
2.014000E+03 4.644228E+03 2.915000E-01 3.409345E-06 9.792248E-11 
2.014000E+03 4.672654E+03 3.684953E-01 4.631844E-06 1.742453E-10 
2.014000E+03 4.697419E+03 4.652494E-01 6.345040E-06 3.049360E-10 
2.014000E+03 4.719346E+03 5.867566E-01 8.574488E-06 5.257001E-10 
2.014000E+03 4.738461E+03 7.392559E-01 1.143813E-05 8.938165E-10 
2.014000E+03 4.754438E+03 9.305226E-01 1.506519E-05 1.499876E-09 
2.014000E+03 4.767064E+03 1.170241E+00 1.960282E-05 2.485630E-09 
2.014000E+03 4.776497E+03 1.470482E+00 2.529215E-05 4.075443E-09 
2.014000E+03 4.783268E+03 1.846315E+00 3.241564E-05 6.622420E-09 
2.014000E+03 4.788087E+03 2.316580E+00 4.130322E-05 1.067904E-08 
2.014001E+03 4.791614E+03 2.904844E+00 5.242237E-05 1.711491E-08 
2.014001E+03 4.794314E+03 3.640588E+00 6.635812E-05 2.729835E-08 
2.014001E+03 4.796440E+03 4.560676E+00 8.382586E-05 4.337844E-08 
2.014001E+03 4.798101E+03 5.711185E+00 1.056979E-04 6.872311E-08 
2.014001E+03 4.799353E+03 7.149696E+00 1.330497E-04 1.086021E-07 
