sp,SPstart,SPend,spLen,nsp,mutl,ss
1,1/1/2014 0:00,1/31/2014 23:59,31,1,1,1
2,2/1/2014 0:00,2/28/2014 23:59,28,1,1,0
3,3/1/2014 0:00,3/31/2014 23:59,31,1,1,0
4,4/1/2014 0:00,4/30/2014 23:59,30,1,1,0
5,5/1/2014 0:00,5/31/2014 23:59,31,1,1,0
6,6/1/2014 0:00,6/30/2014 23:59,30,1,1,0
7,7/1/2014 0:00,7/31/2014 23:59,31,1,1,0
8,8/1/2014 0:00,8/31/2014 23:59,31,1,1,0
9,9/1/2014 0:00,9/30/2014 23:59,30,1,1,0
10,10/1/2014 0:00,10/31/2014 23:59,31,1,1,0
11,11/1/2014 0:00,11/30/2014 23:59,30,1,1,0
12,12/1/2014 0:00,12/31/2014 23:59,31,1,1,0
13,1/1/2015 0:00,1/31/2015 23:59,31,1,1,0
14,2/1/2015 0:00,2/28/2015 23:59,28,1,1,0
15,3/1/2015 0:00,3/31/2015 23:59,31,1,1,0
16,4/1/2015 0:00,4/30/2015 23:59,30,1,1,0
17,5/1/2015 0:00,5/31/2015 23:59,31,1,1,0
18,6/1/2015 0:00,6/30/2015 23:59,30,1,1,0
19,7/1/2015 0:00,7/31/2015 23:59,31,1,1,0
20,8/1/2015 0:00,8/31/2015 23:59,31,1,1,0
21,9/1/2015 0:00,9/30/2015 23:59,30,1,1,0
22,10/1/2015 0:00,10/31/2015 23:59,31,1,1,0
23,11/1/2015 0:00,11/30/2015 23:59,30,1,1,0
24,12/1/2015 0:00,12/31/2015 23:59,31,1,1,0
25,1/1/2016 0:00,1/31/2016 23:59,31,1,1,0
26,2/1/2016 0:00,2/29/2016 23:59,29,1,1,0
27,3/1/2016 0:00,3/31/2016 23:59,31,1,1,0
28,4/1/2016 0:00,4/30/2016 23:59,30,1,1,0
29,5/1/2016 0:00,5/31/2016 23:59,31,1,1,0
30,6/1/2016 0:00,6/30/2016 23:59,30,1,1,0
31,7/1/2016 0:00,7/31/2016 23:59,31,1,1,0
32,8/1/2016 0:00,8/31/2016 23:59,31,1,1,0
33,9/1/2016 0:00,9/30/2016 23:59,30,1,1,0
34,10/1/2016 0:00,10/31/2016 23:59,31,1,1,0
35,11/1/2016 0:00,11/30/2016 23:59,30,1,1,0
36,12/1/2016 0:00,12/31/2016 23:59,31,1,1,0
37,1/1/2017 0:00,1/31/2017 23:59,31,1,1,0
38,2/1/2017 0:00,2/28/2017 23:59,28,1,1,0
