sp,SPstart,SPend,spLen,nsp,mutl,ss,start,end
1,1/1/14 0:00,1/31/14 23:59,31,1,1,1,2014,2014.08492960426
2,2/1/14 0:00,2/28/14 23:59,28,1,1,0,2014.08493150685,2014.16164193303
3,3/1/14 0:00,3/31/14 23:59,31,1,1,0,2014.16164383562,2014.24645928463
4,4/1/14 0:00,4/30/14 23:59,30,1,1,0,2014.24646118721,2014.32865106545
5,5/1/14 0:00,5/31/14 23:59,31,1,1,0,2014.32865296804,2014.4135825723
6,6/1/14 0:00,6/30/14 23:59,30,1,1,0,2014.41358447489,2014.49577435312
7,7/1/14 0:00,7/31/14 23:59,31,1,1,0,2014.49577625571,2014.58070585997
8,8/1/14 0:00,8/31/14 23:59,31,1,1,0,2014.58070776256,2014.66563736682
9,9/1/14 0:00,9/30/14 23:59,30,1,1,0,2014.66563926941,2014.74782914764
10,10/1/14 0:00,10/31/14 23:59,31,1,1,0,2014.74783105023,2014.83276065449
11,11/1/14 0:00,11/30/14 23:59,30,1,1,0,2014.83276255708,2014.91506659056
12,12/1/14 0:00,12/31/14 23:59,31,1,1,0,2014.91506849315,2014.99999809741
13,1/1/15 0:00,1/31/15 23:59,31,1,1,0,2015,2015.08492960426
14,2/1/15 0:00,2/28/15 23:59,28,1,1,0,2015.08493150685,2015.16164193303
15,3/1/15 0:00,3/31/15 23:59,31,1,1,0,2015.16164383562,2015.24645928463
16,4/1/15 0:00,4/30/15 23:59,30,1,1,0,2015.24646118721,2015.32865106545
17,5/1/15 0:00,5/31/15 23:59,31,1,1,0,2015.32865296804,2015.4135825723
18,6/1/15 0:00,6/30/15 23:59,30,1,1,0,2015.41358447489,2015.49577435312
19,7/1/15 0:00,7/31/15 23:59,31,1,1,0,2015.49577625571,2015.58070585997
20,8/1/15 0:00,8/31/15 23:59,31,1,1,0,2015.58070776256,2015.66563736682
21,9/1/15 0:00,9/30/15 23:59,30,1,1,0,2015.66563926941,2015.74782914764
22,10/1/15 0:00,10/31/15 23:59,31,1,1,0,2015.74783105023,2015.83276065449
23,11/1/15 0:00,11/30/15 23:59,30,1,1,0,2015.83276255708,2015.91506659056
24,12/1/15 0:00,12/31/15 23:59,31,1,1,0,2015.91506849315,2015.99999809741
25,1/1/16 0:00,1/31/16 23:59,31,1,1,0,2016,2016.08469755616
26,2/1/16 0:00,2/29/16 23:59,29,1,1,0,2016.08469945355,2016.16393252884
27,3/1/16 0:00,3/31/16 23:59,31,1,1,0,2016.16393442623,2016.24851813904
28,4/1/16 0:00,4/30/16 23:59,30,1,1,0,2016.24852003643,2016.33048535216
29,5/1/16 0:00,5/31/16 23:59,31,1,1,0,2016.33048724954,2016.41518480571
30,6/1/16 0:00,6/30/16 23:59,30,1,1,0,2016.4151867031,2016.49715201882
31,7/1/16 0:00,7/31/16 23:59,31,1,1,0,2016.49715391621,2016.58185147237
32,8/1/16 0:00,8/31/16 23:59,31,1,1,0,2016.58185336976,2016.66655092593
33,9/1/16 0:00,9/30/16 23:59,30,1,1,0,2016.66655282332,2016.74851813904
34,10/1/16 0:00,10/31/16 23:59,31,1,1,0,2016.74852003643,2016.83321759259
35,11/1/16 0:00,11/30/16 23:59,30,1,1,0,2016.83321948998,2016.91529864906
36,12/1/16 0:00,12/31/16 23:59,31,1,1,0,2016.91530054645,2016.99999810261
37,1/1/17 0:00,1/31/17 23:59,31,1,1,0,2017,2017.08492960426
38,2/1/17 0:00,2/28/17 23:59,28,1,1,0,2017.08493150685,2017.16164193303
39,3/1/17 0:00,3/31/17 23:59,31,1,1,0,2017.16164383562,2017.24645928463
40,4/1/17 0:00,4/30/17 23:59,30,1,1,0,2017.24646118721,2017.32865106545
41,5/1/17 0:00,5/31/17 23:59,31,1,1,0,2017.32865296804,2017.4135825723
42,6/1/17 0:00,6/30/17 23:59,30,1,1,0,2017.41358447489,2017.49577435312
43,7/1/17 0:00,7/31/17 23:59,31,1,1,0,2017.49577625571,2017.58070585997
44,8/1/17 0:00,8/31/17 23:59,31,1,1,0,2017.58070776256,2017.66563736682
45,9/1/17 0:00,9/30/17 23:59,30,1,1,0,2017.66563926941,2017.74782914764
46,10/1/17 0:00,10/31/17 23:59,31,1,1,0,2017.74783105023,2017.83276065449
47,11/1/17 0:00,11/30/17 23:59,30,1,1,0,2017.83276255708,2017.91506659056
48,12/1/17 0:00,12/31/17 23:59,31,1,1,0,2017.91506849315,2017.99999809741
49,1/1/18 0:00,1/31/18 23:59,31,1,1,0,2018,2018.08492960426
50,2/1/18 0:00,2/28/18 23:59,28,1,1,0,2018.08493150685,2018.16164193303
51,3/1/18 0:00,3/31/18 23:59,31,1,1,0,2018.16164383562,2018.24645928463
52,4/1/18 0:00,4/30/18 23:59,30,1,1,0,2018.24646118721,2018.32865106545
53,5/1/18 0:00,5/31/18 23:59,31,1,1,0,2018.32865296804,2018.4135825723
54,6/1/18 0:00,6/30/18 23:59,30,1,1,0,2018.41358447489,2018.49577435312
55,7/1/18 0:00,7/31/18 23:59,31,1,1,0,2018.49577625571,2018.58070585997
56,8/1/18 0:00,8/31/18 23:59,31,1,1,0,2018.58070776256,2018.66563736682
57,9/1/18 0:00,9/30/18 23:59,30,1,1,0,2018.66563926941,2018.74782914764
58,10/1/18 0:00,10/31/18 23:59,31,1,1,0,2018.74783105023,2018.83276065449
59,11/1/18 0:00,11/30/18 23:59,30,1,1,0,2018.83276255708,2018.91506659056
60,12/1/18 0:00,12/31/18 23:59,31,1,1,0,2018.91506849315,2018.99999809741
61,1/1/19 0:00,1/31/19 23:59,31,1,1,0,2019,2019.08492960426
62,2/1/19 0:00,2/28/19 23:59,28,1,1,0,2019.08493150685,2019.16164193303
63,3/1/19 0:00,3/31/19 23:59,31,1,1,0,2019.16164383562,2019.24645928463
64,4/1/19 0:00,4/30/19 23:59,30,1,1,0,2019.24646118721,2019.32865106545
65,5/1/19 0:00,5/31/19 23:59,31,1,1,0,2019.32865296804,2019.4135825723
66,6/1/19 0:00,6/30/19 23:59,30,1,1,0,2019.41358447489,2019.49577435312
67,7/1/19 0:00,7/31/19 23:59,31,1,1,0,2019.49577625571,2019.58070585997
68,8/1/19 0:00,8/31/19 23:59,31,1,1,0,2019.58070776256,2019.66563736682
69,9/1/19 0:00,9/30/19 23:59,30,1,1,0,2019.66563926941,2019.74782914764
70,10/1/19 0:00,10/31/19 23:59,31,1,1,0,2019.74783105023,2019.83276065449
71,11/1/19 0:00,11/30/19 23:59,30,1,1,0,2019.83276255708,2019.91506659056
72,12/1/19 0:00,12/31/19 23:59,31,1,1,0,2019.91506849315,2019.99999809741
73,1/1/20 0:00,1/31/20 23:59,31,1,1,0,2020,2020.08469755616
74,2/1/20 0:00,2/29/20 23:59,29,1,1,0,2020.08469945355,2020.16393252884
75,3/1/20 0:00,3/31/20 23:59,31,1,1,0,2020.16393442623,2020.24851813904
76,4/1/20 0:00,4/30/20 23:59,30,1,1,0,2020.24852003643,2020.33048535216
77,5/1/20 0:00,5/31/20 23:59,31,1,1,0,2020.33048724954,2020.41518480571
78,6/1/20 0:00,6/30/20 23:59,30,1,1,0,2020.4151867031,2020.49715201882
79,7/1/20 0:00,7/31/20 23:59,31,1,1,0,2020.49715391621,2020.58185147237
80,8/1/20 0:00,8/31/20 23:59,31,1,1,0,2020.58185336976,2020.66655092593
81,9/1/20 0:00,9/30/20 23:59,30,1,1,0,2020.66655282332,2020.74851813904
82,10/1/20 0:00,10/31/20 23:59,31,1,1,0,2020.74852003643,2020.83321759259
83,11/1/20 0:00,11/30/20 23:59,30,1,1,0,2020.83321948998,2020.91529864906
84,12/1/20 0:00,12/31/20 23:59,31,1,1,0,2020.91530054645,2020.99999810261
85,1/1/21 0:00,1/31/21 23:59,31,1,1,0,2021,2021.08492960426
86,2/1/21 0:00,2/28/21 23:59,28,1,1,0,2021.08493150685,2021.16164193303
87,3/1/21 0:00,3/31/21 23:59,31,1,1,0,2021.16164383562,2021.24645928463
88,4/1/21 0:00,4/30/21 23:59,30,1,1,0,2021.24646118721,2021.32865106545
89,5/1/21 0:00,5/31/21 23:59,31,1,1,0,2021.32865296804,2021.4135825723
90,6/1/21 0:00,6/30/21 23:59,30,1,1,0,2021.41358447489,2021.49577435312
91,7/1/21 0:00,7/31/21 23:59,31,1,1,0,2021.49577625571,2021.58070585997
92,8/1/21 0:00,8/31/21 23:59,31,1,1,0,2021.58070776256,2021.66563736682
93,9/1/21 0:00,9/30/21 23:59,30,1,1,0,2021.66563926941,2021.74782914764
94,10/1/21 0:00,10/31/21 23:59,31,1,1,0,2021.74783105023,2021.83276065449
95,11/1/21 0:00,11/30/21 23:59,30,1,1,0,2021.83276255708,2021.91506659056
96,12/1/21 0:00,12/31/21 23:59,31,1,1,0,2021.91506849315,2021.99999809741
97,1/1/22 0:00,1/31/22 23:59,31,1,1,0,2022,2022.08492960426
