Well ID,PlantFlow,PlantChrome,HXRunTime,HE01,HE02,HE03,HE04,HE05,HE06,HE07,HE08,HE09,HE10,HE11,HE12,HE13,HE14,HE15,HE16,HE21,HE22,HE23,HE24,HE25,HE26,HE27,HE28,HE29,HE30,HE31,HE32,HE33,HE34,HE35,HE36,HE37,HE38,HE39,HE40,HE41,HE42,HE43,HE44,HE45,HE46,HE47,HE48,HE49,HE50,HJ01,HJ02,HJ03,HJ04,HJ05,HJ06,HJ07,HJ08,HJ09,HJ10,HJ11,HJ12,HJ13,HJ14,HJ15,HJ16,HJ17,HJ18,HJ19,HJ21,HJ22,HJ23,HJ24,HJ25,TK-H3,TK-H5,HE01,HE02,HE03,HE04,HE05,HE06,HE07,HE08,HE09,HE10,HE11,HE12,HE13,HE14,HE15,HE16,HE22,HE23,HE24,HE25,HE26,HE27,HE28,HE29,HE30,HE31,HE32,HE33,HE34,HE35,HE36,HE37,HE38,HE39,HE40,HE41,HE42,HE43,HE44,HE45,HE46,HE47,HE48,HE49,HE50,LJ01,LJ02,LJ03,LJ04,LJ05,LJ06,LJ07,LJ08,LJ09,LJ10,LJ11,LJ12,LJ13,LJ14,LJ15,LJ16,HJ17,HJ18,HJ19,HJ21,HJ22,HJ23,HJ24,HJ25,HX
Date,FQ_Total_Plant,QQCr_Total_Plant,HX_Hobbs,FIT_HE01_Volume,FIT_HE02_Volume,FIT_HE03_Volume,FIT_HE04_Volume,FIT_HE05_Volume,FIT_HE06_Volume,FIT_HE07_Volume,FIT_HE08_Volume,FIT_HE09_Volume,FIT_HE10_Volume,FIT_HE11_Volume,FIT_HE12_Volume,FIT_HE13_Volume,FIT_HE14_Volume,FIT_HE15_Volume,FIT_HE16_Volume,FIT_HE21_Volume,FIT_HE22_Volume,FIT_HE23_Volume,FIT_HE24_Volume,FIT_HE25_Volume,FIT_HE26_Volume,FIT_HE27_Volume,FIT_HE28_Volume,FIT_HE29_Volume,FIT_HE30_Volume,FIT_HE31_Volume,FIT_HE32_Volume,FIT_HE33_Volume,FIT_HE34_Volume,FIT_HE35_Volume,FIT_HE36_Volume,FIT_HE37_Volume,FIT_HE38_Volume,FIT_HE39_Volume,FIT_HE40_Volume,FIT_HE41_Volume,FIT_HE42_Volume,FIT_HE43_Volume,FIT_HE44_Volume,FIT_HE45_Volume,FIT_HE46_Volume,FIT_HE47_Volume,FIT_HE48_Volume,FIT_HE49_Volume,FIT_HE50_Volume,FIT_HJ01_Volume,FIT_HJ02_Volume,FIT_HJ03_Volume,FIT_HJ04_Volume,FIT_HJ05_Volume,FIT_HJ06_Volume,FIT_HJ07_Volume,FIT_HJ08_Volume,FIT_HJ09_Volume,FIT_HJ10_Volume,FIT_HJ11_Volume,FIT_HJ12_Volume,FIT_HJ13_Volume,FIT_HJ14_Volume,FIT_HJ15_Volume,FIT_HJ16_Volume,FIT_HJ17_Volume,FIT_HJ18_Volume,FIT_HJ19_Volume,FIT_HJ21_Volume,FIT_HJ22_Volume,FIT_HJ23_Volume,FIT_HJ24_Volume,FIT_HJ25_Volume,pHIT_H3M,pHIT_H5M,LT_HE01,LT_HE02,LT_HE03,LT_HE04,LT_HE05,LT_HE06,LT_HE07,LT_HE08,LT_HE09,LT_HE10,LT_HE11,LT_HE12,LT_HE13,LT_HE14,LT_HE15,LT_HE16,LT_HE22,LT_HE23,LT_HE24,LT_HE25,LT_HE26,LT_HE27,LT_HE28,LT_HE29,LT_HE30,LT_HE31,LT_HE32,LT_HE33,LT_HE34,LT_HE35,LT_HE36,LT_HE37,LT_HE38,LT_HE39,LT_HE40,LT_HE41,LT_HE42,LT_HE43,LT_HE44,LT_HE45,LT_HE46,LT_HE47,LT_HE48,LT_HE49,LT_HE50,LT_HJ01,LT_HJ02,LT_HJ03,LT_HJ04,LT_HJ05,LT_HJ06,LT_HJ07,LT_HJ08,LT_HJ09,LT_HJ10,LT_HJ11,LT_HJ12,LT_HJ13,LT_HJ14,LT_HJ15,LT_HJ16,LT_HJ17,LT_HJ18,LT_HJ19,LT_HJ21,LT_HJ22,LT_HJ23,LT_HJ24,LT_HJ25,HX_Hobbs
1/1/2023 0:01,922831418,104650592,283965,61915247,29619942,13427637,14863728,18091085,3915966,35020870,3354242,26845110,63208727,50472923,57540803,14996772,18918365,682877,1957382,6188648,26665660,7780597,13973368,8780087,3688806,2063988,108227,15780238,30820060,0,4066121,63434591,12660018,1240041,8525347,7982980,78318580,15872964,2313787,2985323,27307015,32681540,20636460,77759109,12413183,5770400,7689870,10492735,0,39413602,32118810,23649475,12441655,12518422,48156622,78991610,38556555,64782060,63912685,35114034,48579342,46765618,9542241,59839471,50829707,40032335,10629219,8254476,0,47793863,16592493,139062779,-2765553,6.461514,7.171354,7.609244,17.768604,31.86809,1.714592,2.482598,-0.004356,37.374134,1.545018,61.96476,5.911934,7.557925,23.266699,2.438099,14.7874,29.581627,29.118755,2.002786,2.001914,3.151273,2.003275,-0.020035,0,0.634909,8.90274,10.374525,0,0.789753,5.624603,1.996022,3.501809,5.749909,1.572159,7.462444,2.145805,0,0,0,-3.689573,12.072577,12.11146,9.915741,2.128002,5.96258,10.907845,0,-28.353203,-35.439396,-35.016987,-20.969887,-33.413536,-58.227917,-27.613235,-24.156755,-22.969049,-40.097317,-48.313717,-21.172653,-19.056896,-45.350826,32.628265,-65.083649,-33.507984,-31.102699,-31.731295,-25.001671,-43.168972,24.128326,-26.336224,-25.001671,283965
1/2/2023 0:00,923259448,104697581,284204,61973773,29663355,13427637,14879073,18110628,3915966,35020870,3361073,26845110,63258310,50501631,57589622,15012914,18929246,682877,1972809,6188648,26685103,7787935,13988559,8794541,3688806,2063988,108227,15780238,30820060,0,4070391,63468562,12675984,1240041,8525347,7982980,78318580,15872964,2313787,2985323,27307015,32681540,20636460,77759109,12413183,5774583,7689870,10492735,0,39477188,32118787,23649475,12464632,12545084,48156622,79024088,38573757,64800322,63912685,35114034,48586659,46792625,9542241,59839471,50832177,40033648,10655212,8304706,0,47793863,16592493,139199067,-2786722,6.457322,7.125336,7.539623,17.652719,31.823923,1.648898,2.477119,0.019218,37.262283,1.548691,61.945953,5.831967,7.435927,23.206091,2.438451,14.719721,29.491819,29.017725,1.998892,1.997191,2.777355,2.002564,-0.219147,0,0.619648,9.033111,10.22901,0,0.788606,5.565452,2.001412,3.490634,5.702841,1.571543,7.478158,2.135546,0,0,0,-3.688773,12.051302,12.131507,9.906987,2.12918,5.939768,10.888279,0,-28.253403,-35.461937,-35.016579,-20.993755,-33.475197,-58.42886,-27.65942,-24.592995,-25.826946,-40.117561,-48.389324,-20.426411,-19.219875,-45.403389,32.628265,-64.207626,-32.795876,-31.171757,-31.794827,-25.001671,-43.161797,24.128326,-26.368164,-25.001671,284204
1/3/2023 0:00,923685422,104744344,284444,62032337,29706810,13427637,14894411,18129831,3915966,35020870,3367914,26845110,63307961,50530279,57638470,15029133,18940090,682877,1988256,6188648,26703719,7795214,14002980,8808763,3688806,2063988,108227,15780238,30820060,0,4074649,63502450,12692071,1240041,8525347,7982980,78318580,15872964,2313787,2985323,27307015,32681540,20636460,77759109,12413183,5778730,7689870,10492735,0,39539063,32118765,23649475,12486930,12570920,48156622,79051346,38586730,64802097,63912685,35114034,48617982,46803453,9542241,59839471,50857346,40033974,10680388,8353476,0,47793863,16592493,139335450,-2807905,6.461803,7.113598,7.519525,18.204733,32.169273,1.602347,2.47655,0.149291,38.188091,1.54302,61.990978,6.699665,7.497158,23.236853,2.442801,14.751493,29.991056,29.764673,2.001033,2.001676,2.391452,2.000199,-0.124331,0,0.611589,8.752716,10.25664,0,0.791684,5.595156,1.997,3.49909,5.679717,1.5601,7.387229,2.185676,0,0,0,-3.689152,12.051302,12.141521,9.885662,2.12687,5.941913,10.878264,0,-28.446999,-35.462204,-35.01683,-21.017469,-33.529633,-58.937847,-27.747549,-24.110508,-25.760912,-40.117191,-48.346401,-20.148832,-19.2675,-45.394165,32.628265,-65.306694,-29.009148,-31.241982,-31.738289,-25.001671,-43.166676,24.128326,-26.381149,-25.001671,284444
1/4/2023 0:00,924190075,104799733,284684,62090879,29750282,13429424,14909730,18148774,3915966,35023738,3374787,26850163,63357647,50554640,57687271,15045420,18950997,684556,2003717,6188648,26721932,7802246,14016002,8822704,3688806,2063988,108227,15794380,30841704,0,4078850,63536223,12708053,1240041,8532235,7982980,78318580,15872964,2313787,2985323,27307015,32681540,20636460,77760566,12436642,5782780,7691322,10498089,0,39607874,32119883,23649475,12511588,12599257,48156622,79069981,38612889,64821683,63912685,35114034,48654696,46820024,9542241,59839471,50894577,40046720,10708202,8407136,0,47793863,16592493,139471833,-2829089,6.457638,7.096003,7.447165,17.991121,5.974307,1.534041,2.480414,0.279386,2.704262,1.550159,50.76049,6.535057,21.193148,23.004084,2.437882,14.814838,1.999936,29.429512,1.999061,2.000816,3.208333,2.000324,-0.160421,0,0.618007,2.645647,2.235919,0,0.787013,5.505223,2.002229,3.479039,1.116342,1.546332,7.516553,1.87487,0,0,0,-3.689565,12.021299,12.141521,9.203899,2.126396,5.795322,7.962576,0,-27.595312,-35.486286,-35.018707,-20.932173,-33.448006,-57.816536,-27.837996,-23.644403,-22.532944,-40.116413,-48.284798,-20.011623,-18.697882,-45.414047,32.628265,-62.816345,-29.77173,-31.168217,-31.7668,-25.001671,-43.156834,24.128326,-26.332245,-25.001671,284684
1/5/2023 0:00,924732211,104848130,284924,62144388,29792822,13432074,14924502,18167789,3915966,35028137,3381652,26860666,63406065,50575944,57736020,15061485,18961880,684761,2019164,6188648,26739860,7809114,14028006,8836392,3688806,2063988,108227,15813835,30872330,0,4083015,63569875,12723648,1240041,8541554,7982980,78318580,15872964,2313787,2985323,27307015,32681540,20636460,77775502,12470769,5786702,7692810,10507129,0,39661292,32120913,23649475,12525673,12627720,48156622,79111085,38638332,64858405,63912685,35114034,48691658,46843315,9542241,59839471,50919712,40085089,10736833,8462106,0,47793863,16592493,139610081,-2850273,6.445259,7.047829,8.298098,19.257538,5.296435,1.737925,2.479779,0.019598,1.865445,1.549192,27.148075,7.654457,20.994324,22.431604,2.439555,14.676085,29.356342,29.090113,1.999038,1.999571,2.983231,1.99703,-0.108397,0,0.601563,2.286042,2.257159,0,0.785794,5.463318,2.000273,3.499085,1.126442,1.547265,7.466184,1.89307,0,0,0,-3.689582,12.021223,8.933208,8.953254,2.129591,5.520949,7.32819,0,-29.733047,-35.483868,-35.017365,-22.125355,-33.481182,-57.896072,-27.345148,-24.371691,-22.423285,-40.112076,-48.346935,-20.835659,-19.036903,-45.440861,32.628265,-62.195049,-32.213593,-31.156334,-31.692411,-25.001671,-43.166557,24.128326,-26.381535,-25.001671,284924
1/6/2023 0:00,925291748,104890492,285164,62190780,29834094,13434755,14938520,18186645,3915966,35032558,3388545,26877903,63452858,50597215,57784712,15077846,18972775,685768,2034635,6188648,26757402,7815799,14039984,8849849,3688806,2063988,108227,15832171,30902914,0,4087143,63603414,12739440,1240041,8550508,7982980,78318580,15872964,2313787,2985323,27307015,32681540,20636460,77813832,12503150,5790556,7694706,10516954,0,39706012,32120884,23649475,12532873,12657638,48156622,79169184,38660031,64899771,63912685,35114034,48729604,46868788,9542241,59839471,50935916,40139290,10767566,8521457,0,47793863,16592493,139746467,-2871460,6.457084,7.073555,8.229406,20.105682,5.158669,1.69254,2.476993,0.586786,2.039251,1.547525,27.099424,8.854609,21.10635,22.449457,2.440198,14.791548,2.307423,30.189352,1.999405,1.997644,3.255862,1.997597,-0.120313,0,0.601562,2.456376,2.516534,0,0.79156,5.373958,1.998356,3.477772,1.12928,1.503907,7.45684,1.884895,0,0,0,-3.687729,11.997108,8.822362,8.742948,2.125606,5.531281,6.747012,0,-30.099314,-35.511723,-35.021984,-22.002338,-33.36977,-58.278622,-27.348831,-23.322376,-22.369915,-40.115788,-48.352776,-19.859299,-18.305714,-45.39769,32.628265,-62.413513,-32.426819,-31.149881,-31.676577,-25.001671,-43.195171,24.128326,-26.426233,-25.001671,285164
1/7/2023 0:00,925852408,104932938,285404,62237113,29875407,13437460,14952522,18205737,3915966,35037047,3395484,26895103,63499703,50618460,57833381,15094347,18983694,688135,2050128,6188648,26775642,7822251,14052096,8863054,3688806,2063988,108227,15850465,30933483,0,4091223,63636803,12755033,1240041,8559243,7982980,78318580,15872964,2313787,2985323,27307015,32681540,20636460,77852056,12535403,5794411,7696103,10527100,0,39750856,32120857,23649475,12540055,12687668,48156622,79227347,38681777,64941264,63912685,35114034,48767668,46894235,9542241,59839471,50952135,40193647,10798553,8580987,0,47793863,16592493,139882856,-2892649,6.449381,7.055309,8.177749,19.966887,4.777462,1.646241,2.476717,0.787135,1.951285,1.544881,27.059196,8.627978,20.986242,22.426462,2.438536,14.717786,2.307589,29.987883,1.997384,1.99904,3.529169,2.000149,-0.089925,0,0.63164,2.82873,2.506538,0,0.788816,5.363926,1.996467,3.469006,1.128493,1.489321,7.498745,1.864844,0,0,0,-3.684029,11.981113,8.762749,8.501597,2.126808,5.584145,6.005134,0,-30.136707,-35.508411,-35.041756,-21.990135,-33.342968,-57.616596,-27.342499,-23.111151,-22.365303,-40.116627,-48.315891,-19.600235,-18.009209,-45.387688,32.628265,-62.328693,-32.258015,-31.05094,-31.64411,-25.001671,-43.191833,24.128326,-26.4293,-25.001671,285404
1/8/2023 0:00,926411916,104975300,285644,62283438,29916687,13440164,14966514,18224567,3915966,35041468,3402393,26912283,63546490,50639576,57882031,15110583,18994523,690478,2065607,6188648,26794227,7828650,14064210,8876143,3688806,2063988,108227,15868623,30964057,0,4095300,63670067,12770592,1240041,8567842,7982980,78318580,15872964,2313787,2985323,27307015,32681540,20636460,77890283,12567563,5798342,7697543,10537356,0,39795582,32120827,23649475,12547245,12717617,48156622,79285392,38703448,64982555,63912685,35114034,48805610,46919605,9542241,59839471,50968335,40247851,10829511,8640348,0,47793863,16592493,140019244,-2913837,6.442455,7.023483,8.146165,19.852097,4.561002,1.646454,2.48114,0.563021,1.874075,1.543634,27.020298,8.524487,20.915018,22.412807,2.445302,14.650043,2.310199,29.775719,2.000045,1.999153,3.415201,2.002158,-0.22962,0,0.614571,8.736734,2.397706,0,0.782265,5.379903,1.998601,3.479034,1.129672,1.501592,7.485141,1.864844,0,0,0,-3.686825,11.980628,8.741481,8.271469,2.125818,5.564272,5.55158,0,-30.202408,-35.507111,-35.015778,-22.189613,-33.413086,-57.769993,-27.329039,-23.373064,-22.403799,-40.111237,-48.307724,-19.828493,-18.252552,-45.402462,32.628265,-62.450481,-32.347584,-31.110064,-31.666477,-25.001671,-43.187042,24.128326,-26.390417,-25.001671,285644
1/9/2023 0:00,926950723,105016093,285884,62329741,29957952,13442866,14980490,18242825,3915966,35045842,3409283,26929449,63593256,50660583,57930649,15126692,19005281,692798,2081076,6188648,26812375,7834923,14076285,8889118,3688806,2063988,108227,15868623,30994612,0,4099343,63703184,12785846,1240041,8576267,7982980,78318580,15872964,2313787,2985323,27307015,32681540,20636460,77928460,12599564,5802368,7699044,10547610,0,39838157,32120800,23649475,12554113,12746126,48156622,79340564,38724096,65021876,63912685,35114034,48841743,46943838,9542241,59839471,50983756,40299470,10858996,8696820,0,47793863,16592493,140155630,-2935023,6.464084,7.067748,8.101496,19.433577,4.315205,1.604812,2.480775,0.27904,1.679101,1.543001,27.016273,7.924495,20.786999,22.364723,2.431742,14.525915,2.307577,29.312536,2.001141,2.003295,3.257,1.997489,-0.170443,0,0.602419,8.622405,2.125154,0,0.783524,5.424533,1.997621,3.463672,1.134862,1.48136,7.504719,1.894921,0,0,0,-3.689582,11.961048,8.718596,7.980722,2.128319,5.551482,5.393696,0,-30.295452,-35.509922,-35.034477,-22.122869,-33.484535,-57.73774,-27.384789,-23.881428,-22.432104,-40.120068,-48.345432,-20.090284,-18.625023,-45.439896,32.628265,-62.427078,-33.021904,-31.148371,-31.733807,-25.001671,-43.197701,24.128326,-26.363668,-25.001671,285884
