SAMP_SITE_NAME_ID,SAMP_SITE_TYPE,SAMP_DATE_TIME,FILTERED_FLAG,STD_CON_LONG_NAME,STD_CON_ID,STD_VALUE_RPTD,STD_ANAL_UNITS_RPTD,LAB_QUALIFIER,REVIEW_QUALIFIER,SAMP_COMMENT,RESULT_COMMENT,MEDIA,SAMP_NUM,SAF_NUM,STD_MDA
199-D5-36 (B8744),GROUNDWATER WELL,11-May-23,N,Nitrate,14797-55-8,20100,ug/L,D,,,,GW,B491D5,T23-035,
199-D5-36 (B8744),GROUNDWATER WELL,22-Aug-23,N,Nitrate,14797-55-8,7970,ug/L,D,,,,GW,B49HF1,T23-048,
199-D5-36 (B8744),GROUNDWATER WELL,22-Aug-23,Y,Hexavalent Chromium,18540-29-9,2.5,ug/L,U,,,,GW,B49HF3,T23-048,
199-D5-36 (B8744),GROUNDWATER WELL,11-May-23,Y,Hexavalent Chromium,18540-29-9,2.5,ug/L,U,,,,GW,B491D6,T23-035,
199-D5-36 (B8744),GROUNDWATER WELL,04-Oct-22,Y,Hexavalent Chromium,18540-29-9,2.5,ug/L,U,,,,GW,B46533,S23-010,
199-D5-36 (B8744),GROUNDWATER WELL,04-Oct-22,N,Specific Conductance,CONDUCT,409,uS/cm,,,MANUAL DATA ENTRY VERIFIED BY H8875088 ON 10/6/2022,,GW,B46532,S23-010,
199-D5-36 (B8744),GROUNDWATER WELL,11-May-23,N,Specific Conductance,CONDUCT,440,uS/cm,,,Data Entry Verified by PLBEST on 05/18/2023.,,GW,B491D2,T23-035,
199-D5-36 (B8744),GROUNDWATER WELL,22-Aug-23,N,Specific Conductance,CONDUCT,237,uS/cm,,,Data Entry Verified by PLBEST on 08/31/2023.,,GW,B49HD9,T23-048,
199-D5-36 (B8744),GROUNDWATER WELL,11-May-23,N,Temperature,TEMPERATURE,16.4,Deg C,,,Data Entry Verified by PLBEST on 05/18/2023.,,GW,B491D2,T23-035,
199-D5-36 (B8744),GROUNDWATER WELL,22-Aug-23,N,Temperature,TEMPERATURE,16.6,Deg C,,,Data Entry Verified by PLBEST on 08/31/2023.,,GW,B49HD9,T23-048,
199-D5-36 (B8744),GROUNDWATER WELL,04-Oct-22,N,Temperature,TEMPERATURE,16.3,Deg C,,,MANUAL DATA ENTRY VERIFIED BY H8875088 ON 10/6/2022,,GW,B46532,S23-010,
199-D5-36 (B8744),GROUNDWATER WELL,04-Oct-22,N,Dissolved oxygen,DO,9160,ug/L,,,MANUAL DATA ENTRY VERIFIED BY H8875088 ON 10/6/2022,,GW,B46532,S23-010,
199-D5-36 (B8744),GROUNDWATER WELL,22-Aug-23,N,Dissolved oxygen,DO,8620,ug/L,,,Data Entry Verified by PLBEST on 08/31/2023.,,GW,B49HD9,T23-048,
199-D5-36 (B8744),GROUNDWATER WELL,11-May-23,N,Dissolved oxygen,DO,9380,ug/L,,,Data Entry Verified by PLBEST on 05/18/2023.,,GW,B491D2,T23-035,
199-D5-36 (B8744),GROUNDWATER WELL,22-Aug-23,N,Chloride,16887-00-6,2930,ug/L,D,G,,"""G"" Review flag added per RDR 231009RJ LEE-R11236",GW,B49HF1,T23-048,
199-D5-36 (B8744),GROUNDWATER WELL,11-May-23,N,Chloride,16887-00-6,35600,ug/L,D,,,,GW,B491D5,T23-035,
199-D5-36 (B8744),GROUNDWATER WELL,11-May-23,N,Fluoride,16984-48-8,110,ug/L,D,,,,GW,B491D5,T23-035,
199-D5-36 (B8744),GROUNDWATER WELL,22-Aug-23,N,Fluoride,16984-48-8,120,ug/L,D,,,,GW,B49HF1,T23-048,
199-D5-36 (B8744),GROUNDWATER WELL,11-May-23,N,Potassium,7440-09-7,3440,ug/L,,,,,GW,B491D3,T23-035,
199-D5-36 (B8744),GROUNDWATER WELL,22-Aug-23,Y,Potassium,7440-09-7,2810,ug/L,,,,,GW,B49HF2,T23-048,
199-D5-36 (B8744),GROUNDWATER WELL,11-May-23,Y,Potassium,7440-09-7,3440,ug/L,,,,,GW,B491D4,T23-035,
199-D5-36 (B8744),GROUNDWATER WELL,22-Aug-23,N,Potassium,7440-09-7,2730,ug/L,,,,,GW,B49HF0,T23-048,
199-D5-36 (B8744),GROUNDWATER WELL,11-May-23,N,Sulfate,14808-79-8,47200,ug/L,D,,,,GW,B491D5,T23-035,
199-D5-36 (B8744),GROUNDWATER WELL,11-May-23,N,Phosphate,14265-44-2,153,ug/L,DU,,,,GW,B491D5,T23-035,
199-D5-36 (B8744),GROUNDWATER WELL,22-Aug-23,N,Phosphate,14265-44-2,153,ug/L,DU,,,,GW,B49HF1,T23-048,
199-D5-36 (B8744),GROUNDWATER WELL,22-Aug-23,N,Sulfate,14808-79-8,20100,ug/L,D,,,,GW,B49HF1,T23-048,
199-D5-36 (B8744),GROUNDWATER WELL,11-May-23,N,Calcium,7440-70-2,45800,ug/L,,,,,GW,B491D3,T23-035,
199-D5-36 (B8744),GROUNDWATER WELL,11-May-23,Y,Calcium,7440-70-2,45500,ug/L,,,,,GW,B491D4,T23-035,
