Date,FQ_Total_Plant,QQCr_Total_Plant,DX_Hobbs,FIT_ME01_Volume,FIT_ME02_Volume,FIT_ME03_Volume,FIT_ME04_Volume,FIT_ME05_Volume,FIT_ME06_Volume,FIT_ME07_Volume,FIT_ME08_Volume,FIT_ME09_Volume,FIT_ME10_Volume,FIT_ME11_Volume,FIT_ME12_Volume,FIT_ME13_Volume,FIT_ME14_Volume,FIT_ME15_Volume,FIT_ME16_Volume,FIT_ME21_Volume,FIT_ME22_Volume,FIT_ME23_Volume,FIT_ME24_Volume,FIT_ME25_Volume,FIT_ME26_Volume,FIT_ME27_Volume,FIT_ME28_Volume,FIT_ME29_Volume,FIT_ME30_Volume,FIT_ME31_Volume,FIT_ME32_Volume,FIT_ME33_Volume,FIT_ME34_Volume,FIT_ME35_Volume,FIT_ME36_Volume,FIT_ME37_Volume,FIT_ME38_Volume,FIT_ME39_Volume,FIT_ME40_Volume,FIT_ME41_Volume,FIT_ME42_Volume,FIT_ME43_Volume,FIT_ME44_Volume,FIT_ME45_Volume,FIT_ME46_Volume,FIT_ME47_Volume,FIT_ME48_Volume,FIT_ME49_Volume,FIT_ME50_Volume,FIT_ME51_Volume,FIT_ME52_Volume,FIT_ME53_Volume,FIT_ME54_Volume,FIT_ME55_Volume,FIT_ME56_Volume,FIT_ME57_Volume,FIT_MJ01_Volume,FIT_MJ02_Volume,FIT_MJ03_Volume,FIT_MJ04_Volume,FIT_MJ05_Volume,FIT_MJ06_Volume,FIT_MJ07_Volume,FIT_MJ08_Volume,FIT_MJ09_Volume,FIT_MJ10_Volume,FIT_MJ11_Volume,FIT_MJ12_Volume,FIT_MJ13_Volume,FIT_MJ14_Volume,FIT_MJ15_Volume,FIT_MJ16_Volume,FIT_MJ17_Volume,FIT_MJ18_Volume,FIT_MJ19_Volume,FIT_MJ20_Volume,FIT_MJ21_Volume,FIT_MJ22_Volume,FIT_MJ23_Volume,FIT_MJ24_Volume,FIT_MJ25_Volume,FIT_MJ26_Volume,FIT_MJ27_Volume,FIT_MJ28_Volume,FIT_MJ29_Volume,FIT_MJ30_Volume,pHIT_M3M,pHIT_M5M,LT_ME01,LT_ME02,LT_ME03,LT_ME04,LT_ME05,LT_ME06,LT_ME07,LT_ME08,LT_ME09,LT_ME10,LT_ME11,LT_ME12,LT_ME13,LT_ME14,LT_ME15,LT_ME16,LT_ME21,LT_ME22,LT_ME23,LT_ME24,LT_ME25,LT_ME26,LT_ME27,LT_ME28,LT_ME29,LT_ME30,LT_ME31,LT_ME32,LT_ME33,LT_ME34,LT_ME35,LT_ME36,LT_ME37,LT_ME38,LT_ME39,LT_ME40,LT_ME41,LT_ME42,LT_ME43,LT_ME44,LT_ME45,LT_ME46,LT_ME47,LT_ME48,LT_ME49,LT_ME50,LT_ME51,LT_ME52,LT_ME53,LT_ME54,LT_ME55,LT_ME56,LT_ME57,LT_MJ01,LT_MJ02,LT_MJ03,LT_MJ04,LT_MJ05,LT_MJ06,LT_MJ07,LT_MJ08,LT_MJ09,LT_MJ10,LT_MJ11,LT_MJ12,LT_MJ13,LT_MJ14,LT_MJ15,LT_MJ16,LT_MJ17,LT_MJ18,LT_MJ19,LT_MJ20,LT_MJ21,LT_MJ22,LT_MJ23,LT_MJ24,LT_MJ25,LT_MJ26,LT_MJ27,LT_MJ28,LT_MJ29,LT_MJ30,DX_Hobbs
"Well ID""Aug 01, 2023 01:00:03""Aug 01, 2023 02:00:03""Aug 01, 2023 03:00:03""Aug 01, 2023 04:00:03""Aug 01, 2023 05:00:03""Aug 01, 2023 06:59:22",940070528,46475802,245819,12584105,14730113,6412683,7466506,23824393,18605768,11982310,18962030,18444217,23142008,0,26048429,25995114,23207454,0,0,30259304,2325217,27377762,33251945,19373369,36330498,28588629,30143925,20799882,25876530,13446233,30366070,29776588,28379309,23153547,0,0,0,24101206,3451693,42995956,1145257,17857725,12721244,10754529,4368408,2419827,20474958,3898587,19919907,22186674,37673419,34186135,40398507,26369633,1195676,3097243,0,1586783,123341397,78418558,114668678,28138176,28153283,0,22788592,0,0,0,0,0,48936308,59477257,42169433,0,14513878,18308317,61936162,83905000,94841803,0,31967615,64593662,0,0,41559643,36690350,6.039968,6.980176,4.531771,0,2.827344,1.995234,23.370705,2.295968,4.892715,11.34948,17.377335,16.172634,0,2.024007,4.311198,18.798828,0,0,16.977432,0,9.75527,10.933296,2.001477,0,14.09638,10.296441,2.305676,1.988539,2.065447,21.44595,14.163964,7.39922,1.645172,0,0,0,11.269272,0,2.847396,0,8.121094,11.236267,4.086056,2.396381,1.498742,2.005206,5.323828,5.538903,21.064716,11.509897,2.576692,13.635416,18.755383,15.620575,15.309767,-93.005005,-42.874184,-82.825195,-92.441528,-62.396355,-58.50135,-42.07988,-80.005005,-73.010864,-80.005005,-80.005005,-80.005005,-80.005005,-80.005005,-80.005005,-50.769009,-37.585335,0.004987,-51.80846,-59.729786,-34.632771,-69.677765,-33.869179,0.004987,-40.699219,-61.426544,0.004987,-0.005013,-37.901997,-16.466667,245819
8/1/2023 7:59,940103936,46477194,245829,12584641,14730113,6413096,7466826,23825641,18606533,11982785,18962848,18445066,23143215,0,26049929,25996347,23207454,0,0,30260610,2325217,27379066,33252828,19374176,36330498,28589864,30145321,20800824,25877643,13446732,30367353,29777804,28380581,23154528,0,0,0,24102227,3451693,42997594,1145257,17858878,12721244,10755439,4368670,2419981,20475963,3898697,19920798,22186674,37675109,34187103,40398507,26369633,1195676,3097243,0,1589158,123341397,78418558,114668678,28139611,28154392,0,22791215,0,0,0,0,0,48938913,59480786,42171009,0,14515313,18310880,61938330,83908111,94846311,0,31968880,64597128,0,0,41561501,36690951,6.02447,6.93094,4.531771,0,2.927604,1.995183,23.370686,2.312961,1.987667,11.350031,17.405212,16.182034,0,2.014304,4.310023,18.798828,0,0,17.027557,0,9.77539,10.868202,2.001886,0,13.567675,10.226564,2.295966,2.013384,2.102924,21.450747,14.170551,7.409245,1.624457,0,0,0,11.259247,0,2.837336,0,8.116079,11.205767,4.1236,2.436955,1.501165,1.985471,4.81249,5.524425,21.024612,11.509897,2.576537,13.635418,18.758722,15.620575,15.309767,-93.005005,-42.874184,-82.841904,-92.429123,-62.339828,-54.392117,-54.504227,-80.005005,-73.010895,-80.005005,-80.005005,-80.005005,-80.005005,-80.005005,-80.005005,-51.565277,-37.263138,0.004987,-51.800339,-59.727505,-33.947983,-71.433792,-33.90657,0.004987,-41.17635,-61.438133,0.004987,-0.005013,-37.915291,-16.54707,245829
8/1/2023 8:59,940137408,46478588,245839,12585176,14730113,6413511,7467147,23826891,18607298,11983422,18963667,18445916,23144423,0,26051431,25997581,23207454,0,0,30261907,2325217,27380370,33253711,19374984,36330498,28591087,30146698,20801770,25878756,13447228,30368508,29779022,28381861,23155511,0,0,0,24103253,3451693,42999235,1145257,17860032,12721244,10756341,4368932,2420135,20476972,3898873,19921694,22186674,37676801,34188072,40398507,26369633,1195676,3097243,0,1591550,123341397,78418558,114668678,28141051,28155503,0,22793854,0,0,0,0,0,48941525,59484340,42172587,0,14516756,18313452,61940496,83911230,94850830,0,31970147,64600627,0,0,41563371,36691549,6.01968,6.879035,4.531771,0,2.917578,1.995808,23.360718,2.295964,1.976727,11.358406,17.425259,16.181484,0,1.996121,4.294746,18.798828,0,0,17.04073,0,9.775391,10.96806,1.998721,0,13.583021,10.296745,2.304737,2.006322,2.114222,21.474842,14.167099,7.39922,1.639259,0,0,0,11.259247,0,2.842231,0,8.111069,11.209431,5.562196,2.446354,1.503331,1.985322,4.850409,5.504297,21.004559,11.489529,2.576595,13.635418,18.755392,15.620575,15.309767,-93.005005,-42.874184,-82.758347,-92.399139,-62.389786,-55.931,-49.671371,-80.005005,-73.020889,-80.005005,-80.005005,-80.005005,-80.005005,-80.005005,-80.005005,-55.573807,-37.672287,0.004987,-51.810108,-59.729202,-34.292122,-70.212372,-34.202309,0.004987,-40.222054,-61.590893,0.004987,-0.005013,-37.888641,-16.590508,245839
"Aug 01, 2023 09:59:22""Aug 01, 2023 10:59:23""Aug 01, 2023 11:59:23""Aug 01, 2023 12:59:23""Aug 01, 2023 13:59:23""Aug 01, 2023 14:59:23""Aug 01, 2023 15:59:23""Aug 01, 2023 16:59:23""Aug 01, 2023 17:59:23""Aug 01, 2023 18:59:24""Aug 01, 2023 19:59:24""Aug 01, 2023 20:59:24""Aug 01, 2023 21:59:24""Aug 01, 2023 22:59:24""Aug 01, 2023 23:59:24""Aug 02, 2023 00:59:24""Aug 02, 2023 01:59:24""Aug 02, 2023 02:59:25""Aug 02, 2023 03:59:25""Aug 02, 2023 04:59:25""Aug 02, 2023 05:59:25""Aug 02, 2023 06:59:25""Aug 02, 2023 07:59:25""Aug 02, 2023 08:59:25""Aug 02, 2023 09:59:25""Aug 02, 2023 10:59:26""Aug 02, 2023 11:59:26""Aug 02, 2023 12:59:26""Aug 02, 2023 13:59:26""Aug 02, 2023 14:59:34",941117696,46515945,246139,12601257,14730113,6425999,7476906,23864414,18630292,12001730,18988228,18471422,23180695,0,26096375,26034628,23207454,0,0,30300644,2325217,27400632,33280216,19399219,36330498,28627368,30187601,20828870,25912188,13462095,30405683,29815579,28420217,23184945,0,0,0,24134054,3451693,43048370,1145257,17894701,12721244,10781740,4376878,2424780,20507843,3899607,19948670,22186674,37727584,34217052,40398507,26369633,1195676,3097243,0,1661940,123341397,78418558,114668678,28183333,28187722,0,22871614,0,0,0,0,0,49017290,59534342,42224960,0,14566324,18400653,62014006,83967527,95003176,0,32014424,64719210,0,0,41626866,36710951,6.109557,6.977547,4.351302,0,2.616797,1.995189,23.37133,2.295964,1.995183,11.379559,17.304951,16.16198,0,1.995745,4.080599,18.808853,0,0,17.046303,0,9.755339,11.148321,1.997247,0,13.60414,10.407579,2.286132,2.002614,2.075107,21.495853,14.145752,7.544636,1.421336,0,0,0,11.229166,0,2.744629,0,8.091015,11.228012,4.085586,2.674603,1.508919,2.015115,5.373959,5.49434,21.054688,11.560026,2.574186,13.645443,18.73867,15.620575,15.319792,-93.005005,-42.874184,-82.741257,-92.449738,-62.340233,-61.094147,-49.521175,-80.005005,-73.030777,-80.005005,-80.005005,-80.005005,-80.005005,-80.005005,-80.005005,-61.906723,-37.451057,0.004987,-51.810036,-59.729923,-33.974556,-71.186569,-34.153191,0.004987,-39.309357,-61.867245,0.004987,-0.005013,-37.995926,-16.739784,246139
8/2/2023 15:59,941151104,46517211,246149,12601793,14730113,6426417,7477232,23865665,18631058,12002308,18989047,18472272,23181904,0,26097870,26035864,23207454,0,0,30301927,2325217,27401915,33281100,19400027,36330498,28628577,30188964,20829811,25913303,13462585,30406883,29816800,28421488,23185928,0,0,0,24135084,3451693,43050009,1145257,17895858,12721244,10782658,4377145,2424937,20508879,3899715,19949579,22186674,37729279,34218017,40398507,26369633,1195676,3097243,0,1664359,123341397,78418558,114668678,28184773,28188809,0,22874285,0,0,0,0,0,49019874,59534342,42226713,0,14568034,18403635,62016486,83971130,95008368,0,32015934,64723322,0,0,41629060,36711598,6.095611,7.036852,4.33125,0,2.586719,1.977921,23.373211,2.30035,2.003018,11.38081,17.264561,16.141926,0,1.998942,4.045508,18.808857,0,0,17.012917,0,9.714603,11.068387,2.002242,0,13.584817,10.346874,2.304697,2.004938,2.079145,21.524658,14.140369,7.539584,1.438557,0,0,0,11.503727,0,2.767202,0,8.098502,11.216208,4.086331,2.687217,1.518648,1.992695,4.922791,5.504297,21.044662,11.581318,2.571669,13.645443,18.738667,15.620575,15.319792,-93.005005,-42.874184,-82.674026,-92.479446,-62.369492,-59.343513,-61.862595,-80.005005,-73.033432,-80.005005,-80.005005,-80.005005,-80.005005,-80.005005,-80.005005,-62.098343,-37.40947,0.004987,-51.817558,-59.666843,-34.220032,-71.457672,-34.017906,0.004987,-37.164398,-61.833363,0.004987,-0.005013,-37.765377,-16.516842,246149
8/2/2023 16:59,941184256,46518465,246159,12602329,14730113,6426834,7477557,23866917,18631823,12002885,18989867,18473122,23183113,0,26099365,26037100,23207454,0,0,30303216,2325217,27403192,33281983,19400835,36330498,28629787,30190318,20830747,25914416,13462801,30408099,29818020,28422748,23186910,0,0,0,24136103,3451693,43051644,1145257,17897015,12721244,10783572,4377411,2425093,20509914,3899882,19950487,22186674,37730973,34218981,40398507,26369633,1195676,3097243,0,1666758,123341397,78418558,114668678,28186203,28189887,0,22876933,0,0,0,0,0,49022433,59534342,42228465,0,14569729,18406592,62018946,83974709,95013520,0,32017431,64727394,0,0,41631233,36712240,6.110055,7.03639,4.302421,0,2.666927,2.003843,23.38073,2.295964,2.005345,11.379559,17.214714,16.119995,0,1.979521,4.110677,18.808857,0,0,16.994076,0,9.687586,10.848354,2.001256,0,14.402585,10.49758,2.278174,1.99761,2.111097,21.517052,14.15673,7.800418,1.423698,0,0,0,11.229168,0,2.7572,0,8.101042,11.225877,4.090246,2.637965,1.494496,2.015224,4.852605,5.512121,21.094753,11.580078,2.577966,13.645443,18.738674,15.620573,15.319792,-93.005005,-42.874184,-82.708221,-92.453278,-62.339569,-57.948608,-59.947414,-80.005005,-73.03093,-80.005005,-80.005005,-80.005005,-80.005005,-80.005005,-80.005005,-62.03587,-37.437851,0.004987,-51.81031,-59.739616,-34.180473,-71.547363,-34.476116,0.004987,-38.711105,-61.871563,0.004987,-0.005013,-37.973518,-16.568897,246159
8/2/2023 17:59,941217600,46519727,246169,12602865,14730113,6427250,7477881,23868168,18632588,12003461,18990686,18473973,23184314,0,26100859,26038335,23207454,0,0,30304489,2325217,27404477,33282867,19401642,36330498,28630842,30191684,20831681,25915530,13463299,30409349,29819241,28424018,23187892,0,0,0,24137119,3451693,43053281,1145257,17898172,12721244,10784481,4377676,2425250,20510947,3900052,19951393,22186674,37732668,34219944,40398507,26369633,1195676,3097243,0,1669174,123341397,78418558,114668678,28187643,28190977,0,22879600,0,0,0,0,0,49025023,59534342,42230374,0,14571600,18409843,62021669,83976346,95019145,0,32019107,64731842,0,0,41633610,36712936,6.102165,7.113199,4.301172,0,2.676953,2.005206,23.380577,2.295962,1.975052,11.389523,17.184635,16.979141,0,1.977715,4.110717,18.808857,0,0,16.959682,0,9.665037,10.903316,1.996643,0,13.545129,10.317424,2.277184,2.00249,2.085583,21.514637,14.137228,7.529561,1.423698,0,0,0,11.239193,0,2.966485,0,8.091255,11.201687,4.084124,2.618035,1.498874,1.985195,4.842578,5.486516,21.104816,11.580078,2.576692,13.645443,18.733345,15.620577,15.319794,-93.005005,-42.874184,-82.693604,-92.458237,-62.331978,-62.698486,-57.850883,-80.005005,-73.020905,-80.005005,-80.005005,-80.005005,-80.005005,-80.005005,-80.005005,-62.096306,-37.371727,0.004987,-51.808372,-59.73452,-33.775352,-73.431641,-31.298311,0.004987,-26.976679,-61.345848,0.004987,-0.005013,-37.854164,-16.711121,246169
8/2/2023 18:59,941251072,46520994,246179,12603400,14730113,6427665,7478205,23869419,18633352,12004031,18991505,18474823,23185528,0,26102353,26039570,23207454,0,0,30305777,2325217,27405762,33283751,19402447,36330498,28632049,30193052,20832614,25916641,13463793,30410597,29820460,28425304,23188872,0,0,0,24138154,3451693,43054914,1145257,17899329,12721244,10785386,4377941,2425406,20511977,3900221,19952297,22186674,37734362,34220907,40398507,26369633,1195676,3097243,0,1671583,123341397,78418558,114668678,28189082,28192071,0,22882260,0,0,0,0,0,49027615,59534342,42232427,0,14573601,18413313,62024592,83976347,95025124,0,32020916,64736547,0,0,41636134,36713673,6.113128,7.101352,4.321224,0,2.676953,2.003994,23.380123,2.295964,1.985939,11.389271,17.164581,16.094244,0,1.986412,4.060546,18.808857,0,0,16.910591,0,9.665104,10.947813,2.002133,0,13.545183,10.386978,2.305914,2.012398,2.085495,21.496151,14.132751,7.519532,1.423698,0,0,0,11.239195,0,2.757162,0,8.095285,11.228683,4.083993,2.727005,1.494703,1.986952,4.852612,5.514323,21.114845,11.570053,2.576693,13.645443,18.73867,15.620575,15.319794,-93.005005,-42.874184,-82.757996,-92.442375,-62.357723,-60.613594,-62.32135,-80.005005,-73.011185,-80.005005,-80.005005,-80.005005,-80.005005,-80.005005,-80.005005,-61.990318,-37.271347,0.004987,-51.807823,-59.73011,-34.007988,-73.335167,-31.113211,0.004987,-27.095352,-61.240204,0.004987,-0.005013,-37.702782,-16.525713,246179
8/2/2023 19:59,941284416,46522256,246189,12603936,14730113,6428079,7478527,23870669,18634115,12004567,18992324,18475673,23186742,0,26103845,26040805,23207454,0,0,30307079,2325217,27407054,33284635,19403252,36330498,28633269,30194428,20833551,25917752,13464296,30411842,29821678,28426583,23189851,0,0,0,24139194,3451693,43056546,1145257,17900484,12721244,10786283,4378205,2425561,20513004,3900250,19953198,22186674,37736054,34221869,40398507,26369633,1195676,3097243,0,1673979,123341397,78418558,114668678,28190517,28193166,0,22884906,0,0,0,0,0,49030203,59534342,42234496,0,14575592,18416771,62027519,83976347,95031097,0,32022718,64741216,0,0,41638642,36714410,6.083766,7.110592,4.33125,0,2.666927,1.999507,23.38073,2.297071,1.997643,11.369532,17.164581,16.100609,0,2.010291,4.081199,18.798828,0,0,16.910587,0,9.635575,11.430021,1.998615,0,13.665495,10.317346,2.296904,2.004895,2.115485,21.507816,14.14006,8.111931,1.423462,0,0,0,11.239195,0,2.757162,0,8.091017,11.205654,5.714356,2.661914,1.494429,1.993586,5.373959,5.524349,21.143856,11.560341,2.573079,13.635418,18.738674,15.600515,15.309767,-93.005005,-42.874184,-82.844254,-92.46286,-62.34977,-55.726433,-56.203434,-80.005005,-73.019638,-80.005005,-80.005005,-80.005005,-80.005005,-80.005005,-80.005005,-61.920265,-37.341152,0.004987,-51.798443,-59.736691,-33.731529,-73.206322,-30.824343,0.004987,-25.243532,-61.076977,0.004987,-0.005013,-37.764992,-16.46225,246189
8/2/2023 20:59,941317760,46523519,246199,12604472,14730113,6428491,7478849,23871919,18634877,12005113,18993142,18476523,23187955,0,26105336,26042039,23207454,0,0,30308390,2325217,27408353,33285518,19404055,36330498,28634509,30195818,20834487,25918861,13464799,30413111,29822895,28427880,23190827,0,0,0,24140236,3451693,43058177,1145257,17901639,12721244,10787179,4378468,2425716,20514027,3900250,19954093,22186674,37737746,34222831,40398507,26369633,1195676,3097243,0,1676367,123341397,78418558,114668678,28191950,28194264,0,22887545,0,0,0,0,0,49032794,59534342,42236576,0,14577576,18420223,62030455,83976351,95037074,0,32024520,64745858,0,0,41641139,36715154,6.097657,7.099349,4.351302,0,2.676953,2.003994,23.370705,2.295964,1.995819,11.379557,17.168974,16.091856,0,1.997104,4.217517,18.798828,0,0,16.862492,0,9.635032,11.230932,1.999897,0,13.495054,10.296745,2.304751,1.99833,2.092393,21.495834,14.136719,7.582194,1.425587,0,0,0,11.241701,0,2.736958,0,8.091015,11.201235,4.086448,2.676953,1.493882,1.999706,5.353907,5.543794,21.164974,11.53793,2.576071,13.635418,18.731991,15.600523,15.309767,-93.005005,-42.874184,-82.724945,-92.426041,-62.357468,-55.829369,-49.220631,-80.005005,-73.020615,-80.005005,-80.005005,-80.005005,-80.005005,-80.005005,-80.005005,-62.126003,-37.303299,0.004987,-51.800323,-59.72958,-33.583118,-73.216187,-30.346088,0.004987,-23.38686,-60.772724,0.004987,-0.005013,-37.803162,-16.699196,246199
