Well ID,PlantFlow,PlantChrome,DXRunTime,ME01,ME02,ME03,ME04,ME05,ME06,ME07,ME08,ME09,ME10,ME11,ME12,ME13,ME14,ME15,ME16,ME21,ME22,ME23,ME24,ME25,ME26,ME27,ME28,ME29,ME30,ME31,ME32,ME33,ME34,ME35,ME36,ME37,ME38,ME39,ME40,ME41,ME42,ME43,ME44,ME45,ME46,ME47,ME48,ME49,ME50,ME51,ME52,ME53,ME54,ME55,ME56,ME57,MJ01,MJ02,MJ03,MJ04,MJ05,MJ06,MJ07,MJ08,MJ09,MJ10,MJ11,MJ12,MJ13,MJ14,MJ15,MJ16,MJ17,MJ18,MJ19,MJ20,MJ21,MJ22,MJ23,MJ24,MJ25,MJ26,MJ27,MJ28,MJ29,MJ30,TK-M3,TK-M5,ME01,ME02,ME03,ME04,ME05,ME06,ME07,ME08,ME09,ME10,ME11,ME12,ME13,ME14,ME15,ME16,ME21,ME22,ME23,ME24,ME25,ME26,ME27,ME28,ME29,ME30,ME31,ME32,ME33,ME34,ME35,ME36,ME37,ME38,ME39,ME40,ME41,ME42,ME43,ME44,ME45,ME46,ME47,ME48,ME49,ME50,ME51,ME52,ME53,ME54,ME55,ME56,ME57,MJ01,MJ02,MJ03,MJ04,MJ05,MJ06,MJ07,MJ08,MJ09,MJ10,MJ11,MJ12,MJ13,MJ14,MJ15,MJ16,MJ17,MJ18,MJ19,MJ20,MJ21,MJ22,MJ23,MJ24,MJ25,MJ26,MJ27,MJ28,MJ29,MJ30,DX
Date,FQ_Total_Plant,QQCr_Total_Plant,DX_Hobbs,FIT_ME01_Volume,FIT_ME02_Volume,FIT_ME03_Volume,FIT_ME04_Volume,FIT_ME05_Volume,FIT_ME06_Volume,FIT_ME07_Volume,FIT_ME08_Volume,FIT_ME09_Volume,FIT_ME10_Volume,FIT_ME11_Volume,FIT_ME12_Volume,FIT_ME13_Volume,FIT_ME14_Volume,FIT_ME15_Volume,FIT_ME16_Volume,FIT_ME21_Volume,FIT_ME22_Volume,FIT_ME23_Volume,FIT_ME24_Volume,FIT_ME25_Volume,FIT_ME26_Volume,FIT_ME27_Volume,FIT_ME28_Volume,FIT_ME29_Volume,FIT_ME30_Volume,FIT_ME31_Volume,FIT_ME32_Volume,FIT_ME33_Volume,FIT_ME34_Volume,FIT_ME35_Volume,FIT_ME36_Volume,FIT_ME37_Volume,FIT_ME38_Volume,FIT_ME39_Volume,FIT_ME40_Volume,FIT_ME41_Volume,FIT_ME42_Volume,FIT_ME43_Volume,FIT_ME44_Volume,FIT_ME45_Volume,FIT_ME46_Volume,FIT_ME47_Volume,FIT_ME48_Volume,FIT_ME49_Volume,FIT_ME50_Volume,FIT_ME51_Volume,FIT_ME52_Volume,FIT_ME53_Volume,FIT_ME54_Volume,FIT_ME55_Volume,FIT_ME56_Volume,FIT_ME57_Volume,FIT_MJ01_Volume,FIT_MJ02_Volume,FIT_MJ03_Volume,FIT_MJ04_Volume,FIT_MJ05_Volume,FIT_MJ06_Volume,FIT_MJ07_Volume,FIT_MJ08_Volume,FIT_MJ09_Volume,FIT_MJ10_Volume,FIT_MJ11_Volume,FIT_MJ12_Volume,FIT_MJ13_Volume,FIT_MJ14_Volume,FIT_MJ15_Volume,FIT_MJ16_Volume,FIT_MJ17_Volume,FIT_MJ18_Volume,FIT_MJ19_Volume,FIT_MJ20_Volume,FIT_MJ21_Volume,FIT_MJ22_Volume,FIT_MJ23_Volume,FIT_MJ24_Volume,FIT_MJ25_Volume,FIT_MJ26_Volume,FIT_MJ27_Volume,FIT_MJ28_Volume,FIT_MJ29_Volume,FIT_MJ30_Volume,pHIT_M3M,pHIT_M5M,LT_ME01,LT_ME02,LT_ME03,LT_ME04,LT_ME05,LT_ME06,LT_ME07,LT_ME08,LT_ME09,LT_ME10,LT_ME11,LT_ME12,LT_ME13,LT_ME14,LT_ME15,LT_ME16,LT_ME21,LT_ME22,LT_ME23,LT_ME24,LT_ME25,LT_ME26,LT_ME27,LT_ME28,LT_ME29,LT_ME30,LT_ME31,LT_ME32,LT_ME33,LT_ME34,LT_ME35,LT_ME36,LT_ME37,LT_ME38,LT_ME39,LT_ME40,LT_ME41,LT_ME42,LT_ME43,LT_ME44,LT_ME45,LT_ME46,LT_ME47,LT_ME48,LT_ME49,LT_ME50,LT_ME51,LT_ME52,LT_ME53,LT_ME54,LT_ME55,LT_ME56,LT_ME57,LT_MJ01,LT_MJ02,LT_MJ03,LT_MJ04,LT_MJ05,LT_MJ06,LT_MJ07,LT_MJ08,LT_MJ09,LT_MJ10,LT_MJ11,LT_MJ12,LT_MJ13,LT_MJ14,LT_MJ15,LT_MJ16,LT_MJ17,LT_MJ18,LT_MJ19,LT_MJ20,LT_MJ21,LT_MJ22,LT_MJ23,LT_MJ24,LT_MJ25,LT_MJ26,LT_MJ27,LT_MJ28,LT_MJ29,LT_MJ30,DX_Hobbs
1/1/2023 0:01,780054842,40206918,196100,9978598,13103679,5251492,5897784,18270344,15049645,10652380,15556200,14656133,17837581,0,19699568,21315511,21145053,0,0,24280419,2325217,22099286,29139953,15415367,36330498,22875712,23960493,16657132,20334241,11245556,24697879,23745802,23120179,18529719,0,0,0,19193759,3451693,35372570,1145257,13569582,11164115,7554249,3416580,1998602,17366364,3687366,15744308,21121155,30324048,28574516,38110577,25088680,0,0,0,0,111104934,70350921,104137405,21040225,23631267,0,13241658,0,0,0,0,0,38905637,49599929,34522704,0,8509955,8165990,50266836,72853459,78958821,0,26361022,50308492,0,0,33368206,29487923,6.597451,7.291665,2.867449,1.814714,9.033499,2.396226,17.014507,2.295964,1.995652,10.808073,15.951433,15.400002,0,9.028995,9.46414,1.993091,0,0,13.033854,0,8.321629,1.999715,2.000408,0,82.130829,9.985937,3.789844,1.990234,1.704369,20.904934,15.172745,-1.002604,2.557027,0,0,0,12.060096,0,10.066145,0,82.130829,4.397763,5.709125,16.203337,1.59463,4.652083,3.499089,3.870052,20.834118,13.214231,9.34774,13.154139,15.484047,0,0,-93.005013,-104.505013,-50.944538,-45.751331,-62.359512,-55.986172,-47.183315,-80.005013,-73.01284,-80.005013,-80.005013,-80.005013,-80.005013,-80.005013,-80.005013,-32.900284,-37.346493,0.004987,-51.804573,-51.629673,-34.228333,-47.912941,-36.883793,0.004987,-48.955925,-61.207317,0.004987,-0.005013,-68.148705,-64.082405,196100
1/2/2023 0:00,780866432,40240691,196340,9991179,13117774,5251492,5904257,18300155,15068027,10664205,15575432,14676447,17867047,0,19729869,21341716,21167285,0,0,24311408,2325217,22130203,29170207,15433517,36330498,22897686,23991349,16675857,20359826,11256560,24727974,23774447,23120179,18551629,0,0,0,19218600,3451693,35401951,1145257,13597081,11178761,7571969,3416580,2001818,17381705,3687366,15765419,21135195,30353422,28607591,38138156,25102467,0,0,0,0,111221711,70422534,104255905,21071896,23653115,0,13277887,0,0,0,0,0,38928267,49657254,34551737,0,8535397,8202943,50311307,72882280,78992533,0,26382294,50381492,0,0,33404385,29522131,6.608968,7.188368,2.747136,1.77461,9.384378,2.396224,16.74036,2.235816,1.995182,10.759039,15.96146,15.2493,0,8.844856,9.441161,2.007282,0,0,12.499638,0,8.121094,1.997187,1.998131,0,82.130829,9.865685,3.589323,2.030551,1.614193,20.809128,15.130759,-0.619284,2.285937,0,0,0,12.046286,0,9.920906,0,82.130829,4.340003,5.715951,16.221645,1.59743,4.512639,3.428906,3.779575,20.813709,13.104036,9.103554,13.134115,15.207594,0,0,-93.005013,-104.505013,-51.225368,-46.478138,-62.361271,-52.240124,-43.7061,-80.005013,-73.00901,-80.005013,-80.005013,-80.005013,-80.005013,-80.005013,-80.005013,-32.670254,-37.777451,0.004987,-51.806595,-51.626656,-34.256145,-47.622898,-44.805843,0.004987,-48.927288,-61.358208,0.004987,-0.005013,-68.171043,-64.09938,196340
1/3/2023 0:00,781677504,40274349,196580,10003770,13131866,5251492,5910611,18329967,15086225,10675961,15594661,14696773,17896525,0,19760156,21367924,21189499,0,0,24342644,2325217,22161320,29199769,15451649,36330498,22919553,24022378,16694867,20385272,11267567,24758213,23803111,23120179,18573453,0,0,0,19243563,3451693,35431258,1145257,13624617,11193424,7589507,3416580,2004911,17397025,3687366,15786527,21149240,30382808,28640649,38165735,25116235,0,0,0,0,111338197,70493972,104374178,21103506,23674830,0,13314065,0,0,0,0,0,38950842,49715155,34576487,0,8561119,8240281,50356272,72911399,79026663,0,26403899,50455310,0,0,33440947,29556644,6.593431,7.214192,3.098669,1.804688,9.179859,2.411267,16.827599,1.995182,1.990209,10.727865,15.881252,15.339844,0,8.692541,9.403421,2.001462,0,0,13.718967,0,8.522135,1.999694,2.004315,0,82.130829,9.775391,3.378777,2.006828,1.594144,20.724102,15.089181,-1.26886,1.732876,0,0,0,12.21814,0,10.046093,0,82.130829,4.334298,5.711239,16.312292,1.623442,4.431511,3.379873,3.74974,20.817314,13.053917,9.023404,13.134112,15.09853,0,0,-93.005013,-104.505013,-50.084469,-46.094193,-62.35421,-54.974762,-39.225891,-80.005013,-73.015121,-80.005013,-80.005013,-80.005013,-80.005013,-80.005013,-80.005013,-32.920345,-37.667721,0.004987,-51.80917,-51.634296,-33.472065,-47.142147,-42.191498,0.004987,-51.310349,-61.378937,0.004987,-0.005013,-68.283188,-64.079071,196580
1/4/2023 0:00,782485824,40301680,196820,10016368,13145948,5251492,5917024,18359791,15104294,10687527,15613883,14717107,17926013,0,19790392,21394126,21211624,0,0,24373914,2325217,22192452,29228870,15469742,36330498,22941543,24053483,16713842,20410538,11278556,24788505,23831783,23120179,18595171,0,0,0,19268585,3451693,35460451,1145257,13652160,11208068,7607292,3416580,2006169,17412368,3687366,15807628,21163291,30412192,28673648,38193260,25129935,0,0,0,0,111454346,70565170,104492087,21135067,23696422,0,13350136,0,0,0,0,0,38973152,49772865,34601068,0,8586762,8277504,50401079,72940337,79060671,0,26425395,50528876,0,0,33477410,29591079,6.596844,7.349123,3.148178,1.744531,8.316601,2.396224,16.864815,2.145573,1.985156,10.697786,16.192059,15.338747,0,8.491821,9.348383,1.998582,0,0,14.003038,0,8.582409,1.996718,2.002167,0,82.130829,9.785416,3.243856,2.002703,1.541544,20.663233,15.057445,-1.225448,1.567405,0,0,0,12.086432,0,9.951945,0,82.130829,4.296198,5.720712,16.236588,5.755617,4.412712,3.358724,3.718409,20.813881,13.003777,8.800024,13.114061,15.035723,0,0,-93.005013,-104.505013,-50.977009,-45.66048,-62.357113,-64.559441,-48.216911,-80.005013,-73.015182,-80.005013,-80.005013,-80.005013,-80.005013,-80.005013,-80.005013,-34.166481,-37.555195,0.004987,-51.808128,-51.62989,-34.429787,-48.179047,-41.39436,0.004987,-49.291115,-61.305363,0.004987,-0.005013,-68.221115,-64.077332,196820
1/5/2023 0:00,783288064,40328885,197060,10028979,13160025,5251492,5923421,18389601,15122303,10696154,15633088,14737426,17955496,0,19820590,21420310,21233715,0,0,24405134,2325217,22223490,29257910,15487795,36330498,22963555,24084582,16732787,20435865,11289506,24818772,23860448,23120179,18616044,0,0,0,19293600,3451693,35489587,1145257,13679697,11222717,7624683,3416580,2006169,17427755,3687366,15828725,21177340,30441584,28706587,38220776,25143604,0,0,0,0,111569806,70635777,104609233,21166466,23717729,0,13385994,0,0,0,0,0,38994884,49827770,34634319,0,8611691,8312871,50443356,72967350,79092640,0,26456905,50595437,0,0,33512197,29624146,6.598804,7.2128,2.817318,1.664323,8.477018,2.393786,16.612339,1.958969,2.266205,10.697788,15.550383,15.109549,0,8.408051,9.339591,1.99341,0,0,12.28977,0,8.121094,1.99519,2.000934,0,82.130829,9.715235,3.158203,2.004817,1.539037,20.637478,15.042824,-1.303072,3.550139,0,0,0,12.005652,0,10.085573,0,82.130829,4.301645,5.713091,16.380047,5.835156,4.42384,3.358724,3.740683,20.864111,12.773178,8.632013,13.149572,14.918587,0,0,-93.005013,-104.505013,-50.771015,-46.560173,-62.361332,-55.105122,-48.745548,-80.005013,-73.003349,-80.005013,-80.005013,-80.005013,-80.005013,-80.005013,-80.005013,-35.242584,-37.510212,0.004987,-51.801456,-51.629436,-33.934292,-48.639183,-43.316353,0.004987,-28.483288,-61.77681,0.004987,-0.005013,-68.26326,-64.13446,197060
1/6/2023 0:00,784086592,40355435,197300,10041594,13174109,5251492,5929745,18419407,15140165,10702404,15652592,14757697,17984986,0,19850766,21446511,21255784,0,0,24436321,2325217,22254441,29286574,15505818,36330498,22985566,24115680,16751692,20460865,11300403,24849048,23889117,23120179,18636764,0,0,0,19318628,3451693,35518691,1145257,13707237,11237375,7641906,3416580,2006169,17443071,3687366,15849828,21191383,30470979,28739490,38248291,25157257,0,0,0,0,111684705,70705590,104725700,21197692,23738768,0,13421687,0,0,0,0,0,39016365,49881457,34672253,0,8636270,8347313,50484320,72993274,79123570,0,26493435,50658643,0,0,33546211,29656580,6.591153,7.299752,3.338672,1.784714,8.361563,2.396224,16.822586,2.175079,2.847396,10.5875,16.131893,15.37995,0,8.201924,9.283017,2.008845,0,0,14.374523,0,8.782812,1.999233,2.001072,0,82.130829,9.735287,3.047917,2.015312,1.571189,20.573441,14.99559,-1.313265,3.178255,0,0,0,11.896207,0,9.965885,0,82.130829,4.25112,5.735709,16.482822,5.785027,4.431158,3.348693,3.669531,20.909939,12.720521,8.393688,13.110848,14.73823,0,0,-93.005013,-104.505013,-51.126984,-46.865665,-62.353321,-55.440033,-36.648785,-80.005013,-73.019836,-80.005013,-80.005013,-80.005013,-80.005013,-80.005013,-80.005013,-34.705708,-37.40263,0.004987,-51.800999,-51.628216,-34.058781,-46.863449,-38.489128,0.004987,-28.25111,-61.697338,0.004987,-0.005013,-68.271622,-64.169868,197300
1/7/2023 0:00,784865920,40380098,197540,10054212,13188231,5251492,5936333,18449248,15158112,10702404,15672188,14777981,18014486,0,19880894,21472691,21277788,0,0,24467563,2325217,22285350,29315586,15523785,36330498,22993396,24146793,16770539,20486143,11311252,24879329,23917776,23120179,18657485,0,0,0,19343649,3451693,35547696,1145257,13734773,11252001,7659801,3416580,2006169,17458421,3687366,15870932,21205426,30500377,28772308,38275734,25170818,0,0,0,0,111797502,70773395,104840035,21228126,23759042,0,13456757,0,0,0,0,0,39035982,49933857,34708983,0,8660269,8381011,50524202,73018348,79153725,0,26528633,50720282,0,0,33579475,29688350,6.603487,7.307838,3.519141,1.754557,8.091017,2.396231,17.101631,2.717058,3.799864,10.617578,16.542969,15.490234,0,8.091028,9.242216,1.994747,0,0,14.589788,0,8.893101,1.996351,1.998091,0,82.130829,9.89543,3.026124,1.987631,1.533671,20.593647,14.975228,-1.052735,3.428906,0,0,0,11.889178,0,9.80546,0,82.130829,4.210942,5.71341,16.47282,5.875535,4.58245,3.388803,3.747859,20.760225,12.963675,8.200454,13.104036,14.557412,0,0,-93.005013,-104.505013,-52.078964,-48.408321,-62.355999,-60.476963,-38.890583,-80.005013,-73.007759,-80.005013,-80.005013,-80.005013,-80.005013,-80.005013,-80.005013,-33.931515,-37.550674,0.004987,-51.810196,-51.629055,-34.0233,-48.469048,-44.31736,0.004987,-31.093412,-61.841106,0.004987,-0.005013,-68.308189,-64.168259,197540
1/8/2023 0:00,785589824,40406965,197778,10064397,13199255,5251545,5939451,18472199,15173323,10705293,15688216,14794068,18036215,0,19904790,21493675,21296252,0,0,24498396,2325217,22315832,29344472,15541636,36330498,23003601,24178272,16789244,20511722,11318187,24909277,23946347,23120265,18675598,0,0,0,19368150,3451693,35581352,1145257,13761657,11267223,7675578,3416582,2007542,17472176,3687402,15888234,21219017,30531113,28800985,38303020,25185591,0,0,0,0,111906049,70838990,104950870,21252643,23774379,0,13489177,0,0,0,0,0,39052942,49990417,34742347,0,8674139,8400855,50560093,73053104,79199744,0,26554088,50766315,0,0,33612004,29715545,6.584446,6.999832,3.649479,2.346094,7.988249,11.951042,17.980124,3.559246,2.196336,10.8181,16.312527,16.97924,0,11.108978,9.906241,2.000581,0,0,14.338023,0,8.782812,2.964701,1.998576,0,82.130829,9.604948,3.249927,2.000853,12.401744,20.61536,14.995617,-1.197561,3.929433,0,0,0,11.926719,0,3.900131,0,82.130829,3.418792,5.799677,16.733467,1.513932,5.304873,3.489063,6.185517,20.798567,12.201485,14.479142,13.102043,2.018052,0,0,-93.005013,-104.505013,-50.03524,-44.754745,-62.360687,-67.611984,-60.994984,-80.005013,-73.003487,-80.005013,-80.005013,-80.005013,-80.005013,-80.005013,-80.005013,-30.026054,-37.359886,0.004987,-51.809605,-51.636894,-34.475891,-45.061001,-33.606792,0.004987,-44.600983,-65.00106,0.004987,-0.005013,-68.094604,-64.376762,197778
1/9/2023 0:00,786378432,40434774,198018,10076971,13213300,5251545,5939451,18497602,15191958,10711406,15707778,14812863,18058631,0,19932763,21518565,21319848,0,0,24529610,2325217,22346655,29372901,15559558,36330498,23033196,24211612,16808027,20537796,11318187,24939772,23975708,23120265,18697184,0,0,0,19393167,3451693,35624039,1145257,13789202,11284099,7695071,3416582,2011092,17484463,3687402,15901749,21233021,30565376,28823750,38331184,25202411,0,0,0,0,112022318,70911564,105071837,21269736,23789057,0,13521062,0,0,0,0,0,39073730,50067049,34780767,0,8674172,8400898,50600863,73115612,79286201,0,26578103,50795152,0,0,33650402,29739607,6.600481,7.032408,3.328646,2.156147,7.730078,12.111382,17.635429,3.347875,3.669533,10.828125,16.252213,16.833723,0,10.843013,9.79578,1.994098,0,0,13.327288,0,8.46143,2.964868,1.999974,0,82.130829,9.464584,3.158204,2.00519,12.47224,20.61554,14.954339,-1.224274,3.00648,0,0,0,11.74042,0,3.900131,0,82.130829,3.398855,6.041341,16.432068,1.511504,5.287637,3.469011,5.975521,20.759628,12.201693,14.486326,13.100656,2.00708,0,0,-93.005013,-104.505013,-51.362877,-45.74007,-62.360542,-74.075516,-63.236351,-80.005013,-73.00766,-80.005013,-80.005013,-80.005013,-80.005013,-80.005013,-80.005013,-29.145952,-37.68906,0.004987,-51.800491,-51.627792,-34.134121,-44.938377,-33.228832,0.004987,-45.866653,-64.577423,0.004987,-0.005013,-68.212639,-64.321304,198018
