NAME,EVENT,TYPE,VAL
299-E17-22,2022-01-04 08:01:00,MAN,121.49
299-E24-18,2022-01-04 08:09:00,MAN,121.48299999999999
299-E17-56,2022-01-04 08:45:00,MAN,121.455
299-E17-23,2022-01-04 09:05:00,MAN,121.491
299-E17-25,2022-01-04 09:41:00,MAN,121.509
299-E17-26,2022-01-04 10:25:00,MAN,121.535
299-E17-57,2022-01-04 10:30:00,MAN,120.807
299-E24-24,2022-01-04 11:06:00,MAN,121.48700000000001
299-E18-1,2022-01-04 11:14:00,MAN,121.478
299-E24-21,2022-01-04 11:55:00,MAN,121.491
299-W10-29,2022-01-05 10:20:00,MAN,135.759
299-W9-2,2022-01-05 10:28:00,MAN,136.142
299-W10-30,2022-01-05 11:45:00,MAN,135.799
699-25-34E,2022-01-10 07:57:00,MAN,121.355
299-E25-3,2022-01-10 07:57:00,MAN,121.46700000000001
199-H3-30,2022-01-10 08:20:00,MAN,115.654
299-E25-12,2022-01-10 08:36:00,MAN,121.443
699-24-34E,2022-01-10 08:51:00,MAN,121.35
699-24-34D,2022-01-10 09:20:00,MAN,121.35700000000001
199-K-236,2022-01-10 09:28:00,MAN,120.916
199-K-205,2022-01-10 09:58:00,MAN,120.882
199-K-235,2022-01-10 10:28:00,MAN,120.899
699-24-36,2022-01-10 10:29:00,MAN,121.37
199-B4-14,2022-01-10 11:04:00,MAN,121.602
299-E24-164,2022-01-10 11:23:00,MAN,121.37899999999999
299-E17-57,2022-01-10 12:41:00,MAN,120.852
299-W19-47,2022-01-11 07:25:00,MAN,131.02200000000002
699-22-35,2022-01-11 07:54:00,MAN,121.359
399-4-15,2022-01-11 08:28:00,MAN,105.508
699-23-34B,2022-01-11 08:42:00,MAN,121.355
299-W19-42,2022-01-11 08:56:00,MAN,131.037
399-4-16,2022-01-11 09:03:00,MAN,105.51899999999999
299-W19-45,2022-01-11 09:54:00,MAN,131.00799999999998
699-26-35A,2022-01-11 10:11:00,MAN,121.35600000000001
699-26-33A,2022-01-11 10:28:00,MAN,121.352
299-W19-44,2022-01-11 11:40:00,MAN,131.02200000000002
699-26-34B,2022-01-11 11:49:00,MAN,121.359
299-W19-41,2022-01-11 12:51:00,MAN,131.14
299-W18-260,2022-01-12 07:51:00,MAN,131.093
699-25-34D,2022-01-12 07:51:00,MAN,121.35
299-E32-3,2022-01-12 07:58:00,MAN,121.485
699-25-34F,2022-01-12 08:47:00,MAN,121.36
299-E26-79,2022-01-12 08:58:00,MAN,121.53
299-W18-40,2022-01-12 08:59:00,MAN,132.309
299-E26-15,2022-01-12 09:44:00,MAN,121.505
299-E33-28,2022-01-12 10:08:00,MAN,121.507
299-E26-14,2022-01-12 10:43:00,MAN,121.596
299-W18-22,2022-01-12 10:43:00,MAN,136.033
299-E33-29,2022-01-12 10:56:00,MAN,121.465
299-W6-3,2022-01-12 11:35:00,MAN,130.002
299-E26-77,2022-01-12 11:48:00,MAN,121.61399999999999
299-W6-17,2022-01-12 12:17:00,MAN,127.65899999999999
299-E26-10,2022-01-12 12:39:00,MAN,121.53200000000001
299-E25-19,2022-01-13 07:47:00,MAN,121.51
699-26-38,2022-01-13 07:49:00,MAN,121.365
299-E28-35,2022-01-13 07:54:00,MAN,121.479
299-E25-35,2022-01-13 08:49:00,MAN,121.494
299-E28-27,2022-01-13 09:19:00,MAN,121.479
299-E25-239,2022-01-13 09:45:00,MAN,121.456
299-E25-17,2022-01-13 09:56:00,MAN,121.48
299-E33-283,2022-01-13 10:07:00,MAN,121.473
299-E25-47,2022-01-13 10:39:00,MAN,121.486
299-E25-20,2022-01-13 11:10:00,MAN,121.40899999999999
299-E25-95,2022-01-13 11:59:00,MAN,121.50200000000001
299-E33-266,2022-01-13 12:29:00,MAN,121.34899999999999
299-E33-34,2022-01-17 07:46:00,MAN,121.51899999999999
299-E25-43,2022-01-17 07:58:00,MAN,121.45200000000001
299-E33-35,2022-01-17 08:18:00,MAN,121.48700000000001
299-W15-30,2022-01-17 08:38:00,MAN,134.761
299-E26-13,2022-01-17 08:38:00,MAN,121.493
299-E33-276,2022-01-17 08:55:00,MAN,121.514
299-E26-80,2022-01-17 09:18:00,MAN,121.47200000000001
299-W15-152,2022-01-17 10:04:00,MAN,134.645
299-E25-34,2022-01-17 10:06:00,MAN,121.484
299-E25-238,2022-01-17 10:52:00,MAN,121.463
299-W15-94,2022-01-17 10:59:00,MAN,134.714
299-W15-83,2022-01-17 11:52:00,MAN,134.724
299-E33-30,2022-01-17 12:10:00,MAN,121.51799999999999
299-W15-224,2022-01-17 13:15:00,MAN,134.694
299-W18-21,2022-01-18 07:45:00,MAN,136.885
299-W14-18,2022-01-18 09:30:00,MAN,127.74799999999999
699-66-103,2022-01-18 09:40:00,MAN,123.146
699-67-86,2022-01-18 10:04:00,MAN,121.815
199-B8-6,2022-01-18 10:20:00,MAN,121.697
699-32-70B,2022-01-18 10:25:00,MAN,129.884
199-B5-8,2022-01-18 10:27:00,MAN,121.447
699-65-72,2022-01-18 10:41:00,MAN,121.54299999999999
699-61-66,2022-01-18 10:50:00,MAN,121.521
699-66-64,2022-01-18 10:58:00,MAN,121.45200000000001
299-E13-14,2022-01-18 11:04:00,MAN,121.58200000000001
699-61-62,2022-01-18 11:08:00,MAN,121.524
699-64-62,2022-01-18 11:16:00,MAN,121.475
699-60-60,2022-01-18 11:23:00,MAN,121.508
699-65-59A,2022-01-18 11:48:00,MAN,121.454
699-57-59,2022-01-18 11:59:00,MAN,121.51
699-59-58,2022-01-18 12:05:00,MAN,121.523
699-60-57,2022-01-18 12:14:00,MAN,121.521
699-63-58,2022-01-18 12:18:00,MAN,121.441
699-55-60A,2022-01-18 12:27:00,MAN,121.535
699-51-63,2022-01-18 12:36:00,MAN,122.333
699-48-77C,2022-01-18 12:48:00,MAN,133.061
699-47-60,2022-01-18 13:03:00,MAN,121.633
699-46-61,2022-01-18 13:11:00,MAN,121.928
699-49-57A,2022-01-18 13:24:00,MAN,121.51299999999999
699-49-55A,2022-01-18 13:31:00,MAN,121.536
699-50-56,2022-01-18 13:36:00,MAN,121.537
699-52-55,2022-01-18 13:50:00,MAN,121.572
699-55-55,2022-01-18 14:00:00,MAN,121.516
699-37-43,2022-01-18 14:26:00,MAN,121.46700000000001
699-24-33,2022-01-18 14:40:00,MAN,121.346
699-31-31,2022-01-18 14:50:00,MAN,121.311
699-34-39A,2022-01-18 15:00:00,MAN,121.427
699-47-55,2022-01-18 15:13:00,MAN,121.51899999999999
299-E26-2,2022-01-19 08:05:00,MAN,121.48899999999999
299-E26-4,2022-01-19 08:33:00,MAN,121.484
299-E17-1,2022-01-19 08:38:00,MAN,121.336
299-E26-5,2022-01-19 09:41:00,MAN,121.45700000000001
299-E17-14,2022-01-19 09:45:00,MAN,121.484
299-E25-10,2022-01-19 10:11:00,MAN,121.541
299-E17-15,2022-01-19 10:46:00,MAN,121.125
299-E17-16,2022-01-19 11:34:00,MAN,121.402
299-E23-1,2022-01-19 11:50:00,MAN,121.45299999999999
299-E17-18,2022-01-20 07:58:00,MAN,121.47399999999999
299-E17-19,2022-01-20 09:02:00,MAN,121.292
299-E17-20,2022-01-20 09:54:00,MAN,121.48200000000001
699-43-45,2022-01-20 11:35:00,MAN,121.514
699-43-44B,2022-01-24 07:35:00,MAN,121.54799999999999
299-W8-1,2022-01-24 08:08:00,MAN,135.64600000000002
299-E17-25,2022-01-24 08:12:00,MAN,121.477
299-E17-23,2022-01-24 08:23:00,MAN,121.469
299-E17-18,2022-01-24 08:30:00,MAN,121.44200000000001
299-E17-22,2022-01-24 08:37:00,MAN,121.469
299-E17-21,2022-01-24 08:48:00,MAN,121.48700000000001
699-43-44C,2022-01-24 08:56:00,MAN,121.598
299-E24-24,2022-01-24 08:58:00,MAN,121.475
299-E24-18,2022-01-24 09:05:00,MAN,121.454
299-E24-21,2022-01-24 09:11:00,MAN,121.46600000000001
299-W7-3,2022-01-24 09:22:00,MAN,133.762
299-E24-16,2022-01-24 09:22:00,MAN,121.485
299-E25-36,2022-01-24 09:29:00,MAN,121.46
299-E25-19,2022-01-24 09:36:00,MAN,121.49799999999999
299-E23-1,2022-01-24 09:37:00,MAN,121.51700000000001
299-E25-24,2022-01-24 09:41:00,MAN,121.488
299-E25-35,2022-01-24 09:48:00,MAN,121.488
299-E25-34,2022-01-24 09:54:00,MAN,121.48100000000001
299-E26-13,2022-01-24 10:00:00,MAN,121.48899999999999
299-E26-4,2022-01-24 10:10:00,MAN,121.478
299-E26-14,2022-01-24 10:18:00,MAN,121.579
299-E26-77,2022-01-24 10:24:00,MAN,121.575
299-W6-6,2022-01-24 10:27:00,MAN,131.332
299-E26-79,2022-01-24 10:28:00,MAN,121.51100000000001
299-E26-15,2022-01-24 10:31:00,MAN,121.50299999999999
299-E26-10,2022-01-24 10:38:00,MAN,121.501
299-E24-25,2022-01-24 10:46:00,MAN,121.446
299-E27-137B,2022-01-24 10:52:00,MAN,121.491
699-43-43C,2022-01-24 11:01:00,MAN,121.779
299-E18-2,2022-01-24 11:08:00,MAN,121.537
699-44-42B,2022-01-24 12:18:00,MAN,122.889
699-43-43B,2022-01-25 08:03:00,MAN,121.709
699-42-42B,2022-01-25 10:04:00,MAN,121.958
299-E25-93,2022-01-26 07:57:00,MAN,121.48899999999999
299-E25-32P,2022-01-26 07:58:00,MAN,121.486
299-E25-32P,2022-01-26 08:01:00,MAN,121.486
299-E24-22,2022-01-26 08:06:00,MAN,121.48899999999999
699-49-79,2022-01-26 08:11:00,MAN,134.18
299-E24-33,2022-01-26 08:13:00,MAN,121.494
299-E27-14,2022-01-26 08:19:00,MAN,121.492
299-E27-21,2022-01-26 08:27:00,MAN,121.488
299-E27-23,2022-01-26 08:32:00,MAN,121.488
299-E27-12,2022-01-26 08:36:00,MAN,121.49
299-E28-17,2022-01-26 08:45:00,MAN,121.479
299-E28-18,2022-01-26 08:51:00,MAN,121.495
299-E28-1,2022-01-26 09:01:00,MAN,121.486
699-48-77C,2022-01-26 09:03:00,MAN,133.05200000000002
299-E27-17,2022-01-26 09:12:00,MAN,121.49600000000001
299-E27-8,2022-01-26 09:17:00,MAN,121.501
299-E27-18,2022-01-26 09:25:00,MAN,121.50299999999999
299-E34-9,2022-01-26 09:34:00,MAN,121.501
299-E33-37,2022-01-26 09:42:00,MAN,121.50299999999999
299-E33-14,2022-01-26 09:47:00,MAN,121.501
299-E33-339,2022-01-26 09:56:00,MAN,121.48899999999999
299-E33-49,2022-01-26 10:03:00,MAN,121.506
299-E33-334,2022-01-26 10:07:00,MAN,121.49700000000001
699-51-75,2022-01-26 10:09:00,MAN,130.977
299-E33-42,2022-01-26 10:12:00,MAN,121.492
299-E25-25,2022-01-26 10:16:00,MAN,121.49700000000001
299-E33-31,2022-01-26 10:17:00,MAN,121.492
299-E33-28,2022-01-26 10:23:00,MAN,121.5
299-E28-27,2022-01-26 10:28:00,MAN,121.501
699-44-43C,2022-01-26 10:32:00,MAN,122.566
299-E33-38,2022-01-26 10:36:00,MAN,121.49799999999999
299-E33-41,2022-01-26 10:43:00,MAN,121.492
299-E33-34,2022-01-26 10:51:00,MAN,121.501
299-E32-8,2022-01-26 10:55:00,MAN,121.506
299-E32-6,2022-01-26 10:59:00,MAN,121.505
699-43-43B,2022-01-26 11:19:00,MAN,121.705
699-44-39B,2022-01-26 11:34:00,MAN,123.1
699-48-71,2022-01-26 12:49:00,MAN,127.43299999999999
299-E32-7,2022-01-27 07:47:00,MAN,121.48200000000001
299-E32-8,2022-01-27 08:01:00,MAN,121.485
299-E32-6,2022-01-27 08:26:00,MAN,121.49700000000001
299-E32-9,2022-01-27 08:39:00,MAN,121.45700000000001
299-E32-2,2022-01-27 09:07:00,MAN,121.447
299-E32-10,2022-01-27 09:13:00,MAN,121.45100000000001
299-E32-5,2022-01-27 09:43:00,MAN,121.494
299-E28-31,2022-01-27 10:23:00,MAN,121.43799999999999
299-E32-4,2022-01-27 11:36:00,MAN,121.446
299-E28-26,2022-01-27 11:45:00,MAN,121.478
299-W10-26,2022-01-31 07:43:00,MAN,128.504
299-W22-123,2022-01-31 11:28:00,MAN,130.246
299-W13-1,2022-02-01 07:41:00,MAN,123.323
299-W10-28,2022-02-01 08:05:00,MAN,130.657
299-W15-17,2022-02-01 08:36:00,MAN,134.73
299-W10-24,2022-02-01 09:42:00,MAN,129.227
699-87-55,2022-02-01 09:45:00,MAN,118.79299999999999
699-96-42B,2022-02-01 10:26:00,MAN,115.505
299-W11-39,2022-02-01 10:43:00,MAN,128.99200000000002
699-95-45C,2022-02-01 10:56:00,MAN,117.085
699-51-75P,2022-02-01 13:28:00,MAN,131.009
299-W11-42,2022-02-02 07:37:00,MAN,128.961
299-E33-31,2022-02-02 08:13:00,MAN,121.485
299-W11-40,2022-02-02 08:58:00,MAN,128.722
299-E33-42,2022-02-02 09:11:00,MAN,121.494
299-E33-32,2022-02-02 09:57:00,MAN,121.49700000000001
299-W11-41,2022-02-02 10:38:00,MAN,128.679
299-E33-334,2022-02-02 10:38:00,MAN,121.49700000000001
299-E33-335,2022-02-02 11:20:00,MAN,121.48100000000001
299-E33-41,2022-02-02 11:57:00,MAN,121.493
299-E33-48,2022-02-02 12:08:00,MAN,121.512
299-E33-338,2022-02-02 12:46:00,MAN,121.508
299-E33-337,2022-02-03 08:29:00,MAN,121.49
199-K-175,2022-02-03 08:45:00,MAN,120.992
199-K-206,2022-02-03 09:19:00,MAN,120.914
299-E33-47,2022-02-03 09:22:00,MAN,121.505
199-K-174,2022-02-03 09:51:00,MAN,120.771
299-E33-339,2022-02-03 10:40:00,MAN,121.495
199-K-186,2022-02-03 10:48:00,MAN,120.51700000000001
299-E33-38,2022-02-03 11:31:00,MAN,121.50399999999999
299-E33-44,2022-02-03 12:27:00,MAN,121.48899999999999
299-E34-10,2022-02-07 07:46:00,MAN,121.51100000000001
199-K-224,2022-02-07 08:17:00,MAN,120.675
299-E34-9,2022-02-07 08:25:00,MAN,121.51
299-E33-49,2022-02-07 08:48:00,MAN,121.505
299-E33-36,2022-02-07 08:57:00,MAN,121.038
199-K-223,2022-02-07 09:23:00,MAN,120.855
199-K-229,2022-02-07 09:53:00,MAN,120.54799999999999
299-E33-37,2022-02-07 09:58:00,MAN,121.51100000000001
299-E33-345,2022-02-07 10:12:00,MAN,121.241
