"NAME"|"EVENT"|"VAL_ORG"|"VAL_FINAL"|"TYPE"|"ADJ"|"ADJ_TYPE"|"QUALIFIER"|"MAP_USE"
"199-D2-11"|2/11/2022 14:19:00|119.069|119.069|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-D2-11"|11/18/2022 10:45:00|119.081|119.081|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-D2-11"|2/10/2023 14:55:00|118.889|118.889|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-D2-11"|6/9/2023 8:11:00|118.319|118.319|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-D3-2"|2/11/2022 14:54:00|118.493|118.493|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-D3-2"|11/18/2022 10:08:00|117.996|117.996|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-D3-2"|2/10/2023 10:14:00|117.850|117.850|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-D3-2"|6/9/2023 6:53:00|118.450|118.450|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-D3-5"|2/11/2022 14:59:00|118.565|118.565|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-D3-5"|11/18/2022 9:44:00|117.979|117.979|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-D3-5"|2/10/2023 9:58:00|117.931|117.931|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-D3-5"|6/9/2023 6:20:00|118.549|118.549|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-D4-15"|2/11/2022 14:36:00|118.132|118.132|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-D4-15"|11/18/2022 10:42:00|117.702|117.702|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-D4-15"|2/10/2023 14:52:00|117.736|117.736|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-D4-15"|6/9/2023 6:43:00|117.864|117.864|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-D4-19"|4/25/2023 7:39:00|117.320|117.320|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-D4-20"|2/11/2022 15:00:00|118.553|118.553|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-D4-20"|11/18/2022 10:00:00|118.056|118.056|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-D4-20"|2/10/2023 10:10:00|118.035|118.035|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-D4-20"|6/9/2023 6:37:00|118.422|118.422|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-D4-21"|2/11/2022 14:38:00|117.665|117.665|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-D4-21"|9/8/2022 12:03:00|117.583|117.583|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-D4-21"|11/18/2022 10:15:00|117.284|117.284|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-D4-21"|2/10/2023 10:23:00|117.312|117.312|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-D4-21"|6/9/2023 7:08:00|117.741|117.741|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-D4-23"|2/11/2022 14:43:00|117.934|117.934|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-D4-23"|11/18/2022 10:15:00|117.620|117.620|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-D4-23"|2/10/2023 10:24:00|117.370|117.370|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-D4-23"|6/9/2023 6:07:00|117.913|117.913|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-D4-86"|2/11/2022 14:48:00|118.507|118.507|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-D4-86"|11/18/2022 10:02:00|118.056|118.056|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-D4-86"|2/10/2023 10:08:00|117.861|117.861|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-D4-86"|6/9/2023 6:46:00|118.471|118.471|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-D5-106"|2/11/2022 13:55:00|118.635|118.635|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-D5-106"|11/18/2022 15:15:00|118.751|118.751|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-D5-106"|2/10/2023 13:40:00|118.687|118.687|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-D5-106"|6/9/2023 7:22:00|117.977|117.977|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-D5-126"|2/11/2022 13:31:00|117.845|117.845|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-D5-126"|11/18/2022 14:46:00|117.793|117.793|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-D5-126"|2/10/2023 14:10:00|117.821|117.821|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-D5-126"|6/9/2023 8:44:00|117.513|117.513|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-D5-13"|2/11/2022 13:32:00|117.162|117.162|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-D5-13"|11/18/2022 14:47:00|116.909|116.909|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-D5-13"|2/10/2023 14:11:00|116.948|116.948|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-D5-13"|6/9/2023 8:54:00|117.095|117.095|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
