"NAME"|"EVENT"|"VAL"|"TYPE"|"EASTING"|"NORTHING"
"199-D5-43"|1/8/2014 10:03:00|118.051|"MAN"|573179.976|151269.430
"199-D4-1"|1/8/2014 10:38:00|117.031|"MAN"|572752.848|151558.893
"199-D3-2"|1/8/2014 11:28:00|117.929|"MAN"|572453.955|151165.653
"199-D2-6"|1/9/2014 11:42:00|117.912|"MAN"|573000.210|151119.860
"199-D5-40"|1/9/2014 11:45:00|117.736|"MAN"|573003.258|151272.017
"199-D5-43"|1/9/2014 11:48:00|118.049|"MAN"|573179.976|151269.430
"199-D4-22"|1/9/2014 11:56:00|116.921|"MAN"|572788.453|151539.293
"199-D4-7"|1/9/2014 12:09:00|117.012|"MAN"|572760.866|151551.254
"199-D4-6"|1/9/2014 12:20:00|117.118|"MAN"|572733.340|151577.919
"199-D8-5"|1/9/2014 12:26:00|117.199|"MAN"|573537.146|152243.497
"199-D8-4"|1/9/2014 12:29:00|117.382|"MAN"|573447.185|152090.212
"199-D5-13"|1/9/2014 12:36:00|117.705|"MAN"|573535.527|151955.183
"199-D5-15"|1/9/2014 12:40:00|118.823|"MAN"|573738.610|151673.750
"199-D5-16"|1/9/2014 12:44:00|118.691|"MAN"|573917.450|151652.510
"199-D5-17"|1/9/2014 12:48:00|119.228|"MAN"|573730.520|151322.830
"199-D5-18"|1/9/2014 12:51:00|119.024|"MAN"|573861.700|151325.180
"199-D5-19"|1/9/2014 12:54:00|118.960|"MAN"|573849.120|151243.190
"699-97-51A"|1/9/2014 13:02:00|117.415|"MAN"|574468.122|153122.092
"699-98-49A"|1/9/2014 13:07:00|117.317|"MAN"|574823.368|153310.153
"699-101-48B"|1/9/2014 13:16:00|116.699|"MAN"|575283.678|154404.019
"699-93-48A"|1/9/2014 13:32:00|117.999|"MAN"|575094.127|151795.301
"699-92-49"|1/9/2014 13:35:00|118.094|"MAN"|575063.136|151647.471
"699-91-46A"|1/9/2014 13:41:00|118.080|"MAN"|575910.950|151156.642
"699-90-45"|1/9/2014 13:45:00|118.022|"MAN"|576169.250|151024.529
"199-D5-43"|1/14/2014 8:47:00|118.049|"MAN"|573179.976|151269.430
"199-D2-11"|1/14/2014 9:01:00|118.403|"MAN"|573328.160|151120.730
"199-D5-148"|1/14/2014 9:06:00|118.451|"MAN"|573361.480|151083.480
"199-D5-97"|1/14/2014 9:12:00|118.026|"MAN"|573250.110|151302.470
"199-D5-145"|1/14/2014 9:20:00|117.696|"MAN"|573215.620|151396.280
"199-D5-34"|1/14/2014 9:27:00|117.909|"MAN"|573240.420|151554.120
"199-D5-147"|1/14/2014 9:34:00|117.505|"MAN"|572993.130|151380.780
"199-D5-41"|1/14/2014 9:44:00|117.937|"MAN"|573358.160|151792.191
"199-D5-106"|1/14/2014 9:51:00|119.136|"MAN"|573503.740|151597.970
"199-D5-133"|1/14/2014 10:01:00|119.415|"MAN"|573731.550|151497.370
"199-D5-17"|1/14/2014 10:07:00|119.217|"MAN"|573730.520|151322.830
"199-D5-103"|1/14/2014 10:32:00|119.030|"MAN"|573505.870|151460.870
"199-H4-6"|1/21/2014 14:12:00|115.731|"MAN"|577585.316|152888.391
"199-D5-97"|1/22/2014 7:38:00|118.007|"MAN"|573250.110|151302.470
"199-D5-146"|1/22/2014 8:27:00|117.825|"MAN"|573219.790|151345.590
"199-D5-145"|1/22/2014 9:45:00|117.676|"MAN"|573215.620|151396.280
"199-D5-106"|1/22/2014 11:11:00|119.032|"MAN"|573503.740|151597.970
"199-D5-103"|1/22/2014 12:30:00|118.998|"MAN"|573505.870|151460.870
"199-H4-84"|1/22/2014 14:46:00|115.332|"MAN"|577902.580|152848.730
"199-D4-86"|1/24/2014 8:09:00|117.963|"MAN"|572389.064|151202.144
"199-D4-92"|1/24/2014 9:46:00|117.200|"MAN"|572714.050|151486.310
"199-D4-26"|1/24/2014 10:56:00|117.202|"MAN"|572712.326|151488.878
"199-D4-19"|1/24/2014 12:51:00|117.791|"MAN"|572559.349|151282.037
"199-D5-148"|1/31/2014 8:05:00|118.413|"MAN"|573361.480|151083.480
"199-D5-103"|1/31/2014 8:06:00|118.749|"MAN"|573505.870|151460.870
"199-D5-146"|1/31/2014 8:13:00|117.805|"MAN"|573219.790|151345.590
"199-D5-43"|1/31/2014 8:59:00|118.029|"MAN"|573179.976|151269.430
"199-D5-147"|1/31/2014 9:04:00|117.467|"MAN"|572993.130|151380.780
"199-D2-11"|1/31/2014 9:05:00|118.377|"MAN"|573328.160|151120.730
"199-D5-41"|1/31/2014 9:09:00|117.879|"MAN"|573358.160|151792.191
"199-D5-106"|1/31/2014 9:16:00|118.716|"MAN"|573503.740|151597.970
