"NAME"|"WELL_ID"|"TYPE"|"STATUS"|"TD"|"BOH"|"ZCOORDS"|"YCOORDS"|"XCOORDS"|"OU"
"01-D"|"B8113"|"AQUIFER TUBE"|"IN-USE"|24.500||122.676|146033.078|562697.662|"100-BC-5"
"01-M"|"B8114"|"AQUIFER TUBE"|"IN-USE"|16.500||122.676|146033.078|562697.662|"100-BC-5"
"01-S"|"B8115"|"AQUIFER TUBE"|"IN-USE"|7.500||122.676|146033.078|562697.662|"100-BC-5"
"02-M"|"B8117"|"AQUIFER TUBE"|"IN-USE"|15.400||122.267|145689.247|563539.581|"100-BC-5"
"02-S"|"B8118"|"AQUIFER TUBE"|"IN-USE"|6.500||122.267|145689.247|563539.581|"100-BC-5"
"03-D"|"B8119"|"AQUIFER TUBE"|"IN-USE"|13.500||121.154|145469.247|564077.431|"100-BC-5"
"03-M"|"B8120"|"AQUIFER TUBE"|"IN-USE"|7.500||121.154|145469.247|564077.431|"100-BC-5"
"04-D"|"B8122"|"AQUIFER TUBE"|"IN-USE"|25.500||122.484|145283.275|564612.184|"100-BC-5"
"04-M"|"B8123"|"AQUIFER TUBE"|"IN-USE"|13.500||122.491|145283.047|564612.066|"100-BC-5"
"04-S"|"B8124"|"AQUIFER TUBE"|"IN-USE"|8.800||122.407|145283.419|564612.459|"100-BC-5"
"05-D"|"B8125"|"AQUIFER TUBE"|"IN-USE"|26.000||121.992|145332.290|564908.310|"100-BC-5"
"05-M"|"B8126"|"AQUIFER TUBE"|"IN-USE"|17.500||121.992|145332.290|564908.310|"100-BC-5"
"05-S"|"B8127"|"AQUIFER TUBE"|"IN-USE"|9.000||121.992|145332.290|564908.310|"100-BC-5"
"06-D"|"B8128"|"AQUIFER TUBE"|"IN-USE"|23.500||122.122|145412.052|565293.927|"100-BC-5"
"06-M"|"B8129"|"AQUIFER TUBE"|"IN-USE"|16.000||122.122|145412.052|565293.927|"100-BC-5"
"06-S"|"B8130"|"AQUIFER TUBE"|"IN-USE"|9.300||122.122|145412.052|565293.927|"100-BC-5"
"07-D"|"B8131"|"AQUIFER TUBE"|"IN-USE"|20.500||120.662|145493.904|565564.591|"100-BC-5"
"07-M"|"B8132"|"AQUIFER TUBE"|"DECOMMISSIONED-V"|8.500||120.653|145495.641|565566.011|"100-BC-5"
"08N30E03A01"|"B8561"|"GROUNDWATER WELL"|"CANDIDATE FOR DECOMMISSIONING"||||98346.050|612741.700|
"09N28E04G01"|"C3642"|"GROUNDWATER WELL"|"IN-USE"|116.500|||107479.900|591328.600|
"09N28E06C02"|"C3643"|"GROUNDWATER WELL"|"IN-USE"||||107792.200|587654.300|
"09N28E5C01"|"B8562"|"GROUNDWATER WELL"|"IN-USE"|302.000|||108007.352|589457.562|
"09N29E02C01"|"B8563"|"GROUNDWATER WELL"|"CANDIDATE FOR DECOMMISSIONING"||||108162.680|603912.530|
"09N29E09C01"|"B8564"|"GROUNDWATER WELL"|"CANDIDATE FOR DECOMMISSIONING"||||106504.560|600772.340|
"09N29E12A01"|"B8565"|"UNCLASSIFIED"|"CANDIDATE FOR DECOMMISSIONING"||||106387.170|606597.450|
"09N29E15N01"|"B8566"|"GROUNDWATER WELL"|"CANDIDATE FOR DECOMMISSIONING"||||103437.240|602022.310|
"09N30E02B01"|"B8567"|"GROUNDWATER WELL"|"CANDIDATE FOR DECOMMISSIONING"||||108347.030|614183.070|
"09N30E06D01"|"B8568"|"GROUNDWATER WELL"|"CANDIDATE FOR DECOMMISSIONING"||||108213.540|606844.360|
"09N30E14D01"|"B8569"|"UNCLASSIFIED"|"CANDIDATE FOR DECOMMISSIONING"||||105115.250|613108.930|
"09N30E16F01"|"B8570"|"GROUNDWATER WELL"|"CANDIDATE FOR DECOMMISSIONING"||||104389.370|610574.080|
"09N30E17C01"|"B8571"|"GROUNDWATER WELL"|"CANDIDATE FOR DECOMMISSIONING"||||104726.230|608726.020|
"09N30E23N01"|"B8572"|"GROUNDWATER WELL"|"CANDIDATE FOR DECOMMISSIONING"||||102004.030|613488.480|
"09N30E29K01"|"B8573"|"UNCLASSIFIED"|"CANDIDATE FOR DECOMMISSIONING"||||100998.760|609220.860|
"10-01-09"|"B8052"|"UNCLASSIFIED"|"IN-USE"||||136040.200|575306.560|"200-PO-1"
"100H-SFM-1"|"A9812"|"UNCLASSIFIED"|"DECOMMISSIONED-V"||||||
"100H-SFM-2"|"A9813"|"UNCLASSIFIED"|"DECOMMISSIONED-V"||||||
"100H-SFM-3"|"A9814"|"UNCLASSIFIED"|"DECOMMISSIONED-V"||||||
"100H-SFM-4"|"A9815"|"UNCLASSIFIED"|"DECOMMISSIONED-V"||||||
"103mArray-AT3A"|"C5272"|"AQUIFER TUBE"|"IN-USE"|7.390|||116163.085|594512.437|"300-FF-5"
"103mArray-DS25"|"C5278"|"AQUIFER TUBE"|"IN-USE"|6.080|||116137.734|594518.125|"300-FF-5"
"103mArray-DS50"|"C5279"|"AQUIFER TUBE"|"IN-USE"|5.750|||116123.367|594521.250|"300-FF-5"
"103mArray-DS75"|"C5280"|"AQUIFER TUBE"|"IN-USE"|8.370|||116082.367|594530.125|"300-FF-5"
"103mArray-US100"|"C5276"|"AQUIFER TUBE"|"IN-USE"|6.540|||116271.546|594479.000|"300-FF-5"
"103mArray-US125"|"C5277"|"AQUIFER TUBE"|"IN-USE"|3.220|||116306.156|594468.500|"300-FF-5"
"103mArray-US25"|"C5273"|"AQUIFER TUBE"|"IN-USE"|6.080|||116188.851|594505.562|"300-FF-5"
"103mArray-US50"|"C5274"|"AQUIFER TUBE"|"IN-USE"|6.570|||116207.421|594500.000|"300-FF-5"
"103mArray-US75"|"C5275"|"AQUIFER TUBE"|"IN-USE"|6.730|||116237.375|594490.125|"300-FF-5"
"10N27E14F03"|"C3644"|"GROUNDWATER WELL"|"IN-USE"||||113873.300|584820.100|
"10N27E23J"|"B8574"|"GROUNDWATER WELL"|"DECOMMISSIONED-V"||||112268.250|584610.062|
"10N27E28B"|"B8575"|"GROUNDWATER WELL"|"IN-USE"||||111965.664|584980.562|
"10N28E24R03"|"C3645"|"GROUNDWATER WELL"|"IN-USE"||||111955.500|596841.600|
"10N29E01A01"|"B8576"|"GROUNDWATER WELL"|"CANDIDATE FOR DECOMMISSIONING"||||118058.440|606521.220|
"10N29E02Q01"|"C3646"|"GROUNDWATER WELL"|"IN-USE"||||116801.000|604204.800|
"10N29E06H01"|"C3647"|"GROUNDWATER WELL"|"IN-USE"||||117306.600|598357.400|
"10N29E08R01"|"B8577"|"GROUNDWATER WELL"|"IN-USE"||||114738.550|600165.530|
"10N29E11N01"|"B8578"|"GROUNDWATER WELL"|"CANDIDATE FOR DECOMMISSIONING"||||114950.810|603604.020|
"10N29E15D01"|"B8579"|"GROUNDWATER WELL"|"CANDIDATE FOR DECOMMISSIONING"||||114704.820|601812.480|
"10N29E19E01"|"C3648"|"GROUNDWATER WELL"|"IN-USE"||||112354.200|597313.200|
"10N29E25A01"|"B8580"|"GROUNDWATER WELL"|"CANDIDATE FOR DECOMMISSIONING"||||111574.510|606549.600|
"10N29E26A01"|"B8581"|"GROUNDWATER WELL"|"CANDIDATE FOR DECOMMISSIONING"||||111547.680|605009.820|
"10N29E27C01"|"B8582"|"GROUNDWATER WELL"|"CANDIDATE FOR DECOMMISSIONING"||||111505.650|602550.780|
"10N29E28B01"|"B8583"|"GROUNDWATER WELL"|"IN-USE"||||111479.130|600967.870|
"10N29E34C01"|"B8584"|"GROUNDWATER WELL"|"IN-USE"||||109900.110|602598.690|
"10N30E03Q02"|"B8585"|"GROUNDWATER WELL"|"CANDIDATE FOR DECOMMISSIONING"||||116997.580|612717.000|
"10N30E04E01"|"B8586"|"GROUNDWATER WELL"|"CANDIDATE FOR DECOMMISSIONING"||||117594.120|609906.130|
"10N30E05B01"|"B8587"|"GROUNDWATER WELL"|"CANDIDATE FOR DECOMMISSIONING"||||118104.390|609106.040|
"10N30E05N01"|"B8588"|"GROUNDWATER WELL"|"CANDIDATE FOR DECOMMISSIONING"||||116454.330|608344.660|
"10N30E08F01"|"B8589"|"GROUNDWATER WELL"|"CANDIDATE FOR DECOMMISSIONING"||||115814.470|608805.530|
"10N30E14N01"|"B8590"|"GROUNDWATER WELL"|"CANDIDATE FOR DECOMMISSIONING"||||113362.630|613211.850|
"10N30E18Q02"|"B8591"|"GROUNDWATER WELL"|"CANDIDATE FOR DECOMMISSIONING"||||113318.830|607438.260|
"10N30E21R01"|"B8592"|"GROUNDWATER WELL"|"CANDIDATE FOR DECOMMISSIONING"||||111725.510|611552.710|
"116-B-5A"|"B2515"|"VADOSE WELL"|"DECOMMISSIONED-V"||||144769.000|565287.000|"100-BC-5"
"116-B-5B"|"B2516"|"VADOSE WELL"|"DECOMMISSIONED-V"||||144762.000|565287.000|"100-BC-5"
"116-B-5C"|"B2517"|"VADOSE WELL"|"DECOMMISSIONED-V"||||144754.000|565287.000|"100-BC-5"
"116-B-5D"|"B2518"|"VADOSE WELL"|"DECOMMISSIONED-V"||||144754.000|565288.000|"100-BC-5"
"116-B-5E"|"B2519"|"VADOSE WELL"|"DECOMMISSIONED-V"||||144754.000|565291.000|"100-BC-5"
"116-B-5F"|"B2520"|"VADOSE WELL"|"DECOMMISSIONED-V"||||144754.000|565293.000|"100-BC-5"
"116-B-5G"|"B2521"|"VADOSE WELL"|"DECOMMISSIONED-V"||||144762.000|565293.000|"100-BC-5"
"116-B-5H"|"B2522"|"VADOSE WELL"|"DECOMMISSIONED-V"||||144769.000|565293.000|"100-BC-5"
"116-B-5I"|"B2523"|"VADOSE WELL"|"DECOMMISSIONED-V"||||144754.000|565289.000|"100-BC-5"
"116-B-5J"|"B2524"|"VADOSE WELL"|"DRILLING CANCELLED"||||||
"116-B-5K"|"B2525"|"VADOSE WELL"|"DRILLING CANCELLED"||||||
"116-B-5L"|"B2526"|"VADOSE WELL"|"DRILLING CANCELLED"||||||
"116-B-5M"|"B2527"|"VADOSE WELL"|"DRILLING CANCELLED"||||||
"116-B-5N"|"B2528"|"VADOSE WELL"|"DRILLING CANCELLED"||||||
"116-B-5O"|"B2529"|"VADOSE WELL"|"DRILLING CANCELLED"||||||
"116-B-5P"|"B2530"|"VADOSE WELL"|"DRILLING CANCELLED"||||||
"116-B-5Q"|"B2531"|"VADOSE WELL"|"DRILLING CANCELLED"||||||
"116-B-5R"|"B2532"|"VADOSE WELL"|"DRILLING CANCELLED"||||||
"116-B-5S"|"B2533"|"VADOSE WELL"|"DRILLING CANCELLED"||||||
"116-B-5T"|"B2534"|"VADOSE WELL"|"DRILLING CANCELLED"||||||
"1199-12-13"|"A9264"|"VADOSE WELL"|"CANDIDATE FOR DECOMMISSIONING"|70.000||107.567|102933.145|593774.568|
"1199-14-13"|"A9265"|"VADOSE WELL"|"CANDIDATE FOR DECOMMISSIONING"|48.000||111.793|103612.702|593620.243|
"1199-14-14"|"A9266"|"VADOSE WELL"|"CANDIDATE FOR DECOMMISSIONING"|131.000||109.241|103638.330|593914.043|
"1199-15-13A"|"A9267"|"VADOSE WELL"|"CANDIDATE FOR DECOMMISSIONING"|||110.479|103856.374|593616.718|
"1199-15-13B"|"A9268"|"VADOSE WELL"|"CANDIDATE FOR DECOMMISSIONING"|||110.479|103886.833|593616.278|
"1199-15-13C"|"A9269"|"VADOSE WELL"|"CANDIDATE FOR DECOMMISSIONING"|72.000||110.760|103917.292|593615.837|
"1199-15-13D"|"A9270"|"VADOSE WELL"|"CANDIDATE FOR DECOMMISSIONING"|||110.129|103978.210|593614.956|
"1199-15-14A"|"A9271"|"VADOSE WELL"|"CANDIDATE FOR DECOMMISSIONING"|||110.350|103934.457|593935.061|
"1199-15-14B"|"A9272"|"VADOSE WELL"|"CANDIDATE FOR DECOMMISSIONING"|17.000||110.841|103934.903|593965.539|
"1199-15-14C"|"A9273"|"VADOSE WELL"|"CANDIDATE FOR DECOMMISSIONING"|67.000||111.387|103938.983|593994.439|
"1199-16-12"|"A9274"|"VADOSE WELL"|"CANDIDATE FOR DECOMMISSIONING"|37.000||128.750|104077.240|593304.111|
"1199-16-13A"|"A9275"|"VADOSE WELL"|"CANDIDATE FOR DECOMMISSIONING"|16.000||110.455|103947.751|593615.397|
"1199-16-13B"|"A9276"|"VADOSE WELL"|"CANDIDATE FOR DECOMMISSIONING"|15.000||110.227|104160.655|593612.012|
"1199-16-13C"|"A9277"|"VADOSE WELL"|"CANDIDATE FOR DECOMMISSIONING"|||110.242|104191.114|593611.571|
"1199-16-13D"|"A9278"|"VADOSE WELL"|"CANDIDATE FOR DECOMMISSIONING"|70.000||110.763|104221.573|593611.131|
"1199-16-13E"|"A9279"|"VADOSE WELL"|"CANDIDATE FOR DECOMMISSIONING"|||110.030|104222.019|593641.608|
"1199-16-13F"|"A9280"|"VADOSE WELL"|"CANDIDATE FOR DECOMMISSIONING"|||109.824|104221.126|593580.653|
"1199-16-13G"|"A9281"|"VADOSE WELL"|"CANDIDATE FOR DECOMMISSIONING"|||109.693|104252.032|593610.690|
"1199-16-13H"|"A9282"|"VADOSE WELL"|"CANDIDATE FOR DECOMMISSIONING"|||109.652|104282.491|593610.250|
"1199-17-13A"|"A9283"|"VADOSE WELL"|"CANDIDATE FOR DECOMMISSIONING"|67.000||110.762|104494.423|593602.916|
"1199-17-13B"|"A9284"|"VADOSE WELL"|"CANDIDATE FOR DECOMMISSIONING"|65.000||109.567|104503.923|593606.742|
"1199-18-13"|"A9285"|"VADOSE WELL"|"CANDIDATE FOR DECOMMISSIONING"|68.000||110.735|104951.034|593598.445|
"1199-19-11"|"A9286"|"VADOSE WELL"|"CANDIDATE FOR DECOMMISSIONING"|87.000||127.652|105208.541|592958.519|
"1199-19-13A"|"A9287"|"VADOSE WELL"|"CANDIDATE FOR DECOMMISSIONING"|||108.625|104920.575|593598.885|
"1199-19-13B"|"A9288"|"VADOSE WELL"|"CANDIDATE FOR DECOMMISSIONING"|||108.619|104981.493|593598.004|
"1199-19-13C"|"A9289"|"VADOSE WELL"|"CANDIDATE FOR DECOMMISSIONING"|64.000||109.587|105195.054|593618.692|
"1199-20-12"|"A9290"|"VADOSE WELL"|"CANDIDATE FOR DECOMMISSIONING"|76.000||123.569|105509.706|593344.357|
"1199-20-13"|"A9291"|"VADOSE WELL"|"CANDIDATE FOR DECOMMISSIONING"|62.000||109.517|105483.263|593619.096|
"1199-20-14"|"A9292"|"VADOSE WELL"|"CANDIDATE FOR DECOMMISSIONING"|65.000||109.913|105469.892|593975.037|
"1199-20-17"|"A9293"|"VADOSE WELL"|"CANDIDATE FOR DECOMMISSIONING"|155.000||109.243|105377.940|594748.527|
"1199-21-12"|"A9294"|"VADOSE WELL"|"CANDIDATE FOR DECOMMISSIONING"|82.000||124.969|105571.604|593264.813|
"1199-21-15A"|"A9295"|"VADOSE WELL"|"CANDIDATE FOR DECOMMISSIONING"|53.000||111.219|105594.266|594333.864|
"1199-21-15B"|"A9296"|"VADOSE WELL"|"CANDIDATE FOR DECOMMISSIONING"|52.000||110.914|105624.725|594333.423|
"1199-21-15C"|"A9297"|"VADOSE WELL"|"CANDIDATE FOR DECOMMISSIONING"|59.000||110.460|105655.184|594332.983|
"1199-21-15D"|"A9298"|"VADOSE WELL"|"CANDIDATE FOR DECOMMISSIONING"|108.000||110.155|105654.604|594293.362|
"1199-21-15E"|"A9299"|"VADOSE WELL"|"CANDIDATE FOR DECOMMISSIONING"|107.000||109.851|105691.155|594292.833|
"1199-21-15F"|"A9300"|"VADOSE WELL"|"CANDIDATE FOR DECOMMISSIONING"|58.000||110.155|105691.601|594323.311|
"1199-21-15G"|"A9301"|"VADOSE WELL"|"CANDIDATE FOR DECOMMISSIONING"|57.000||109.851|105737.289|594322.650|
