NAME,XCOORDS,YCOORDS,ZCOORDS
10/1/2009,575306.56,136040.2,NA
01-D,562697.66,146033.07,122.67
01-M,562697.66,146033.07,122.67
01-S,562697.66,146033.07,122.67
02-M,563539.58,145689.24,122.26
02-S,563539.58,145689.24,122.26
03-D,564077.43,145469.24,121.15
03-M,564077.43,145469.24,121.15
04-D,564612.18,145283.27,122.48
04-M,564612.06,145283.04,122.49
04-S,564612.45,145283.41,122.4
05-D,564908.31,145332.29,121.99
05-M,564908.31,145332.29,121.99
05-S,564908.31,145332.29,121.99
06-D,565293.92,145412.05,122.12
06-M,565293.92,145412.05,122.12
06-S,565293.92,145412.05,122.12
07-D,565564.59,145493.9,120.66
07-M,565566.01,145495.64,120.65
08N30E03A01,612741.7,98346.05,NA
09N28E04G01,591328.6,107479.9,NA
09N28E06C02,587654.3,107792.2,NA
09N28E5C01,589457.56,108007.35,NA
09N29E02C01,603912.53,108162.68,NA
09N29E09C01,600772.34,106504.56,NA
09N29E12A01,606597.45,106387.17,NA
09N29E15N01,602022.31,103437.24,NA
09N30E02B01,614183.07,108347.03,NA
09N30E06D01,606844.36,108213.54,NA
09N30E14D01,613108.93,105115.25,NA
09N30E16F01,610574.08,104389.37,NA
09N30E17C01,608726.02,104726.23,NA
09N30E23N01,613488.48,102004.03,NA
09N30E29K01,609220.86,100998.76,NA
100H-SFM-1,NA,NA,NA
100H-SFM-2,NA,NA,NA
100H-SFM-3,NA,NA,NA
100H-SFM-4,NA,NA,NA
103mArray-AT3A,594512.43,116163.08,NA
103mArray-DS25,594518.12,116137.73,NA
103mArray-DS50,594521.25,116123.36,NA
103mArray-DS75,594530.12,116082.36,NA
103mArray-US100,594479,116271.54,NA
103mArray-US125,594468.5,116306.15,NA
103mArray-US25,594505.56,116188.85,NA
103mArray-US50,594500,116207.42,NA
103mArray-US75,594490.12,116237.37,NA
10N27E14F03,584820.1,113873.3,NA
10N27E23J,584610.06,112268.25,NA
10N27E28B,584980.56,111965.66,NA
10N28E24R03,596841.6,111955.5,NA
10N29E01A01,606521.22,118058.44,NA
10N29E02Q01,604204.8,116801,NA
10N29E06H01,598357.4,117306.6,NA
10N29E08R01,600165.53,114738.55,NA
10N29E11N01,603604.02,114950.81,NA
10N29E15D01,601812.48,114704.82,NA
10N29E19E01,597313.2,112354.2,NA
10N29E25A01,606549.6,111574.51,NA
10N29E26A01,605009.82,111547.68,NA
10N29E27C01,602550.78,111505.65,NA
10N29E28B01,600967.87,111479.13,NA
10N29E34C01,602598.69,109900.11,NA
10N30E03Q02,612717,116997.58,NA
10N30E04E01,609906.13,117594.12,NA
10N30E05B01,609106.04,118104.39,NA
10N30E05N01,608344.66,116454.33,NA
10N30E08F01,608805.53,115814.47,NA
10N30E14N01,613211.85,113362.63,NA
10N30E18Q02,607438.26,113318.83,NA
10N30E21R01,611552.71,111725.51,NA
116-B-5A,565287,144769,NA
116-B-5B,565287,144762,NA
116-B-5C,565287,144754,NA
116-B-5D,565288,144754,NA
116-B-5E,565291,144754,NA
116-B-5F,565293,144754,NA
116-B-5G,565293,144762,NA
116-B-5H,565293,144769,NA
116-B-5I,565289,144754,NA
116-B-5J,NA,NA,NA
116-B-5K,NA,NA,NA
116-B-5L,NA,NA,NA
116-B-5M,NA,NA,NA
116-B-5N,NA,NA,NA
116-B-5O,NA,NA,NA
116-B-5P,NA,NA,NA
116-B-5Q,NA,NA,NA
116-B-5R,NA,NA,NA
116-B-5S,NA,NA,NA
116-B-5T,NA,NA,NA
1199-12-13,593774.56,102933.14,107.56
1199-14-13,593620.24,103612.7,111.79
1199-14-14,593914.04,103638.33,109.24
1199-15-13A,593616.71,103856.37,110.47
1199-15-13B,593616.27,103886.83,110.47
1199-15-13C,593615.83,103917.29,110.76
1199-15-13D,593614.95,103978.21,110.12
1199-15-14A,593935.06,103934.45,110.35
1199-15-14B,593965.53,103934.9,110.84
1199-15-14C,593994.43,103938.98,111.38
1199-16-12,593304.11,104077.24,128.75
1199-16-13A,593615.39,103947.75,110.45
1199-16-13B,593612.01,104160.65,110.22
1199-16-13C,593611.57,104191.11,110.24
1199-16-13D,593611.13,104221.57,110.76
1199-16-13E,593641.6,104222.01,110.03
1199-16-13F,593580.65,104221.12,109.82
1199-16-13G,593610.69,104252.03,109.69
1199-16-13H,593610.25,104282.49,109.65
1199-17-13A,593602.91,104494.42,110.76
1199-17-13B,593606.74,104503.92,109.56
1199-18-13,593598.44,104951.03,110.73
1199-19-11,592958.51,105208.54,127.65
1199-19-13A,593598.88,104920.57,108.62
1199-19-13B,593598,104981.49,108.61
1199-19-13C,593618.69,105195.05,109.58
1199-20-12,593344.35,105509.7,123.56
1199-20-13,593619.09,105483.26,109.51
1199-20-14,593975.03,105469.89,109.91
1199-20-17,594748.52,105377.94,109.24
1199-21-12,593264.81,105571.6,124.96
1199-21-15A,594333.86,105594.26,111.21
1199-21-15B,594333.42,105624.72,110.91
1199-21-15C,594332.98,105655.18,110.46
1199-21-15D,594293.36,105654.6,110.15
1199-21-15E,594292.83,105691.15,109.85
1199-21-15F,594323.31,105691.6,110.15
1199-21-15G,594322.65,105737.28,109.85
1199-21-15H,594292.08,105742.93,109.54
1199-21-15I,594331.26,105773.97,109.54
1199-21-16A,594352.59,105774.28,109.24
1199-21-16B,594353.12,105737.73,109.85
1199-21-16C,594353.78,105692.04,110.15
1199-21-16D,594354.31,105655.49,110.46
1199-21-16E,594363.46,105655.63,110.76
1199-21-16F,594354.75,105625.03,111.07
1199-21-16G,594355.19,105594.57,111.67
1199-22-11A,593078.52,105974.37,124.2
1199-22-11B,593080.29,105978.35,124.32
1199-22-13A,593622.81,106048.14,110.15
1199-22-13B,593638.88,106053.86,108.93
1199-22-13C,593585.63,106047.29,113.81
1199-22-13D,593617.47,105953.32,109.99
1199-22-16A,594429.19,105958.2,110.45
1199-22-16B,594465.7,105963.3,110.76
1199-22-16C,594568.71,106007.46,111.67
1199-23-16,594618.67,106431.05,109.02
1199-27-7,591688.81,107445.3,114.34
1199-29-12A,593121.46,108232.18,119.59
1199-29-12B,NA,NA,NA
1199-30-14,593730.06,108348.64,110.45
1199-31-17,594792.37,108668.85,116.24
1199-31-18,595041.28,108847.67,115.57
1199-31-19,595461.77,108754.81,106.18
1199-32-13,593594.88,109032.43,113.54
1199-32-16A,594399.67,108968.36,116.68
1199-32-16B,594529.32,108983.05,114.71
1199-32-17,594883.52,109047.95,114.41
1199-33-13A,593415.75,109466.68,116.86
1199-33-13B,593590.51,109461.02,116.86
1199-33-18A,595183.2,109257.37,116
1199-33-18B,595107.08,109271.8,116.42
1199-33-18C,594980.54,109274.21,115.71
1199-33-18D,595032.14,109331.63,112.28
1199-33-18E,595117.69,109360.61,115.63
1199-33-18F,595122.39,109393.88,113.19
1199-34-10,592560.75,109777.48,114.66
1199-34-13,593589.56,109694.98,121.34
1199-34-15A,594036.37,109598.06,113.6
1199-34-15B,594110.49,109598.36,112.8
1199-34-16,594511.11,109778.54,116.88
1199-34-19,595232.8,109790.33,116.86
1199-35-16,594532.13,110074.06,116.72
1199-35-18,595016.23,109862.41,114.42
1199-36-12,593330.56,110229.12,123
1199-36-18,595104.39,110181.47,114.32
1199-36-19,595348.17,110261.21,113.35
1199-37-13,593605.82,110628.87,124.86
1199-37-16,594380.24,110861.15,111.83
1199-37-19,595274.89,110500.51,114.93
1199-37-8,591867.03,110652.82,114.93
1199-38-11,592785.3,110851.06,111.45
1199-38-16,594377.97,111052.62,112.79
1199-39-10A,592448.22,111068.42,112.94
1199-39-10B,592638.34,111221.54,111.56
1199-39-15,594253.16,111347.76,121
1199-39-16A,594391.59,111170.59,113.59
1199-39-16B,594374.64,111163.24,114.11
1199-39-16C,594291.65,111252.79,118.94
1199-39-16D,594417.61,111314.52,114.18
1199-39-16E,594311.81,111168.34,122.25
1199-39-16F,594299.62,111152.85,NA
1199-39-19,595379.38,111098.19,117.68
1199-40-15,594244.97,111552.93,121.59
1199-40-16A,594413.32,111558.31,119.9
1199-40-16B,594406.42,111554.32,120.45
1199-40-16C,594429.79,111430.27,117.09
1199-41-13A,593575.35,111759.14,124.36
1199-41-13B,593603.71,111806.14,124.37
1199-41-13C,593575.35,111830.48,124.75
1199-41-15,594163.16,111757.82,122.52
