NAME,WELL_ID,TYPE,STATUS,TD,BOH,ZCOORDS,YCOORDS,XCOORDS,OU
01-D,B8113,AQUIFER TUBE,IN-USE,24.5,,122.676,146033.078,562697.662,100-BC-5
01-M,B8114,AQUIFER TUBE,IN-USE,16.5,,122.676,146033.078,562697.662,100-BC-5
01-S,B8115,AQUIFER TUBE,IN-USE,7.5,,122.676,146033.078,562697.662,100-BC-5
02-M,B8117,AQUIFER TUBE,IN-USE,15.4,,122.267,145689.247,563539.581,100-BC-5
02-S,B8118,AQUIFER TUBE,IN-USE,6.5,,122.267,145689.247,563539.581,100-BC-5
03-D,B8119,AQUIFER TUBE,IN-USE,13.5,,121.154,145469.247,564077.431,100-BC-5
03-M,B8120,AQUIFER TUBE,IN-USE,7.5,,121.154,145469.247,564077.431,100-BC-5
04-D,B8122,AQUIFER TUBE,IN-USE,25.5,,122.484,145283.275,564612.184,100-BC-5
04-M,B8123,AQUIFER TUBE,IN-USE,13.5,,122.491,145283.047,564612.066,100-BC-5
04-S,B8124,AQUIFER TUBE,IN-USE,8.8,,122.407,145283.419,564612.459,100-BC-5
05-D,B8125,AQUIFER TUBE,IN-USE,26,,121.992,145332.29,564908.31,100-BC-5
05-M,B8126,AQUIFER TUBE,IN-USE,17.5,,121.992,145332.29,564908.31,100-BC-5
05-S,B8127,AQUIFER TUBE,IN-USE,9,,121.992,145332.29,564908.31,100-BC-5
06-D,B8128,AQUIFER TUBE,IN-USE,23.5,,122.122,145412.052,565293.927,100-BC-5
06-M,B8129,AQUIFER TUBE,IN-USE,16,,122.122,145412.052,565293.927,100-BC-5
06-S,B8130,AQUIFER TUBE,IN-USE,9.3,,122.122,145412.052,565293.927,100-BC-5
07-D,B8131,AQUIFER TUBE,IN-USE,20.5,,120.662,145493.904,565564.591,100-BC-5
07-M,B8132,AQUIFER TUBE,DECOMMISSIONED-V,8.5,,120.653,145495.641,565566.011,100-BC-5
08N30E03A01,B8561,GROUNDWATER WELL,CANDIDATE FOR DECOMMISSIONING,,,,98346.05,612741.7,
09N28E04G01,C3642,GROUNDWATER WELL,IN-USE,116.5,,,107479.9,591328.6,
09N28E06C02,C3643,GROUNDWATER WELL,IN-USE,,,,107792.2,587654.3,
09N28E5C01,B8562,GROUNDWATER WELL,IN-USE,302,,,108007.352,589457.562,
09N29E02C01,B8563,GROUNDWATER WELL,CANDIDATE FOR DECOMMISSIONING,,,,108162.68,603912.53,
09N29E09C01,B8564,GROUNDWATER WELL,CANDIDATE FOR DECOMMISSIONING,,,,106504.56,600772.34,
09N29E12A01,B8565,UNCLASSIFIED,CANDIDATE FOR DECOMMISSIONING,,,,106387.17,606597.45,
09N29E15N01,B8566,GROUNDWATER WELL,CANDIDATE FOR DECOMMISSIONING,,,,103437.24,602022.31,
09N30E02B01,B8567,GROUNDWATER WELL,CANDIDATE FOR DECOMMISSIONING,,,,108347.03,614183.07,
09N30E06D01,B8568,GROUNDWATER WELL,CANDIDATE FOR DECOMMISSIONING,,,,108213.54,606844.36,
09N30E14D01,B8569,UNCLASSIFIED,CANDIDATE FOR DECOMMISSIONING,,,,105115.25,613108.93,
09N30E16F01,B8570,GROUNDWATER WELL,CANDIDATE FOR DECOMMISSIONING,,,,104389.37,610574.08,
09N30E17C01,B8571,GROUNDWATER WELL,CANDIDATE FOR DECOMMISSIONING,,,,104726.23,608726.02,
09N30E23N01,B8572,GROUNDWATER WELL,CANDIDATE FOR DECOMMISSIONING,,,,102004.03,613488.48,
09N30E29K01,B8573,UNCLASSIFIED,CANDIDATE FOR DECOMMISSIONING,,,,100998.76,609220.86,
100H-SFM-1,A9812,UNCLASSIFIED,DECOMMISSIONED-V,,,,,,
100H-SFM-2,A9813,UNCLASSIFIED,DECOMMISSIONED-V,,,,,,
100H-SFM-3,A9814,UNCLASSIFIED,DECOMMISSIONED-V,,,,,,
100H-SFM-4,A9815,UNCLASSIFIED,DECOMMISSIONED-V,,,,,,
103mArray-AT3A,C5272,AQUIFER TUBE,IN-USE,7.39,,,116163.085,594512.437,300-FF-5
103mArray-DS25,C5278,AQUIFER TUBE,IN-USE,6.08,,,116137.734,594518.125,300-FF-5
103mArray-DS50,C5279,AQUIFER TUBE,IN-USE,5.75,,,116123.367,594521.25,300-FF-5
103mArray-DS75,C5280,AQUIFER TUBE,IN-USE,8.37,,,116082.367,594530.125,300-FF-5
103mArray-US100,C5276,AQUIFER TUBE,IN-USE,6.54,,,116271.546,594479,300-FF-5
103mArray-US125,C5277,AQUIFER TUBE,IN-USE,3.22,,,116306.156,594468.5,300-FF-5
103mArray-US25,C5273,AQUIFER TUBE,IN-USE,6.08,,,116188.851,594505.562,300-FF-5
103mArray-US50,C5274,AQUIFER TUBE,IN-USE,6.57,,,116207.421,594500,300-FF-5
103mArray-US75,C5275,AQUIFER TUBE,IN-USE,6.73,,,116237.375,594490.125,300-FF-5
10N27E14F03,C3644,GROUNDWATER WELL,IN-USE,,,,113873.3,584820.1,
10N27E23J,B8574,GROUNDWATER WELL,DECOMMISSIONED-V,,,,112268.25,584610.062,
