I,J,X,Y,dely
1,1,571755,154825,10
2,1,571755,154815,10
3,1,571755,154805,10
4,1,571755,154795,10
5,1,571755,154785,10
6,1,571755,154775,10
7,1,571755,154765,10
8,1,571755,154755,10
9,1,571755,154745,10
10,1,571755,154735,10
11,1,571755,154725,10
12,1,571755,154715,10
13,1,571755,154705,10
14,1,571755,154695,10
15,1,571755,154685,10
16,1,571755,154675,10
17,1,571755,154665,10
18,1,571755,154655,10
19,1,571755,154645,10
20,1,571755,154635,10
21,1,571755,154625,10
22,1,571755,154615,10
23,1,571755,154605,10
24,1,571755,154595,10
25,1,571755,154585,10
26,1,571755,154575,10
27,1,571755,154565,10
28,1,571755,154555,10
29,1,571755,154545,10
30,1,571755,154535,10
31,1,571755,154525,10
32,1,571755,154515,10
33,1,571755,154505,10
34,1,571755,154495,10
35,1,571755,154485,10
36,1,571755,154475,10
37,1,571755,154465,10
38,1,571755,154455,10
39,1,571755,154445,10
40,1,571755,154435,10
41,1,571755,154425,10
42,1,571755,154415,10
43,1,571755,154405,10
44,1,571755,154395,10
45,1,571755,154385,10
46,1,571755,154375,10
47,1,571755,154365,10
48,1,571755,154355,10
49,1,571755,154345,10
50,1,571755,154335,10
51,1,571755,154325,10
52,1,571755,154315,10
53,1,571755,154305,10
54,1,571755,154295,10
55,1,571755,154285,10
56,1,571755,154275,10
57,1,571755,154265,10
58,1,571755,154255,10
59,1,571755,154245,10
60,1,571755,154235,10
61,1,571755,154225,10
62,1,571755,154215,10
63,1,571755,154205,10
64,1,571755,154195,10
65,1,571755,154185,10
66,1,571755,154175,10
67,1,571755,154165,10
68,1,571755,154155,10
69,1,571755,154145,10
70,1,571755,154135,10
71,1,571755,154125,10
72,1,571755,154115,10
73,1,571755,154105,10
74,1,571755,154095,10
75,1,571755,154085,10
76,1,571755,154075,10
77,1,571755,154065,10
78,1,571755,154055,10
79,1,571755,154045,10
80,1,571755,154035,10
81,1,571755,154025,10
82,1,571755,154015,10
83,1,571755,154005,10
84,1,571755,153995,10
85,1,571755,153985,10
86,1,571755,153975,10
87,1,571755,153965,10
88,1,571755,153955,10
89,1,571755,153945,10
90,1,571755,153935,10
91,1,571755,153925,10
92,1,571755,153915,10
93,1,571755,153905,10
94,1,571755,153895,10
95,1,571755,153885,10
96,1,571755,153875,10
97,1,571755,153865,10
98,1,571755,153855,10
99,1,571755,153845,10
