ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192
199-D2-10_I_DX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.382849381,15.25788872,15.1536722,2.04338874,2.667199886,4.40951421,0,0,0,0,1.28191078,3.248386501,0.68125169,0.31687545,0.141365484,6.58429331,3.208387336,0,0,0,0,0.033059247,0.16924446,4.955732592,6.77380803,1.76302418,3.306014862,9.32370905,0.133120252,0,0,0,0.73156101,2.051944581,0.31565435,0.205295402,0.34960093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033185428,0.17022134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199-D2-12_I_DX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.38969782,48.33870882,63.0829113,21.78430189,11.50222065,6.02258731,0,0,0,0,5.30152776,31.29322739,17.71889366,13.18482725,20.00093166,30.98162709,14.49736322,0,0,0,0,2.960695341,12.98591006,17.0118849,13.2904524,5.10102314,13.86298258,17.01786015,10.92494562,0.80934508,0,0,3.80543604,14.0964883,17.28308307,13.88715513,4.47923902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032049805,0.17022134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199-D4-101_E_DX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.619154045,-17.81291836,-21.54574256,-11.85407247,-0.001261803,-0.01282155,-0.004416312,0,-0.000441172,-0.00989091,-0.02918429,0,0,0,0,-38.47783788,-46.16925779,-25.16052128,0,-22.04610573,-40.8164886,-43.53839784,-40.89439478,-41.92328957,-43.28408748,-43.18090453,-40.33300278,-28.63064326,0,0,0,0,0,0,-33.13442639,-59.95786607,-59.44339222,-59.8844817,-49.4384242,-59.69728698,-59.88609762,-59.88142895,-59.56269728,-59.97997176,-61.89123838,-70.77735822,-71.95664831,-68.3815711,-66.73766445,-74.19110536,-79.49671944,-81.92127891,-81.63514262,-80.25423319,-79.30181589,-74.21638213,-69.20315608,-65.64128065,-59.82803872,-55.3420633,-55.18041001,-56.05801458,-55.28369402,-55.74638986,-56.94997929,-63.29388685,-58.99132472,-58.7764274,-55.58654787,-47.29466018,-44.7117976,-46.0145607,-47.21163352,-50.94038448,-50.08354297,-45.65253304,-63.98541613,-48.55728572,-36.65197996,0,0,-7.278838709,-0.00134321,-4.561671411,-15.77563512,0,0,0,0,0,0,0,0,0,-0.00232009,0,0,-1.31292672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199-D4-14_E_DX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4798923,-54.72957989,-64.09216469,-64.69668653,-65.28179288,-64.87081539,-65.41399143,-47.07456974,-65.09101033,-65.3273747,-65.31239586,-64.71868048,-65.20298525,-65.41667785,-65.35816271,-65.45318876,-65.19097369,-62.70644513,-65.06033011,-59.223821,-59.96761045,-59.88304113,-59.95283514,-59.5765491,-59.79128361,-55.37773977,-59.66285645,-59.61324723,-58.06326837,-59.96919788,-59.88066813,-58.89784685,-59.88164501,-58.08219542,-59.91400416,-58.36849859,-53.35401074,-59.15692216,-52.35272502,-63.0685939,-56.78846846,-51.75949836,-51.62627635,-51.38302015,-48.66547518,-51.75690149,-50.27207645,-51.16133031,-51.79307861,-45.79283743,-50.50935653,-51.6684043,-49.84514326,-51.82458299,-51.77818119,-41.57150781,-53.36744284,-53.43257631,-51.23137261,-42.42258515,-53.43228325,-53.17243317,-37.15127554,-61.23657757,-71.35661884,-70.628424,-70.5026507,-70.56328704,-62.94965876,-49.9526489,-75.26567336,-63.86504009,-81.19350331,-75.64274904,-22.82160599,0,-50.08968074,-72.95278785,-73.36051314,-79.48616971,-76.57860008,-68.95843543,-78.12219259,-73.36452649,-19.34491042,-55.1387705,-83.43636688,-80.83657578,-81.94756512,-64.36283779,-63.85852349,-79.37869577,-78.46751967,-80.09485929,-69.58731414,-68.27037407,-84.38118486,-28.05123131,-67.43001305,-53.18281252,-69.45293616,-81.34333228
199-D4-34_E_DX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.35436322,-54.88246161,-62.63818871,-50.45878264,-53.64153095,-53.81534232,-52.20461386,-37.19356344,-50.99438108,-54.43068835,-54.42298727,-53.87536844,-54.44411231,-54.51310449,-49.05199675,-37.57448577,-42.23926499,-44.98583359,-53.48161569,-53.7887834,-54.51576528,-53.92505816,-52.17296282,-53.66916444,-53.59420111,-53.50713668,-49.27884592,-46.71024986,-44.20336819,-48.1894904,-52.76031192,-51.83844879,-54.40012711,-52.80129611,-54.46325798,-53.03384646,-48.44213599,-53.7723596,-50.38809723,-51.91604338,-53.20482081,-54.47546898,-54.31916818,-54.07147241,-34.16930864,0,0,-31.42988069,-54.51405574,-50.27573975,-53.16772379,-53.65916363,-51.16170886,-59.98385108,-65.12101878,-60.2917122,-61.65040836,-60.22044735,-65.24264034,-39.36813782,-45.74387132,-48.49623072,-39.97796737,-37.80550022,-40.98476025,-40.65102955,-38.33545762,-37.87099915,-35.35182188,-30.27570918,-41.5198422,-44.17422054,-34.89378727,-30.71872426,-25.50634494,-82.21458713,-23.88618946,-23.26427509,-22.08664625,-26.27701091,-24.11000895,-6.792413524,-23.01297271,-55.2432641,-14.19882869,-37.50572017,-43.11014179,-29.77237176,-30.0715494,-24.2083075,-32.3066427,-39.08300632,-32.70203488,-22.83927124,-28.6506693,-34.66918221,-39.28022269,-33.75315776,-23.80177482,0,-21.44649272,-18.3763339
199-D4-38_E_DX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-22.50530629,-46.51096634,-43.48557334,-41.53180898,-41.85426893,-34.38788554,-42.06398064,-48.88783749,-41.98383263,-46.42719888,-43.56628369,-31.08452512,0,0,0,-35.12310985,-43.60981591,-43.61317393,-42.28542713,-43.48801118,-43.71208303,-43.58533692,-40.86313462,-41.94158572,-43.16063427,-43.2586886,-43.61698115,-43.6005966,-43.56123648,-43.62477438,-43.25991784,-41.63132863,-43.57959368,-42.75317762,-40.86398939,-43.61208715,-43.25270521,-43.60916481,-42.50273866,-43.41549826,-43.5539385,-43.5471329,-47.31562836,-43.61795673,-43.40585156,-41.52041529,-38.70717866,-43.47267832,-41.81683338,-43.10983651,-43.27345519,-43.85079999,-39.75298784,-43.34331083,-43.34206124,-43.5029086,-38.50665584,-43.06408596,-43.47054945,-42.25804599,-43.61573824,-43.57886102,-42.92054496,-41.52558137,-10.26249887,-29.13324802,-42.78320854,-43.24147109,-42.06738344,-20.79300477,0,-39.13066643,-19.8734025,0,-23.63190905,-41.78384402,-43.56275064,-42.40697135,-43.59177212,-43.59864284,-41.98215066,-34.82274367,-31.94141169,-36.04757617,-13.12340592,-22.80367617,-17.38287311,-42.01023596,-49.43631898,-43.21277524,-19.65321782,-50.31249486,-48.49537595,-45.73557598,-42.48182478,-47.00141708,-48.89467565,-47.84721607,-26.39566393,-10.58889076,-19.94835362,-32.86737182,-46.66867955,-38.74110704,-44.29393718,-24.52668083,-15.73460616,-17.00254756,-15.28536347,-21.05371776,-25.53846436,-37.58069571,-29.86335185,-47.98202551,-47.44834783,-11.40544033,-34.35589272,-43.14244395,-33.65546976,-37.69574368,-49.62684721,-48.75095218,-49.44691813,-48.98479283,-45.51614838,-49.37017199,-48.80983362,-44.57015,-45.20548833,-45.71563949,-36.39146642,-39.15148619,-47.86052606
199-D4-39_E_DX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-46.35994778,-95.81055875,-88.96943758,-88.03068643,-76.82186762,-60.78208415,-96.43849314,-83.2484925,-73.96234212,-69.29412803,-91.11445237,-90.49880631,-83.83523105,-81.67901267,-76.88219923,-86.57953119,-87.2145846,-78.60794617,-70.22806194,-75.22378963,-66.43748669,-76.27235227,-73.02336743,-76.08055816,-74.86368724,-73.33706802,-71.6856611,-65.22322485,-68.79149885,-70.85469383,-70.28824996,-67.61035324,-67.59533371,-40.79283996,-47.66087621,-49.2109609,-47.88226164,-45.07802669,-35.07197533,-49.89062827,-61.78183184,-57.42750523,-51.06621436,-50.42974417,-46.48766519,-51.91326333,-39.96930821,-50.07355321,-53.7495503,-53.88628823,-54.10310762,-54.51503262,-46.48496098,-53.73499394,-56.24463122,-42.97466074,-41.10869783,-13.44766903,-11.86347494,-44.30570044,-28.43038286,-16.11693257,-28.49787179,-30.98858736,-11.53628934,-35.29443018,-37.92463481,-44.81046248,-40.93395842,-8.338879689,-54.49256438,-31.95580032,-37.60059964,0,-42.99928335,-72.84728481,-82.64862305,-122.7780638,-107.6867128,-5.75235788,-0.0012211,0,-27.78576417,-21.31097504,0,-12.54204021,-10.14449322,-70.50680244,-59.19586304,-121.1133382,-66.48946485,-17.79203755,-43.13377007,-51.967875,-30.82691372,0,0,-1.46641899,-10.4954548,-12.05115801,-23.97009938,-54.31245213,-68.67049191,-46.64137982,-50.67955752,-36.03508431,-15.27632733,-23.11257784,-50.101733,-58.5493028,-63.09456122,-50.16584075,-40.51297198,-72.09813996,-95.3993981,-22.6623949,-61.82172869,-54.04328913,-40.42048587,-48.83771948,-48.79710976,-57.60771259,-58.96817063,-43.2586886,-40.42729554,-59.81082121,-68.22028048,-58.29433712,-65.9980128,-51.91096767,-38.80228415,-38.30039984,-65.03737343
199-D4-83_E_DX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.488948792,0,0,0,0,0,0,0,0,0,0,0,0,-29.29650909,-52.49972511,-60.1550493,-60.1257429,-48.81904479,-66.28570396,-67.24907045,-63.31708775,-58.84432056,-69.44145375,-82.72000042,-85.7004206,-81.65056104,-81.10253543,-78.01827698,-81.70807485,-79.8265999,-73.57457197,-81.66365937,-81.09715852,-81.76721454,-58.50407983,-81.39917483,-81.65966,-81.6441276,-81.20831274,-70.77486717,-80.78239693,-72.33227919,-73.60855316,-76.38367924,-69.80433643,-67.92551915,-75.71752833,-76.6142562,-71.71358301,-75.94301753,-76.58868637,-61.22851831,-40.24232738,-43.39694968,-48.34029625,-58.01948379,-37.93395994,-26.07964325,-42.82551811,-43.61012118,-14.08916984,-36.94779958,-53.80821517,-54.14418455,-52.42267777,-27.10921372,0,-30.83418334,-74.64401135,-75.3491966,-62.06950296,-63.15614677,-78.89879591,-88.37271654,-103.4654759,-93.60354261,-64.69705286,-48.9998612,-22.27078813,-16.15865349,0,-53.74085522,-72.34026665,-54.766335,-46.07575816,-47.38661715,-49.97094505,-48.40183969,-45.75522755,-16.92368485,0,-5.086455417,-40.2682147,-32.02798768,0,-2.23986373,-4.522681688,-23.16573232,-34.03891144,-21.43079344,-14.24254407,0,-1.88476785,-1.882358213,-27.56034911,-32.65380143,-31.40741624,-17.19125635,0,-16.71905698,-0.015772542,0,-37.09140094,-44.85143039,-12.32419597,-0.282265406,0,-8.57309888,-49.73149984,-31.51439302,-6.689198011,-1.72236155,-24.51431516,-25.07101465,-3.89359946,-0.492608021,-0.69993452,-13.43530335,-43.35014899
199-D4-84_E_DX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-30.32792893,-62.67771979,-65.46271745,-64.77898867,-65.36292683,-53.66185005,-60.7558305,-56.20857621,-54.28279122,-51.83398546,-52.31546519,-50.8746486,-52.38116037,-52.99219881,-45.9573575,-51.44018071,-56.95590976,-59.96748834,-58.61530733,-60.80040065,-70.73661346,-56.66165722,-39.76170242,-42.025748,-50.60384932,-53.63864915,-42.73809006,-32.98752806,-46.58767177,-58.29482556,-57.13710472,-54.50892712,-40.74786278,-23.6434185,-21.71286754,-23.84606411,-24.18474027,-24.05812351,-16.49587818,-24.34715802,-26.32072519,-26.93760078,-45.26847767,-27.26058188,-27.26107032,-23.08785735,-22.932513,-25.18308277,-25.84801273,-26.94418205,-27.25603355,-27.43127884,-27.22113567,-27.22894257,-27.77683386,-27.17252775,-26.95187498,-24.92591541,-23.26720573,-25.66911757,-27.16727702,-27.22784358,-26.82210995,-25.94141473,-6.710396307,-34.87437178,-48.81854007,-44.46330375,-36.99627725,-13.87731306,0,-36.69904523,-44.10686466,-48.68171581,-44.11543853,-46.41987228,-54.43735031,-52.99280936,-54.44656147,-50.14495994,-35.80582686,-29.75647711,-23.90364305,-23.93489507,-28.95435687,-33.7927214,-41.50958932,-37.90221134,-37.72274627,-52.6330733,-53.61755668,-42.44165059,-31.96070507,-24.10271491,-8.51082278,-3.623142091,-26.48517056,-23.53450452,-11.15006035,-3.63374938,-2.495089911,-22.32109745,-36.53602024,-29.27843681,-15.89945466,-13.40325355,-7.10655778,-19.4884263,-24.97650151,-26.78140942,-31.89808369,-27.59368514,-24.26372102,-39.97869189,-55.40010625,-13.33331301,-30.77892449,-26.90404449,-20.52217293,-15.01697383,0,-30.54300797,-39.04650415,-11.79375013,-13.0461632,-35.75099947,-40.21594348,-32.98166678,-10.11034167,-7.223319362,-18.05664992,-21.48384209,-19.93958612
199-D4-85_E_DX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-55.43541902,-114.5665326,-109.0582029,-102.1232794,-76.88306508,-68.03444127,-93.54177123,-90.10728909,-81.90890247,-83.6978573,-90.22793377,-62.21182537,-71.88176104,-77.47977188,-94.75847162,-90.13720604,-102.4899758,-103.5798075,-99.23767766,-91.98216603,-81.96731438,-81.7411341,-93.74335856,-98.33372175,-83.01184332,-87.13232316,-92.75349565,-103.5537981,-103.4409969,-103.3504849,-97.33399497,-93.67082522,-98.06055761,-96.26083123,-91.26391501,-98.12388386,-97.32337954,-98.12043765,-93.07313617,-97.68829016,-97.99257621,-97.98489549,-97.46198766,-98.14864507,-98.22484175,-101.9876998,-102.0239299,-97.85087563,-89.95738031,-98.64876148,-102.7995682,-103.5789527,-103.4500819,-103.5558739,-104.0559999,-102.4815502,-95.01684375,-82.91006871,-81.87365601,-79.34509575,-81.84105264,-81.8137,-80.67544111,-81.22232127,-79.34206742,-80.16961096,-80.3559264,-81.29778525,-79.04864116,-38.98757793,0,-73.49108536,-82.35855482,-82.50435416,-81.75931308,-79.18393904,-80.39743973,-104.8375405,-109.5430778,-109.5620985,-100.2640326,-108.6947675,-111.7771739,-111.002101,-109.4628231,-108.5816773,-81.04103153,-109.7887347,-110.4104415,-109.8567499,-111.2573639,-114.6032878,-23.3156834,-16.14035734,-109.2211674,-109.2793609,-84.10875745,-108.2794551,-15.29211005,-20.92782235,-46.10162513,-55.73381253,-84.66246117,-94.24840552,-105.3738476,-111.1757252,-75.16297885,-75.85620953,-95.66134033,-112.3552427,-113.1042654,-112.6032481,-112.3162692,-107.8880925,-106.9425012,-25.91723695,-79.65552786,-113.2867222,-112.4383996,-113.3070372,-113.448005,-112.9634726,-113.8977144,-112.5342559,-111.633886,-113.8319189,-111.0285989,-97.19894945,-102.3696974,-103.3299582,-104.7353344,-103.9578316,-104.8865066
