Order	Name	X	Y	RiverMile	StationID	1/15/2014	2/15/2014	3/15/2014	4/15/2014	5/15/2014	6/15/2014	7/15/2014	8/15/2014	9/15/2014	10/15/2014	11/15/2014	12/15/2014	1/15/2015	2/15/2015	3/15/2015	4/15/2015	5/15/2015	6/15/2015	7/15/2015	8/15/2015	9/15/2015	10/15/2015	11/15/2015	12/15/2015	1/15/2016	2/15/2016	3/15/2016	4/15/2016	5/15/2016	6/15/2016	7/15/2016	8/15/2016	9/15/2016	10/15/2016	11/15/2016	12/15/2016	1/15/2017	2/15/2017	3/15/2017	4/15/2017	5/15/2017	6/15/2017	7/15/2017	8/15/2017	9/15/2017	10/15/2017	11/15/2017	12/15/2017	1/15/2018	2/15/2018	3/15/2018	4/15/2018	5/15/2018	6/15/2018	7/15/2018	8/15/2018	9/15/2018	10/15/2018	11/15/2018	12/15/2018	1/15/2019	2/15/2019	3/15/2019	4/15/2019	5/15/2019	6/15/2019	7/15/2019	8/15/2019	9/15/2019	10/15/2019	11/15/2019	12/15/2019	1/15/2020	2/15/2020	3/15/2020	4/15/2020	5/15/2020	6/15/2020	7/15/2020	8/15/2020	9/15/2020	10/15/2020	11/15/2020	12/15/2020	1/15/2021	2/15/2021	3/15/2021	4/15/2021	5/15/2021	6/15/2021	7/15/2021	8/15/2021	9/15/2021	10/15/2021	11/15/2021	12/15/2021	1/15/2022	2/15/2022	3/15/2022	4/15/2022	5/15/2022	6/15/2022	7/15/2022	8/15/2022	9/15/2022	10/15/2022	11/15/2022	12/15/2022	1/15/2023	2/15/2023	3/15/2023	4/15/2023	5/15/2023	6/15/2023	7/15/2023
1	USGS	548730.63	144197.48	394.5	1	124.1547	123.4725	124.8122	125.4071	126.4233	126.2327	125.7103	124.6254	123.0878	123.1959	123.909	124.5775	125.2054	125.5959	125.2512	124.6889	124.8289	124.6588	124.2927	124.4003	123.3047	123.2549	123.9507	124.003	124.2112	124.3564	124.7627	125.759	125.3746	125.1289	124.6355	124.1218	123.1388	123.5128	124.328	124.7932	125.0297	124.8089	125.6444	126.7841	127.3956	127.0924	124.9266	123.9749	123.4502	122.9173	123.4762	124.2314	124.9245	125.5868	124.7293	125.4557	128.2072	126.2288	124.9286	124.1388	123.0597	123.0659	123.9833	123.8852	124.0859	124.0325	123.5312	123.6326	125.3416	124.7402	124.0505	124.0131	122.6535	122.8341	124.0151	123.8962	124.3123	124.8021	123.7247	123.8053	126.2767	126.8324	125.6954	124.68	123.3077	123.256	124.2961	124.2831	124.9113	124.6997	123.2676	123.6757	125.0826	125.6346	124.6833	124.2487	122.9514	122.9657	123.9423	125.2765	125.4097	125.1084	124.4429	123.9839	125.1974	127.5041	126.2915	125.1213	123.4391	122.8785	124.0818	124.1294	123.8031	123.9476	123.2549	122.9697	126.2654	124.3051	124.1836
2	B	564832.29	145242.19	384.1	989	119.3283	118.7423	119.8927	120.4059	121.2822	121.118	120.6705	119.7361	118.413	118.5027	119.1128	119.6922	120.2339	120.571	120.2735	119.7908	119.9072	119.7623	119.4481	119.5416	118.5978	118.5558	119.1507	119.1979	119.3785	119.4998	119.8526	120.709	120.3808	120.1675	119.7447	119.3028	118.4526	118.7773	119.4749	119.8781	120.0838	119.8927	120.6056	121.5955	122.1175	121.8628	119.9949	119.174	118.7269	118.2625	118.7424	119.396	119.9879	120.5618	119.826	120.4459	122.8172	121.1171	119.9966	119.3169	118.3896	118.3897	119.1808	119.0958	119.2682	119.2259	118.792	118.876	120.3486	119.8356	119.2381	119.2088	118.0394	118.1908	119.2054	119.1078	119.464	119.8869	118.9587	119.0255	121.1521	121.6345	120.6596	119.7848	118.5979	118.5568	119.4494	119.4388	119.9792	119.8008	118.5648	118.9143	120.126	120.6026	119.7871	119.4119	118.2929	118.3043	119.1419	120.2937	120.41	120.1533	119.5768	119.1817	120.2225	122.2114	121.1729	120.1644	118.7128	118.231	119.2645	119.3081	119.0236	119.1523	118.5546	118.3079	121.1421	119.461	119.3539
3	K	568758.16	147084.25	381.5	1275	118.4839	117.8811	119.0644	119.593	120.4954	120.3264	119.8664	118.9045	117.543	117.6341	118.2607	118.8585	119.4164	119.7638	119.4574	118.9608	119.0793	118.9306	118.6075	118.7041	117.7325	117.6895	118.3006	118.3497	118.5361	118.6597	119.0238	119.9049	119.5681	119.348	118.9135	118.4584	117.5822	117.9175	118.634	119.0499	119.2624	119.0653	119.7969	120.8188	121.3547	121.0946	119.1708	118.3254	117.8666	117.3867	117.8802	118.5542	119.1619	119.7539	118.9972	119.6336	122.0752	120.3262	119.1725	118.4729	117.5192	117.5174	118.3321	118.2444	118.4219	118.3794	117.9321	118.0175	119.5337	119.0071	118.3909	118.3616	117.1585	117.3128	118.3565	118.2576	118.6237	119.0594	118.1037	118.1716	120.3602	120.8581	119.8559	118.9553	117.7318	117.6905	118.6084	118.5977	119.1538	118.9714	117.698	118.0572	119.3046	119.7957	118.9574	118.5709	117.4184	117.4298	118.2909	119.4776	119.5978	119.3345	118.7398	118.3332	119.4032	121.4515	120.3843	119.3459	117.8506	117.355	118.418	118.4636	118.1696	118.3035	117.6879	117.4336	120.3499	118.6215	118.5107
4	N	570988.73	149457.1	379.5	1491	117.8549	117.3598	118.3314	118.7663	119.5081	119.3693	118.9921	118.2012	117.0823	117.1565	117.6706	118.1627	118.6214	118.9073	118.6551	118.2477	118.3438	118.2224	117.9567	118.0365	117.2375	117.2025	117.7038	117.7445	117.8982	117.9989	118.2989	119.0225	118.7465	118.5653	118.2085	117.8347	117.1137	117.3896	117.9777	118.3199	118.4953	118.3327	118.9327	119.7747	120.2138	120.0019	118.4201	117.7247	117.3489	116.9531	117.3581	117.9132	118.4113	118.8988	118.2776	118.799	120.8063	119.3698	118.4215	117.8466	117.0631	117.0601	117.7301	117.658	117.8036	117.7699	117.4015	117.4708	118.7173	118.2858	117.7782	117.7553	116.7664	116.8922	117.7494	117.6695	117.9698	118.328	117.5428	117.5977	119.3962	119.8063	118.9839	118.2435	117.2364	117.2033	117.9569	117.9485	118.4053	118.2565	117.2091	117.5037	118.5292	118.933	118.245	117.9272	116.9794	116.9885	117.6952	118.6715	118.7708	118.5547	118.0655	117.7312	118.6095	120.2934	119.4181	118.5644	117.3345	116.9275	117.8006	117.8386	117.5959	117.7073	117.2011	116.9917	119.3874	117.969	117.8771
5	D	572778.4	151738.44	377.7	1686	117.634	117.1678	118.0829	118.4921	119.1905	119.0598	118.7043	117.9598	116.9064	116.9765	117.4607	117.9239	118.3557	118.6247	118.3874	118.0035	118.0945	117.9798	117.7298	117.8048	117.0527	117.0197	117.4919	117.5301	117.6747	117.7697	118.0519	118.7334	118.4733	118.3027	117.9668	117.6147	116.9362	117.1959	117.7498	118.0719	118.2368	118.0839	118.6492	119.4412	119.8552	119.655	118.1659	117.5114	117.1572	116.7849	117.1665	117.6888	118.1581	118.6168	118.0317	118.5232	120.4128	119.06	118.1672	117.6259	116.8882	116.8859	117.5165	117.4486	117.5858	117.5536	117.2071	117.2726	118.4461	118.0394	117.5619	117.5399	116.609	116.7277	117.535	117.4593	117.7422	118.0794	117.34	117.392	119.0854	119.4712	118.6965	117.9994	117.0518	117.0204	117.7302	117.7221	118.1523	118.0118	117.026	117.3036	118.269	118.6491	118.001	117.7018	116.8096	116.8183	117.484	118.4029	118.4962	118.2927	117.8321	117.5175	118.3448	119.9301	119.1053	118.3016	117.1441	116.7607	117.5829	117.6185	117.3904	117.4948	117.0183	116.8213	119.0773	117.7411	117.6549
6	RIV7	574403.2	154459.1	375.4	1900	117.3828	116.9132	117.835	118.2473	118.9509	118.8192	118.4612	117.7112	116.65	116.7205	117.2081	117.6748	118.1099	118.3809	118.1418	117.7552	117.8466	117.7312	117.4794	117.5549	116.7973	116.7641	117.2396	117.2782	117.4239	117.5195	117.8039	118.4903	118.2284	118.0565	117.7182	117.3634	116.6799	116.9416	117.4994	117.824	117.9902	117.8361	118.4053	119.2036	119.6203	119.419	117.9188	117.2594	116.9027	116.5275	116.9118	117.4381	117.9107	118.3729	117.7836	118.2785	120.1822	118.8195	117.9201	117.3748	116.6318	116.6291	117.2645	117.1961	117.3343	117.302	116.9528	117.0187	118.2009	117.7913	117.3102	117.2881	116.3504	116.4698	117.2829	117.2069	117.4918	117.8316	117.0867	117.139	118.8448	119.2336	118.4534	117.7511	116.7963	116.7648	117.4797	117.4716	117.9049	117.7636	116.7703	117.0499	118.0224	118.4054	117.7527	117.4513	116.5524	116.5611	117.2315	118.1574	118.2514	118.0466	117.5824	117.2655	118.0987	119.6959	118.8653	118.0556	116.8893	116.5032	117.3314	117.3673	117.1374	117.2427	116.7626	116.5641	118.8366	117.4908	117.4039
7	RIV10	576507.6	154209.4	373.8	2050	115.3734	114.8767	115.8516	116.2884	117.0336	116.8942	116.5162	115.7218	114.599	114.6724	115.1869	115.6826	116.1435	116.4308	116.1774	115.7686	115.8637	115.7424	115.476	115.5563	114.7541	114.7194	115.2213	115.2625	115.4176	115.5172	115.8195	116.5456	116.2694	116.0869	115.7296	115.3535	114.629	114.9072	115.496	115.8404	116.0173	115.8536	116.4538	117.3023	117.7417	117.5309	115.9416	115.243	114.8672	114.4677	114.874	115.4328	115.9311	116.4219	115.7987	116.3207	118.3369	116.8955	115.943	115.3658	114.5801	114.575	115.2482	115.1755	115.3217	115.2889	114.9184	114.9869	116.239	115.807	115.2964	115.2741	114.282	114.4065	115.2666	115.188	115.4889	115.849	115.0601	115.1146	116.92	117.333	116.5088	115.7648	114.7522	114.72	115.4758	115.4674	115.9259	115.7777	114.7251	115.0204	116.0502	116.4561	115.7662	115.447	114.4947	114.5034	115.2118	116.1935	116.2934	116.0776	115.5849	115.2494	116.13	117.8219	116.9447	116.087	114.8512	114.4429	115.3188	115.3573	115.1128	115.226	114.7173	114.5067	116.9112	115.489	115.3963
8	H	577547.54	153492.96	372.9	2134	115.1222	114.6221	115.6036	116.0436	116.794	116.6536	116.273	115.4732	114.3426	114.4164	114.9342	115.4335	115.8977	116.187	115.9319	115.5203	115.6159	115.4938	115.2256	115.3065	114.4987	114.4638	114.969	115.0106	115.1668	115.267	115.5715	116.3026	116.0245	115.8407	115.481	115.1023	114.3727	114.6529	115.2455	115.5924	115.7707	115.6058	116.2099	117.0646	117.5069	117.2949	115.6945	114.991	114.6128	114.2102	114.6193	115.1821	115.6836	116.178	115.5506	116.0759	118.1062	116.655	115.6959	115.1147	114.3237	114.3183	114.9961	114.923	115.0702	115.0373	114.6641	114.7329	115.9937	115.559	115.0447	115.0224	114.0235	114.1486	115.0146	114.9356	115.2385	115.6012	114.8068	114.8615	116.6794	117.0955	116.2658	115.5165	114.4967	114.4644	115.2253	115.2169	115.6785	115.5295	114.4695	114.7667	115.8036	116.2124	115.5179	115.1965	114.2374	114.2462	114.9593	115.948	116.0487	115.8315	115.3352	114.9974	115.8839	117.5877	116.7046	115.841	114.5965	114.1854	115.0672	115.1061	114.8598	114.974	114.4616	114.2495	116.6705	115.2387	115.1454
9	F	580977	148139.84	368.4	2568	113.6196	113.0539	114.1636	114.6639	115.5149	115.3561	114.9272	114.0194	112.7383	112.8201	113.4034	113.9722	114.4993	114.8285	114.5382	114.0736	114.1776	114.0418	113.7375	113.8303	112.9135	112.8754	113.4446	113.4925	113.6718	113.7822	114.1298	114.9568	114.6444	114.4348	114.0285	113.5991	112.7696	113.0891	113.7577	114.1521	114.3573	114.1675	114.8485	115.8246	116.3216	116.0874	114.2705	113.4716	113.0465	112.5855	113.0473	113.6896	114.2533	114.8171	114.1078	114.6983	117.002	115.3597	114.2722	113.6135	112.7184	112.707	113.4766	113.3931	113.5598	113.5263	113.1009	113.1758	114.6066	114.1177	113.531	113.5095	112.377	112.5152	113.495	113.4102	113.7515	114.1633	113.2632	113.3223	115.3823	115.857	114.9207	114.0702	112.9097	112.8757	113.7356	113.7271	114.2497	114.0847	112.8799	113.2149	114.3916	114.8555	114.071	113.7067	112.6171	112.6266	113.4309	114.5561	114.6711	114.4264	113.8619	113.4786	114.4801	116.4135	115.4178	114.4381	113.024	112.5594	113.557	113.6023	113.32	113.4538	112.872	112.6303	115.3715	113.755	113.647
10	2750	582928.45	146556.25	366.7	2750	113.1157	112.5626	113.6476	114.1371	114.9696	114.8143	114.3952	113.5071	112.2538	112.3337	112.9041	113.4606	113.9762	114.2983	114.0143	113.5602	113.6613	113.5289	113.2312	113.3222	112.425	112.3879	112.9443	112.9914	113.1669	113.2747	113.6148	114.4235	114.1183	113.9132	113.5158	113.0961	112.2843	112.5968	113.2507	113.6365	113.8375	113.6516	114.3173	115.2728	115.7584	115.5302	113.7527	112.9709	112.5556	112.1043	112.5557	113.1844	113.7352	114.2871	113.5937	114.1705	116.4241	114.8181	113.7544	113.1101	112.2345	112.2228	112.9759	112.8942	113.057	113.0248	112.6085	112.6813	114.0809	113.6033	113.0289	113.0085	111.9005	112.0354	112.9935	112.9111	113.2447	113.6475	112.7674	112.8247	114.8395	115.3043	114.3889	113.557	112.4212	112.3883	113.229	113.221	113.732	113.5712	112.3923	112.7196	113.8708	114.3246	113.5577	113.2012	112.1352	112.1444	112.9307	114.0317	114.1444	113.9051	113.3529	112.9779	113.9571	115.8483	114.8751	113.9168	112.5332	112.0789	113.0543	113.0991	112.8224	112.9538	112.3847	112.1481	114.8289	113.2486	113.1425
