SAMP_SITE_NAME,SAMP_DATE,WeightedConc
199-D5-146,2014-02-01,48.5226491071532
199-D5-146,2014-03-01,59.703899279221
199-D5-146,2014-04-01,65.85178135520948
199-D5-146,2014-05-01,65.77100675297561
199-D5-146,2014-06-01,62.504827019595794
199-D5-146,2014-07-01,63.415825207268604
199-D5-146,2014-08-01,50.08828998575499
199-D5-146,2014-09-01,35.478137672214096
199-D5-146,2014-10-01,24.593147179987596
199-D5-146,2014-11-01,17.0411475117865
199-D5-146,2014-12-01,11.624078162080899
199-D5-146,2015-01-01,7.608863719751221
199-D5-146,2015-02-01,4.833507742753989
199-D5-146,2015-03-01,3.03991582080016
199-D5-146,2015-04-01,1.6734757737818002
199-D5-146,2015-05-01,0.821991699699718
199-D5-146,2015-06-01,0.3980504532636579
199-D5-146,2015-07-01,0.186745584271497
199-D5-146,2015-08-01,0.0828734680140322
199-D5-146,2015-09-01,0.0360274179518304
199-D5-146,2015-10-01,0.012145533586467258
199-D5-146,2015-11-01,0.00341602220954782
199-D5-146,2015-12-01,0.001074131824445437
199-D5-146,2016-01-01,0.00036916377890603796
199-D5-146,2016-02-01,0.00012293114492029815
199-D5-146,2016-03-01,4.7196228542573274e-05
199-D5-146,2016-04-01,2.270847810821079e-05
199-D5-146,2016-05-01,1.837856470210671e-05
199-D5-146,2016-06-01,2.3092068450735577e-05
199-D5-146,2016-07-01,2.6389920871728655e-05
199-D5-146,2016-08-01,2.0185193820984375e-05
199-D5-146,2016-09-01,1.0141636919044588e-05
199-D5-146,2016-10-01,3.499509497185771e-06
199-D5-146,2016-11-01,1.198354275442464e-06
199-D5-146,2016-12-01,7.552851634969429e-07
199-D5-146,2017-01-01,1.404176610703568e-06
199-D5-146,2017-02-01,3.030481439150741e-06
199-D5-146,2017-03-01,4.938671675996475e-06
199-D5-146,2017-04-01,5.343615128274523e-06
199-D5-146,2017-05-01,5.600200089904353e-06
199-D5-146,2017-06-01,8.209569389856074e-06
199-D5-146,2017-07-01,1.2537142753635785e-05
199-D5-146,2017-08-01,1.543145869749025e-05
199-D5-146,2017-09-01,9.65395667984927e-06
199-D5-146,2017-10-01,4.027457542157617e-06
199-D5-146,2017-11-01,1.1537336981705657e-06
199-D5-146,2017-12-01,6.46605245127812e-07
199-D5-146,2018-01-01,2.12806490837891e-06
199-D5-146,2018-02-01,7.149870192362659e-06
199-D5-146,2018-03-01,4.737496924067077e-05
199-D5-146,2018-04-01,3.8345265587000396e-05
199-D5-146,2018-05-01,0.0001958385683377363
199-D5-146,2018-06-01,0.0014616234079890854
199-D5-146,2018-07-01,0.0008829231996685141
199-D5-146,2018-08-01,0.00028608565450711175
199-D5-146,2018-09-01,0.00011091480547106198
199-D5-146,2018-10-01,5.04319900096102e-05
199-D5-146,2018-11-01,2.2673284640360145e-05
199-D5-146,2018-12-01,1.3662264200066124e-05
199-D5-146,2019-01-01,1.3087785770780303e-05
199-D5-146,2019-02-01,1.6844452877617108e-05
199-D5-146,2019-03-01,2.1770682777792946e-05
199-D5-146,2019-04-01,2.7011321523140116e-05
199-D5-146,2019-05-01,2.876066062018051e-05
199-D5-146,2019-06-01,4.4551391493638933e-05
199-D5-146,2019-07-01,5.0712741887285707e-05
199-D5-146,2019-08-01,6.112058960910958e-05
199-D5-146,2019-09-01,5.8042246880220095e-05
199-D5-146,2019-10-01,4.063919392279699e-05
199-D5-146,2019-11-01,2.1959524542325012e-05
199-D5-146,2019-12-01,1.641239134907402e-05
199-D5-146,2020-01-01,2.229132744709676e-05
199-D5-146,2020-02-01,3.013911199814351e-05
199-D5-146,2020-03-01,3.129473675965595e-05
199-D5-146,2020-04-01,3.10138269176295e-05
199-D5-146,2020-05-01,2.490863179599184e-05
199-D5-146,2020-06-01,2.1296120397652105e-05
199-D5-146,2020-07-01,5.6706814240172474e-05
199-D5-146,2020-08-01,5.055126961578387e-05
199-D5-146,2020-09-01,6.701220050230631e-05
199-D5-146,2020-10-01,5.7221720789512427e-05
199-D5-146,2020-11-01,2.975975121727418e-05
199-D5-146,2020-12-01,1.585563217197131e-05
199-D5-146,2021-01-01,1.4309266871855364e-05
199-D5-152,2014-02-01,837.6442807743662
199-D5-152,2014-03-01,429.352519861951
199-D5-152,2014-04-01,201.821985436117
199-D5-152,2014-05-01,108.6499557283126
199-D5-152,2014-06-01,69.07846155314411
199-D5-152,2014-07-01,41.6588781286585
199-D5-152,2014-08-01,25.8064939366823
