SAMP_SITE_NAME,SAMP_DATE,WeightedConc
199-H3-25,2014-02-01,3.912478901785013
199-H3-25,2014-03-01,3.8623283229954843
199-H3-25,2014-04-01,3.8328311343984076
199-H3-25,2014-05-01,3.8115092234262744
199-H3-25,2014-06-01,3.8001183703805386
199-H3-25,2014-07-01,3.7789212428330283
199-H3-25,2014-08-01,3.7453059326360814
199-H3-25,2014-09-01,3.6957676253262726
199-H3-25,2014-10-01,3.6335805377093675
199-H3-25,2014-11-01,3.5755229723155058
199-H3-25,2014-12-01,3.5430687360628736
199-H3-25,2015-01-01,3.5125999571093516
199-H3-25,2015-02-01,3.540959418793134
199-H3-25,2015-03-01,3.579419248739585
199-H3-25,2015-04-01,3.6121337216742697
199-H3-25,2015-05-01,3.6295167162823847
199-H3-25,2015-06-01,3.631613580758184
199-H3-25,2015-07-01,3.632020132906382
199-H3-25,2015-08-01,4.020487938472405
199-H3-25,2015-09-01,5.497470563717241
199-H3-25,2015-10-01,8.00564509301564
199-H3-25,2015-11-01,9.63758423758888
199-H3-25,2015-12-01,9.83014098077374
199-H3-25,2016-01-01,9.836217033069381
199-H3-25,2016-02-01,9.65180420379276
199-H3-25,2016-03-01,9.3961489946048
199-H3-25,2016-04-01,8.790797878687641
199-H3-25,2016-05-01,7.49178465364148
199-H3-25,2016-06-01,6.939745124028321
199-H3-25,2016-07-01,6.920266923995261
199-H3-25,2016-08-01,7.140486810021921
199-H3-25,2016-09-01,7.470786090007861
199-H3-25,2016-10-01,7.7356262241262606
199-H3-25,2016-11-01,7.56339841748242
199-H3-25,2016-12-01,7.19674129969152
199-H3-25,2017-01-01,6.79130122585762
199-H3-25,2017-02-01,6.625982263252921
199-H3-25,2017-03-01,6.584933948333281
199-H3-25,2017-04-01,6.33531800186772
199-H3-25,2017-05-01,6.167681406088841
199-H3-25,2017-06-01,6.02910229198796
199-H3-25,2017-07-01,5.973293197183641
199-H3-25,2017-08-01,5.984996704818401
199-H3-25,2017-09-01,6.00258298326934
199-H3-25,2017-10-01,6.038283850059741
199-H3-25,2017-11-01,6.21236821549086
199-H3-25,2017-12-01,6.260785429347821
199-H3-25,2018-01-01,6.471598747059041
199-H3-25,2018-02-01,6.5696023575709805
199-H3-25,2018-03-01,6.5732488372198405
199-H3-25,2018-04-01,6.54606200733042
199-H3-25,2018-05-01,6.478513009018581
199-H3-25,2018-06-01,6.4962313254498
199-H3-25,2018-07-01,6.421830904267101
199-H3-25,2018-08-01,6.324887426305341
199-H3-25,2018-09-01,6.1929705067272804
199-H3-25,2018-10-01,5.9955900058732405
199-H3-25,2018-11-01,5.867750212971259
199-H3-25,2018-12-01,5.8166447150158005
199-H3-25,2019-01-01,5.775352223891461
199-H3-25,2019-02-01,5.76920084779526
199-H3-25,2019-03-01,5.7401421301559
199-H3-25,2019-04-01,5.685689604204285
199-H3-25,2019-05-01,5.638361980615529
199-H3-25,2019-06-01,5.7707798808179005
199-H3-25,2019-07-01,5.8172945716533615
199-H3-25,2019-08-01,5.720210520622681
199-H3-25,2019-09-01,5.6518474141773005
199-H3-25,2019-10-01,5.524987947336216
199-H3-25,2019-11-01,5.511346925902022
199-H3-25,2019-12-01,5.546269472454351
199-H3-25,2020-01-01,5.5719235007957995
199-H3-25,2020-02-01,5.6583594244815805
199-H3-25,2020-03-01,5.787360714026301
199-H3-25,2020-04-01,5.640271134786411
199-H3-25,2020-05-01,5.614693257810961
199-H3-25,2020-06-01,6.02785643524063
199-H3-25,2020-07-01,6.340074854459781
199-H3-25,2020-08-01,6.26787589233258
199-H3-25,2020-09-01,5.997358644486391
199-H3-25,2020-10-01,5.66578752292405
199-H3-25,2020-11-01,5.4778404753025605
199-H3-25,2020-12-01,5.449293775992741
199-H3-26,2014-02-01,1.5860958672842675
199-H3-26,2014-03-01,1.480368269455855
199-H3-26,2014-04-01,1.406278105855205
199-H3-26,2014-05-01,1.3570645811047035
199-H3-26,2014-06-01,1.3391950426787103
199-H3-26,2014-07-01,1.3164744756580737
199-H3-26,2014-08-01,1.2739483539009169
199-H3-26,2014-09-01,1.2027598389155336
199-H3-26,2014-10-01,1.1070871681063628
199-H3-26,2014-11-01,1.0160850363525258
