SAMP_SITE_NAME,SAMP_DATE,WeightedConc
199-H3-25,2014-02-01,0.0
199-H3-25,2014-03-01,0.0
199-H3-25,2014-04-01,1.7525195296528896e-09
199-H3-25,2014-05-01,9.432260761037062e-09
199-H3-25,2014-06-01,3.813474641481174e-13
199-H3-25,2014-07-01,1.3629781154552231e-17
199-H3-25,2014-08-01,4.005908275947577e-22
199-H3-25,2014-09-01,2.0490074038082967e-26
199-H3-25,2014-10-01,2.4832536171382587e-25
199-H3-25,2014-11-01,1.617478083371253e-27
199-H3-25,2014-12-01,0.0012466914043218367
199-H3-25,2015-01-01,1.5589084239397137e-07
199-H3-25,2015-02-01,0.0016895879152690632
199-H3-25,2015-03-01,0.0031313633776472497
199-H3-25,2015-04-01,0.005064463669224537
199-H3-25,2015-05-01,0.0066413226252739705
199-H3-25,2015-06-01,0.00498965883486281
199-H3-25,2015-07-01,0.0052983922672604
199-H3-25,2015-08-01,1.1188518375837793
199-H3-25,2015-09-01,7.026726180551513
199-H3-25,2015-10-01,18.883388282364233
199-H3-25,2015-11-01,28.0612261401032
199-H3-25,2015-12-01,30.041414644900467
199-H3-25,2016-01-01,30.32057175847953
199-H3-25,2016-02-01,29.249052494705765
199-H3-25,2016-03-01,27.675041174085734
199-H3-25,2016-04-01,24.025339778169336
199-H3-25,2016-05-01,16.29569301230359
199-H3-25,2016-06-01,13.052629091670465
199-H3-25,2016-07-01,12.709909175311504
199-H3-25,2016-08-01,13.822595793736806
199-H3-25,2016-09-01,15.232613821151663
199-H3-25,2016-10-01,16.186621849911983
199-H3-25,2016-11-01,14.851016096138354
199-H3-25,2016-12-01,12.357738401353364
199-H3-25,2017-01-01,9.434716927954597
199-H3-25,2017-02-01,7.715543750536742
199-H3-25,2017-03-01,7.025327448387777
199-H3-25,2017-04-01,4.904231438238543
199-H3-25,2017-05-01,2.9495152273040532
199-H3-25,2017-06-01,1.408600280611963
199-H3-25,2017-07-01,0.9517354844339152
199-H3-25,2017-08-01,1.1344419364338467
199-H3-25,2017-09-01,1.8801569857746099
199-H3-25,2017-10-01,2.97241393062745
199-H3-25,2017-11-01,4.972874732386576
199-H3-25,2017-12-01,5.102429926395714
199-H3-25,2018-01-01,5.601170869886414
199-H3-25,2018-02-01,5.14672217419925
199-H3-25,2018-03-01,4.114800111753787
199-H3-25,2018-04-01,3.6605523144658862
199-H3-25,2018-05-01,2.72917790389736
199-H3-25,2018-06-01,1.0425184706564259
199-H3-25,2018-07-01,0.7921486693745821
199-H3-25,2018-08-01,1.6669412910174533
199-H3-25,2018-09-01,2.0587077165617833
199-H3-25,2018-10-01,1.820606983548797
199-H3-25,2018-11-01,1.5935784297729767
199-H3-25,2018-12-01,1.3176054188830733
199-H3-25,2019-01-01,1.1019858299031666
199-H3-25,2019-02-01,0.9961813558985614
199-H3-25,2019-03-01,0.9680300356317086
199-H3-25,2019-04-01,1.1380185673641277
199-H3-25,2019-05-01,1.2197656706313904
199-H3-25,2019-06-01,1.3833623351974134
199-H3-25,2019-07-01,1.41969859010291
199-H3-25,2019-08-01,1.1794114648981868
199-H3-25,2019-09-01,0.8172271272171313
199-H3-25,2019-10-01,0.7376598107810377
199-H3-25,2019-11-01,0.7885027823566547
199-H3-25,2019-12-01,0.8086662776885242
199-H3-25,2020-01-01,0.8315362600843891
199-H3-25,2020-02-01,0.9094380030057924
199-H3-25,2020-03-01,1.0645943519877832
199-H3-25,2020-04-01,1.0345518249769066
199-H3-25,2020-05-01,0.993190828200927
199-H3-25,2020-06-01,1.4217355286171
199-H3-25,2020-07-01,1.8412992025384969
