I,J,X,Y,delx
1,1,571755,154825,10
1,2,571765,154825,10
1,3,571775,154825,10
1,4,571785,154825,10
1,5,571795,154825,10
1,6,571805,154825,10
1,7,571815,154825,10
1,8,571825,154825,10
1,9,571835,154825,10
1,10,571845,154825,10
1,11,571855,154825,10
1,12,571865,154825,10
1,13,571875,154825,10
1,14,571885,154825,10
1,15,571895,154825,10
1,16,571905,154825,10
1,17,571915,154825,10
1,18,571925,154825,10
1,19,571935,154825,10
1,20,571945,154825,10
1,21,571955,154825,10
1,22,571965,154825,10
1,23,571975,154825,10
1,24,571985,154825,10
1,25,571995,154825,10
1,26,572005,154825,10
1,27,572015,154825,10
1,28,572025,154825,10
1,29,572035,154825,10
1,30,572045,154825,10
1,31,572055,154825,10
1,32,572065,154825,10
1,33,572075,154825,10
1,34,572085,154825,10
1,35,572095,154825,10
1,36,572105,154825,10
1,37,572115,154825,10
1,38,572125,154825,10
1,39,572135,154825,10
1,40,572145,154825,10
1,41,572155,154825,10
1,42,572165,154825,10
1,43,572175,154825,10
1,44,572185,154825,10
1,45,572195,154825,10
1,46,572205,154825,10
1,47,572215,154825,10
1,48,572225,154825,10
1,49,572235,154825,10
1,50,572245,154825,10
1,51,572255,154825,10
1,52,572265,154825,10
1,53,572275,154825,10
1,54,572285,154825,10
1,55,572295,154825,10
1,56,572305,154825,10
1,57,572315,154825,10
1,58,572325,154825,10
1,59,572335,154825,10
1,60,572345,154825,10
1,61,572355,154825,10
1,62,572365,154825,10
1,63,572375,154825,10
1,64,572385,154825,10
1,65,572395,154825,10
1,66,572405,154825,10
1,67,572415,154825,10
1,68,572425,154825,10
1,69,572435,154825,10
1,70,572445,154825,10
1,71,572455,154825,10
1,72,572465,154825,10
1,73,572475,154825,10
1,74,572485,154825,10
1,75,572495,154825,10
1,76,572505,154825,10
1,77,572515,154825,10
1,78,572525,154825,10
1,79,572535,154825,10
1,80,572545,154825,10
1,81,572555,154825,10
1,82,572565,154825,10
1,83,572575,154825,10
1,84,572585,154825,10
1,85,572595,154825,10
1,86,572605,154825,10
1,87,572615,154825,10
1,88,572625,154825,10
1,89,572635,154825,10
1,90,572645,154825,10
1,91,572655,154825,10
1,92,572665,154825,10
1,93,572675,154825,10
1,94,572685,154825,10
1,95,572695,154825,10
1,96,572705,154825,10
1,97,572715,154825,10
1,98,572725,154825,10
1,99,572735,154825,10
1,100,572745,154825,10
1,101,572755,154825,10
1,102,572765,154825,10
1,103,572775,154825,10
1,104,572785,154825,10
1,105,572795,154825,10
1,106,572805,154825,10
1,107,572815,154825,10
1,108,572825,154825,10
1,109,572835,154825,10
1,110,572845,154825,10
1,111,572855,154825,10
1,112,572865,154825,10
1,113,572875,154825,10
1,114,572885,154825,10
1,115,572895,154825,10
1,116,572905,154825,10
1,117,572915,154825,10
1,118,572925,154825,10
1,119,572935,154825,10
1,120,572945,154825,10
1,121,572955,154825,10
1,122,572965,154825,10
1,123,572975,154825,10
1,124,572985,154825,10
1,125,572995,154825,10
1,126,573005,154825,10
1,127,573015,154825,10
1,128,573025,154825,10
1,129,573035,154825,10
1,130,573045,154825,10
1,131,573055,154825,10
1,132,573065,154825,10
1,133,573075,154825,10
1,134,573085,154825,10
1,135,573095,154825,10
1,136,573105,154825,10
1,137,573115,154825,10
1,138,573125,154825,10
1,139,573135,154825,10
1,140,573145,154825,10
1,141,573155,154825,10
1,142,573165,154825,10
1,143,573175,154825,10
1,144,573185,154825,10
1,145,573195,154825,10
1,146,573205,154825,10
1,147,573215,154825,10
1,148,573225,154825,10
1,149,573235,154825,10
1,150,573245,154825,10
1,151,573255,154825,10
1,152,573265,154825,10
1,153,573275,154825,10
1,154,573285,154825,10
1,155,573295,154825,10
1,156,573305,154825,10
1,157,573315,154825,10
1,158,573325,154825,10
1,159,573335,154825,10
1,160,573345,154825,10
1,161,573355,154825,10
1,162,573365,154825,10
1,163,573375,154825,10
1,164,573385,154825,10
1,165,573395,154825,10
1,166,573405,154825,10
1,167,573415,154825,10
1,168,573425,154825,10
1,169,573435,154825,10
1,170,573445,154825,10
1,171,573455,154825,10
1,172,573465,154825,10
1,173,573475,154825,10
1,174,573485,154825,10
1,175,573495,154825,10
1,176,573505,154825,10
1,177,573515,154825,10
1,178,573525,154825,10
1,179,573535,154825,10
1,180,573545,154825,10
1,181,573555,154825,10
1,182,573565,154825,10
1,183,573575,154825,10
1,184,573585,154825,10
1,185,573595,154825,10
1,186,573605,154825,10
1,187,573615,154825,10
1,188,573625,154825,10
1,189,573635,154825,10
1,190,573645,154825,10
1,191,573655,154825,10
1,192,573665,154825,10
1,193,573675,154825,10
1,194,573685,154825,10
1,195,573695,154825,10
1,196,573705,154825,10
1,197,573715,154825,10
1,198,573725,154825,10
1,199,573735,154825,10
1,200,573745,154825,10
1,201,573755,154825,10
1,202,573765,154825,10
1,203,573775,154825,10
1,204,573785,154825,10
1,205,573795,154825,10
1,206,573805,154825,10
1,207,573815,154825,10
1,208,573825,154825,10
1,209,573835,154825,10
1,210,573845,154825,10
1,211,573855,154825,10
1,212,573865,154825,10
1,213,573875,154825,10
1,214,573885,154825,10
1,215,573895,154825,10
1,216,573905,154825,10
1,217,573915,154825,10
1,218,573925,154825,10
1,219,573935,154825,10
1,220,573945,154825,10
1,221,573955,154825,10
1,222,573965,154825,10
1,223,573975,154825,10
1,224,573985,154825,10
1,225,573995,154825,10
1,226,574005,154825,10
1,227,574015,154825,10
1,228,574025,154825,10
1,229,574035,154825,10
1,230,574045,154825,10
1,231,574055,154825,10
1,232,574065,154825,10
1,233,574075,154825,10
1,234,574085,154825,10
1,235,574095,154825,10
1,236,574105,154825,10
1,237,574115,154825,10
1,238,574125,154825,10
1,239,574135,154825,10
1,240,574145,154825,10
1,241,574155,154825,10
1,242,574165,154825,10
1,243,574175,154825,10
1,244,574185,154825,10
1,245,574195,154825,10
1,246,574205,154825,10
1,247,574215,154825,10
1,248,574225,154825,10
1,249,574235,154825,10
1,250,574245,154825,10
1,251,574255,154825,10
1,252,574265,154825,10
1,253,574275,154825,10
1,254,574285,154825,10
1,255,574295,154825,10
1,256,574305,154825,10
1,257,574315,154825,10
1,258,574325,154825,10
1,259,574335,154825,10
1,260,574345,154825,10
1,261,574355,154825,10
1,262,574365,154825,10
1,263,574375,154825,10
1,264,574385,154825,10
1,265,574395,154825,10
1,266,574405,154825,10
1,267,574415,154825,10
1,268,574425,154825,10
1,269,574435,154825,10
1,270,574445,154825,10
1,271,574455,154825,10
1,272,574465,154825,10
1,273,574475,154825,10
1,274,574485,154825,10
1,275,574495,154825,10
1,276,574505,154825,10
1,277,574515,154825,10
1,278,574525,154825,10
1,279,574535,154825,10
1,280,574545,154825,10
1,281,574555,154825,10
1,282,574565,154825,10
1,283,574575,154825,10
1,284,574585,154825,10
1,285,574595,154825,10
1,286,574605,154825,10
1,287,574615,154825,10
1,288,574625,154825,10
1,289,574635,154825,10
1,290,574645,154825,10
1,291,574655,154825,10
1,292,574665,154825,10
1,293,574675,154825,10
1,294,574685,154825,10
1,295,574695,154825,10
1,296,574705,154825,10
1,297,574715,154825,10
1,298,574725,154825,10
1,299,574735,154825,10
1,300,574745,154825,10
1,301,574755,154825,10
1,302,574765,154825,10
1,303,574775,154825,10
1,304,574785,154825,10
1,305,574795,154825,10
1,306,574805,154825,10
1,307,574815,154825,10
1,308,574825,154825,10
1,309,574835,154825,10
1,310,574845,154825,10
1,311,574855,154825,10
1,312,574865,154825,10
1,313,574875,154825,10
1,314,574885,154825,10
1,315,574895,154825,10
1,316,574905,154825,10
1,317,574915,154825,10
1,318,574925,154825,10
1,319,574935,154825,10
1,320,574945,154825,10
1,321,574955,154825,10
1,322,574965,154825,10
1,323,574975,154825,10
1,324,574985,154825,10
1,325,574995,154825,10
1,326,575005,154825,10
1,327,575015,154825,10
1,328,575025,154825,10
1,329,575035,154825,10
1,330,575045,154825,10
1,331,575055,154825,10
1,332,575065,154825,10
1,333,575075,154825,10
1,334,575085,154825,10
1,335,575095,154825,10
1,336,575105,154825,10
1,337,575115,154825,10
1,338,575125,154825,10
1,339,575135,154825,10
1,340,575145,154825,10
1,341,575155,154825,10
1,342,575165,154825,10
1,343,575175,154825,10
1,344,575185,154825,10
1,345,575195,154825,10
1,346,575205,154825,10
1,347,575215,154825,10
1,348,575225,154825,10
1,349,575235,154825,10
1,350,575245,154825,10
1,351,575255,154825,10
1,352,575265,154825,10
1,353,575275,154825,10
1,354,575285,154825,10
1,355,575295,154825,10
1,356,575305,154825,10
1,357,575315,154825,10
1,358,575325,154825,10
1,359,575335,154825,10
1,360,575345,154825,10
1,361,575355,154825,10
1,362,575365,154825,10
1,363,575375,154825,10
1,364,575385,154825,10
1,365,575395,154825,10
1,366,575405,154825,10
1,367,575415,154825,10
1,368,575425,154825,10
1,369,575435,154825,10
1,370,575445,154825,10
1,371,575455,154825,10
1,372,575465,154825,10
1,373,575475,154825,10
1,374,575485,154825,10
1,375,575495,154825,10
1,376,575505,154825,10
1,377,575515,154825,10
1,378,575525,154825,10
1,379,575535,154825,10
1,380,575545,154825,10
1,381,575555,154825,10
1,382,575565,154825,10
1,383,575575,154825,10
1,384,575585,154825,10
1,385,575595,154825,10
1,386,575605,154825,10
1,387,575615,154825,10
1,388,575625,154825,10
1,389,575635,154825,10
1,390,575645,154825,10
1,391,575655,154825,10
1,392,575665,154825,10
1,393,575675,154825,10
1,394,575685,154825,10
1,395,575695,154825,10
1,396,575705,154825,10
1,397,575715,154825,10
1,398,575725,154825,10
1,399,575735,154825,10
1,400,575745,154825,10
1,401,575755,154825,10
1,402,575765,154825,10
1,403,575775,154825,10
1,404,575785,154825,10
1,405,575795,154825,10
1,406,575805,154825,10
1,407,575815,154825,10
1,408,575825,154825,10
1,409,575835,154825,10
1,410,575845,154825,10
1,411,575855,154825,10
1,412,575865,154825,10
1,413,575875,154825,10
1,414,575885,154825,10
1,415,575895,154825,10
1,416,575905,154825,10
1,417,575915,154825,10
1,418,575925,154825,10
1,419,575935,154825,10
1,420,575945,154825,10
1,421,575955,154825,10
1,422,575965,154825,10
1,423,575975,154825,10
1,424,575985,154825,10
1,425,575995,154825,10
1,426,576005,154825,10
1,427,576015,154825,10
1,428,576025,154825,10
1,429,576035,154825,10
1,430,576045,154825,10
1,431,576055,154825,10
1,432,576065,154825,10
1,433,576075,154825,10
1,434,576085,154825,10
1,435,576095,154825,10
1,436,576105,154825,10
1,437,576115,154825,10
1,438,576125,154825,10
1,439,576135,154825,10
1,440,576145,154825,10
1,441,576155,154825,10
1,442,576165,154825,10
1,443,576175,154825,10
1,444,576185,154825,10
1,445,576195,154825,10
1,446,576205,154825,10
1,447,576215,154825,10
1,448,576225,154825,10
1,449,576235,154825,10
1,450,576245,154825,10
1,451,576255,154825,10
1,452,576265,154825,10
1,453,576275,154825,10
1,454,576285,154825,10
1,455,576295,154825,10
1,456,576305,154825,10
1,457,576315,154825,10
1,458,576325,154825,10
1,459,576335,154825,10
1,460,576345,154825,10
1,461,576355,154825,10
1,462,576365,154825,10
1,463,576375,154825,10
1,464,576385,154825,10
1,465,576395,154825,10
1,466,576405,154825,10
1,467,576415,154825,10
1,468,576425,154825,10
1,469,576435,154825,10
1,470,576445,154825,10
1,471,576455,154825,10
1,472,576465,154825,10
1,473,576475,154825,10
1,474,576485,154825,10
1,475,576495,154825,10
1,476,576505,154825,10
1,477,576515,154825,10
1,478,576525,154825,10
1,479,576535,154825,10
1,480,576545,154825,10
1,481,576555,154825,10
1,482,576565,154825,10
1,483,576575,154825,10
1,484,576585,154825,10
1,485,576595,154825,10
1,486,576605,154825,10
1,487,576615,154825,10
1,488,576625,154825,10
1,489,576635,154825,10
1,490,576645,154825,10
1,491,576655,154825,10
1,492,576665,154825,10
1,493,576675,154825,10
1,494,576685,154825,10
1,495,576695,154825,10
1,496,576705,154825,10
1,497,576715,154825,10
1,498,576725,154825,10
1,499,576735,154825,10
1,500,576745,154825,10
1,501,576755,154825,10
1,502,576765,154825,10
1,503,576775,154825,10
1,504,576785,154825,10
1,505,576795,154825,10
1,506,576805,154825,10
1,507,576815,154825,10
1,508,576825,154825,10
1,509,576835,154825,10
1,510,576845,154825,10
1,511,576855,154825,10
1,512,576865,154825,10
1,513,576875,154825,10
1,514,576885,154825,10
1,515,576895,154825,10
1,516,576905,154825,10
1,517,576915,154825,10
1,518,576925,154825,10
1,519,576935,154825,10
1,520,576945,154825,10
1,521,576955,154825,10
1,522,576965,154825,10
1,523,576975,154825,10
1,524,576985,154825,10
1,525,576995,154825,10
1,526,577005,154825,10
1,527,577015,154825,10
1,528,577025,154825,10
1,529,577035,154825,10
1,530,577045,154825,10
1,531,577055,154825,10
1,532,577065,154825,10
1,533,577075,154825,10
1,534,577085,154825,10
1,535,577095,154825,10
1,536,577105,154825,10
1,537,577115,154825,10
1,538,577125,154825,10
1,539,577135,154825,10
1,540,577145,154825,10
1,541,577155,154825,10
1,542,577165,154825,10
1,543,577175,154825,10
1,544,577185,154825,10
1,545,577195,154825,10
1,546,577205,154825,10
1,547,577215,154825,10
1,548,577225,154825,10
1,549,577235,154825,10
1,550,577245,154825,10
1,551,577255,154825,10
1,552,577265,154825,10
1,553,577275,154825,10
1,554,577285,154825,10
1,555,577295,154825,10
1,556,577305,154825,10
1,557,577315,154825,10
1,558,577325,154825,10
1,559,577335,154825,10
1,560,577345,154825,10
1,561,577355,154825,10
1,562,577365,154825,10
1,563,577375,154825,10
1,564,577385,154825,10
1,565,577395,154825,10
1,566,577405,154825,10
1,567,577415,154825,10
1,568,577425,154825,10
1,569,577435,154825,10
1,570,577445,154825,10
1,571,577455,154825,10
1,572,577465,154825,10
1,573,577475,154825,10
1,574,577485,154825,10
1,575,577495,154825,10
1,576,577505,154825,10
1,577,577515,154825,10
1,578,577525,154825,10
1,579,577535,154825,10
1,580,577545,154825,10
1,581,577555,154825,10
1,582,577565,154825,10
1,583,577575,154825,10
1,584,577585,154825,10
1,585,577595,154825,10
1,586,577605,154825,10
1,587,577615,154825,10
1,588,577625,154825,10
1,589,577635,154825,10
1,590,577645,154825,10
1,591,577655,154825,10
1,592,577665,154825,10
1,593,577675,154825,10
1,594,577685,154825,10
1,595,577695,154825,10
1,596,577705,154825,10
1,597,577715,154825,10
1,598,577725,154825,10
1,599,577735,154825,10
1,600,577745,154825,10
1,601,577755,154825,10
1,602,577765,154825,10
1,603,577775,154825,10
1,604,577785,154825,10
1,605,577795,154825,10
1,606,577805,154825,10
1,607,577815,154825,10
1,608,577825,154825,10
1,609,577835,154825,10
1,610,577845,154825,10
1,611,577855,154825,10
1,612,577865,154825,10
1,613,577875,154825,10
1,614,577885,154825,10
1,615,577895,154825,10
1,616,577905,154825,10
1,617,577915,154825,10
1,618,577925,154825,10
1,619,577935,154825,10
1,620,577945,154825,10
1,621,577955,154825,10
1,622,577965,154825,10
1,623,577975,154825,10
1,624,577985,154825,10
1,625,577995,154825,10
1,626,578005,154825,10
1,627,578015,154825,10
1,628,578025,154825,10
1,629,578035,154825,10
1,630,578045,154825,10
1,631,578055,154825,10
1,632,578065,154825,10
1,633,578075,154825,10
1,634,578085,154825,10
1,635,578095,154825,10
1,636,578105,154825,10
1,637,578115,154825,10
1,638,578125,154825,10
1,639,578135,154825,10
1,640,578145,154825,10
1,641,578155,154825,10
1,642,578165,154825,10
1,643,578175,154825,10
1,644,578185,154825,10
1,645,578195,154825,10
1,646,578205,154825,10
1,647,578215,154825,10
1,648,578225,154825,10
1,649,578235,154825,10
1,650,578245,154825,10
1,651,578255,154825,10
1,652,578265,154825,10
1,653,578275,154825,10
1,654,578285,154825,10
1,655,578295,154825,10
1,656,578305,154825,10
1,657,578315,154825,10
1,658,578325,154825,10
1,659,578335,154825,10
1,660,578345,154825,10
1,661,578355,154825,10
1,662,578365,154825,10
1,663,578375,154825,10
1,664,578385,154825,10
1,665,578395,154825,10
1,666,578405,154825,10
1,667,578415,154825,10
1,668,578425,154825,10
1,669,578435,154825,10
1,670,578445,154825,10
1,671,578455,154825,10
1,672,578465,154825,10
1,673,578475,154825,10
1,674,578485,154825,10
1,675,578495,154825,10
1,676,578505,154825,10
1,677,578515,154825,10
1,678,578525,154825,10
1,679,578535,154825,10
1,680,578545,154825,10
1,681,578555,154825,10
1,682,578565,154825,10
1,683,578575,154825,10
1,684,578585,154825,10
1,685,578595,154825,10
1,686,578605,154825,10
1,687,578615,154825,10
1,688,578625,154825,10
1,689,578635,154825,10
1,690,578645,154825,10
1,691,578655,154825,10
1,692,578665,154825,10
1,693,578675,154825,10
1,694,578685,154825,10
1,695,578695,154825,10
1,696,578705,154825,10
1,697,578715,154825,10
1,698,578725,154825,10
1,699,578735,154825,10
1,700,578745,154825,10
1,701,578755,154825,10
1,702,578765,154825,10
1,703,578775,154825,10
1,704,578785,154825,10
1,705,578795,154825,10
1,706,578805,154825,10
1,707,578815,154825,10
1,708,578825,154825,10
1,709,578835,154825,10
1,710,578845,154825,10
1,711,578855,154825,10
1,712,578865,154825,10
1,713,578875,154825,10
1,714,578885,154825,10
1,715,578895,154825,10
1,716,578905,154825,10
1,717,578915,154825,10
1,718,578925,154825,10
1,719,578935,154825,10
1,720,578945,154825,10
1,721,578955,154825,10
1,722,578965,154825,10
1,723,578975,154825,10
1,724,578985,154825,10
1,725,578995,154825,10
1,726,579005,154825,10
1,727,579015,154825,10
1,728,579025,154825,10
1,729,579035,154825,10
1,730,579045,154825,10
1,731,579055,154825,10
1,732,579065,154825,10
1,733,579075,154825,10
1,734,579085,154825,10
1,735,579095,154825,10
1,736,579105,154825,10
1,737,579115,154825,10
1,738,579125,154825,10
1,739,579135,154825,10
1,740,579145,154825,10
1,741,579155,154825,10
1,742,579165,154825,10
1,743,579175,154825,10
1,744,579185,154825,10
1,745,579195,154825,10
1,746,579205,154825,10
1,747,579215,154825,10
1,748,579225,154825,10
1,749,579235,154825,10
1,750,579245,154825,10
1,751,579255,154825,10
1,752,579265,154825,10
1,753,579275,154825,10
1,754,579285,154825,10
1,755,579295,154825,10
1,756,579305,154825,10
1,757,579315,154825,10
1,758,579325,154825,10
1,759,579335,154825,10
1,760,579345,154825,10
1,761,579355,154825,10
1,762,579365,154825,10
1,763,579375,154825,10
1,764,579385,154825,10
1,765,579395,154825,10
1,766,579405,154825,10
1,767,579415,154825,10
1,768,579425,154825,10
1,769,579435,154825,10
1,770,579445,154825,10
1,771,579455,154825,10
1,772,579465,154825,10
1,773,579475,154825,10
