sp,SPstart,SPend,spLen
1,1/1/2006,1/31/2006,31
2,2/1/2006,2/28/2006,28
3,3/1/2006,3/31/2006,31
4,4/1/2006,4/30/2006,30
5,5/1/2006,5/31/2006,31
6,6/1/2006,6/30/2006,30
7,7/1/2006,7/31/2006,31
8,8/1/2006,8/31/2006,31
9,9/1/2006,9/30/2006,30
10,10/1/2006,10/31/2006,31
11,11/1/2006,11/30/2006,30
12,12/1/2006,12/31/2006,31
13,1/1/2007,1/31/2007,31
14,2/1/2007,2/28/2007,28
15,3/1/2007,3/31/2007,31
16,4/1/2007,4/30/2007,30
17,5/1/2007,5/31/2007,31
18,6/1/2007,6/30/2007,30
19,7/1/2007,7/31/2007,31
20,8/1/2007,8/31/2007,31
21,9/1/2007,9/30/2007,30
22,10/1/2007,10/31/2007,31
23,11/1/2007,11/30/2007,30
24,12/1/2007,12/31/2007,31
25,1/1/2008,1/31/2008,31
26,2/1/2008,2/29/2008,29
27,3/1/2008,3/31/2008,31
28,4/1/2008,4/30/2008,30
29,5/1/2008,5/31/2008,31
30,6/1/2008,6/30/2008,30
31,7/1/2008,7/31/2008,31
32,8/1/2008,8/31/2008,31
33,9/1/2008,9/30/2008,30
34,10/1/2008,10/31/2008,31
35,11/1/2008,11/30/2008,30
36,12/1/2008,12/31/2008,31
37,1/1/2009,1/31/2009,31
38,2/1/2009,2/28/2009,28
39,3/1/2009,3/31/2009,31
40,4/1/2009,4/30/2009,30
41,5/1/2009,5/31/2009,31
42,6/1/2009,6/30/2009,30
43,7/1/2009,7/31/2009,31
44,8/1/2009,8/31/2009,31
45,9/1/2009,9/30/2009,30
46,10/1/2009,10/31/2009,31
47,11/1/2009,11/30/2009,30
48,12/1/2009,12/31/2009,31
49,1/1/2010,1/31/2010,31
50,2/1/2010,2/28/2010,28
51,3/1/2010,3/31/2010,31
52,4/1/2010,4/30/2010,30
53,5/1/2010,5/31/2010,31
54,6/1/2010,6/30/2010,30
55,7/1/2010,7/31/2010,31
56,8/1/2010,8/31/2010,31
57,9/1/2010,9/30/2010,30
58,10/1/2010,10/31/2010,31
59,11/1/2010,11/30/2010,30
60,12/1/2010,12/31/2010,31
61,1/1/2011,1/31/2011,31
62,2/1/2011,2/28/2011,28
63,3/1/2011,3/31/2011,31
64,4/1/2011,4/30/2011,30
65,5/1/2011,5/31/2011,31
